time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. T. Thompson (A. Horford gains possession),,,,Jump ball: A. Baynes vs. T. Thompson (A. Horford gains possession)
11:41.0,,,0-0,,J. Tatum misses 3-pt shot from 25 ft
11:38.0,,,0-0,,Offensive rebound by A. Baynes
11:26.0,,,0-2,2,J. Tatum makes 2-pt shot from 16 ft (assist by A. Horford)
11:00.0,G. Hill misses 3-pt shot from 23 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by J. Brown
10:51.0,,,0-4,2,T. Rozier makes 2-pt shot from 16 ft
10:26.0,Turnover by G. Hill (out of bounds lost ball),,0-4,,
10:09.0,,,0-6,2,A. Horford makes 2-pt shot from 4 ft
9:54.0,,,0-6,,Def 3 sec tech foul by A. Baynes
9:54.0,L. James misses technical free throw,,0-6,,
9:54.0,Offensive rebound by Team,,0-6,,
9:46.0,L. James makes 2-pt shot from 18 ft,2,2-6,,
9:27.0,,,2-6,,J. Brown misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by J. Green,,2-6,,
9:03.0,L. James makes 2-pt shot from 7 ft,2,4-6,,
8:57.0,,,4-9,3,J. Tatum makes 3-pt shot from 25 ft (assist by T. Rozier)
8:32.0,L. James misses 2-pt shot from 19 ft,,4-9,,
8:28.0,,,4-9,,Defensive rebound by J. Tatum
8:19.0,,,4-11,2,J. Tatum makes 2-pt shot from 19 ft
8:19.0,Cleveland full timeout,,4-11,,
7:57.0,G. Hill misses 2-pt shot from 22 ft,,4-11,,
7:52.0,Offensive rebound by T. Thompson,,4-11,,
7:50.0,L. James makes 3-pt shot from 26 ft (assist by T. Thompson),3,7-11,,
7:29.0,,,7-11,,T. Rozier misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by L. James,,7-11,,
7:23.0,L. James misses 3-pt shot from 26 ft,,7-11,,
7:23.0,Offensive rebound by Team,,7-11,,
7:01.0,Shooting foul by A. Horford (drawn by T. Thompson),,7-11,,
7:01.0,T. Thompson misses free throw 1 of 2,,7-11,,
7:01.0,Offensive rebound by Team,,7-11,,
7:01.0,T. Thompson makes free throw 2 of 2,1,8-11,,
6:43.0,,,8-11,,A. Horford misses 2-pt shot from 13 ft
6:39.0,Defensive rebound by J. Green,,8-11,,
6:26.0,J. Green misses 3-pt shot from 22 ft,,8-11,,
6:24.0,,,8-11,,Defensive rebound by T. Rozier
6:15.0,,,8-11,,J. Brown misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by L. James,,8-11,,
6:07.0,Turnover by L. James (out of bounds lost ball),,8-11,,
6:07.0,,,8-11,,M. Morris enters the game for A. Horford
5:50.0,,,8-13,2,J. Brown makes 2-pt shot from 3 ft
5:31.0,J. Smith misses 3-pt shot from 29 ft,,8-13,,
5:29.0,,,8-13,,Defensive rebound by M. Morris
5:20.0,,,8-13,,M. Morris misses 2-pt shot from 14 ft
5:19.0,Defensive rebound by L. James,,8-13,,
5:15.0,Shooting foul by M. Morris (drawn by L. James),,8-13,,
5:15.0,L. James makes free throw 1 of 2,1,9-13,,
5:15.0,,,9-13,,M. Smart enters the game for T. Rozier
5:15.0,K. Korver enters the game for T. Thompson,,9-13,,
5:15.0,L. James makes free throw 2 of 2,1,10-13,,
5:06.0,Personal foul by G. Hill (drawn by M. Smart),,10-13,,
4:58.0,,,10-13,,J. Brown misses 2-pt shot from 3 ft (block by J. Green)
4:58.0,,,10-13,,Offensive rebound by Team
4:55.0,Jump ball: J. Brown vs. J. Green (J. Tatum gains possession),,,,Jump ball: J. Brown vs. J. Green (J. Tatum gains possession)
4:54.0,,,10-13,,J. Tatum misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by J. Green,,10-13,,
4:46.0,J. Green makes 2-pt shot at rim,2,12-13,,
4:46.0,Shooting foul by A. Baynes (drawn by J. Green),,12-13,,
4:46.0,J. Green makes free throw 1 of 1,1,13-13,,
4:32.0,,,13-15,2,J. Tatum makes 2-pt shot at rim (assist by M. Smart)
4:11.0,K. Korver misses 3-pt shot from 27 ft,,13-15,,
4:10.0,,,13-15,,Defensive rebound by Team
3:54.0,,,13-15,,M. Smart misses 3-pt shot from 25 ft
3:52.0,,,13-15,,Offensive rebound by A. Baynes
3:46.0,,,13-15,,J. Brown misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by L. James,,13-15,,
3:41.0,L. James makes 2-pt shot from 1 ft,2,15-15,,
3:41.0,Shooting foul by M. Smart (drawn by L. James),,15-15,,
3:41.0,,,15-15,,A. Horford enters the game for A. Baynes
3:41.0,L. James makes free throw 1 of 1,1,16-15,,
3:24.0,,,16-17,2,M. Morris makes 2-pt shot from 1 ft (assist by J. Brown)
3:04.0,Turnover by G. Hill (bad pass; steal by A. Horford),,16-17,,
2:58.0,,,16-17,,Boston full timeout
2:58.0,,,16-17,,T. Rozier enters the game for J. Tatum
2:58.0,J. Clarkson enters the game for G. Hill,,16-17,,
2:58.0,L. Nance enters the game for J. Smith,,16-17,,
2:47.0,,,16-17,,M. Morris misses 2-pt shot from 14 ft
2:45.0,Defensive rebound by L. James,,16-17,,
2:31.0,K. Korver misses 3-pt shot from 26 ft,,16-17,,
2:30.0,Offensive rebound by L. Nance,,16-17,,
