time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. O'Quinn vs. N. Vucevic (D. Augustin gains possession),,,,Jump ball: K. O'Quinn vs. N. Vucevic (D. Augustin gains possession)
11:34.0,D. Augustin misses 3-pt shot from 25 ft (block by K. O'Quinn),,0-0,,
11:31.0,,,0-0,,Defensive rebound by L. Thomas
11:21.0,Personal foul by A. Gordon (drawn by T. Burke),,0-0,,
11:16.0,,,0-0,,K. O'Quinn misses 2-pt shot from 14 ft
11:12.0,Defensive rebound by A. Gordon,,0-0,,
11:02.0,D. Augustin makes 2-pt shot from 2 ft (assist by A. Gordon),2,2-0,,
10:42.0,,,2-0,,T. Burke misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by M. Hezonja,,2-0,,
10:36.0,N. Vucevic makes 2-pt shot at rim (assist by D. Augustin),2,4-0,,
10:25.0,,,4-0,,Shooting foul by M. Hezonja (drawn by T. Hardaway)
10:25.0,,,4-1,1,T. Hardaway makes free throw 1 of 2
10:25.0,,,4-2,1,T. Hardaway makes free throw 2 of 2
10:03.0,A. Gordon misses 3-pt shot from 25 ft,,4-2,,
10:02.0,,,4-2,,Defensive rebound by T. Hardaway
9:55.0,,,4-2,,L. Thomas misses 3-pt shot from 25 ft
9:54.0,,,4-2,,Offensive rebound by K. O'Quinn
9:51.0,,,4-4,2,K. O'Quinn makes 2-pt shot from 1 ft
9:34.0,N. Vucevic misses 2-pt shot from 20 ft,,4-4,,
9:33.0,,,4-4,,Defensive rebound by F. Ntilikina
9:30.0,Personal foul by N. Vucevic (drawn by K. O'Quinn),,4-4,,
9:26.0,,,4-4,,T. Hardaway misses 3-pt shot from 24 ft
9:25.0,,,4-4,,Offensive rebound by L. Thomas
9:17.0,,,4-4,,L. Thomas misses 3-pt shot from 22 ft
9:15.0,Defensive rebound by N. Vucevic,,4-4,,
8:59.0,Turnover by W. Iwundu (bad pass; steal by L. Thomas),,4-4,,
8:57.0,,,4-4,,Turnover by F. Ntilikina (bad pass)
8:40.0,Turnover by N. Vucevic (bad pass; steal by T. Burke),,4-4,,
8:35.0,,,4-4,,T. Burke misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by N. Vucevic,,4-4,,
8:25.0,Turnover by N. Vucevic (lost ball; steal by T. Hardaway),,4-4,,
8:19.0,,,4-6,2,T. Hardaway makes 2-pt shot at rim
7:56.0,W. Iwundu misses 3-pt shot from 22 ft,,4-6,,
7:55.0,,,4-6,,Defensive rebound by L. Thomas
7:52.0,Personal foul by W. Iwundu (drawn by F. Ntilikina),,4-6,,
7:31.0,,,4-6,,F. Ntilikina misses 2-pt shot from 20 ft
7:30.0,,,4-6,,Offensive rebound by Team
7:13.0,,,4-8,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Burke)
7:05.0,,,4-8,,Personal foul by F. Ntilikina (drawn by D. Augustin)
7:02.0,,,4-8,,Violation by T. Burke (kicked ball)
6:56.0,A. Gordon makes 2-pt shot from 12 ft (assist by D. Augustin),2,6-8,,
6:38.0,,,6-8,,F. Ntilikina misses 3-pt shot from 22 ft
6:37.0,,,6-8,,Offensive rebound by F. Ntilikina
6:32.0,,,6-10,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina)
6:20.0,M. Hezonja makes 3-pt shot from 28 ft (assist by D. Augustin),3,9-10,,
6:06.0,,,9-12,2,T. Hardaway makes 2-pt shot at rim (assist by T. Burke)
5:44.0,N. Vucevic makes 2-pt shot from 8 ft (assist by D. Augustin),2,11-12,,
5:34.0,,,11-12,,New York full timeout
5:34.0,,,11-12,,L. Kornet enters the game for K. O'Quinn
5:34.0,,,11-12,,E. Mudiay enters the game for F. Ntilikina
5:34.0,J. Artis enters the game for M. Hezonja,,11-12,,
5:28.0,,,11-14,2,T. Hardaway makes 2-pt shot from 1 ft (assist by L. Kornet)
5:13.0,Shooting foul by L. Kornet (drawn by N. Vucevic),,11-14,,
5:13.0,N. Vucevic makes free throw 1 of 2,1,12-14,,
5:13.0,N. Vucevic makes free throw 2 of 2,1,13-14,,
4:56.0,,,13-16,2,T. Burke makes 2-pt shot at rim
4:44.0,S. Mack enters the game for D. Augustin,,13-16,,
4:34.0,A. Gordon misses 3-pt shot from 25 ft,,13-16,,
4:34.0,Offensive rebound by N. Vucevic,,13-16,,
4:29.0,J. Artis makes 3-pt shot from 26 ft (assist by N. Vucevic),3,16-16,,
4:12.0,,,16-16,,L. Kornet misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by S. Mack,,16-16,,
4:07.0,W. Iwundu misses 2-pt shot from 2 ft,,16-16,,
4:07.0,Offensive rebound by W. Iwundu,,16-16,,
4:06.0,Shooting foul by L. Kornet (drawn by W. Iwundu),,16-16,,
4:06.0,W. Iwundu misses free throw 1 of 2,,16-16,,
4:06.0,Offensive rebound by Team,,16-16,,
4:06.0,W. Iwundu misses free throw 2 of 2,,16-16,,
4:04.0,,,16-16,,Defensive rebound by T. Hardaway
3:49.0,,,16-16,,L. Thomas misses 3-pt shot from 22 ft
3:48.0,Defensive rebound by Team,,16-16,,
3:34.0,Shooting foul by T. Hardaway (drawn by A. Gordon),,16-16,,
3:34.0,A. Gordon misses free throw 1 of 2,,16-16,,
3:34.0,Offensive rebound by Team,,16-16,,
3:34.0,,,16-16,,C. Lee enters the game for T. Burke
3:34.0,B. Biyombo enters the game for N. Vucevic,,16-16,,
3:34.0,A. Gordon makes free throw 2 of 2,1,17-16,,
3:20.0,,,17-18,2,T. Hardaway makes 2-pt shot at rim (assist by L. Kornet)
2:59.0,A. Gordon misses 2-pt shot from 13 ft,,17-18,,
2:58.0,,,17-18,,Defensive rebound by T. Hardaway
2:50.0,,,17-18,,Turnover by E. Mudiay (out of bounds lost ball)
2:50.0,Orlando full timeout,,17-18,,
2:50.0,R. Purvis enters the game for W. Iwundu,,17-18,,
2:30.0,J. Artis makes 3-pt shot from 23 ft (assist by R. Purvis),3,20-18,,
2:10.0,,,20-18,,Shooting foul by B. Biyombo (drawn by T. Hardaway)
2:10.0,,,20-18,,T. Hardaway misses free throw 1 of 2
2:10.0,,,20-18,,Offensive rebound by Team
2:10.0,,,20-19,1,T. Hardaway makes free throw 2 of 2
1:58.0,B. Biyombo makes 2-pt shot from 11 ft (assist by S. Mack),2,22-19,,
1:40.0,,,22-21,2,C. Lee makes 2-pt shot from 15 ft
1:26.0,A. Gordon misses 2-pt shot from 10 ft,,22-21,,
1:25.0,,,22-21,,Defensive rebound by E. Mudiay
1:14.0,,,22-23,2,E. Mudiay makes 2-pt shot from 13 ft
0:51.0,S. Mack makes 3-pt shot from 22 ft (assist by J. Artis),3,25-23,,
0:40.0,,,25-23,,Turnover by E. Mudiay (lost ball; steal by S. Mack)
0:30.0,Turnover by S. Mack (out of bounds lost ball),,25-23,,
0:09.0,,,25-23,,L. Kornet misses 3-pt shot from 27 ft
0:07.0,,,25-23,,Offensive rebound by Team
0:07.0,Loose ball foul by A. Gordon (drawn by L. Thomas),,25-23,,
0:07.0,,,25-24,1,L. Thomas makes free throw 1 of 2
0:07.0,,,25-24,,F. Ntilikina enters the game for L. Kornet
0:07.0,M. Hezonja enters the game for A. Gordon,,25-24,,
0:07.0,,,25-25,1,L. Thomas makes free throw 2 of 2
0:00.0,S. Mack makes 2-pt shot at rim,2,27-25,,
0:00.0,,,27-25,,T. Hardaway misses 3-pt shot from 73 ft
0:00.0,,,27-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,27-25,,E. Mudiay misses 3-pt shot from 25 ft
11:34.0,,,27-25,,Offensive rebound by I. Hicks
11:31.0,,,27-25,,I. Hicks misses 2-pt shot from 2 ft
11:30.0,Defensive rebound by B. Biyombo,,27-25,,
11:06.0,J. Artis misses 3-pt shot from 22 ft,,27-25,,
11:05.0,,,27-25,,Defensive rebound by K. O'Quinn
10:52.0,,,27-25,,C. Lee misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by B. Biyombo,,27-25,,
10:42.0,R. Purvis misses 3-pt shot from 22 ft,,27-25,,
10:41.0,Offensive rebound by B. Biyombo,,27-25,,
10:35.0,S. Mack misses 2-pt shot from 13 ft,,27-25,,
10:34.0,Offensive rebound by S. Mack,,27-25,,
10:32.0,B. Biyombo misses 2-pt shot from 2 ft (block by F. Ntilikina),,27-25,,
10:31.0,,,27-25,,Defensive rebound by I. Hicks
10:17.0,,,27-25,,Shooting foul by B. Biyombo (drawn by I. Hicks)
10:17.0,,,27-26,1,I. Hicks makes free throw 1 of 2
10:17.0,,,27-27,1,I. Hicks makes free throw 2 of 2
10:04.0,B. Biyombo misses 2-pt shot at rim (block by I. Hicks),,27-27,,
10:03.0,Offensive rebound by Team,,27-27,,
10:01.0,R. Purvis misses 2-pt shot from 14 ft,,27-27,,
10:00.0,,,27-27,,Defensive rebound by K. O'Quinn
9:47.0,,,27-27,,K. O'Quinn misses 2-pt shot from 2 ft
9:46.0,Defensive rebound by S. Mack,,27-27,,
9:39.0,J. Artis misses 3-pt shot from 26 ft,,27-27,,
9:38.0,,,27-27,,Defensive rebound by I. Hicks
9:23.0,,,27-27,,I. Hicks misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by J. Artis,,27-27,,
9:15.0,M. Hezonja misses 3-pt shot from 25 ft,,27-27,,
9:14.0,,,27-27,,Defensive rebound by Team
9:14.0,K. Birch enters the game for B. Biyombo,,27-27,,
8:54.0,,,27-27,,F. Ntilikina misses 2-pt shot from 1 ft (block by K. Birch)
8:53.0,Defensive rebound by S. Mack,,27-27,,
8:50.0,Shooting foul by E. Mudiay (drawn by R. Purvis),,27-27,,
8:50.0,R. Purvis misses free throw 1 of 2,,27-27,,
