time,Portland,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Nurkic (R. Covington gains possession),,,,Jump ball: J. Embiid vs. J. Nurkic (R. Covington gains possession)
11:42.0,,,0-0,,Personal foul by J. Embiid (drawn by J. Nurkic)
11:42.0,,,0-0,,Turnover by J. Embiid (turnover)
11:23.0,C. McCollum misses 2-pt shot from 19 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by R. Covington
10:58.0,,,0-0,,B. Simmons misses 2-pt shot from 18 ft
10:53.0,,,0-3,3,R. Covington makes 3-pt shot from 27 ft
10:52.0,,,0-3,,Offensive rebound by D. Saric
10:32.0,Turnover by J. Nurkic (bad pass; steal by B. Simmons),,0-3,,
10:23.0,,,0-3,,Turnover by J. Redick (lost ball; steal by D. Lillard)
10:12.0,N. Vonleh misses 2-pt shot from 20 ft,,0-3,,
10:08.0,,,0-3,,Defensive rebound by B. Simmons
9:58.0,,,0-5,2,B. Simmons makes 2-pt shot from 8 ft
9:45.0,J. Nurkic misses 2-pt shot from 21 ft,,0-5,,
9:42.0,,,0-5,,Defensive rebound by J. Embiid
9:35.0,,,0-7,2,B. Simmons makes 2-pt shot from 1 ft
9:34.0,Portland full timeout,,0-7,,
9:15.0,D. Lillard misses 3-pt shot from 28 ft,,0-7,,
9:11.0,,,0-7,,Defensive rebound by J. Redick
9:04.0,,,0-7,,J. Embiid misses 2-pt shot from 13 ft
9:04.0,Defensive rebound by N. Vonleh,,0-7,,
8:52.0,M. Harkless misses 3-pt shot from 25 ft,,0-7,,
8:50.0,,,0-7,,Defensive rebound by J. Embiid
8:45.0,,,0-7,,D. Saric misses 2-pt shot from 3 ft
8:42.0,Defensive rebound by N. Vonleh,,0-7,,
8:31.0,J. Nurkic misses 2-pt shot from 5 ft,,0-7,,
8:30.0,,,0-7,,Defensive rebound by D. Saric
8:23.0,,,0-10,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
8:07.0,M. Harkless misses 2-pt shot from 19 ft,,0-10,,
8:04.0,,,0-10,,Defensive rebound by D. Saric
7:52.0,,,0-10,,J. Redick misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by N. Vonleh,,0-10,,
7:35.0,C. McCollum misses 2-pt shot from 8 ft,,0-10,,
7:34.0,,,0-10,,Defensive rebound by J. Redick
7:29.0,,,0-10,,J. Redick misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by J. Nurkic,,0-10,,
7:05.0,J. Nurkic misses 2-pt shot from 18 ft,,0-10,,
7:02.0,,,0-10,,Defensive rebound by B. Simmons
6:56.0,,,0-10,,Shooting foul by C. McCollum (drawn by D. Saric)
6:56.0,,,0-11,1,D. Saric makes free throw 1 of 2
6:56.0,,,0-11,,A. Johnson enters the game for J. Embiid
6:56.0,,,0-11,,J. Bayless enters the game for J. Redick
6:56.0,M. Leonard enters the game for M. Harkless,,0-11,,
6:56.0,E. Turner enters the game for J. Nurkic,,0-11,,
6:56.0,,,0-12,1,D. Saric makes free throw 2 of 2
6:43.0,D. Lillard misses 2-pt shot from 10 ft,,0-12,,
6:38.0,,,0-12,,Defensive rebound by B. Simmons
6:33.0,,,0-12,,B. Simmons misses 2-pt shot from 3 ft
6:33.0,,,0-12,,Offensive rebound by Team
6:33.0,Personal foul by M. Leonard (drawn by D. Saric),,0-12,,
6:33.0,,,0-12,,T. McConnell enters the game for D. Saric
6:14.0,,,0-14,2,T. McConnell makes 2-pt shot from 8 ft (assist by B. Simmons)
5:57.0,D. Lillard misses 2-pt shot from 4 ft (block by A. Johnson),,0-14,,
5:53.0,,,0-14,,Defensive rebound by R. Covington
