time,LA Clippers,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Jordan (B. Simmons gains possession),,,,Jump ball: J. Embiid vs. D. Jordan (B. Simmons gains possession)
11:45.0,,,0-0,,R. Covington misses 2-pt shot from 17 ft
11:41.0,Defensive rebound by D. Jordan,,0-0,,
11:41.0,,,0-0,,Personal foul by J. Embiid (drawn by D. Jordan)
11:28.0,D. Jordan makes 2-pt shot from 6 ft (assist by D. Gallinari),2,2-0,,
11:18.0,,,2-0,,J. Embiid misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by D. Gallinari,,2-0,,
11:08.0,A. Rivers makes 2-pt shot from 13 ft,2,4-0,,
10:55.0,,,4-2,2,B. Simmons makes 2-pt shot at rim (assist by J. Embiid)
10:28.0,T. Harris misses 2-pt shot from 6 ft,,4-2,,
10:25.0,,,4-2,,Defensive rebound by J. Embiid
10:17.0,,,4-2,,B. Simmons misses 2-pt shot from 10 ft
10:14.0,Defensive rebound by T. Harris,,4-2,,
10:06.0,T. Harris misses 3-pt shot from 25 ft,,4-2,,
10:03.0,,,4-2,,Defensive rebound by J. Redick
9:55.0,,,4-5,3,J. Embiid makes 3-pt shot from 24 ft (assist by J. Redick)
9:26.0,A. Bradley misses 2-pt shot from 18 ft,,4-5,,
9:23.0,,,4-5,,Defensive rebound by R. Covington
9:12.0,,,4-5,,D. Saric misses 2-pt shot from 3 ft
9:10.0,Defensive rebound by D. Jordan,,4-5,,
9:00.0,A. Rivers makes 3-pt shot from 25 ft (assist by A. Bradley),3,7-5,,
8:46.0,Personal foul by D. Jordan (drawn by J. Embiid),,7-5,,
8:33.0,,,7-8,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Simmons)
8:08.0,A. Bradley misses 2-pt shot from 12 ft,,7-8,,
8:05.0,,,7-8,,Defensive rebound by R. Covington
7:56.0,,,7-10,2,J. Embiid makes 2-pt shot from 10 ft
7:34.0,D. Jordan makes 2-pt shot from 5 ft (assist by A. Rivers),2,9-10,,
7:18.0,,,9-10,,Turnover by D. Saric (lost ball; steal by A. Bradley)
7:12.0,,,9-10,,Violation by D. Saric (kicked ball)
7:12.0,,,9-10,,T. McConnell enters the game for J. Redick
7:05.0,D. Jordan makes 2-pt shot at rim,2,11-10,,
7:05.0,,,11-10,,Philadelphia full timeout
6:43.0,,,11-10,,J. Embiid misses 2-pt shot from 15 ft
6:40.0,Defensive rebound by A. Bradley,,11-10,,
6:31.0,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Harris),3,14-10,,
6:23.0,,,14-10,,D. Saric misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by A. Rivers,,14-10,,
6:17.0,D. Gallinari makes 2-pt shot from 1 ft (assist by A. Rivers),2,16-10,,
5:56.0,,,16-10,,B. Simmons misses 2-pt shot from 9 ft
