time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Kleber (D. Nowitzki gains possession),,,,Jump ball: A. Davis vs. M. Kleber (D. Nowitzki gains possession)
11:40.0,W. Matthews makes 2-pt shot at rim (assist by D. Nowitzki),2,2-0,,
11:20.0,,,2-0,,A. Davis misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by H. Barnes,,2-0,,
11:10.0,M. Kleber misses 2-pt shot from 1 ft (block by D. Cousins),,2-0,,
11:04.0,,,2-0,,Defensive rebound by D. Cousins
11:02.0,,,2-0,,Turnover by D. Cousins (bad pass; steal by W. Matthews)
10:47.0,D. Nowitzki makes 2-pt shot from 10 ft,2,4-0,,
10:35.0,,,4-0,,R. Rondo misses 2-pt shot from 2 ft
10:32.0,Defensive rebound by W. Matthews,,4-0,,
10:27.0,D. Smith makes 2-pt shot from 7 ft,2,6-0,,
10:10.0,,,6-0,,R. Rondo misses 2-pt shot from 2 ft
10:07.0,Defensive rebound by D. Smith,,6-0,,
10:04.0,W. Matthews misses 3-pt shot from 22 ft,,6-0,,
10:02.0,,,6-0,,Defensive rebound by Team
9:48.0,,,6-0,,D. Cousins misses 2-pt shot from 13 ft
9:46.0,Defensive rebound by D. Nowitzki,,6-0,,
9:25.0,M. Kleber misses 2-pt shot from 2 ft,,6-0,,
9:22.0,,,6-0,,Defensive rebound by D. Cousins
9:19.0,,,6-0,,Turnover by D. Cousins (lost ball; steal by D. Smith)
9:13.0,Turnover by D. Smith (bad pass; steal by R. Rondo),,6-0,,
9:00.0,,,6-2,2,A. Davis makes 2-pt shot from 11 ft (assist by R. Rondo)
8:35.0,Turnover by D. Smith (bad pass),,6-2,,
8:20.0,,,6-2,,J. Holiday misses 3-pt shot from 24 ft
8:17.0,Defensive rebound by D. Nowitzki,,6-2,,
8:14.0,,,6-2,,Personal foul by R. Rondo (drawn by H. Barnes)
8:05.0,D. Nowitzki misses 2-pt shot from 19 ft,,6-2,,
8:01.0,,,6-2,,Defensive rebound by D. Cousins
7:54.0,,,6-4,2,A. Davis makes 2-pt shot from 5 ft (assist by D. Cousins)
7:42.0,Turnover by M. Kleber (traveling),,6-4,,
7:29.0,,,6-4,,R. Rondo misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by W. Matthews,,6-4,,
