time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nance vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: L. Nance vs. A. Drummond (B. Griffin gains possession)
11:41.0,B. Griffin misses 2-pt shot from 7 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by L. James
11:29.0,,,0-0,,Turnover by L. James (bad pass; steal by B. Griffin)
11:23.0,J. Ennis misses 3-pt shot from 23 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by G. Hill
11:11.0,,,0-0,,R. Hood misses 2-pt shot from 6 ft
11:04.0,,,0-0,,Offensive rebound by L. Nance
11:04.0,,,0-2,2,L. Nance makes 2-pt shot at rim
10:55.0,A. Drummond makes 2-pt shot from 14 ft (assist by B. Griffin),2,2-2,,
10:35.0,,,2-2,,G. Hill misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by A. Drummond,,2-2,,
10:23.0,J. Ennis makes 3-pt shot from 26 ft (assist by A. Drummond),3,5-2,,
10:10.0,,,5-2,,G. Hill misses 2-pt shot from 21 ft
10:06.0,,,5-2,,Offensive rebound by L. Nance
10:03.0,,,5-2,,L. James misses 2-pt shot from 4 ft
10:01.0,,,5-2,,Offensive rebound by L. Nance
9:55.0,,,5-2,,J. Smith misses 2-pt shot from 21 ft
9:52.0,Defensive rebound by B. Griffin,,5-2,,
9:46.0,B. Griffin misses 2-pt shot from 3 ft,,5-2,,
9:39.0,Offensive rebound by B. Griffin,,5-2,,
9:39.0,B. Griffin makes 2-pt shot at rim,2,7-2,,
9:32.0,,,7-2,,L. James misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by I. Smith,,7-2,,
9:19.0,B. Griffin misses 2-pt shot from 22 ft,,7-2,,
9:15.0,,,7-2,,Defensive rebound by L. Nance
9:09.0,,,7-2,,R. Hood misses 2-pt shot from 11 ft (block by A. Drummond)
9:09.0,,,7-2,,Offensive rebound by Team
