time,Denver,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. M. Plumlee (M. Smart gains possession),,,,Jump ball: A. Baynes vs. M. Plumlee (M. Smart gains possession)
11:45.0,,,0-2,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
11:25.0,M. Plumlee makes 2-pt shot at rim (assist by J. Murray),2,2-2,,
11:03.0,,,2-2,,A. Baynes misses 2-pt shot at rim (block by M. Plumlee)
11:01.0,Defensive rebound by M. Plumlee,,2-2,,
10:52.0,T. Lyles makes 2-pt shot from 2 ft,2,4-2,,
10:38.0,,,4-2,,Shooting foul by T. Lyles (drawn by K. Irving)
10:38.0,,,4-3,1,K. Irving makes free throw 1 of 2
10:38.0,,,4-4,1,K. Irving makes free throw 2 of 2
10:25.0,G. Harris makes 2-pt shot from 17 ft (assist by J. Murray),2,6-4,,
10:12.0,,,6-4,,Shooting foul by M. Plumlee (drawn by J. Brown)
10:12.0,,,6-5,1,J. Brown makes free throw 1 of 2
10:12.0,,,6-6,1,J. Brown makes free throw 2 of 2
10:00.0,T. Lyles makes 3-pt shot from 27 ft (assist by G. Harris),3,9-6,,
9:46.0,,,9-6,,M. Smart misses 3-pt shot from 24 ft
9:46.0,,,9-6,,Offensive rebound by A. Baynes
9:38.0,,,9-8,2,K. Irving makes 2-pt shot from 1 ft (assist by M. Smart)
9:26.0,G. Harris makes 2-pt shot from 8 ft (assist by M. Plumlee),2,11-8,,
9:15.0,,,11-8,,Turnover by K. Irving (bad pass; steal by J. Murray)
9:11.0,G. Harris misses 2-pt shot from 3 ft (block by J. Tatum),,11-8,,
9:10.0,Offensive rebound by G. Harris,,11-8,,
8:58.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Chandler),3,14-8,,
8:58.0,,,14-8,,S. Ojeleye enters the game for J. Tatum
8:44.0,,,14-11,3,K. Irving makes 3-pt shot from 26 ft (assist by M. Smart)
8:36.0,,,14-11,,Violation by M. Smart (kicked ball)
8:28.0,G. Harris misses 2-pt shot from 1 ft,,14-11,,
8:24.0,,,14-11,,Defensive rebound by J. Brown
8:18.0,,,14-13,2,M. Smart makes 2-pt shot at rim
7:58.0,J. Murray makes 2-pt shot from 2 ft (assist by G. Harris),2,16-13,,
7:46.0,,,16-15,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
7:32.0,W. Chandler misses 3-pt shot from 28 ft,,16-15,,
7:29.0,,,16-15,,Defensive rebound by A. Baynes
7:21.0,,,16-15,,Turnover by K. Irving (bad pass; steal by T. Lyles)
7:19.0,,,16-15,,Personal foul by K. Irving (drawn by T. Lyles)
7:09.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Murray),2,18-15,,
6:54.0,,,18-15,,M. Smart misses 3-pt shot from 25 ft
6:50.0,Defensive rebound by J. Murray,,18-15,,
6:41.0,J. Murray misses 3-pt shot from 26 ft,,18-15,,
6:39.0,,,18-15,,Defensive rebound by Team
6:24.0,,,18-15,,M. Smart misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by T. Lyles,,18-15,,
6:06.0,J. Murray misses 2-pt shot from 5 ft,,18-15,,
6:02.0,,,18-15,,Defensive rebound by A. Baynes
5:52.0,,,18-17,2,J. Brown makes 2-pt shot at rim
5:30.0,M. Plumlee makes 2-pt shot from 6 ft (assist by G. Harris),2,20-17,,
5:16.0,,,20-19,2,A. Baynes makes 2-pt shot from 1 ft (assist by M. Smart)
5:00.0,Turnover by J. Murray (bad pass; steal by S. Ojeleye),,20-19,,
4:54.0,,,20-21,2,J. Brown makes 2-pt shot at rim (assist by K. Irving)
4:54.0,Denver full timeout,,20-21,,
4:54.0,,,20-21,,T. Rozier enters the game for M. Smart
4:54.0,M. Beasley enters the game for W. Chandler,,20-21,,
4:54.0,K. Faried enters the game for M. Plumlee,,20-21,,
4:37.0,G. Harris makes 2-pt shot from 2 ft,2,22-21,,
4:37.0,,,22-21,,Violation by S. Ojeleye (def goaltending)
4:27.0,,,22-21,,K. Irving misses 2-pt shot from 15 ft
4:23.0,Defensive rebound by M. Beasley,,22-21,,
4:10.0,G. Harris makes 2-pt shot from 14 ft (assist by T. Lyles),2,24-21,,
3:57.0,J. Hernangomez enters the game for T. Lyles,,24-21,,
3:43.0,,,24-21,,T. Rozier misses 2-pt shot at rim
3:40.0,Defensive rebound by J. Hernangomez,,24-21,,
3:29.0,J. Murray makes 2-pt shot from 14 ft (assist by K. Faried),2,26-21,,
3:12.0,,,26-21,,S. Ojeleye misses 3-pt shot from 22 ft
3:10.0,Defensive rebound by K. Faried,,26-21,,
3:05.0,M. Beasley misses 2-pt shot from 1 ft,,26-21,,
3:02.0,Offensive rebound by K. Faried,,26-21,,
3:00.0,K. Faried misses 2-pt shot from 1 ft,,26-21,,
3:00.0,Offensive rebound by M. Beasley,,26-21,,
2:57.0,M. Beasley makes 2-pt shot from 2 ft,2,28-21,,
2:50.0,,,28-24,3,K. Irving makes 3-pt shot from 24 ft
2:34.0,K. Faried misses 2-pt shot from 2 ft,,28-24,,
2:33.0,Offensive rebound by K. Faried,,28-24,,
