time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. A. Davis (N. Mirotic gains possession),,,,Jump ball: M. Chriss vs. A. Davis (N. Mirotic gains possession)
11:46.0,,,0-0,,Personal foul by J. Jackson (drawn by A. Davis)
11:38.0,J. Holiday misses 3-pt shot from 25 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Jackson
11:13.0,,,0-0,,J. Jackson misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by R. Rondo,,0-0,,
11:08.0,E. Moore misses 3-pt shot from 25 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by D. Bender
10:47.0,,,0-0,,M. Chriss misses 2-pt shot from 5 ft
10:47.0,,,0-0,,Offensive rebound by M. Chriss
10:39.0,,,0-0,,D. House misses 3-pt shot from 23 ft
10:35.0,,,0-0,,Offensive rebound by M. Chriss
10:34.0,,,0-2,2,M. Chriss makes 2-pt shot at rim
10:11.0,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore),2,2-2,,
9:54.0,,,2-2,,J. Jackson misses 2-pt shot from 1 ft
9:53.0,,,2-2,,Offensive rebound by J. Jackson
9:51.0,,,2-2,,J. Jackson misses 2-pt shot at rim
9:51.0,Defensive rebound by A. Davis,,2-2,,
9:51.0,,,2-2,,Personal foul by M. Chriss (drawn by A. Davis)
9:41.0,A. Davis misses 2-pt shot from 1 ft (block by D. Bender),,2-2,,
9:41.0,Offensive rebound by Team,,2-2,,
9:33.0,A. Davis makes 3-pt shot from 24 ft (assist by J. Holiday),3,5-2,,
9:18.0,,,5-2,,J. Jackson misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by J. Holiday,,5-2,,
9:12.0,J. Holiday misses 2-pt shot from 9 ft,,5-2,,
9:08.0,,,5-2,,Defensive rebound by T. Ulis
9:01.0,,,5-2,,T. Ulis misses 2-pt shot from 14 ft
9:00.0,Defensive rebound by A. Davis,,5-2,,
8:45.0,R. Rondo misses 3-pt shot from 24 ft,,5-2,,
8:40.0,Offensive rebound by N. Mirotic,,5-2,,
8:39.0,N. Mirotic makes 3-pt shot from 25 ft,3,8-2,,
8:15.0,,,8-2,,J. Jackson misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by A. Davis,,8-2,,
8:06.0,A. Davis makes 2-pt shot from 13 ft,2,10-2,,
7:55.0,,,10-2,,Phoenix full timeout
7:47.0,,,10-4,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
7:28.0,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis),3,13-4,,
7:15.0,,,13-4,,Turnover by D. House (bad pass)
7:06.0,J. Holiday misses 2-pt shot at rim,,13-4,,
7:05.0,Offensive rebound by N. Mirotic,,13-4,,
7:04.0,N. Mirotic misses 2-pt shot from 2 ft,,13-4,,
7:03.0,Offensive rebound by N. Mirotic,,13-4,,
6:59.0,N. Mirotic misses 2-pt shot from 16 ft,,13-4,,
6:57.0,,,13-4,,Defensive rebound by D. Bender
6:50.0,,,13-4,,J. Jackson misses 2-pt shot at rim
6:45.0,Defensive rebound by N. Mirotic,,13-4,,
6:34.0,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Davis),3,16-4,,
6:21.0,,,16-4,,D. Bender misses 3-pt shot from 24 ft
