time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Maker (G. Antetokounmpo gains possession),,,,Jump ball: B. Biyombo vs. T. Maker (G. Antetokounmpo gains possession)
11:41.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Maker),2,2-0,,
11:19.0,Violation by T. Maker (kicked ball),,2-0,,
11:04.0,,,2-0,,J. Simmons misses 2-pt shot from 17 ft
11:01.0,,,2-0,,Offensive rebound by D. Augustin
10:48.0,,,2-3,3,M. Hezonja makes 3-pt shot from 26 ft (assist by J. Simmons)
10:28.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,2-3,,
10:25.0,,,2-3,,Defensive rebound by M. Hezonja
10:20.0,,,2-3,,B. Biyombo misses 2-pt shot from 1 ft (block by T. Maker)
10:16.0,Defensive rebound by K. Middleton,,2-3,,
10:08.0,Turnover by K. Middleton (bad pass; steal by J. Simmons),,2-3,,
10:07.0,,,2-3,,Shooting foul by E. Bledsoe (drawn by M. Hezonja)
10:07.0,,,2-4,1,M. Hezonja makes free throw 1 of 2
10:07.0,,,2-5,1,M. Hezonja makes free throw 2 of 2
9:52.0,T. Maker makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,4-5,,
9:34.0,,,4-5,,E. Fournier misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by T. Maker,,4-5,,
9:15.0,K. Middleton makes 2-pt shot from 15 ft,2,6-5,,
8:52.0,,,6-5,,J. Simmons misses 3-pt shot from 25 ft (block by G. Antetokounmpo)
8:48.0,Defensive rebound by K. Middleton,,6-5,,
8:46.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,8-5,,
8:29.0,,,8-7,2,M. Hezonja makes 2-pt shot from 2 ft (assist by E. Fournier)
8:15.0,Turnover by K. Middleton (bad pass),,8-7,,
8:00.0,,,8-9,2,E. Fournier makes 2-pt shot from 2 ft (assist by B. Biyombo)
7:39.0,Turnover by G. Antetokounmpo (traveling),,8-9,,
7:28.0,,,8-9,,J. Simmons misses 3-pt shot from 26 ft
7:24.0,Defensive rebound by T. Snell,,8-9,,
7:13.0,T. Maker makes 2-pt shot from 2 ft (assist by T. Snell),2,10-9,,
6:55.0,,,10-11,2,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Augustin)
6:38.0,,,10-11,,Orlando full timeout
6:34.0,K. Middleton makes 2-pt shot from 15 ft,2,12-11,,
6:10.0,,,12-14,3,E. Fournier makes 3-pt shot from 27 ft (assist by D. Augustin)
5:49.0,T. Snell misses 3-pt shot from 25 ft,,12-14,,
5:45.0,,,12-14,,Defensive rebound by D. Augustin
5:39.0,,,12-14,,M. Hezonja misses 3-pt shot from 26 ft
5:36.0,,,12-14,,Offensive rebound by B. Biyombo
5:24.0,,,12-14,,Turnover by E. Fournier (bad pass; steal by G. Antetokounmpo)
5:22.0,,,12-14,,Personal foul by J. Simmons (drawn by G. Antetokounmpo)
5:22.0,S. Kilpatrick enters the game for T. Snell,,12-14,,
5:12.0,T. Maker misses 2-pt shot from 18 ft,,12-14,,
5:09.0,,,12-14,,Defensive rebound by M. Hezonja
4:58.0,,,12-14,,Turnover by M. Hezonja (bad pass)
4:58.0,S. Brown enters the game for G. Antetokounmpo,,12-14,,
4:52.0,Shooting foul by J. Simmons (drawn by T. Maker),,12-14,,
4:52.0,T. Maker makes free throw 1 of 2,1,13-14,,
4:52.0,,,13-14,,W. Iwundu enters the game for J. Simmons
4:52.0,T. Maker makes free throw 2 of 2,1,14-14,,
4:41.0,,,14-14,,Turnover by D. Augustin (bad pass)
4:24.0,K. Middleton makes 2-pt shot from 15 ft,2,16-14,,
4:12.0,,,16-14,,Shooting foul by T. Maker (drawn by D. Augustin)
4:12.0,,,16-15,1,D. Augustin makes free throw 1 of 2
4:12.0,,,16-15,,S. Mack enters the game for M. Hezonja
4:12.0,,,16-15,,M. Speights enters the game for B. Biyombo
4:12.0,T. Zeller enters the game for T. Maker,,16-15,,
4:12.0,,,16-16,1,D. Augustin makes free throw 2 of 2
3:58.0,S. Kilpatrick makes 2-pt shot from 9 ft,2,18-16,,
3:42.0,,,18-16,,E. Fournier misses 2-pt shot from 3 ft
3:39.0,Defensive rebound by T. Zeller,,18-16,,
3:36.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by K. Middleton),2,20-16,,
3:20.0,,,20-18,2,W. Iwundu makes 2-pt shot from 19 ft (assist by D. Augustin)
2:59.0,E. Bledsoe misses 3-pt shot from 26 ft,,20-18,,
2:56.0,Offensive rebound by T. Zeller,,20-18,,
2:52.0,S. Brown misses 2-pt shot from 14 ft,,20-18,,
2:48.0,Offensive rebound by T. Zeller,,20-18,,
2:41.0,S. Kilpatrick misses 3-pt shot from 26 ft,,20-18,,
2:39.0,,,20-18,,Defensive rebound by D. Augustin
2:37.0,,,20-20,2,S. Mack makes 2-pt shot from 1 ft (assist by D. Augustin)
2:37.0,Violation by S. Kilpatrick (def goaltending),,20-20,,
2:37.0,Milwaukee full timeout,,20-20,,
2:37.0,,,20-20,,A. Afflalo enters the game for D. Augustin
2:26.0,K. Middleton makes 2-pt shot from 17 ft,2,22-20,,
1:58.0,,,22-23,3,E. Fournier makes 3-pt shot from 25 ft (assist by S. Mack)
1:36.0,E. Bledsoe misses 2-pt shot from 23 ft,,22-23,,
1:33.0,,,22-23,,Defensive rebound by E. Fournier
1:29.0,,,22-26,3,S. Mack makes 3-pt shot from 26 ft (assist by A. Afflalo)
1:14.0,K. Middleton misses 3-pt shot from 25 ft,,22-26,,
1:11.0,,,22-26,,Defensive rebound by A. Afflalo
1:06.0,,,22-29,3,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack)
0:50.0,,,22-29,,Personal foul by S. Mack (drawn by E. Bledsoe)
0:50.0,G. Antetokounmpo enters the game for E. Bledsoe,,22-29,,
0:50.0,J. Terry enters the game for K. Middleton,,22-29,,
0:30.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,22-29,,
0:27.0,,,22-29,,Defensive rebound by A. Afflalo
0:25.0,,,22-29,,M. Speights misses 3-pt shot from 27 ft
0:25.0,Defensive rebound by T. Zeller,,22-29,,
0:03.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,24-29,,
0:00.0,,,24-29,,A. Afflalo misses 2-pt shot from 19 ft
0:00.0,,,24-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-29,,K. Birch misses 2-pt shot from 8 ft
11:37.0,Defensive rebound by T. Zeller,,24-29,,
11:28.0,T. Zeller makes 2-pt shot from 10 ft (assist by G. Antetokounmpo),2,26-29,,
11:01.0,,,26-29,,A. Afflalo misses 3-pt shot from 25 ft
10:59.0,,,26-29,,Offensive rebound by M. Speights
10:59.0,,,26-29,,M. Speights misses 2-pt shot from 1 ft
10:59.0,,,26-29,,Offensive rebound by K. Birch
10:59.0,,,26-29,,Shooting foul by T. Zeller (drawn by K. Birch)
10:59.0,,,26-29,,K. Birch misses free throw 1 of 2
10:59.0,,,26-29,,Offensive rebound by Team
10:59.0,,,26-29,,K. Birch misses free throw 2 of 2
10:59.0,Defensive rebound by S. Brown,,26-29,,
10:46.0,S. Brown misses 2-pt shot from 2 ft,,26-29,,
10:46.0,Offensive rebound by T. Zeller,,26-29,,
10:38.0,T. Zeller misses 2-pt shot at rim,,26-29,,
10:38.0,,,26-29,,Defensive rebound by M. Speights
10:33.0,,,26-31,2,S. Mack makes 2-pt shot from 1 ft
10:27.0,J. Terry misses 3-pt shot from 25 ft,,26-31,,
10:23.0,,,26-31,,Defensive rebound by A. Afflalo
10:15.0,,,26-31,,W. Iwundu misses 2-pt shot from 18 ft
10:12.0,Defensive rebound by S. Kilpatrick,,26-31,,
10:10.0,Turnover by S. Brown (traveling),,26-31,,
9:50.0,,,26-31,,Turnover by M. Speights (lost ball; steal by S. Brown)
9:39.0,Shooting foul by M. Speights (drawn by S. Kilpatrick),,26-31,,
9:39.0,S. Kilpatrick makes free throw 1 of 2,1,27-31,,
9:39.0,S. Kilpatrick makes free throw 2 of 2,1,28-31,,
9:23.0,,,28-31,,Turnover by M. Speights (bad pass; steal by S. Kilpatrick)
9:20.0,Shooting foul by A. Afflalo (drawn by G. Antetokounmpo),,28-31,,
9:20.0,G. Antetokounmpo makes free throw 1 of 2,1,29-31,,
9:20.0,G. Antetokounmpo misses free throw 2 of 2,,29-31,,
9:17.0,,,29-31,,Defensive rebound by K. Birch
9:07.0,,,29-31,,Turnover by S. Mack (bad pass)
9:07.0,T. Snell enters the game for S. Brown,,29-31,,
8:54.0,Shooting foul by M. Speights (drawn by G. Antetokounmpo),,29-31,,
8:54.0,G. Antetokounmpo makes free throw 1 of 2,1,30-31,,
8:54.0,,,30-31,,M. Hezonja enters the game for M. Speights
8:54.0,G. Antetokounmpo misses free throw 2 of 2,,30-31,,
8:51.0,,,30-31,,Defensive rebound by S. Mack
8:32.0,,,30-33,2,S. Mack makes 2-pt shot from 2 ft
8:23.0,J. Terry misses 2-pt shot from 20 ft,,30-33,,
8:21.0,,,30-33,,Defensive rebound by K. Birch
8:11.0,,,30-36,3,A. Afflalo makes 3-pt shot from 26 ft (assist by S. Mack)
8:10.0,Milwaukee full timeout,,30-36,,
8:10.0,E. Bledsoe enters the game for J. Terry,,30-36,,
7:58.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,33-36,,
7:41.0,,,33-36,,Turnover by S. Mack (bad pass; steal by S. Kilpatrick)
7:25.0,S. Kilpatrick misses 3-pt shot from 26 ft,,33-36,,
7:21.0,,,33-36,,Defensive rebound by K. Birch
7:15.0,,,33-39,3,S. Mack makes 3-pt shot from 25 ft
6:56.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,35-39,,
6:46.0,,,35-39,,K. Birch misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by T. Zeller,,35-39,,
6:41.0,Turnover by E. Bledsoe (bad pass; steal by S. Mack),,35-39,,
6:41.0,Personal foul by E. Bledsoe (drawn by S. Mack),,35-39,,
6:41.0,K. Middleton enters the game for G. Antetokounmpo,,35-39,,
6:28.0,,,35-39,,M. Hezonja misses 2-pt shot from 1 ft
6:28.0,,,35-39,,Offensive rebound by K. Birch
6:28.0,,,35-39,,Shooting foul by T. Zeller (drawn by K. Birch)
6:28.0,,,35-40,1,K. Birch makes free throw 1 of 2
6:28.0,T. Maker enters the game for T. Zeller,,35-40,,
6:28.0,,,35-41,1,K. Birch makes free throw 2 of 2
6:14.0,,,35-41,,Personal foul by W. Iwundu (drawn by E. Bledsoe)
5:58.0,Turnover by K. Middleton (lost ball; steal by M. Hezonja),,35-41,,
5:57.0,,,35-41,,Shooting foul by T. Snell (drawn by M. Hezonja)
5:57.0,,,35-41,,M. Hezonja misses free throw 1 of 2
5:57.0,,,35-41,,Offensive rebound by Team
5:57.0,,,35-42,1,M. Hezonja makes free throw 2 of 2
5:45.0,E. Bledsoe misses 2-pt shot from 4 ft,,35-42,,
5:42.0,,,35-42,,Defensive rebound by S. Mack
5:38.0,,,35-42,,Turnover by S. Mack (bad pass; steal by K. Middleton)
5:30.0,T. Snell makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,38-42,,
5:04.0,,,38-44,2,S. Mack makes 2-pt shot from 19 ft
4:48.0,E. Bledsoe makes 2-pt shot from 2 ft,2,40-44,,
4:31.0,,,40-44,,Shooting foul by T. Maker (drawn by W. Iwundu)
