time,Washington,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. M. Gortat (T. Frazier gains possession),,,,Jump ball: T. Zeller vs. M. Gortat (T. Frazier gains possession)
11:47.0,Shooting foul by T. Zeller (drawn by M. Gortat),,0-0,,
11:47.0,M. Gortat misses free throw 1 of 2,,0-0,,
11:47.0,Offensive rebound by Team,,0-0,,
11:47.0,M. Gortat makes free throw 2 of 2,1,1-0,,
11:32.0,,,1-0,,A. Crabbe misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by M. Gortat,,1-0,,
11:19.0,T. Frazier misses 2-pt shot from 17 ft,,1-0,,
11:16.0,,,1-0,,Defensive rebound by R. Hollis-Jefferson
11:03.0,,,1-2,2,D. Carroll makes 2-pt shot from 11 ft (assist by A. Crabbe)
10:49.0,Turnover by M. Gortat (bad pass),,1-2,,
10:34.0,,,1-2,,A. Crabbe misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by M. Gortat,,1-2,,
10:16.0,M. Gortat makes 2-pt shot from 13 ft (assist by O. Porter),2,3-2,,
10:02.0,,,3-4,2,R. Hollis-Jefferson makes 2-pt shot from 4 ft (assist by A. Crabbe)
10:02.0,,,3-4,,Shooting foul by T. Frazier (drawn by R. Hollis-Jefferson)
10:02.0,,,3-4,,R. Hollis-Jefferson misses free throw 1 of 1
9:59.0,Defensive rebound by M. Gortat,,3-4,,
9:47.0,O. Porter makes 2-pt shot from 22 ft (assist by B. Beal),2,5-4,,
9:30.0,,,5-4,,S. Dinwiddie misses 3-pt shot from 22 ft
9:27.0,Defensive rebound by M. Gortat,,5-4,,
9:24.0,T. Frazier makes 2-pt shot from 4 ft,2,7-4,,
9:16.0,,,7-4,,T. Zeller misses 2-pt shot from 5 ft
9:13.0,,,7-4,,Offensive rebound by R. Hollis-Jefferson
9:09.0,,,7-4,,S. Dinwiddie misses 3-pt shot from 27 ft
9:05.0,,,7-4,,Offensive rebound by R. Hollis-Jefferson
9:02.0,,,7-4,,D. Carroll misses 3-pt shot from 22 ft
8:58.0,Defensive rebound by O. Porter,,7-4,,
8:51.0,M. Morris makes 2-pt shot from 8 ft (assist by O. Porter),2,9-4,,
8:35.0,,,9-4,,T. Zeller misses 3-pt shot from 22 ft
8:31.0,Defensive rebound by O. Porter,,9-4,,
8:24.0,O. Porter misses 2-pt shot from 19 ft,,9-4,,
8:21.0,,,9-4,,Defensive rebound by S. Dinwiddie
