time,Indiana,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. M. Turner (V. Oladipo gains possession),,,,Jump ball: J. Embiid vs. M. Turner (V. Oladipo gains possession)
11:41.0,V. Oladipo misses 2-pt shot from 19 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by D. Saric
11:28.0,,,0-2,2,J. Redick makes 2-pt shot from 17 ft (assist by J. Embiid)
11:13.0,M. Turner makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,2-2,,
10:58.0,,,2-2,,B. Simmons misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by B. Bogdanovic,,2-2,,
10:48.0,Turnover by B. Bogdanovic (traveling),,2-2,,
10:39.0,,,2-2,,Turnover by J. Embiid (bad pass; steal by M. Turner)
10:22.0,M. Turner makes 3-pt shot from 27 ft (assist by C. Joseph),3,5-2,,
10:11.0,,,5-2,,D. Saric misses 2-pt shot from 7 ft
10:09.0,Defensive rebound by V. Oladipo,,5-2,,
10:01.0,B. Bogdanovic misses 2-pt shot from 5 ft,,5-2,,
9:55.0,Offensive rebound by T. Young,,5-2,,
9:55.0,T. Young misses 2-pt shot at rim,,5-2,,
9:54.0,,,5-2,,Defensive rebound by B. Simmons
9:42.0,,,5-4,2,J. Embiid makes 2-pt shot at rim (assist by B. Simmons)
9:36.0,C. Joseph makes 2-pt shot from 2 ft,2,7-4,,
9:11.0,,,7-6,2,J. Embiid makes 2-pt shot from 2 ft
8:53.0,V. Oladipo misses 2-pt shot from 17 ft,,7-6,,
8:51.0,,,7-6,,Defensive rebound by B. Simmons
8:46.0,,,7-6,,Turnover by J. Embiid (traveling)
8:40.0,,,7-6,,Personal foul by B. Simmons (drawn by B. Bogdanovic)
8:22.0,B. Bogdanovic misses 2-pt shot from 6 ft,,7-6,,
8:20.0,,,7-6,,Defensive rebound by J. Embiid
8:16.0,,,7-6,,R. Covington misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by C. Joseph,,7-6,,
8:10.0,,,7-6,,Personal block foul by R. Covington (drawn by C. Joseph)
8:00.0,M. Turner makes 2-pt shot from 4 ft (assist by C. Joseph),2,9-6,,
7:44.0,,,9-6,,J. Embiid misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by T. Young,,9-6,,
7:35.0,V. Oladipo misses 2-pt shot from 15 ft,,9-6,,
7:33.0,,,9-6,,Defensive rebound by B. Simmons
7:25.0,Personal foul by V. Oladipo (drawn by B. Simmons),,9-6,,
7:25.0,,,9-6,,M. Belinelli enters the game for J. Redick
7:17.0,,,9-6,,Shooting foul by B. Bogdanovic (drawn by B. Simmons)
7:17.0,,,9-7,1,B. Simmons makes free throw 1 of 2
7:17.0,,,9-8,1,B. Simmons makes free throw 2 of 2
7:02.0,M. Turner misses 2-pt shot from 15 ft,,9-8,,
6:58.0,,,9-8,,Defensive rebound by J. Embiid
6:49.0,,,9-8,,B. Simmons misses 2-pt shot from 5 ft
6:48.0,,,9-8,,Offensive rebound by Team
6:48.0,,,9-8,,Philadelphia full timeout
6:48.0,,,9-8,,A. Johnson enters the game for J. Embiid
6:43.0,,,9-10,2,B. Simmons makes 2-pt shot from 5 ft (assist by D. Saric)
6:28.0,B. Bogdanovic misses 3-pt shot from 26 ft,,9-10,,
6:24.0,Offensive rebound by C. Joseph,,9-10,,
6:09.0,Turnover by M. Turner (lost ball; steal by M. Belinelli),,9-10,,
6:03.0,,,9-12,2,B. Simmons makes 2-pt shot from 1 ft (assist by A. Johnson)
5:44.0,V. Oladipo misses 2-pt shot from 2 ft,,9-12,,
5:41.0,,,9-12,,Defensive rebound by R. Covington
5:30.0,,,9-14,2,D. Saric makes 2-pt shot from 13 ft (assist by B. Simmons)
5:17.0,,,9-14,,Personal foul by M. Belinelli (drawn by C. Joseph)
5:17.0,,,9-14,,T. McConnell enters the game for R. Covington
5:17.0,G. Robinson enters the game for B. Bogdanovic,,9-14,,
5:04.0,G. Robinson misses 3-pt shot from 23 ft,,9-14,,
5:01.0,Offensive rebound by G. Robinson,,9-14,,
4:53.0,T. Young makes 2-pt shot from 5 ft,2,11-14,,
4:41.0,,,11-14,,M. Belinelli misses 2-pt shot from 20 ft
4:38.0,Defensive rebound by C. Joseph,,11-14,,
4:32.0,C. Joseph makes 2-pt shot from 7 ft,2,13-14,,
4:24.0,,,13-14,,D. Saric misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by V. Oladipo,,13-14,,
4:17.0,Shooting foul by A. Johnson (drawn by T. Young),,13-14,,
4:17.0,T. Young makes free throw 1 of 2,1,14-14,,
4:17.0,T. Young makes free throw 2 of 2,1,15-14,,
3:59.0,,,15-14,,B. Simmons misses 2-pt shot from 16 ft
3:57.0,Defensive rebound by V. Oladipo,,15-14,,
3:53.0,C. Joseph makes 3-pt shot from 26 ft (assist by V. Oladipo),3,18-14,,
3:39.0,,,18-14,,Turnover by B. Simmons (out of bounds lost ball)
3:39.0,D. Sabonis enters the game for T. Young,,18-14,,
3:39.0,Indiana full timeout,,18-14,,
3:39.0,,,18-14,,E. Ilyasova enters the game for A. Johnson
3:39.0,,,18-14,,J. Redick enters the game for D. Saric
3:39.0,,,18-14,,J. Embiid enters the game for B. Simmons
3:39.0,D. Collison enters the game for C. Joseph,,18-14,,
3:25.0,D. Sabonis misses 2-pt shot from 3 ft (block by J. Embiid),,18-14,,
3:22.0,,,18-14,,Defensive rebound by E. Ilyasova
3:11.0,,,18-14,,Turnover by J. Embiid (bad pass; steal by V. Oladipo)
3:02.0,M. Turner makes 3-pt shot from 25 ft (assist by V. Oladipo),3,21-14,,
2:46.0,,,21-14,,Turnover by J. Embiid (bad pass; steal by V. Oladipo)
2:43.0,Shooting foul by J. Redick (drawn by D. Collison),,21-14,,
2:43.0,D. Collison makes free throw 1 of 2,1,22-14,,
2:43.0,L. Stephenson enters the game for V. Oladipo,,22-14,,
2:43.0,T. Booker enters the game for M. Turner,,22-14,,
2:43.0,D. Collison makes free throw 2 of 2,1,23-14,,
2:34.0,Personal foul by D. Sabonis (drawn by J. Embiid),,23-14,,
2:27.0,,,23-17,3,J. Redick makes 3-pt shot from 27 ft (assist by J. Embiid)
2:18.0,L. Stephenson makes 2-pt shot from 15 ft (assist by D. Collison),2,25-17,,
2:08.0,,,25-19,2,M. Belinelli makes 2-pt shot from 3 ft (assist by E. Ilyasova)
2:08.0,,,25-19,,Shooting foul by D. Collison (drawn by M. Belinelli)
2:08.0,,,25-20,1,M. Belinelli makes free throw 1 of 1
1:55.0,D. Collison makes 2-pt shot from 16 ft,2,27-20,,
1:44.0,,,27-20,,Turnover by M. Belinelli (bad pass)
1:44.0,,,27-20,,R. Covington enters the game for M. Belinelli
1:23.0,D. Sabonis makes 3-pt shot from 25 ft (assist by L. Stephenson),3,30-20,,
1:12.0,,,30-22,2,T. McConnell makes 2-pt shot from 2 ft (assist by J. Embiid)
1:02.0,T. Booker makes 2-pt shot from 7 ft,2,32-22,,
1:02.0,Shooting foul by E. Ilyasova (drawn by T. Booker),,32-22,,
1:02.0,T. Booker makes free throw 1 of 1,1,33-22,,
