time,Philadelphia,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: N. Vucevic vs. J. Embiid (B. Simmons gains possession)
11:46.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,2-0,,
11:19.0,,,2-0,,D. Augustin misses 2-pt shot from 6 ft
11:16.0,Defensive rebound by B. Simmons,,2-0,,
11:13.0,R. Covington misses 3-pt shot from 25 ft,,2-0,,
11:10.0,Offensive rebound by J. Embiid,,2-0,,
11:07.0,J. Embiid misses 3-pt shot from 25 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by A. Gordon
11:00.0,,,2-0,,A. Gordon misses 2-pt shot from 16 ft
10:57.0,Defensive rebound by J. Embiid,,2-0,,
10:50.0,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons),2,4-0,,
10:24.0,,,4-0,,N. Vucevic misses 2-pt shot from 9 ft
10:20.0,Defensive rebound by D. Saric,,4-0,,
10:16.0,D. Saric misses 3-pt shot from 26 ft,,4-0,,
10:13.0,,,4-0,,Defensive rebound by A. Gordon
10:08.0,,,4-0,,Turnover by A. Gordon (lost ball; steal by B. Simmons)
10:01.0,J. Redick makes 2-pt shot at rim (assist by B. Simmons),2,6-0,,
9:42.0,,,6-2,2,N. Vucevic makes 2-pt shot from 1 ft
9:33.0,J. Redick misses 3-pt shot from 25 ft,,6-2,,
9:33.0,,,6-2,,Defensive rebound by Team
9:33.0,Personal foul by D. Saric (drawn by W. Iwundu),,6-2,,
9:20.0,,,6-4,2,N. Vucevic makes 2-pt shot from 2 ft (assist by D. Augustin)
9:08.0,R. Covington misses 2-pt shot at rim,,6-4,,
9:05.0,,,6-4,,Defensive rebound by A. Gordon
9:00.0,,,6-6,2,A. Gordon makes 2-pt shot from 2 ft
9:00.0,,,6-6,,Shooting foul by B. Simmons (drawn by A. Gordon)
9:00.0,,,6-7,1,A. Gordon makes free throw 1 of 1
8:46.0,J. Embiid makes 2-pt shot from 17 ft (assist by J. Redick),2,8-7,,
8:30.0,,,8-7,,N. Vucevic misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by J. Redick,,8-7,,
8:19.0,R. Covington makes 2-pt shot from 17 ft (assist by J. Embiid),2,10-7,,
8:02.0,,,10-9,2,W. Iwundu makes 2-pt shot from 14 ft (assist by N. Vucevic)
7:48.0,J. Redick misses 2-pt shot from 17 ft,,10-9,,
7:45.0,,,10-9,,Defensive rebound by A. Gordon
7:43.0,,,10-9,,M. Hezonja misses 3-pt shot from 27 ft
7:41.0,Defensive rebound by Team,,10-9,,
7:41.0,M. Belinelli enters the game for J. Redick,,10-9,,
7:26.0,Turnover by M. Belinelli (bad pass),,10-9,,
7:05.0,,,10-11,2,A. Gordon makes 2-pt shot from 11 ft
6:55.0,R. Covington misses 3-pt shot from 25 ft,,10-11,,
6:52.0,,,10-11,,Defensive rebound by M. Hezonja
6:49.0,,,10-11,,Turnover by M. Hezonja (lost ball; steal by B. Simmons)
6:47.0,B. Simmons makes 2-pt shot from 1 ft (assist by R. Covington),2,12-11,,
6:47.0,,,12-11,,Orlando full timeout
6:47.0,A. Johnson enters the game for J. Embiid,,12-11,,
6:35.0,,,12-11,,Shooting foul by M. Belinelli (drawn by D. Augustin)
6:35.0,,,12-11,,D. Augustin misses free throw 1 of 2
6:35.0,,,12-11,,Offensive rebound by Team
6:35.0,,,12-11,,D. Augustin misses free throw 2 of 2
6:32.0,Defensive rebound by B. Simmons,,12-11,,
