time,Atlanta,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Dedmon (M. Muscala gains possession),,,,Jump ball: J. Embiid vs. D. Dedmon (M. Muscala gains possession)
11:39.0,D. Dedmon misses 2-pt shot from 4 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by B. Simmons
11:20.0,,,0-0,,D. Saric misses 2-pt shot from 19 ft
11:17.0,Defensive rebound by K. Bazemore,,0-0,,
11:07.0,Turnover by K. Bazemore (lost ball; steal by J. Embiid),,0-0,,
10:51.0,,,0-3,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Embiid)
10:41.0,,,0-3,,Personal foul by B. Simmons (drawn by D. Schroder)
10:28.0,M. Muscala misses 2-pt shot from 1 ft,,0-3,,
10:26.0,,,0-3,,Defensive rebound by D. Saric
10:12.0,Personal foul by T. Waller-Prince (drawn by J. Embiid),,0-3,,
10:05.0,,,0-5,2,B. Simmons makes 2-pt shot from 16 ft
9:54.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,3-5,,
9:44.0,,,3-8,3,J. Embiid makes 3-pt shot from 25 ft (assist by R. Covington)
9:37.0,T. Waller-Prince misses 2-pt shot from 9 ft,,3-8,,
9:33.0,Offensive rebound by D. Dedmon,,3-8,,
9:32.0,D. Dedmon misses 2-pt shot at rim,,3-8,,
9:32.0,,,3-8,,Defensive rebound by B. Simmons
9:18.0,,,3-8,,D. Saric misses 2-pt shot from 1 ft
9:13.0,,,3-8,,Offensive rebound by J. Embiid
9:13.0,,,3-8,,J. Embiid misses 2-pt shot at rim
9:11.0,Defensive rebound by T. Waller-Prince,,3-8,,
9:07.0,,,3-8,,Personal foul by R. Covington (drawn by T. Waller-Prince)
8:59.0,Shooting foul by J. Redick (drawn by K. Bazemore),,3-8,,
8:59.0,K. Bazemore makes free throw 1 of 2,1,4-8,,
8:59.0,K. Bazemore misses free throw 2 of 2,,4-8,,
8:57.0,,,4-8,,Defensive rebound by J. Redick
8:42.0,,,4-11,3,D. Saric makes 3-pt shot from 26 ft (assist by J. Embiid)
8:29.0,D. Schroder misses 2-pt shot from 1 ft,,4-11,,
8:29.0,,,4-11,,Defensive rebound by Team
8:17.0,,,4-13,2,J. Embiid makes 2-pt shot from 10 ft (assist by R. Covington)
8:16.0,Atlanta full timeout,,4-13,,
8:05.0,Turnover by D. Schroder (bad pass; steal by J. Embiid),,4-13,,
8:01.0,,,4-13,,D. Saric misses 2-pt shot from 3 ft (block by T. Waller-Prince)
7:57.0,,,4-13,,Offensive rebound by D. Saric
7:56.0,,,4-13,,D. Saric misses 2-pt shot from 2 ft (block by T. Waller-Prince)
7:51.0,Defensive rebound by M. Muscala,,4-13,,
7:45.0,,,4-13,,A. Johnson enters the game for J. Embiid
7:45.0,,,4-13,,T. McConnell enters the game for J. Redick
7:45.0,,,4-13,,J. Bayless enters the game for D. Saric
7:45.0,J. Collins enters the game for D. Dedmon,,4-13,,
7:43.0,D. Schroder misses 2-pt shot from 13 ft,,4-13,,
7:40.0,,,4-13,,Defensive rebound by B. Simmons
7:32.0,,,4-13,,Turnover by B. Simmons (bad pass; steal by M. Muscala)
7:26.0,M. Muscala misses 2-pt shot from 11 ft,,4-13,,
7:20.0,,,4-13,,Defensive rebound by A. Johnson
7:15.0,,,4-15,2,R. Covington makes 2-pt shot from 18 ft (assist by T. McConnell)
7:05.0,,,4-15,,Personal foul by T. McConnell (drawn by D. Schroder)
7:05.0,M. Belinelli enters the game for M. Muscala,,4-15,,
6:53.0,T. Waller-Prince makes 2-pt shot from 13 ft (assist by D. Schroder),2,6-15,,
6:43.0,,,6-17,2,B. Simmons makes 2-pt shot from 2 ft (assist by T. McConnell)
6:23.0,Turnover by D. Schroder (bad pass; steal by A. Johnson),,6-17,,
6:18.0,,,6-20,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
6:04.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by J. Collins),2,8-20,,
5:42.0,,,8-22,2,T. McConnell makes 2-pt shot from 23 ft (assist by J. Bayless)
5:28.0,M. Belinelli misses 3-pt shot from 25 ft,,8-22,,
5:26.0,,,8-22,,Defensive rebound by T. McConnell
5:20.0,,,8-25,3,J. Bayless makes 3-pt shot from 25 ft (assist by B. Simmons)
5:15.0,Atlanta full timeout,,8-25,,
5:15.0,,,8-25,,J. Redick enters the game for B. Simmons
5:03.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder),2,10-25,,
4:48.0,,,10-27,2,A. Johnson makes 2-pt shot from 2 ft (assist by R. Covington)
4:34.0,D. Schroder makes 2-pt shot from 18 ft,2,12-27,,
4:21.0,,,12-27,,J. Bayless misses 2-pt shot from 9 ft (block by J. Collins)
4:13.0,Defensive rebound by M. Belinelli,,12-27,,
4:03.0,D. Schroder makes 2-pt shot from 2 ft,2,14-27,,
3:53.0,Personal foul by J. Collins (drawn by A. Johnson),,14-27,,
3:53.0,,,14-27,,J. Embiid enters the game for A. Johnson
3:53.0,,,14-27,,D. Saric enters the game for R. Covington
3:53.0,I. Taylor enters the game for K. Bazemore,,14-27,,
3:43.0,,,14-27,,J. Embiid misses 2-pt shot from 13 ft
3:39.0,Defensive rebound by T. Waller-Prince,,14-27,,
3:35.0,D. Schroder misses 2-pt shot from 21 ft,,14-27,,
3:31.0,,,14-27,,Defensive rebound by J. Embiid
3:25.0,,,14-29,2,T. McConnell makes 2-pt shot from 9 ft
3:08.0,M. Belinelli makes 2-pt shot from 22 ft (assist by T. Waller-Prince),2,16-29,,
3:00.0,,,16-31,2,J. Redick makes 2-pt shot from 18 ft (assist by T. McConnell)
2:50.0,D. Schroder misses 2-pt shot from 11 ft,,16-31,,
2:47.0,Offensive rebound by J. Collins,,16-31,,
2:47.0,J. Collins makes 2-pt shot from 2 ft,2,18-31,,
2:25.0,,,18-31,,J. Embiid misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by D. Schroder,,18-31,,
2:17.0,T. Waller-Prince misses 2-pt shot from 2 ft,,18-31,,
2:13.0,Offensive rebound by T. Waller-Prince,,18-31,,
2:13.0,T. Waller-Prince makes 2-pt shot at rim,2,20-31,,
2:08.0,,,20-31,,Philadelphia full timeout
2:08.0,,,20-31,,T. Luwawu-Cabarrot enters the game for J. Bayless
2:08.0,L. Babbitt enters the game for T. Waller-Prince,,20-31,,
2:08.0,M. Delaney enters the game for D. Schroder,,20-31,,
2:01.0,,,20-31,,Turnover by D. Saric (bad pass)
1:51.0,I. Taylor makes 2-pt shot from 3 ft,2,22-31,,
1:39.0,Personal foul by M. Delaney (drawn by J. Embiid),,22-31,,
1:39.0,,,22-31,,B. Simmons enters the game for T. McConnell
1:26.0,,,22-31,,Shooting foul by J. Collins (drawn by J. Embiid)
1:26.0,,,22-31,,J. Embiid misses free throw 1 of 2
1:26.0,,,22-31,,Offensive rebound by Team
1:26.0,D. Dedmon enters the game for J. Collins,,22-31,,
1:26.0,,,22-31,,J. Embiid misses free throw 2 of 2
1:24.0,Defensive rebound by L. Babbitt,,22-31,,
1:04.0,I. Taylor misses 3-pt shot from 25 ft,,22-31,,
