time,Phoenix,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. M. Chriss (A. Gordon gains possession),,,,Jump ball: N. Vucevic vs. M. Chriss (A. Gordon gains possession)
11:45.0,,,0-2,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
11:26.0,T. Daniels misses 3-pt shot from 26 ft,,0-2,,
11:23.0,Offensive rebound by M. Chriss,,0-2,,
11:20.0,D. Bender misses 3-pt shot from 26 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by D. Augustin
11:14.0,Personal foul by J. Jackson (drawn by A. Gordon),,0-2,,
10:59.0,,,0-4,2,D. Augustin makes 2-pt shot from 10 ft
10:43.0,J. Jackson misses 2-pt shot from 9 ft (block by A. Gordon),,0-4,,
10:41.0,,,0-4,,Defensive rebound by Team
10:25.0,,,0-6,2,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic)
10:10.0,,,0-6,,Violation by N. Vucevic (kicked ball)
10:03.0,T. Daniels misses 2-pt shot from 7 ft,,0-6,,
10:00.0,,,0-6,,Defensive rebound by N. Vucevic
9:46.0,,,0-6,,W. Iwundu misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by T. Daniels,,0-6,,
9:35.0,J. Jackson makes 2-pt shot from 6 ft,2,2-6,,
9:23.0,,,2-6,,N. Vucevic misses 2-pt shot from 8 ft
9:21.0,Defensive rebound by T. Daniels,,2-6,,
9:12.0,E. Payton misses 3-pt shot from 25 ft,,2-6,,
9:08.0,,,2-6,,Defensive rebound by A. Gordon
8:55.0,,,2-6,,N. Vucevic misses 2-pt shot from 19 ft
8:51.0,Defensive rebound by D. Bender,,2-6,,
8:51.0,Turnover by D. Bender (bad pass),,2-6,,
8:35.0,,,2-8,2,N. Vucevic makes 2-pt shot from 16 ft (assist by W. Iwundu)
8:20.0,E. Payton misses 2-pt shot from 7 ft,,2-8,,
8:18.0,,,2-8,,Defensive rebound by M. Hezonja
8:07.0,,,2-10,2,M. Hezonja makes 2-pt shot from 1 ft (assist by A. Gordon)
8:07.0,Phoenix full timeout,,2-10,,
7:55.0,J. Jackson misses 2-pt shot from 16 ft,,2-10,,
7:53.0,,,2-10,,Defensive rebound by D. Augustin
7:53.0,Personal foul by M. Chriss (drawn by D. Augustin),,2-10,,
7:37.0,,,2-12,2,A. Gordon makes 2-pt shot from 2 ft
7:13.0,J. Jackson makes 2-pt shot from 1 ft (assist by E. Payton),2,4-12,,
7:05.0,,,4-14,2,N. Vucevic makes 2-pt shot from 9 ft (assist by D. Augustin)
6:51.0,M. Chriss misses 3-pt shot from 24 ft,,4-14,,
6:48.0,,,4-14,,Defensive rebound by M. Hezonja
6:31.0,,,4-14,,N. Vucevic misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by Team,,4-14,,
6:22.0,T. Daniels makes 2-pt shot from 9 ft (assist by D. Bender),2,6-14,,
6:04.0,,,6-14,,A. Gordon misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by T. Daniels,,6-14,,
5:53.0,Shooting foul by W. Iwundu (drawn by T. Daniels),,6-14,,
5:53.0,T. Daniels makes free throw 1 of 2,1,7-14,,
5:53.0,A. Len enters the game for M. Chriss,,7-14,,
5:53.0,T. Daniels makes free throw 2 of 2,1,8-14,,
5:41.0,,,8-14,,N. Vucevic misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by E. Payton,,8-14,,
5:32.0,E. Payton makes 2-pt shot from 8 ft,2,10-14,,
5:32.0,,,10-14,,Orlando full timeout
5:07.0,,,10-14,,W. Iwundu misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by D. Bender,,10-14,,
4:55.0,A. Len makes 2-pt shot at rim (assist by J. Jackson),2,12-14,,
4:32.0,,,12-14,,R. Purvis enters the game for W. Iwundu
4:27.0,,,12-17,3,A. Gordon makes 3-pt shot from 26 ft (assist by R. Purvis)
4:11.0,T. Daniels misses 3-pt shot from 25 ft,,12-17,,
4:08.0,,,12-17,,Defensive rebound by M. Hezonja
4:03.0,,,12-17,,A. Gordon misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by D. Bender,,12-17,,
3:54.0,Shooting foul by N. Vucevic (drawn by E. Payton),,12-17,,
3:54.0,E. Payton misses free throw 1 of 2,,12-17,,
3:54.0,Offensive rebound by Team,,12-17,,
3:54.0,T. Ulis enters the game for T. Daniels,,12-17,,
3:54.0,E. Payton makes free throw 2 of 2,1,13-17,,
3:36.0,,,13-19,2,N. Vucevic makes 2-pt shot from 4 ft (assist by D. Augustin)
3:22.0,T. Ulis makes 2-pt shot from 19 ft (assist by A. Len),2,15-19,,
3:01.0,,,15-22,3,R. Purvis makes 3-pt shot from 23 ft (assist by D. Augustin)
2:45.0,J. Jackson misses 2-pt shot from 4 ft,,15-22,,
2:40.0,Offensive rebound by A. Len,,15-22,,
2:40.0,A. Len misses 2-pt shot at rim,,15-22,,
2:39.0,,,15-22,,Defensive rebound by A. Gordon
2:33.0,,,15-22,,R. Purvis misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by E. Payton,,15-22,,
2:22.0,J. Jackson misses 2-pt shot from 9 ft,,15-22,,
2:19.0,,,15-22,,Defensive rebound by N. Vucevic
2:17.0,,,15-24,2,A. Gordon makes 2-pt shot at rim (assist by D. Augustin)
2:00.0,T. Ulis makes 2-pt shot from 9 ft,2,17-24,,
1:43.0,,,17-24,,Turnover by M. Hezonja (bad pass; steal by A. Len)
1:37.0,D. Bender misses 3-pt shot from 24 ft,,17-24,,
1:35.0,Offensive rebound by A. Len,,17-24,,
1:35.0,A. Len misses 2-pt shot at rim,,17-24,,
1:35.0,Offensive rebound by A. Len,,17-24,,
1:35.0,Shooting foul by R. Purvis (drawn by A. Len),,17-24,,
1:35.0,A. Len makes free throw 1 of 2,1,18-24,,
1:35.0,,,18-24,,K. Birch enters the game for A. Gordon
1:35.0,,,18-24,,S. Mack enters the game for M. Hezonja
1:35.0,T. Daniels enters the game for E. Payton,,18-24,,
