time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. B. Adebayo (D. Schroder gains possession),,,,Jump ball: M. Plumlee vs. B. Adebayo (D. Schroder gains possession)
11:41.0,,,0-0,,K. Bazemore misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by T. Johnson,,0-0,,
11:34.0,T. Johnson misses 2-pt shot from 1 ft (block by T. Waller-Prince),,0-0,,
11:29.0,,,0-0,,Defensive rebound by E. Ilyasova
11:28.0,,,0-0,,Shooting foul by D. Waiters (drawn by T. Waller-Prince)
11:28.0,,,0-1,1,T. Waller-Prince makes free throw 1 of 2
11:28.0,,,0-2,1,T. Waller-Prince makes free throw 2 of 2
11:14.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Richardson),2,2-2,,
11:00.0,,,2-5,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
10:37.0,Shooting foul by T. Waller-Prince (drawn by J. Richardson),,2-5,,
10:37.0,J. Richardson makes free throw 1 of 2,1,3-5,,
10:37.0,J. Richardson misses free throw 2 of 2,,3-5,,
10:34.0,,,3-5,,Defensive rebound by T. Waller-Prince
10:25.0,,,3-7,2,D. Schroder makes 2-pt shot from 1 ft (assist by E. Ilyasova)
10:08.0,T. Johnson makes 2-pt shot from 15 ft (assist by J. Richardson),2,5-7,,
9:54.0,,,5-7,,E. Ilyasova misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by D. Waiters,,5-7,,
9:48.0,Offensive foul by K. Olynyk (drawn by E. Ilyasova),,5-7,,
9:48.0,Turnover by K. Olynyk (offensive foul),,5-7,,
9:36.0,,,5-9,2,D. Schroder makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
9:21.0,T. Johnson misses 3-pt shot from 23 ft,,5-9,,
9:17.0,,,5-9,,Defensive rebound by K. Bazemore
9:12.0,,,5-12,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Bazemore)
8:49.0,Turnover by J. Richardson (bad pass; steal by K. Bazemore),,5-12,,
8:38.0,,,5-12,,Turnover by M. Plumlee (lost ball; steal by K. Olynyk)
8:26.0,B. Adebayo misses 2-pt shot from 1 ft (block by M. Plumlee),,5-12,,
8:19.0,,,5-12,,Defensive rebound by D. Schroder
8:18.0,,,5-14,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
8:14.0,Miami full timeout,,5-14,,
8:00.0,D. Waiters makes 3-pt shot from 23 ft (assist by K. Olynyk),3,8-14,,
7:32.0,,,8-14,,D. Schroder misses 2-pt shot from 11 ft
7:29.0,Defensive rebound by K. Olynyk,,8-14,,
7:20.0,K. Olynyk misses 3-pt shot from 24 ft,,8-14,,
7:17.0,,,8-14,,Defensive rebound by K. Bazemore
7:03.0,,,8-14,,K. Bazemore misses 2-pt shot from 19 ft
7:00.0,Defensive rebound by T. Johnson,,8-14,,
6:54.0,D. Waiters makes 2-pt shot from 18 ft (assist by T. Johnson),2,10-14,,
6:39.0,,,10-16,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by D. Schroder)
6:18.0,J. Richardson makes 3-pt shot from 24 ft (assist by D. Waiters),3,13-16,,
6:00.0,,,13-19,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by M. Plumlee)
5:38.0,K. Olynyk makes 2-pt shot at rim (assist by J. Richardson),2,15-19,,
