time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. B. Lopez (B. Ingram gains possession),,,,Jump ball: W. Cauley-Stein vs. B. Lopez (B. Ingram gains possession)
11:46.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,0-0,,
11:43.0,Offensive rebound by B. Ingram,,0-0,,
11:42.0,B. Ingram makes 2-pt shot from 2 ft,2,2-0,,
11:23.0,,,2-0,,J. Jackson misses 2-pt shot from 11 ft
11:18.0,Defensive rebound by K. Caldwell-Pope,,2-0,,
11:11.0,B. Lopez misses 2-pt shot from 1 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by B. Bogdanovic
11:03.0,,,2-2,2,D. Fox makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
10:55.0,J. Randle misses 2-pt shot from 3 ft (block by B. Bogdanovic),,2-2,,
10:54.0,Offensive rebound by J. Hart,,2-2,,
10:41.0,B. Lopez misses 3-pt shot from 24 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by W. Cauley-Stein
10:33.0,,,2-5,3,B. Bogdanovic makes 3-pt shot from 25 ft
10:06.0,J. Hart makes 3-pt shot from 25 ft (assist by B. Ingram),3,5-5,,
9:46.0,,,5-7,2,Z. Randolph makes 2-pt shot from 15 ft (assist by D. Fox)
9:34.0,B. Lopez misses 2-pt shot from 8 ft,,5-7,,
9:31.0,,,5-7,,Defensive rebound by D. Fox
9:25.0,,,5-7,,D. Fox misses 2-pt shot from 4 ft
9:20.0,Defensive rebound by J. Randle,,5-7,,
9:18.0,Turnover by J. Randle (bad pass; steal by W. Cauley-Stein),,5-7,,
9:15.0,,,5-7,,W. Cauley-Stein misses 2-pt shot from 2 ft (block by B. Lopez)
9:12.0,Defensive rebound by J. Randle,,5-7,,
9:10.0,J. Randle misses 2-pt shot from 2 ft,,5-7,,
9:10.0,Offensive rebound by J. Hart,,5-7,,
9:06.0,J. Hart misses 2-pt shot at rim,,5-7,,
9:05.0,,,5-7,,Defensive rebound by J. Jackson
9:02.0,,,5-9,2,B. Bogdanovic makes 2-pt shot from 2 ft
8:56.0,LA Lakers full timeout,,5-9,,
8:50.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Hart),3,8-9,,
8:29.0,,,8-11,2,B. Bogdanovic makes 2-pt shot from 20 ft (assist by Z. Randolph)
8:08.0,J. Hart misses 2-pt shot from 11 ft,,8-11,,
8:04.0,,,8-11,,Defensive rebound by Z. Randolph
8:00.0,,,8-11,,B. Bogdanovic misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by Team,,8-11,,
7:45.0,Turnover by J. Randle (traveling),,8-11,,
7:27.0,,,8-11,,Turnover by Z. Randolph (out of bounds lost ball)
7:07.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Ingram),3,11-11,,
6:44.0,,,11-11,,D. Fox misses 2-pt shot from 9 ft
6:39.0,Defensive rebound by K. Caldwell-Pope,,11-11,,
6:37.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,11-11,,
6:34.0,,,11-11,,Defensive rebound by W. Cauley-Stein
6:27.0,,,11-11,,Z. Randolph misses 2-pt shot from 6 ft
6:24.0,Defensive rebound by K. Caldwell-Pope,,11-11,,
6:19.0,,,11-11,,Personal foul by Z. Randolph (drawn by J. Randle)
6:14.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Randle),3,14-11,,
6:01.0,,,14-11,,D. Fox misses 2-pt shot from 5 ft
5:59.0,,,14-11,,Offensive rebound by W. Cauley-Stein
5:59.0,,,14-13,2,W. Cauley-Stein makes 2-pt shot at rim
5:47.0,B. Ingram misses 2-pt shot from 2 ft,,14-13,,
5:44.0,,,14-13,,Defensive rebound by Z. Randolph
5:41.0,,,14-13,,J. Jackson misses 3-pt shot from 22 ft
5:37.0,Defensive rebound by J. Randle,,14-13,,
5:26.0,J. Randle misses 2-pt shot from 7 ft,,14-13,,
5:25.0,Offensive rebound by J. Randle,,14-13,,
5:25.0,Shooting foul by J. Jackson (drawn by J. Randle),,14-13,,
5:25.0,J. Randle misses free throw 1 of 2,,14-13,,
5:25.0,Offensive rebound by Team,,14-13,,
5:25.0,J. Randle misses free throw 2 of 2,,14-13,,
5:22.0,,,14-13,,Defensive rebound by W. Cauley-Stein
5:07.0,,,14-13,,B. Bogdanovic misses 2-pt shot from 7 ft
5:04.0,Defensive rebound by K. Caldwell-Pope,,14-13,,
5:00.0,J. Hart misses 3-pt shot from 23 ft,,14-13,,
4:56.0,,,14-13,,Defensive rebound by W. Cauley-Stein
4:51.0,,,14-13,,Shooting foul by B. Lopez (drawn by W. Cauley-Stein)
4:51.0,,,14-13,,W. Cauley-Stein misses free throw 1 of 2
4:51.0,,,14-13,,Offensive rebound by Team
4:51.0,,,14-13,,F. Mason enters the game for J. Jackson
4:51.0,,,14-13,,B. Hield enters the game for D. Fox
4:51.0,I. Thomas enters the game for B. Lopez,,14-13,,
4:51.0,I. Zubac enters the game for J. Hart,,14-13,,
4:51.0,,,14-14,1,W. Cauley-Stein makes free throw 2 of 2
4:35.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle),2,16-14,,
4:18.0,,,16-14,,W. Cauley-Stein misses 2-pt shot from 8 ft
4:13.0,Defensive rebound by B. Ingram,,16-14,,
4:12.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,18-14,,
3:50.0,,,18-16,2,W. Cauley-Stein makes 2-pt shot from 6 ft
3:40.0,,,18-16,,Personal foul by F. Mason (drawn by I. Thomas)
3:29.0,J. Randle misses 2-pt shot from 7 ft,,18-16,,
3:25.0,Offensive rebound by J. Randle,,18-16,,
