time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. M. Gasol (A. Harrison gains possession),,,,Jump ball: K. Towns vs. M. Gasol (A. Harrison gains possession)
11:43.0,M. Gasol misses 2-pt shot from 22 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Wiggins
11:20.0,,,0-0,,K. Towns misses 2-pt shot from 7 ft
11:17.0,Defensive rebound by M. Gasol,,0-0,,
11:14.0,Turnover by A. Harrison (out of bounds lost ball),,0-0,,
11:02.0,,,0-0,,T. Gibson misses 2-pt shot from 5 ft (block by M. Gasol)
11:00.0,Defensive rebound by M. Gasol,,0-0,,
10:56.0,J. Martin misses 3-pt shot from 23 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by K. Towns
10:46.0,,,0-0,,A. Wiggins misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by M. Gasol,,0-0,,
10:38.0,J. Martin misses 3-pt shot from 23 ft,,0-0,,
10:35.0,,,0-0,,Defensive rebound by N. Bjelica
10:20.0,,,0-2,2,K. Towns makes 2-pt shot from 2 ft
10:04.0,A. Harrison misses 3-pt shot from 23 ft,,0-2,,
10:02.0,,,0-2,,Defensive rebound by N. Bjelica
9:51.0,,,0-2,,Turnover by T. Gibson (turnover)
9:38.0,M. Gasol makes 3-pt shot from 25 ft (assist by D. Brooks),3,3-2,,
9:22.0,,,3-2,,Shooting foul by A. Harrison (drawn by A. Wiggins)
9:22.0,,,3-3,1,A. Wiggins makes free throw 1 of 2
9:22.0,,,3-4,1,A. Wiggins makes free throw 2 of 2
9:03.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,5-4,,
8:56.0,Personal foul by D. Brooks (drawn by J. Teague),,5-4,,
8:49.0,,,5-4,,N. Bjelica misses 3-pt shot from 23 ft
8:48.0,,,5-4,,Offensive rebound by Team
8:48.0,Loose ball foul by D. Brooks (drawn by K. Towns),,5-4,,
8:48.0,C. Parsons enters the game for D. Brooks,,5-4,,
8:34.0,,,5-4,,A. Wiggins misses 2-pt shot from 14 ft
8:32.0,Defensive rebound by M. Gasol,,5-4,,
8:23.0,Shooting foul by K. Towns (drawn by J. Green),,5-4,,
8:23.0,J. Green misses free throw 1 of 2,,5-4,,
8:23.0,Offensive rebound by Team,,5-4,,
8:23.0,J. Green makes free throw 2 of 2,1,6-4,,
8:20.0,Personal foul by J. Martin (drawn by A. Wiggins),,6-4,,
8:10.0,,,6-6,2,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns)
7:44.0,J. Martin makes 2-pt shot from 1 ft (assist by J. Green),2,8-6,,
7:18.0,,,8-6,,J. Teague misses 2-pt shot from 17 ft
7:16.0,,,8-6,,Offensive rebound by T. Gibson
7:14.0,,,8-6,,A. Wiggins misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by Team,,8-6,,
7:14.0,,,8-6,,Loose ball foul by N. Bjelica (drawn by A. Harrison)
7:01.0,M. Gasol makes 3-pt shot from 24 ft (assist by C. Parsons),3,11-6,,
6:43.0,,,11-8,2,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns)
6:24.0,,,11-8,,Personal foul by J. Teague (drawn by A. Harrison)
