time,Memphis,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Gasol (W. Selden gains possession),,,,Jump ball: M. Plumlee vs. M. Gasol (W. Selden gains possession)
11:38.0,D. Brooks makes 2-pt shot from 9 ft,2,2-0,,
11:20.0,,,2-2,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by K. Bazemore)
11:08.0,Turnover by A. Harrison (bad pass; steal by K. Bazemore),,2-2,,
11:02.0,,,2-2,,T. Waller-Prince misses 3-pt shot from 24 ft
10:59.0,,,2-2,,Offensive rebound by T. Waller-Prince
10:57.0,,,2-2,,T. Waller-Prince misses 3-pt shot from 22 ft
10:55.0,,,2-2,,Offensive rebound by M. Plumlee
10:55.0,,,2-4,2,M. Plumlee makes 2-pt shot at rim
10:55.0,Memphis full timeout,,2-4,,
10:43.0,D. Brooks misses 3-pt shot from 25 ft,,2-4,,
10:39.0,Offensive rebound by J. Green,,2-4,,
10:38.0,J. Green misses 2-pt shot at rim,,2-4,,
10:37.0,,,2-4,,Defensive rebound by M. Plumlee
10:33.0,,,2-4,,M. Plumlee misses 2-pt shot from 4 ft
10:28.0,Defensive rebound by J. Green,,2-4,,
10:21.0,J. Green misses 2-pt shot from 17 ft,,2-4,,
10:18.0,,,2-4,,Defensive rebound by D. Schroder
10:02.0,Personal foul by M. Gasol (drawn by D. Schroder),,2-4,,
9:57.0,,,2-4,,E. Ilyasova misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by A. Harrison,,2-4,,
9:44.0,M. Gasol makes 2-pt shot from 5 ft,2,4-4,,
9:44.0,,,4-4,,Violation by M. Plumlee (def goaltending)
9:33.0,,,4-6,2,D. Schroder makes 2-pt shot from 16 ft (assist by M. Plumlee)
9:19.0,Turnover by M. Gasol (bad pass),,4-6,,
9:02.0,,,4-6,,K. Bazemore misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by J. Green,,4-6,,
8:49.0,J. Green makes 2-pt shot from 17 ft (assist by D. Brooks),2,6-6,,
8:37.0,,,6-6,,D. Schroder misses 2-pt shot from 13 ft
8:34.0,Defensive rebound by J. Green,,6-6,,
8:18.0,Turnover by A. Harrison (traveling),,6-6,,
8:18.0,M. Chalmers enters the game for A. Harrison,,6-6,,
8:05.0,,,6-6,,Turnover by M. Plumlee (lost ball; steal by W. Selden)
8:03.0,Turnover by W. Selden (lost ball; steal by M. Plumlee),,6-6,,
8:03.0,,,6-6,,Turnover by M. Plumlee (traveling)
7:53.0,,,6-6,,Personal foul by M. Plumlee (drawn by M. Gasol)
