time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Dedmon (M. Morris gains possession),,,,Jump ball: M. Gortat vs. D. Dedmon (M. Morris gains possession)
11:47.0,,,0-0,,M. Morris misses 2-pt shot from 15 ft
11:43.0,Defensive rebound by D. Schroder,,0-0,,
11:26.0,Turnover by L. Babbitt (bad pass; steal by J. Wall),,0-0,,
11:17.0,,,0-2,2,M. Morris makes 2-pt shot from 13 ft (assist by O. Porter)
10:55.0,K. Bazemore misses 2-pt shot from 4 ft (block by M. Morris),,0-2,,
10:52.0,,,0-2,,Defensive rebound by J. Wall
10:48.0,,,0-2,,Turnover by B. Beal (bad pass; steal by T. Waller-Prince)
10:31.0,Turnover by D. Schroder (bad pass; steal by B. Beal),,0-2,,
10:27.0,,,0-4,2,B. Beal makes 2-pt shot at rim
9:59.0,D. Schroder misses 3-pt shot from 25 ft,,0-4,,
9:57.0,,,0-4,,Defensive rebound by J. Wall
9:51.0,,,0-4,,O. Porter misses 3-pt shot from 25 ft
9:48.0,Defensive rebound by L. Babbitt,,0-4,,
9:41.0,D. Schroder misses 2-pt shot from 3 ft (block by M. Gortat),,0-4,,
9:40.0,,,0-4,,Defensive rebound by Team
9:27.0,,,0-4,,Turnover by M. Gortat (bad pass; steal by T. Waller-Prince)
9:17.0,T. Waller-Prince makes 2-pt shot from 9 ft,2,2-4,,
8:51.0,,,2-6,2,J. Wall makes 2-pt shot from 19 ft
8:37.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,5-6,,
8:19.0,,,5-6,,Turnover by J. Wall (bad pass; steal by K. Bazemore)
8:06.0,D. Dedmon misses 3-pt shot from 23 ft,,5-6,,
8:04.0,,,5-6,,Defensive rebound by O. Porter
7:57.0,,,5-6,,O. Porter misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by L. Babbitt,,5-6,,
7:51.0,K. Bazemore misses 3-pt shot from 25 ft,,5-6,,
7:50.0,Offensive rebound by Team,,5-6,,
7:50.0,,,5-6,,Personal foul by M. Morris (drawn by D. Dedmon)
7:42.0,K. Bazemore makes 2-pt shot from 12 ft,2,7-6,,
7:23.0,,,7-6,,M. Gortat misses 2-pt shot from 9 ft
7:20.0,Defensive rebound by T. Waller-Prince,,7-6,,
7:16.0,L. Babbitt misses 3-pt shot from 28 ft,,7-6,,
7:13.0,,,7-6,,Defensive rebound by M. Gortat
7:01.0,Personal foul by K. Bazemore (drawn by M. Morris),,7-6,,
6:56.0,,,7-8,2,M. Morris makes 2-pt shot from 19 ft
6:41.0,D. Schroder misses 2-pt shot from 16 ft,,7-8,,
6:37.0,Offensive rebound by L. Babbitt,,7-8,,
6:36.0,L. Babbitt misses 2-pt shot from 18 ft,,7-8,,
6:36.0,,,7-8,,Defensive rebound by M. Morris
6:22.0,,,7-10,2,B. Beal makes 2-pt shot from 12 ft
5:59.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder),3,10-10,,
5:37.0,,,10-10,,J. Wall misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by D. Dedmon,,10-10,,
5:28.0,D. Schroder misses 2-pt shot from 6 ft (block by J. Wall),,10-10,,
5:23.0,Offensive rebound by D. Dedmon,,10-10,,
5:22.0,D. Dedmon makes 2-pt shot from 5 ft,2,12-10,,
5:10.0,,,12-12,2,B. Beal makes 2-pt shot from 1 ft
5:10.0,Atlanta full timeout,,12-12,,
5:10.0,M. Belinelli enters the game for L. Babbitt,,12-12,,
5:10.0,J. Collins enters the game for K. Bazemore,,12-12,,
4:57.0,Turnover by D. Schroder (lost ball; steal by M. Morris),,12-12,,
4:49.0,,,12-12,,B. Beal misses 2-pt shot from 2 ft
4:46.0,Defensive rebound by M. Belinelli,,12-12,,
4:44.0,Offensive foul by D. Dedmon (drawn by O. Porter),,12-12,,
4:44.0,Turnover by D. Dedmon (offensive foul),,12-12,,
4:27.0,,,12-14,2,M. Morris makes 2-pt shot from 15 ft
4:12.0,Turnover by T. Waller-Prince (bad pass),,12-14,,
4:12.0,Violation by D. Schroder (kicked ball),,12-14,,
4:12.0,,,12-14,,K. Oubre enters the game for O. Porter
4:02.0,T. Cavanaugh enters the game for D. Dedmon,,12-14,,
4:02.0,,,12-14,,M. Scott enters the game for M. Morris
3:55.0,,,12-14,,K. Oubre misses 3-pt shot from 24 ft
3:50.0,,,12-14,,Offensive rebound by B. Beal
3:49.0,,,12-14,,B. Beal misses 2-pt shot from 7 ft
3:49.0,Defensive rebound by D. Schroder,,12-14,,
3:45.0,Turnover by T. Waller-Prince (traveling),,12-14,,
3:45.0,I. Taylor enters the game for D. Schroder,,12-14,,
3:36.0,,,12-14,,M. Scott misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by T. Cavanaugh,,12-14,,
3:19.0,M. Belinelli makes 3-pt shot from 29 ft (assist by J. Collins),3,15-14,,
3:02.0,,,15-14,,T. Frazier enters the game for J. Wall
3:02.0,L. Babbitt enters the game for T. Cavanaugh,,15-14,,
2:54.0,,,15-16,2,K. Oubre makes 2-pt shot from 20 ft
2:37.0,I. Taylor misses 3-pt shot from 24 ft,,15-16,,
2:34.0,,,15-16,,Defensive rebound by M. Gortat
2:26.0,,,15-16,,M. Scott misses 3-pt shot from 23 ft
2:23.0,Defensive rebound by L. Babbitt,,15-16,,
2:09.0,Turnover by T. Waller-Prince (lost ball; steal by B. Beal),,15-16,,
2:06.0,,,15-18,2,B. Beal makes 2-pt shot from 1 ft
1:45.0,I. Taylor misses 2-pt shot from 8 ft,,15-18,,
1:42.0,,,15-18,,Defensive rebound by B. Beal
1:36.0,,,15-18,,Turnover by T. Frazier (bad pass; steal by T. Waller-Prince)
1:24.0,T. Waller-Prince misses 2-pt shot from 2 ft,,15-18,,
1:22.0,,,15-18,,Defensive rebound by M. Scott
1:13.0,,,15-18,,Shooting foul by J. Collins (drawn by K. Oubre)
1:13.0,,,15-18,,Washington full timeout
1:13.0,,,15-18,,I. Mahinmi enters the game for M. Gortat
1:13.0,,,15-18,,J. Meeks enters the game for B. Beal
