time,LA Lakers,pts.away,score,pts.home,Oklahoma City
1:15.0,,,25-19,,R. Felton enters the game for R. Westbrook
1:15.0,K. Kuzma enters the game for J. Hart,,25-19,,
1:15.0,L. Nance enters the game for B. Lopez,,25-19,,
1:15.0,A. Caruso enters the game for B. Ingram,,25-19,,
1:15.0,J. Clarkson enters the game for J. Randle,,25-19,,
1:15.0,,,25-20,1,C. Anthony makes free throw 2 of 2
0:58.0,A. Caruso misses 2-pt shot from 9 ft,,25-20,,
0:57.0,Offensive rebound by L. Nance,,25-20,,
0:56.0,L. Nance misses 2-pt shot from 4 ft,,25-20,,
0:56.0,,,25-20,,Defensive rebound by J. Huestis
0:54.0,Personal foul by L. Nance (drawn by J. Huestis),,25-20,,
0:54.0,,,25-21,1,C. Anthony makes technical free throw
0:54.0,,,25-21,,J. Grant enters the game for C. Anthony
0:54.0,,,25-21,,J. Huestis misses free throw 1 of 2
0:54.0,,,25-21,,Offensive rebound by Team
0:54.0,,,25-21,,P. Patterson enters the game for S. Adams
0:54.0,,,25-21,,J. Huestis misses free throw 2 of 2
0:53.0,Defensive rebound by L. Nance,,25-21,,
0:43.0,Turnover by L. Nance (bad pass),,25-21,,
0:37.0,,,25-21,,Shooting foul by L. Nance (drawn by J. Grant)
0:37.0,,,25-21,,J. Grant misses free throw 1 of 2
0:37.0,,,25-21,,Offensive rebound by Team
0:37.0,,,25-22,1,J. Grant makes free throw 2 of 2
0:19.0,J. Clarkson misses 3-pt shot from 26 ft,,25-22,,
0:17.0,,,25-22,,Defensive rebound by J. Grant
0:02.0,,,25-22,,J. Huestis misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by K. Kuzma,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Kuzma misses 3-pt shot from 25 ft,,25-22,,
11:36.0,,,25-22,,Defensive rebound by Team
11:26.0,,,25-22,,Offensive foul by J. Grant (drawn by A. Caruso)
11:26.0,,,25-22,,Turnover by J. Grant (offensive foul)
11:13.0,J. Clarkson misses 2-pt shot from 19 ft,,25-22,,
11:11.0,,,25-22,,Defensive rebound by J. Grant
11:04.0,,,25-24,2,R. Felton makes 2-pt shot from 1 ft
10:55.0,C. Brewer makes 2-pt shot from 1 ft,2,27-24,,
10:55.0,,,27-24,,Violation by A. Abrines (def goaltending)
10:42.0,,,27-26,2,P. George makes 2-pt shot at rim
10:34.0,Turnover by A. Caruso (bad pass; steal by R. Felton),,27-26,,
10:32.0,,,27-26,,Turnover by R. Felton (bad pass; steal by J. Clarkson)
10:27.0,C. Brewer misses 3-pt shot from 22 ft,,27-26,,
10:21.0,,,27-26,,Defensive rebound by J. Grant
10:03.0,,,27-26,,R. Felton misses 2-pt shot from 1 ft (block by K. Kuzma)
10:00.0,,,27-26,,Offensive rebound by R. Felton
9:59.0,,,27-29,3,P. Patterson makes 3-pt shot from 25 ft (assist by R. Felton)
9:59.0,LA Lakers full timeout,,27-29,,
9:37.0,J. Clarkson makes 3-pt shot from 25 ft (assist by A. Caruso),3,30-29,,
9:19.0,Personal foul by J. Clarkson (drawn by J. Grant),,30-29,,
9:10.0,,,30-31,2,J. Grant makes 2-pt shot at rim (assist by A. Abrines)
9:01.0,J. Clarkson misses 3-pt shot from 25 ft,,30-31,,
8:59.0,,,30-31,,Defensive rebound by J. Grant
8:53.0,,,30-31,,R. Felton misses 2-pt shot from 12 ft
8:50.0,Defensive rebound by K. Kuzma,,30-31,,
8:40.0,Turnover by J. Clarkson (traveling),,30-31,,
8:40.0,,,30-31,,R. Westbrook enters the game for A. Abrines
8:23.0,,,30-31,,Shooting foul by C. Brewer (drawn by P. George)
8:23.0,,,30-31,,P. George misses free throw 1 of 2
8:23.0,,,30-31,,Offensive rebound by Team
8:23.0,,,30-32,1,P. George makes free throw 2 of 2
8:07.0,K. Kuzma misses 2-pt shot from 3 ft,,30-32,,
8:06.0,Offensive rebound by K. Kuzma,,30-32,,
8:05.0,K. Kuzma makes 2-pt shot at rim,2,32-32,,
7:48.0,,,32-32,,Turnover by R. Westbrook (bad pass)
7:48.0,B. Ingram enters the game for C. Brewer,,32-32,,
7:48.0,J. Hart enters the game for A. Caruso,,32-32,,
7:30.0,K. Kuzma misses 2-pt shot from 8 ft,,32-32,,
7:25.0,Offensive rebound by J. Clarkson,,32-32,,
7:20.0,J. Clarkson makes 2-pt shot at rim,2,34-32,,
7:17.0,,,34-32,,Oklahoma City full timeout
7:17.0,,,34-32,,S. Adams enters the game for J. Grant
