time,Boston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. A. Horford (K. Irving gains possession),,,,Jump ball: Z. Pachulia vs. A. Horford (K. Irving gains possession)
11:40.0,J. Brown makes 2-pt shot at rim (assist by A. Horford),2,2-0,,
11:23.0,,,2-0,,K. Thompson misses 2-pt shot from 18 ft
11:21.0,Defensive rebound by J. Brown,,2-0,,
11:14.0,A. Horford makes 3-pt shot from 26 ft (assist by K. Irving),3,5-0,,
11:00.0,,,5-2,2,S. Curry makes 2-pt shot from 11 ft
10:45.0,J. Tatum misses 2-pt shot from 15 ft (block by K. Thompson),,5-2,,
10:45.0,,,5-2,,Defensive rebound by S. Curry
10:39.0,,,5-4,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
10:25.0,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford),3,8-4,,
10:11.0,,,8-7,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
9:54.0,A. Horford misses 2-pt shot from 10 ft,,8-7,,
9:51.0,,,8-7,,Defensive rebound by Z. Pachulia
9:47.0,,,8-7,,D. Green misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by A. Baynes,,8-7,,
9:25.0,K. Irving makes 2-pt shot from 2 ft,2,10-7,,
9:17.0,,,10-10,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
9:04.0,Shooting foul by S. Curry (drawn by K. Irving),,10-10,,
9:04.0,K. Irving makes free throw 1 of 3,1,11-10,,
9:04.0,K. Irving misses free throw 2 of 3,,11-10,,
9:04.0,Offensive rebound by Team,,11-10,,
9:04.0,K. Irving makes free throw 3 of 3,1,12-10,,
8:58.0,,,12-10,,K. Durant misses 3-pt shot from 24 ft (block by A. Horford)
8:52.0,Defensive rebound by J. Tatum,,12-10,,
8:41.0,Shooting foul by K. Durant (drawn by J. Brown),,12-10,,
8:41.0,J. Brown makes free throw 1 of 2,1,13-10,,
8:41.0,J. Brown makes free throw 2 of 2,1,14-10,,
8:35.0,,,14-10,,S. Curry misses 3-pt shot from 25 ft
8:29.0,Defensive rebound by J. Tatum,,14-10,,
8:17.0,A. Horford makes 2-pt shot from 18 ft,2,16-10,,
7:58.0,,,16-10,,K. Thompson misses 2-pt shot from 16 ft (block by A. Horford)
7:58.0,Defensive rebound by A. Baynes,,16-10,,
7:43.0,J. Tatum makes 2-pt shot from 18 ft (assist by A. Horford),2,18-10,,
7:27.0,,,18-10,,K. Durant misses 2-pt shot from 18 ft
7:23.0,Defensive rebound by A. Baynes,,18-10,,
7:16.0,Turnover by A. Horford (lost ball; steal by D. Green),,18-10,,
7:10.0,,,18-12,2,K. Durant makes 2-pt shot from 15 ft
6:51.0,K. Irving makes 2-pt shot from 14 ft,2,20-12,,
6:41.0,,,20-12,,D. Green misses 3-pt shot from 25 ft
6:37.0,,,20-12,,Offensive rebound by D. Green
6:36.0,Personal foul by J. Brown (drawn by S. Curry),,20-12,,
6:36.0,,,20-12,,Golden State full timeout
6:30.0,,,20-14,2,S. Curry makes 2-pt shot from 16 ft (assist by Z. Pachulia)
6:06.0,A. Horford misses 2-pt shot from 18 ft,,20-14,,
6:03.0,,,20-14,,Defensive rebound by Z. Pachulia
5:52.0,,,20-17,3,K. Durant makes 3-pt shot from 24 ft (assist by D. Green)
5:25.0,K. Irving makes 2-pt shot from 14 ft,2,22-17,,
5:10.0,,,22-17,,K. Thompson misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by A. Horford,,22-17,,
4:48.0,Shooting foul by K. Durant (drawn by J. Brown),,22-17,,
4:48.0,J. Brown makes free throw 1 of 2,1,23-17,,
4:48.0,,,23-17,,A. Iguodala enters the game for K. Durant
4:48.0,M. Morris enters the game for J. Tatum,,23-17,,
4:48.0,T. Rozier enters the game for A. Horford,,23-17,,
4:48.0,D. Theis enters the game for A. Baynes,,23-17,,
4:48.0,J. Brown makes free throw 2 of 2,1,24-17,,
4:35.0,,,24-19,2,S. Curry makes 2-pt shot from 3 ft
4:20.0,M. Morris makes 2-pt shot from 11 ft (assist by D. Theis),2,26-19,,
4:07.0,,,26-22,3,S. Curry makes 3-pt shot from 25 ft (assist by Z. Pachulia)
3:52.0,K. Irving makes 3-pt shot from 27 ft,3,29-22,,
3:39.0,,,29-22,,S. Curry misses 3-pt shot from 25 ft
3:36.0,,,29-22,,Offensive rebound by Team
3:35.0,,,29-22,,K. Looney enters the game for K. Thompson
3:35.0,,,29-22,,N. Young enters the game for Z. Pachulia
3:26.0,Personal foul by J. Brown (drawn by K. Looney),,29-22,,
3:18.0,,,29-24,2,D. Green makes 2-pt shot from 5 ft (assist by S. Curry)
3:06.0,K. Irving makes 3-pt shot from 27 ft (assist by D. Theis),3,32-24,,
2:51.0,,,32-24,,D. Green misses 2-pt shot from 11 ft
2:44.0,Defensive rebound by M. Morris,,32-24,,
2:37.0,M. Morris misses 3-pt shot from 26 ft,,32-24,,
2:30.0,Offensive rebound by T. Rozier,,32-24,,
2:30.0,J. Brown makes 2-pt shot from 1 ft (assist by T. Rozier),2,34-24,,
2:20.0,Personal foul by T. Rozier (drawn by S. Curry),,34-24,,
2:20.0,Boston full timeout,,34-24,,
2:12.0,,,34-26,2,A. Iguodala makes 2-pt shot from 18 ft
1:46.0,M. Morris misses 3-pt shot from 26 ft (block by D. Green),,34-26,,
1:45.0,Offensive rebound by Team,,34-26,,
1:45.0,Turnover by Team (shot clock),,34-26,,
1:45.0,S. Larkin enters the game for K. Irving,,34-26,,
1:34.0,,,34-26,,S. Curry misses 3-pt shot from 27 ft
1:28.0,,,34-26,,Offensive rebound by K. Looney
1:24.0,,,34-26,,N. Young misses 2-pt shot from 1 ft
1:22.0,Defensive rebound by Team,,34-26,,
1:03.0,S. Larkin misses 2-pt shot from 10 ft,,34-26,,
1:00.0,,,34-26,,Defensive rebound by D. Green
0:58.0,,,34-26,,Shooting foul by S. Larkin (drawn by S. Curry)
0:58.0,,,34-27,1,S. Curry makes free throw 1 of 2
0:58.0,,,34-27,,S. Curry misses free throw 2 of 2
0:55.0,Defensive rebound by M. Morris,,34-27,,
0:41.0,M. Morris misses 3-pt shot from 22 ft,,34-27,,
0:38.0,Offensive rebound by T. Rozier,,34-27,,
0:35.0,M. Morris misses 2-pt shot from 2 ft,,34-27,,
0:32.0,,,34-27,,Defensive rebound by D. Green
0:29.0,,,34-27,,N. Young misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by T. Rozier,,34-27,,
0:05.0,J. Brown makes 3-pt shot from 25 ft (assist by T. Rozier),3,37-27,,
0:01.0,,,37-27,,S. Curry misses 3-pt shot from 49 ft
0:00.0,,,37-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,37-27,,K. Durant misses 2-pt shot from 19 ft
11:39.0,,,37-27,,Offensive rebound by S. Livingston
11:33.0,,,37-29,2,K. Durant makes 2-pt shot from 7 ft
11:16.0,Offensive charge foul by D. Theis (drawn by K. Durant),,37-29,,
11:16.0,Turnover by D. Theis (offensive foul),,37-29,,
11:16.0,A. Horford enters the game for D. Theis,,37-29,,
11:01.0,,,37-31,2,D. West makes 2-pt shot from 1 ft (assist by K. Durant)
10:48.0,Turnover by S. Larkin (step out of bounds),,37-31,,
10:27.0,,,37-31,,K. Durant misses 2-pt shot from 19 ft
10:22.0,Defensive rebound by T. Rozier,,37-31,,
10:06.0,Turnover by A. Horford (lost ball; steal by K. Durant),,37-31,,
10:02.0,,,37-33,2,K. Thompson makes 2-pt shot at rim (assist by A. Iguodala)
9:41.0,T. Rozier misses 2-pt shot from 11 ft,,37-33,,
9:39.0,,,37-33,,Defensive rebound by K. Durant
9:37.0,,,37-33,,Turnover by K. Durant (lost ball; steal by S. Larkin)
9:32.0,T. Rozier misses 3-pt shot from 25 ft,,37-33,,
9:30.0,,,37-33,,Defensive rebound by K. Thompson
9:21.0,,,37-35,2,S. Livingston makes 2-pt shot from 10 ft
9:05.0,S. Larkin misses 3-pt shot from 25 ft (block by D. West),,37-35,,
9:01.0,Offensive rebound by A. Horford,,37-35,,
8:59.0,A. Horford misses 2-pt shot from 1 ft (block by S. Livingston),,37-35,,
8:57.0,Offensive rebound by M. Morris,,37-35,,
8:55.0,M. Morris misses 2-pt shot from 2 ft,,37-35,,
8:54.0,,,37-35,,Defensive rebound by K. Durant
8:48.0,,,37-37,2,D. West makes 2-pt shot from 1 ft (assist by K. Thompson)
8:47.0,Boston full timeout,,37-37,,
8:33.0,J. Tatum misses 2-pt shot from 22 ft,,37-37,,
8:29.0,,,37-37,,Defensive rebound by A. Iguodala
8:12.0,,,37-37,,K. Thompson misses 2-pt shot from 14 ft
8:07.0,Defensive rebound by J. Tatum,,37-37,,
7:54.0,,,37-37,,Personal foul by S. Livingston (drawn by A. Horford)
7:46.0,M. Morris makes 2-pt shot from 2 ft,2,39-37,,
7:46.0,Shooting foul by A. Iguodala (drawn by M. Morris),,39-37,,
7:46.0,K. Irving enters the game for T. Rozier,,39-37,,
7:46.0,M. Morris makes free throw 1 of 1,1,40-37,,
7:29.0,,,40-37,,K. Durant misses 2-pt shot from 2 ft
7:25.0,Defensive rebound by A. Horford,,40-37,,
7:17.0,K. Irving makes 2-pt shot from 2 ft,2,42-37,,
7:04.0,Personal foul by K. Irving (drawn by A. Iguodala),,42-37,,
7:04.0,S. Ojeleye enters the game for S. Larkin,,42-37,,
6:55.0,,,42-37,,S. Livingston misses 2-pt shot from 14 ft
6:50.0,Defensive rebound by A. Horford,,42-37,,
6:41.0,K. Irving makes 3-pt shot from 28 ft (assist by M. Morris),3,45-37,,
6:38.0,,,45-37,,Golden State full timeout
6:38.0,,,45-37,,N. Young enters the game for A. Iguodala
6:25.0,,,45-39,2,K. Durant makes 2-pt shot from 15 ft
6:13.0,Turnover by K. Irving (lost ball; steal by N. Young),,45-39,,
6:03.0,,,45-39,,D. West misses 2-pt shot from 7 ft
5:59.0,Defensive rebound by A. Horford,,45-39,,
5:55.0,S. Ojeleye misses 2-pt shot from 5 ft,,45-39,,
5:52.0,Offensive rebound by A. Horford,,45-39,,
5:44.0,M. Morris makes 3-pt shot from 26 ft (assist by K. Irving),3,48-39,,
5:26.0,,,48-39,,K. Thompson misses 2-pt shot from 15 ft
5:24.0,Defensive rebound by K. Irving,,48-39,,
5:14.0,Turnover by A. Horford (out of bounds lost ball),,48-39,,
5:14.0,,,48-39,,S. Curry enters the game for K. Thompson
5:14.0,,,48-39,,D. Green enters the game for K. Durant
5:00.0,,,48-39,,Turnover by S. Livingston (bad pass)
4:44.0,J. Tatum misses 2-pt shot from 11 ft,,48-39,,
4:40.0,,,48-39,,Defensive rebound by D. West
4:37.0,Personal foul by J. Tatum (drawn by S. Curry),,48-39,,
4:37.0,,,48-39,,A. Iguodala enters the game for S. Livingston
4:37.0,A. Baynes enters the game for M. Morris,,48-39,,
4:32.0,,,48-39,,D. Green misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by J. Tatum,,48-39,,
4:16.0,K. Irving misses 2-pt shot from 9 ft,,48-39,,
4:12.0,,,48-39,,Defensive rebound by D. West
4:01.0,,,48-39,,N. Young misses 2-pt shot from 14 ft
3:57.0,Defensive rebound by K. Irving,,48-39,,
3:41.0,S. Ojeleye misses 2-pt shot from 8 ft,,48-39,,
3:41.0,Offensive rebound by A. Baynes,,48-39,,
3:41.0,Shooting foul by D. Green (drawn by A. Baynes),,48-39,,
3:41.0,A. Baynes makes free throw 1 of 2,1,49-39,,
3:41.0,,,49-39,,K. Durant enters the game for D. West
3:41.0,,,49-39,,K. Thompson enters the game for N. Young
3:41.0,T. Rozier enters the game for J. Tatum,,49-39,,
3:41.0,J. Brown enters the game for A. Horford,,49-39,,
3:41.0,A. Baynes misses free throw 2 of 2,,49-39,,
3:38.0,,,49-39,,Defensive rebound by K. Durant
3:29.0,,,49-39,,Shooting foul by K. Irving (drawn by A. Iguodala)
