time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. K. Porzingis (D. Valentine gains possession),,,,Jump ball: R. Lopez vs. K. Porzingis (D. Valentine gains possession)
11:39.0,,,0-0,,L. Markkanen misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by E. Kanter,,0-0,,
11:20.0,E. Kanter makes 2-pt shot at rim (assist by K. Porzingis),2,2-0,,
10:58.0,,,2-2,2,R. Lopez makes 2-pt shot from 6 ft
10:37.0,E. Kanter misses 2-pt shot from 1 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by Team
10:22.0,,,2-2,,K. Dunn misses 2-pt shot from 10 ft
10:19.0,Defensive rebound by J. Jack,,2-2,,
10:12.0,L. Thomas misses 3-pt shot from 22 ft,,2-2,,
10:00.0,,,2-2,,Defensive rebound by K. Dunn
9:56.0,,,2-2,,D. Valentine misses 3-pt shot from 24 ft
9:55.0,,,2-2,,Offensive rebound by K. Dunn
9:55.0,,,2-2,,Shooting foul by E. Kanter (drawn by K. Dunn)
9:55.0,,,2-3,1,K. Dunn makes free throw 1 of 2
9:55.0,,,2-3,,K. Dunn misses free throw 2 of 2
9:52.0,Defensive rebound by E. Kanter,,2-3,,
9:34.0,K. Porzingis makes 2-pt shot from 13 ft,2,4-3,,
9:15.0,,,4-3,,Turnover by D. Valentine (bad pass; steal by C. Lee)
9:07.0,K. Porzingis misses 2-pt shot from 11 ft,,4-3,,
9:05.0,,,4-3,,Defensive rebound by D. Valentine
8:57.0,,,4-5,2,L. Markkanen makes 2-pt shot from 19 ft (assist by D. Valentine)
8:47.0,,,4-5,,Personal foul by K. Dunn (drawn by J. Jack)
8:41.0,C. Lee misses 2-pt shot from 8 ft (block by J. Holiday),,4-5,,
8:41.0,Offensive rebound by Team,,4-5,,
8:32.0,J. Jack misses 2-pt shot from 14 ft,,4-5,,
8:27.0,,,4-5,,Defensive rebound by J. Holiday
8:14.0,,,4-7,2,K. Dunn makes 2-pt shot from 19 ft
7:58.0,C. Lee misses 3-pt shot from 25 ft,,4-7,,
7:53.0,,,4-7,,Defensive rebound by R. Lopez
7:43.0,,,4-9,2,R. Lopez makes 2-pt shot from 7 ft (assist by K. Dunn)
7:26.0,K. Porzingis misses 2-pt shot from 14 ft (block by L. Markkanen),,4-9,,
7:23.0,,,4-9,,Defensive rebound by L. Markkanen
7:22.0,Personal foul by C. Lee (drawn by L. Markkanen),,4-9,,
7:11.0,,,4-11,2,L. Markkanen makes 2-pt shot from 2 ft (assist by K. Dunn)
7:07.0,New York full timeout,,4-11,,
6:49.0,K. Porzingis misses 2-pt shot from 16 ft,,4-11,,
6:47.0,,,4-11,,Defensive rebound by K. Dunn
6:26.0,,,4-11,,J. Holiday misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by C. Lee,,4-11,,
6:13.0,K. Porzingis makes 2-pt shot from 8 ft,2,6-11,,
5:59.0,,,6-11,,L. Markkanen misses 2-pt shot from 1 ft
5:56.0,,,6-11,,Offensive rebound by R. Lopez
5:56.0,,,6-14,3,L. Markkanen makes 3-pt shot from 22 ft (assist by K. Dunn)
5:33.0,K. Porzingis misses 2-pt shot from 12 ft (block by L. Markkanen),,6-14,,
5:30.0,,,6-14,,Defensive rebound by D. Valentine
5:15.0,,,6-17,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Lopez)
4:58.0,Turnover by L. Thomas (bad pass; steal by K. Dunn),,6-17,,
4:53.0,,,6-19,2,K. Dunn makes 2-pt shot at rim
4:32.0,C. Lee misses 2-pt shot from 5 ft,,6-19,,
4:30.0,,,6-19,,Defensive rebound by K. Dunn
4:22.0,,,6-19,,D. Valentine misses 2-pt shot from 22 ft
4:18.0,Defensive rebound by E. Kanter,,6-19,,
4:03.0,K. Porzingis misses 2-pt shot from 22 ft,,6-19,,
4:03.0,,,6-19,,Defensive rebound by L. Markkanen
3:57.0,,,6-19,,Personal foul by R. Lopez (drawn by L. Thomas)
3:57.0,,,6-19,,Turnover by R. Lopez (turnover)
3:57.0,,,6-19,,J. Grant enters the game for K. Dunn
3:57.0,,,6-19,,D. Nwaba enters the game for D. Valentine
3:57.0,F. Ntilikina enters the game for E. Kanter,,6-19,,
3:57.0,M. Beasley enters the game for K. Porzingis,,6-19,,
3:57.0,K. O'Quinn enters the game for L. Thomas,,6-19,,
3:57.0,D. McDermott enters the game for J. Jack,,6-19,,
3:44.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,8-19,,
3:44.0,Shooting foul by J. Holiday (drawn by K. O'Quinn),,8-19,,
3:44.0,,,8-19,,N. Mirotic enters the game for L. Markkanen
