time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. A. Horford (K. Irving gains possession),,,,Jump ball: M. Turner vs. A. Horford (K. Irving gains possession)
11:41.0,A. Horford makes 2-pt shot from 8 ft,2,2-0,,
11:27.0,,,2-0,,Turnover by B. Bogdanovic (step out of bounds)
11:15.0,J. Tatum makes 2-pt shot from 21 ft,2,4-0,,
10:51.0,,,4-0,,M. Turner misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by A. Baynes,,4-0,,
10:32.0,J. Brown makes 3-pt shot from 23 ft (assist by A. Horford),3,7-0,,
10:13.0,,,7-0,,Turnover by T. Young (bad pass; steal by A. Horford)
10:06.0,J. Brown makes 3-pt shot from 23 ft (assist by J. Tatum),3,10-0,,
10:05.0,,,10-0,,Indiana full timeout
9:51.0,,,10-0,,B. Bogdanovic misses 2-pt shot from 8 ft
9:49.0,Defensive rebound by A. Baynes,,10-0,,
9:36.0,K. Irving makes 2-pt shot from 18 ft (assist by A. Horford),2,12-0,,
9:09.0,,,12-2,2,V. Oladipo makes 2-pt shot at rim
8:56.0,J. Tatum makes 2-pt shot from 20 ft,2,14-2,,
8:34.0,,,14-2,,Shooting foul by J. Tatum (drawn by D. Collison)
8:34.0,,,14-3,1,D. Collison makes free throw 1 of 2
8:34.0,,,14-4,1,D. Collison makes free throw 2 of 2
8:30.0,K. Irving makes 3-pt shot from 26 ft,3,17-4,,
8:30.0,Shooting foul by D. Collison (drawn by K. Irving),,17-4,,
8:30.0,K. Irving misses free throw 1 of 1,,17-4,,
8:28.0,,,17-4,,Defensive rebound by M. Turner
8:18.0,,,17-4,,Shooting foul by J. Brown (drawn by V. Oladipo)
8:18.0,,,17-5,1,V. Oladipo makes free throw 1 of 2
8:18.0,M. Smart enters the game for J. Tatum,,17-5,,
8:18.0,,,17-5,,V. Oladipo misses free throw 2 of 2
8:18.0,Defensive rebound by M. Smart,,17-5,,
8:03.0,A. Baynes makes 2-pt shot from 16 ft (assist by K. Irving),2,19-5,,
7:38.0,,,19-7,2,D. Collison makes 2-pt shot at rim
7:38.0,Shooting block foul by K. Irving (drawn by D. Collison),,19-7,,
7:38.0,,,19-8,1,D. Collison makes free throw 1 of 1
7:17.0,J. Brown makes 2-pt shot from 11 ft (assist by A. Horford),2,21-8,,
7:03.0,,,21-8,,B. Bogdanovic misses 3-pt shot from 29 ft
7:00.0,Defensive rebound by A. Horford,,21-8,,
6:53.0,K. Irving makes 2-pt shot from 19 ft (assist by A. Horford),2,23-8,,
6:35.0,,,23-8,,T. Young misses 2-pt shot from 2 ft (block by A. Baynes)
6:32.0,,,23-8,,Offensive rebound by T. Young
6:32.0,,,23-10,2,T. Young makes 2-pt shot from 4 ft
6:10.0,J. Brown misses 3-pt shot from 26 ft,,23-10,,
6:07.0,Offensive rebound by A. Horford,,23-10,,
6:06.0,J. Brown misses 3-pt shot from 24 ft,,23-10,,
6:04.0,Offensive rebound by A. Horford,,23-10,,
6:01.0,J. Brown misses 2-pt shot from 2 ft (block by V. Oladipo),,23-10,,
6:01.0,S. Ojeleye enters the game for A. Horford,,23-10,,
6:01.0,Offensive rebound by J. Brown,,23-10,,
5:57.0,Jump ball: M. Turner vs. J. Brown (K. Irving gains possession),,,,Jump ball: M. Turner vs. J. Brown (K. Irving gains possession)
5:40.0,,,23-10,,Personal foul by T. Young (drawn by K. Irving)
5:40.0,,,23-10,,L. Stephenson enters the game for D. Collison
5:40.0,,,23-10,,C. Joseph enters the game for T. Young
5:40.0,,,23-10,,D. Sabonis enters the game for B. Bogdanovic
5:36.0,K. Irving misses 3-pt shot from 26 ft,,23-10,,
5:32.0,,,23-10,,Defensive rebound by C. Joseph
5:21.0,,,23-12,2,L. Stephenson makes 2-pt shot from 21 ft
5:03.0,,,23-12,,Personal foul by L. Stephenson (drawn by M. Smart)
4:54.0,S. Ojeleye makes 3-pt shot from 23 ft (assist by K. Irving),3,26-12,,
4:35.0,,,26-15,3,V. Oladipo makes 3-pt shot from 26 ft
4:19.0,M. Smart makes 3-pt shot from 29 ft (assist by K. Irving),3,29-15,,
3:57.0,Personal foul by S. Ojeleye (drawn by M. Turner),,29-15,,
3:57.0,,,29-15,,A. Jefferson enters the game for M. Turner
3:43.0,,,29-15,,C. Joseph misses 3-pt shot from 22 ft
3:43.0,,,29-15,,Offensive rebound by Team
3:43.0,,,29-15,,Turnover by Team (shot clock)
3:34.0,M. Smart misses 2-pt shot from 20 ft,,29-15,,
3:34.0,,,29-15,,Defensive rebound by D. Sabonis
3:17.0,,,29-15,,Turnover by D. Sabonis (bad pass)
3:05.0,K. Irving makes 2-pt shot from 18 ft,2,31-15,,
2:54.0,Shooting block foul by A. Baynes (drawn by D. Sabonis),,31-15,,
2:54.0,Boston full timeout,,31-15,,
2:54.0,T. Rozier enters the game for K. Irving,,31-15,,
2:54.0,,,31-16,1,D. Sabonis makes free throw 1 of 2
2:54.0,,,31-17,1,D. Sabonis makes free throw 2 of 2
2:39.0,J. Brown makes 2-pt shot from 16 ft,2,33-17,,
2:18.0,,,33-17,,A. Jefferson misses 2-pt shot from 7 ft
2:16.0,Defensive rebound by T. Rozier,,33-17,,
2:02.0,Turnover by T. Rozier (bad pass),,33-17,,
1:48.0,,,33-17,,B. Bogdanovic enters the game for V. Oladipo
1:48.0,J. Tatum enters the game for J. Brown,,33-17,,
1:48.0,A. Horford enters the game for S. Ojeleye,,33-17,,
1:48.0,D. Theis enters the game for A. Baynes,,33-17,,
1:42.0,,,33-17,,Turnover by C. Joseph (lost ball; steal by T. Rozier)
1:39.0,T. Rozier misses 2-pt shot at rim (block by C. Joseph),,33-17,,
1:39.0,Offensive rebound by Team,,33-17,,
1:29.0,Turnover by M. Smart (lost ball; steal by A. Jefferson),,33-17,,
1:25.0,,,33-17,,D. Sabonis misses 2-pt shot from 2 ft (block by D. Theis)
1:23.0,Defensive rebound by M. Smart,,33-17,,
1:20.0,J. Tatum makes 2-pt shot at rim (assist by M. Smart),2,35-17,,
1:04.0,,,35-17,,D. Sabonis misses 2-pt shot from 1 ft
1:03.0,,,35-17,,Offensive rebound by D. Sabonis
