time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. B. Lopez (Z. Randolph gains possession),,,,Jump ball: S. Labissiere vs. B. Lopez (Z. Randolph gains possession)
11:45.0,,,0-0,,S. Labissiere misses 2-pt shot from 7 ft
11:43.0,Defensive rebound by L. Ball,,0-0,,
11:31.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,0-0,,
11:28.0,,,0-0,,Defensive rebound by S. Labissiere
11:16.0,,,0-0,,D. Fox misses 2-pt shot from 22 ft
11:14.0,Defensive rebound by L. Ball,,0-0,,
11:08.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by B. Ingram),3,3-0,,
10:47.0,,,3-0,,Z. Randolph misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by K. Caldwell-Pope,,3-0,,
10:38.0,L. Ball misses 3-pt shot from 23 ft,,3-0,,
10:34.0,,,3-0,,Defensive rebound by S. Labissiere
10:19.0,,,3-2,2,Z. Randolph makes 2-pt shot from 3 ft
10:05.0,,,3-2,,Personal foul by Z. Randolph (drawn by B. Lopez)
10:02.0,,,3-2,,Personal foul by G. Temple (drawn by B. Ingram)
9:48.0,Turnover by K. Caldwell-Pope (bad pass; steal by Z. Randolph),,3-2,,
9:43.0,,,3-2,,G. Temple misses 3-pt shot from 23 ft
9:39.0,,,3-2,,Offensive rebound by D. Fox
9:30.0,,,3-2,,S. Labissiere misses 2-pt shot from 6 ft
9:25.0,,,3-2,,Offensive rebound by S. Labissiere
9:25.0,,,3-2,,S. Labissiere misses 2-pt shot at rim
9:23.0,Defensive rebound by B. Lopez,,3-2,,
9:20.0,B. Lopez misses 3-pt shot from 25 ft,,3-2,,
9:15.0,,,3-2,,Defensive rebound by S. Labissiere
9:03.0,,,3-4,2,Z. Randolph makes 2-pt shot from 15 ft
8:48.0,B. Ingram makes 2-pt shot from 1 ft,2,5-4,,
8:32.0,,,5-4,,G. Temple misses 2-pt shot from 4 ft
8:29.0,Defensive rebound by B. Ingram,,5-4,,
8:26.0,K. Kuzma makes 3-pt shot from 24 ft (assist by B. Ingram),3,8-4,,
8:05.0,,,8-4,,G. Hill misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by L. Ball,,8-4,,
8:00.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by G. Temple),,8-4,,
8:00.0,Offensive rebound by Team,,8-4,,
7:57.0,B. Lopez misses 2-pt shot from 10 ft,,8-4,,
7:54.0,,,8-4,,Defensive rebound by D. Fox
7:52.0,Personal foul by K. Caldwell-Pope (drawn by G. Hill),,8-4,,
7:39.0,,,8-6,2,Z. Randolph makes 2-pt shot from 17 ft (assist by D. Fox)
7:24.0,K. Kuzma misses 2-pt shot from 5 ft (block by S. Labissiere),,8-6,,
7:24.0,Offensive rebound by Team,,8-6,,
7:21.0,B. Lopez misses 3-pt shot from 22 ft,,8-6,,
7:18.0,,,8-6,,Defensive rebound by G. Temple
7:12.0,,,8-8,2,D. Fox makes 2-pt shot from 2 ft (assist by Z. Randolph)
7:12.0,LA Lakers full timeout,,8-8,,
6:50.0,L. Ball misses 2-pt shot from 7 ft,,8-8,,
6:47.0,,,8-8,,Defensive rebound by Z. Randolph
6:27.0,,,8-8,,D. Fox misses 2-pt shot from 15 ft
6:24.0,Defensive rebound by K. Kuzma,,8-8,,
6:10.0,K. Kuzma makes 2-pt shot from 3 ft,2,10-8,,
5:44.0,,,10-8,,G. Hill misses 2-pt shot at rim
5:37.0,,,10-8,,Offensive rebound by S. Labissiere
5:37.0,,,10-10,2,S. Labissiere makes 2-pt shot at rim
5:31.0,Turnover by L. Ball (bad pass; steal by Z. Randolph),,10-10,,
5:31.0,Personal foul by L. Ball (drawn by G. Hill),,10-10,,
5:31.0,,,10-10,,B. Bogdanovic enters the game for G. Temple
5:31.0,J. Clarkson enters the game for L. Ball,,10-10,,
5:18.0,,,10-10,,D. Fox misses 2-pt shot from 19 ft
5:17.0,,,10-10,,Offensive rebound by Team
5:17.0,Loose ball foul by J. Clarkson (drawn by S. Labissiere),,10-10,,
5:17.0,,,10-10,,F. Mason enters the game for D. Fox
5:04.0,,,10-12,2,Z. Randolph makes 2-pt shot from 2 ft
4:53.0,,,10-12,,Personal foul by F. Mason (drawn by J. Clarkson)
4:47.0,Turnover by B. Lopez (bad pass; steal by B. Bogdanovic),,10-12,,
4:40.0,,,10-15,3,Z. Randolph makes 3-pt shot from 25 ft (assist by F. Mason)
4:19.0,K. Kuzma makes 2-pt shot from 4 ft,2,12-15,,
4:04.0,,,12-15,,Turnover by B. Bogdanovic (out of bounds lost ball)
4:04.0,,,12-15,,W. Cauley-Stein enters the game for S. Labissiere
4:04.0,J. Randle enters the game for B. Lopez,,12-15,,
3:50.0,Turnover by J. Randle (lost ball; steal by B. Bogdanovic),,12-15,,
3:44.0,,,12-15,,Z. Randolph misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by B. Ingram,,12-15,,
3:23.0,J. Randle makes 2-pt shot from 6 ft,2,14-15,,
3:15.0,Personal foul by J. Randle (drawn by Z. Randolph),,14-15,,
3:15.0,,,14-15,,Sacramento full timeout
3:15.0,,,14-15,,B. Hield enters the game for G. Hill
3:05.0,,,14-18,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by F. Mason)
2:51.0,J. Randle makes 2-pt shot from 2 ft (assist by B. Ingram),2,16-18,,
2:36.0,,,16-20,2,B. Hield makes 2-pt shot from 19 ft (assist by F. Mason)
2:14.0,Turnover by J. Randle (bad pass; steal by Z. Randolph),,16-20,,
2:09.0,,,16-22,2,F. Mason makes 2-pt shot from 3 ft
