time,Cleveland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Love (R. Anderson gains possession),,,,Jump ball: C. Capela vs. K. Love (R. Anderson gains possession)
11:37.0,,,0-0,,R. Anderson misses 3-pt shot from 25 ft
11:33.0,,,0-0,,Offensive rebound by R. Anderson
11:28.0,,,0-3,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
11:09.0,K. Love misses 2-pt shot from 4 ft (block by C. Capela),,0-3,,
11:09.0,Offensive rebound by Team,,0-3,,
11:06.0,K. Love makes 3-pt shot from 25 ft (assist by J. Crowder),3,3-3,,
10:45.0,,,3-5,2,J. Harden makes 2-pt shot from 1 ft
10:28.0,L. James makes 2-pt shot at rim (assist by K. Love),2,5-5,,
10:12.0,Violation by K. Love (kicked ball),,5-5,,
10:08.0,Personal foul by L. James (drawn by T. Ariza),,5-5,,
10:02.0,,,5-5,,C. Capela misses 2-pt shot from 8 ft
9:59.0,,,5-5,,Offensive rebound by C. Capela
9:56.0,,,5-5,,E. Gordon misses 3-pt shot from 28 ft
9:52.0,Defensive rebound by K. Love,,5-5,,
9:45.0,K. Love makes 3-pt shot from 28 ft (assist by L. James),3,8-5,,
9:37.0,,,8-5,,Shooting foul by J. Crowder (drawn by J. Harden)
9:37.0,,,8-6,1,J. Harden makes free throw 2 of 2
9:37.0,,,8-7,1,J. Harden makes free throw 1 of 2
9:26.0,Turnover by K. Love (out of bounds lost ball),,8-7,,
9:14.0,,,8-10,3,T. Ariza makes 3-pt shot from 23 ft (assist by R. Anderson)
9:01.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,10-10,,
8:46.0,,,10-10,,R. Anderson misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by J. Crowder,,10-10,,
8:39.0,Turnover by L. James (bad pass; steal by J. Harden),,10-10,,
8:32.0,,,10-10,,E. Gordon misses 3-pt shot from 26 ft
8:27.0,,,10-10,,Offensive rebound by J. Harden
8:23.0,Personal foul by I. Shumpert (drawn by J. Harden),,10-10,,
8:17.0,,,10-10,,Turnover by C. Capela (traveling)
8:08.0,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert),3,13-10,,
8:00.0,,,13-12,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden)
7:34.0,K. Love makes 2-pt shot from 13 ft,2,15-12,,
7:18.0,,,15-12,,T. Ariza misses 3-pt shot from 23 ft
7:13.0,,,15-12,,Offensive rebound by E. Gordon
7:11.0,,,15-12,,E. Gordon misses 2-pt shot at rim
7:08.0,Defensive rebound by J. Crowder,,15-12,,
7:05.0,I. Shumpert makes 3-pt shot from 24 ft,3,18-12,,
6:52.0,,,18-14,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:50.0,Cleveland full timeout,,18-14,,
6:50.0,,,18-14,,P. Tucker enters the game for R. Anderson
6:42.0,,,18-14,,Personal foul by P. Tucker (drawn by L. James)
6:29.0,Turnover by L. James (lost ball; steal by J. Harden),,18-14,,
6:26.0,,,18-14,,Shooting foul by J. Smith (drawn by J. Harden)
6:26.0,,,18-15,1,J. Harden makes free throw 1 of 2
6:26.0,,,18-16,1,J. Harden makes free throw 2 of 2
6:12.0,,,18-16,,Personal foul by J. Harden (drawn by K. Love)
6:12.0,,,18-16,,N. Hilario enters the game for C. Capela
6:07.0,K. Love misses 3-pt shot from 22 ft,,18-16,,
6:04.0,,,18-16,,Defensive rebound by J. Harden
5:57.0,,,18-18,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
5:47.0,K. Love misses 2-pt shot from 1 ft,,18-18,,
5:45.0,,,18-18,,Defensive rebound by E. Gordon
5:38.0,,,18-21,3,P. Tucker makes 3-pt shot from 22 ft (assist by T. Ariza)
5:23.0,I. Shumpert misses 2-pt shot from 20 ft,,18-21,,
5:20.0,,,18-21,,Defensive rebound by J. Harden
5:16.0,Violation by K. Love (kicked ball),,18-21,,
5:16.0,D. Wade enters the game for I. Shumpert,,18-21,,
5:06.0,Personal foul by K. Love (drawn by N. Hilario),,18-21,,
5:06.0,,,18-22,1,N. Hilario makes free throw 1 of 2
5:06.0,,,18-23,1,N. Hilario makes free throw 2 of 2
4:54.0,,,18-23,,Personal foul by P. Tucker (drawn by L. James)
4:54.0,,,18-23,,R. Anderson enters the game for E. Gordon
4:39.0,J. Smith misses 3-pt shot from 34 ft,,18-23,,
4:36.0,,,18-23,,Defensive rebound by T. Ariza
4:30.0,,,18-23,,Shooting foul by J. Crowder (drawn by N. Hilario)
4:30.0,,,18-24,1,N. Hilario makes free throw 1 of 2
4:30.0,J. Green enters the game for J. Crowder,,18-24,,
4:30.0,,,18-25,1,N. Hilario makes free throw 2 of 2
4:19.0,Turnover by L. James (lost ball; steal by T. Ariza),,18-25,,
4:16.0,,,18-27,2,T. Ariza makes 2-pt shot from 1 ft
4:16.0,Cleveland full timeout,,18-27,,
4:04.0,Turnover by L. James (bad pass; steal by J. Harden),,18-27,,
3:52.0,,,18-27,,N. Hilario misses 2-pt shot from 18 ft
3:52.0,Defensive rebound by Team,,18-27,,
3:52.0,,,18-27,,Loose ball foul by R. Anderson (drawn by K. Love)
3:44.0,Shooting foul by R. Anderson (drawn by D. Wade),,18-27,,
3:44.0,D. Wade misses free throw 1 of 2,,18-27,,
3:44.0,Offensive rebound by Team,,18-27,,
3:44.0,D. Wade misses free throw 2 of 2,,18-27,,
3:41.0,,,18-27,,Defensive rebound by J. Harden
3:37.0,,,18-29,2,P. Tucker makes 2-pt shot from 21 ft (assist by J. Harden)
3:17.0,L. James makes 2-pt shot from 16 ft (assist by K. Love),2,20-29,,
3:09.0,,,20-29,,T. Ariza misses 3-pt shot from 24 ft
3:06.0,Defensive rebound by L. James,,20-29,,
3:03.0,L. James misses 3-pt shot from 25 ft,,20-29,,
3:00.0,,,20-29,,Defensive rebound by T. Ariza
2:55.0,,,20-29,,J. Harden misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by D. Wade,,20-29,,
2:39.0,L. James misses 2-pt shot from 3 ft,,20-29,,
2:37.0,,,20-29,,Defensive rebound by N. Hilario
2:32.0,Violation by K. Love (kicked ball),,20-29,,
2:32.0,K. Korver enters the game for J. Smith,,20-29,,
2:32.0,I. Shumpert enters the game for L. James,,20-29,,
2:16.0,,,20-29,,P. Tucker misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by K. Love,,20-29,,
2:05.0,Turnover by D. Wade (bad pass; steal by J. Harden),,20-29,,
2:02.0,,,20-31,2,J. Harden makes 2-pt shot from 1 ft
1:50.0,K. Korver makes 3-pt shot from 26 ft (assist by I. Shumpert),3,23-31,,
1:31.0,Violation by K. Love (kicked ball),,23-31,,
1:31.0,C. Frye enters the game for K. Love,,23-31,,
1:26.0,,,23-31,,J. Harden misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by Team,,23-31,,
1:16.0,,,23-31,,Personal foul by T. Ariza (drawn by D. Wade)
1:16.0,D. Wade makes free throw 1 of 2,1,24-31,,
