time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. C. Capela (D. Green gains possession),,,,Jump ball: L. Aldridge vs. C. Capela (D. Green gains possession)
11:34.0,,,0-2,2,L. Aldridge makes 2-pt shot from 14 ft
11:14.0,E. Gordon misses 2-pt shot from 12 ft,,0-2,,
11:10.0,Offensive rebound by C. Capela,,0-2,,
11:06.0,C. Capela makes 2-pt shot from 1 ft (assist by P. Tucker),2,2-2,,
10:45.0,,,2-2,,D. Murray misses 2-pt shot from 9 ft
10:43.0,Defensive rebound by T. Ariza,,2-2,,
10:37.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,4-2,,
10:20.0,,,4-2,,Turnover by D. Green (step out of bounds)
10:02.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,6-2,,
9:44.0,,,6-2,,L. Aldridge misses 2-pt shot from 11 ft
9:42.0,Defensive rebound by J. Harden,,6-2,,
9:34.0,C. Capela misses 2-pt shot from 1 ft,,6-2,,
9:31.0,,,6-2,,Defensive rebound by D. Green
9:28.0,,,6-4,2,D. Murray makes 2-pt shot at rim
9:16.0,T. Ariza misses 3-pt shot from 24 ft,,6-4,,
9:16.0,,,6-4,,Defensive rebound by D. Green
8:56.0,,,6-4,,L. Aldridge misses 2-pt shot at rim
8:54.0,Defensive rebound by C. Capela,,6-4,,
8:34.0,J. Harden misses 3-pt shot from 24 ft,,6-4,,
8:30.0,,,6-4,,Defensive rebound by K. Anderson
8:24.0,,,6-6,2,D. Murray makes 2-pt shot at rim (assist by K. Anderson)
8:12.0,C. Capela misses 2-pt shot at rim,,6-6,,
8:09.0,,,6-6,,Defensive rebound by L. Aldridge
8:07.0,,,6-6,,Turnover by L. Aldridge (lost ball; steal by T. Ariza)
8:03.0,P. Tucker misses 3-pt shot from 26 ft,,6-6,,
8:01.0,,,6-6,,Defensive rebound by L. Aldridge
7:57.0,,,6-8,2,D. Murray makes 2-pt shot at rim
7:38.0,Turnover by J. Harden (lost ball; steal by K. Anderson),,6-8,,
7:34.0,,,6-8,,D. Murray misses 3-pt shot from 22 ft
7:29.0,Defensive rebound by E. Gordon,,6-8,,
7:23.0,E. Gordon makes 2-pt shot from 1 ft,2,8-8,,
7:00.0,Personal foul by T. Ariza (drawn by L. Aldridge),,8-8,,
7:00.0,,,8-8,,San Antonio full timeout
7:00.0,G. Green enters the game for E. Gordon,,8-8,,
6:50.0,,,8-8,,L. Aldridge misses 2-pt shot from 6 ft (block by C. Capela)
6:46.0,Defensive rebound by T. Ariza,,8-8,,
6:41.0,T. Ariza misses 2-pt shot from 3 ft (block by K. Anderson),,8-8,,
6:38.0,,,8-8,,Defensive rebound by D. Murray
6:27.0,,,8-8,,D. Green misses 3-pt shot from 22 ft
6:23.0,Defensive rebound by G. Green,,8-8,,
6:12.0,J. Harden misses 2-pt shot from 3 ft (block by L. Aldridge),,8-8,,
6:12.0,,,8-8,,Defensive rebound by P. Mills
6:05.0,,,8-8,,D. Green misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by C. Capela,,8-8,,
5:46.0,Shooting foul by D. Green (drawn by C. Capela),,8-8,,
5:46.0,C. Capela misses free throw 1 of 2,,8-8,,
5:46.0,Offensive rebound by Team,,8-8,,
5:46.0,,,8-8,,M. Ginobili enters the game for D. Green
5:46.0,J. Johnson enters the game for T. Ariza,,8-8,,
5:46.0,L. Mbah a Moute enters the game for P. Tucker,,8-8,,
5:46.0,C. Capela makes free throw 2 of 2,1,9-8,,
5:29.0,Def 3 sec tech foul by J. Harden,,9-8,,
5:29.0,,,9-9,1,P. Mills makes technical free throw
5:29.0,,,9-9,,R. Gay enters the game for K. Anderson
5:29.0,R. Anderson enters the game for C. Capela,,9-9,,
5:15.0,,,9-11,2,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili)
5:05.0,G. Green makes 2-pt shot from 10 ft,2,11-11,,
4:47.0,,,11-13,2,D. Murray makes 2-pt shot at rim (assist by L. Aldridge)
4:33.0,Shooting foul by R. Gay (drawn by J. Harden),,11-13,,
4:33.0,J. Harden makes free throw 1 of 2,1,12-13,,
4:33.0,,,12-13,,T. Parker enters the game for D. Murray
4:33.0,J. Harden makes free throw 2 of 2,1,13-13,,
4:08.0,,,13-15,2,R. Gay makes 2-pt shot from 10 ft (assist by T. Parker)
3:49.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,13-15,,
3:45.0,,,13-15,,Defensive rebound by L. Aldridge
3:34.0,,,13-15,,L. Aldridge misses 2-pt shot from 6 ft
3:31.0,,,13-15,,Offensive rebound by L. Aldridge
3:31.0,Personal foul by L. Mbah a Moute (drawn by L. Aldridge),,13-15,,
3:28.0,,,13-18,3,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili)
3:06.0,J. Harden makes 2-pt shot from 1 ft,2,15-18,,
2:51.0,,,15-18,,P. Mills misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by J. Johnson,,15-18,,
2:44.0,J. Harden makes 2-pt shot at rim,2,17-18,,
2:27.0,,,17-18,,L. Aldridge misses 2-pt shot from 13 ft
2:25.0,Defensive rebound by G. Green,,17-18,,
2:01.0,J. Harden misses 3-pt shot from 26 ft,,17-18,,
1:59.0,,,17-18,,Defensive rebound by P. Mills
1:46.0,,,17-18,,T. Parker misses 2-pt shot from 2 ft
1:40.0,,,17-18,,Offensive rebound by L. Aldridge
1:40.0,,,17-20,2,L. Aldridge makes 2-pt shot at rim
1:18.0,J. Harden misses 3-pt shot from 34 ft,,17-20,,
1:17.0,Offensive rebound by Team,,17-20,,
1:17.0,Turnover by Team (shot clock),,17-20,,
1:17.0,Houston full timeout,,17-20,,
1:17.0,,,17-20,,P. Gasol enters the game for P. Mills
1:17.0,,,17-20,,D. Green enters the game for L. Aldridge
1:17.0,E. Gordon enters the game for J. Harden,,17-20,,
1:03.0,,,17-20,,Turnover by M. Ginobili (bad pass; steal by L. Mbah a Moute)
0:57.0,E. Gordon misses 3-pt shot from 28 ft,,17-20,,
0:53.0,,,17-20,,Defensive rebound by P. Gasol
0:44.0,,,17-22,2,R. Gay makes 2-pt shot from 1 ft
0:32.0,Turnover by E. Gordon (bad pass; steal by D. Green),,17-22,,
0:17.0,,,17-22,,T. Parker misses 2-pt shot from 6 ft
0:17.0,,,17-22,,Offensive rebound by Team
0:17.0,Loose ball foul by R. Anderson (drawn by P. Gasol),,17-22,,
0:05.0,,,17-22,,Shooting foul by J. Johnson (drawn by R. Gay)
0:05.0,,,17-23,1,R. Gay makes free throw 1 of 2
0:05.0,,,17-23,,D. Murray enters the game for P. Gasol
0:05.0,,,17-23,,R. Gay misses free throw 2 of 2
0:02.0,,,17-23,,Offensive rebound by R. Gay
0:02.0,,,17-25,2,R. Gay makes 2-pt shot at rim
0:02.0,,,17-25,,Shooting foul by G. Green (drawn by R. Gay)
0:02.0,,,17-26,1,R. Gay makes free throw 1 of 1
0:00.0,J. Johnson misses 3-pt shot from 47 ft,,17-26,,
0:00.0,Offensive rebound by Team,,17-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,E. Gordon makes 3-pt shot from 27 ft (assist by L. Mbah a Moute),3,20-26,,
11:29.0,,,20-26,,R. Gay misses 2-pt shot from 13 ft
11:26.0,Defensive rebound by E. Gordon,,20-26,,
11:21.0,E. Gordon misses 2-pt shot from 2 ft (block by R. Gay),,20-26,,
11:18.0,Offensive rebound by L. Mbah a Moute,,20-26,,
11:17.0,Turnover by L. Mbah a Moute (bad pass; steal by M. Ginobili),,20-26,,
11:14.0,,,20-28,2,R. Gay makes 2-pt shot at rim
11:13.0,Houston full timeout,,20-28,,
10:50.0,J. Johnson misses 2-pt shot from 12 ft,,20-28,,
10:50.0,,,20-28,,Defensive rebound by Team
10:50.0,Loose ball foul by R. Anderson (drawn by M. Ginobili),,20-28,,
10:36.0,,,20-28,,M. Ginobili misses 2-pt shot from 16 ft
10:32.0,Defensive rebound by R. Anderson,,20-28,,
10:26.0,J. Johnson misses 3-pt shot from 25 ft,,20-28,,
10:22.0,,,20-28,,Defensive rebound by T. Parker
10:14.0,,,20-30,2,P. Gasol makes 2-pt shot from 2 ft (assist by T. Parker)
10:14.0,,,20-30,,Shooting foul by E. Gordon (drawn by P. Gasol)
10:14.0,,,20-30,,P. Gasol misses free throw 1 of 1
10:14.0,Defensive rebound by J. Johnson,,20-30,,
10:14.0,,,20-30,,D. Green enters the game for M. Ginobili
10:07.0,E. Gordon misses 3-pt shot from 25 ft,,20-30,,
10:02.0,,,20-30,,Defensive rebound by P. Gasol
9:39.0,,,20-30,,D. Green misses 2-pt shot from 4 ft
9:37.0,Defensive rebound by J. Johnson,,20-30,,
9:34.0,G. Green makes 3-pt shot from 26 ft,3,23-30,,
9:12.0,,,23-30,,B. Forbes misses 2-pt shot from 9 ft
9:12.0,,,23-30,,Offensive rebound by P. Gasol
9:09.0,,,23-30,,Turnover by P. Gasol (bad pass)
