time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. R. Lopez (J. Grant gains possession),,,,Jump ball: J. Embiid vs. R. Lopez (J. Grant gains possession)
11:47.0,Z. LaVine misses 2-pt shot from 17 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by D. Saric
11:24.0,,,0-0,,B. Simmons misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by R. Lopez,,0-0,,
11:14.0,J. Grant misses 2-pt shot from 12 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by B. Simmons
11:01.0,,,0-2,2,J. Embiid makes 2-pt shot from 19 ft (assist by B. Simmons)
10:38.0,R. Lopez misses 2-pt shot from 1 ft (block by J. Embiid),,0-2,,
10:36.0,,,0-2,,Defensive rebound by R. Covington
10:27.0,,,0-2,,Turnover by B. Simmons (lost ball; steal by J. Grant)
10:21.0,L. Markkanen misses 3-pt shot from 26 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by D. Saric
10:08.0,,,0-2,,D. Saric misses 2-pt shot from 9 ft
10:05.0,Defensive rebound by J. Grant,,0-2,,
10:03.0,Turnover by Z. LaVine (lost ball; steal by D. Saric),,0-2,,
9:59.0,,,0-2,,B. Simmons misses 2-pt shot from 1 ft
9:56.0,Defensive rebound by R. Lopez,,0-2,,
9:41.0,R. Lopez misses 2-pt shot from 8 ft,,0-2,,
9:39.0,,,0-2,,Defensive rebound by B. Simmons
9:31.0,,,0-4,2,J. Embiid makes 2-pt shot from 6 ft (assist by D. Saric)
9:14.0,J. Holiday misses 2-pt shot from 11 ft,,0-4,,
9:12.0,,,0-4,,Defensive rebound by B. Simmons
9:06.0,,,0-4,,D. Saric misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by Z. LaVine,,0-4,,
8:56.0,Z. LaVine misses 3-pt shot from 26 ft,,0-4,,
8:56.0,,,0-4,,Defensive rebound by D. Saric
8:44.0,,,0-4,,J. Embiid misses 3-pt shot from 26 ft
8:40.0,Defensive rebound by Z. LaVine,,0-4,,
8:24.0,L. Markkanen makes 2-pt shot from 2 ft,2,2-4,,
8:24.0,Shooting foul by J. Embiid (drawn by L. Markkanen),,2-4,,
8:24.0,L. Markkanen makes free throw 1 of 1,1,3-4,,
8:09.0,,,3-4,,J. Embiid misses 2-pt shot from 16 ft
8:06.0,Defensive rebound by Z. LaVine,,3-4,,
8:00.0,Z. LaVine misses 2-pt shot from 2 ft,,3-4,,
