time,Chicago,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. C. Felicio (S. Dinwiddie gains possession),,,,Jump ball: J. Allen vs. C. Felicio (S. Dinwiddie gains possession)
11:37.0,,,0-0,,D. Carroll misses 3-pt shot from 26 ft
11:34.0,Defensive rebound by K. Dunn,,0-0,,
11:13.0,J. Holiday misses 2-pt shot from 21 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by A. Crabbe
11:02.0,,,0-0,,Turnover by D. Russell (bad pass; steal by D. Nwaba)
10:54.0,Turnover by L. Markkanen (lost ball; steal by A. Crabbe),,0-0,,
10:51.0,,,0-0,,A. Crabbe misses 2-pt shot from 2 ft
10:46.0,,,0-0,,Offensive rebound by D. Carroll
10:46.0,,,0-0,,D. Carroll misses 2-pt shot at rim (block by J. Holiday)
10:45.0,Defensive rebound by D. Nwaba,,0-0,,
10:42.0,J. Holiday misses 3-pt shot from 25 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by A. Crabbe
10:32.0,,,0-3,3,D. Russell makes 3-pt shot from 28 ft (assist by S. Dinwiddie)
10:11.0,K. Dunn misses 2-pt shot from 22 ft,,0-3,,
10:08.0,,,0-3,,Defensive rebound by D. Russell
10:04.0,,,0-3,,S. Dinwiddie misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by Team,,0-3,,
9:49.0,K. Dunn misses 2-pt shot from 3 ft,,0-3,,
9:46.0,,,0-3,,Defensive rebound by J. Allen
9:38.0,,,0-3,,A. Crabbe misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by D. Nwaba,,0-3,,
9:29.0,K. Dunn misses 2-pt shot from 2 ft,,0-3,,
9:27.0,Offensive rebound by L. Markkanen,,0-3,,
9:27.0,L. Markkanen makes 2-pt shot at rim,2,2-3,,
9:11.0,,,2-6,3,D. Russell makes 3-pt shot from 26 ft (assist by D. Carroll)
8:50.0,,,2-6,,Violation by D. Russell (kicked ball)
8:42.0,C. Felicio makes 2-pt shot from 3 ft (assist by K. Dunn),2,4-6,,
8:32.0,,,4-6,,D. Russell misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by D. Nwaba,,4-6,,
