time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. M. Turner (K. Irving gains possession),,,,Jump ball: A. Baynes vs. M. Turner (K. Irving gains possession)
11:32.0,,,0-0,,J. Brown misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by B. Bogdanovic,,0-0,,
11:16.0,M. Turner misses 2-pt shot from 17 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by J. Tatum
11:03.0,,,0-0,,A. Baynes misses 2-pt shot from 1 ft
11:02.0,,,0-0,,Offensive rebound by A. Baynes
11:02.0,,,0-0,,A. Baynes misses 2-pt shot from 1 ft
11:01.0,,,0-0,,Offensive rebound by A. Baynes
10:49.0,,,0-0,,K. Irving misses 2-pt shot from 3 ft
10:49.0,Defensive rebound by Team,,0-0,,
10:49.0,,,0-0,,Loose ball foul by A. Baynes (drawn by M. Turner)
10:36.0,Shooting foul by J. Brown (drawn by V. Oladipo),,0-0,,
10:36.0,V. Oladipo makes free throw 1 of 2,1,1-0,,
10:36.0,V. Oladipo makes free throw 2 of 2,1,2-0,,
10:12.0,,,2-0,,J. Tatum misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by V. Oladipo,,2-0,,
10:08.0,Turnover by V. Oladipo (traveling),,2-0,,
9:53.0,,,2-2,2,J. Brown makes 2-pt shot at rim
9:41.0,M. Turner makes 3-pt shot from 25 ft (assist by C. Joseph),3,5-2,,
9:24.0,,,5-4,2,J. Tatum makes 2-pt shot from 1 ft (assist by K. Irving)
9:06.0,V. Oladipo makes 3-pt shot from 26 ft,3,8-4,,
8:48.0,,,8-4,,J. Tatum misses 2-pt shot from 2 ft (block by M. Turner)
8:48.0,,,8-4,,Offensive rebound by Team
8:40.0,,,8-6,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
8:22.0,C. Joseph misses 2-pt shot from 11 ft,,8-6,,
8:18.0,Offensive rebound by C. Joseph,,8-6,,
8:12.0,M. Turner misses 3-pt shot from 23 ft,,8-6,,
8:08.0,,,8-6,,Defensive rebound by A. Horford
8:01.0,,,8-6,,A. Horford misses 2-pt shot from 21 ft
7:56.0,,,8-6,,Offensive rebound by A. Horford
7:50.0,,,8-6,,K. Irving misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by B. Bogdanovic,,8-6,,
7:36.0,,,8-6,,Personal foul by J. Brown (drawn by M. Turner)
7:36.0,,,8-6,,S. Ojeleye enters the game for J. Brown
7:28.0,B. Bogdanovic makes 2-pt shot from 13 ft (assist by C. Joseph),2,10-6,,
7:11.0,,,10-6,,A. Horford misses 2-pt shot from 1 ft
7:10.0,Defensive rebound by M. Turner,,10-6,,
6:58.0,C. Joseph misses 3-pt shot from 27 ft,,10-6,,
6:58.0,,,10-6,,Defensive rebound by A. Horford
6:58.0,Personal foul by T. Young (drawn by A. Horford),,10-6,,
6:58.0,,,10-6,,Boston full timeout
6:34.0,,,10-6,,S. Ojeleye misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by M. Turner,,10-6,,
6:27.0,V. Oladipo misses 2-pt shot from 2 ft (block by A. Baynes),,10-6,,
6:26.0,Offensive rebound by T. Young,,10-6,,
6:26.0,T. Young makes 2-pt shot at rim,2,12-6,,
6:05.0,,,12-8,2,J. Tatum makes 2-pt shot from 21 ft
5:47.0,M. Turner makes 2-pt shot from 22 ft (assist by C. Joseph),2,14-8,,
5:27.0,,,14-8,,A. Baynes misses 3-pt shot from 23 ft
5:25.0,Defensive rebound by V. Oladipo,,14-8,,
5:11.0,V. Oladipo makes 2-pt shot from 18 ft,2,16-8,,
4:50.0,,,16-10,2,J. Tatum makes 2-pt shot from 12 ft
