time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (J. Ingles gains possession),,,,Jump ball: C. Capela vs. R. Gobert (J. Ingles gains possession)
11:39.0,D. Favors makes 2-pt shot at rim (assist by D. Mitchell),2,2-0,,
11:24.0,,,2-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
11:13.0,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell),2,4-2,,
10:59.0,,,4-4,2,C. Paul makes 2-pt shot from 12 ft
10:49.0,Offensive foul by J. Ingles (drawn by T. Ariza),,4-4,,
10:49.0,Turnover by J. Ingles (offensive foul),,4-4,,
10:31.0,,,4-4,,T. Ariza misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by R. O'Neale,,4-4,,
10:10.0,Shooting foul by P. Tucker (drawn by R. O'Neale),,4-4,,
10:10.0,R. O'Neale misses free throw 1 of 2,,4-4,,
10:10.0,Offensive rebound by Team,,4-4,,
10:10.0,R. O'Neale makes free throw 2 of 2,1,5-4,,
10:03.0,Personal foul by R. O'Neale (drawn by J. Harden),,5-4,,
9:56.0,,,5-6,2,J. Harden makes 2-pt shot from 7 ft (assist by C. Capela)
9:44.0,J. Ingles makes 2-pt shot from 2 ft (assist by D. Mitchell),2,7-6,,
9:35.0,,,7-6,,C. Paul misses 2-pt shot from 12 ft
9:30.0,,,7-6,,Offensive rebound by C. Capela
9:30.0,,,7-6,,C. Capela misses 2-pt shot at rim
9:29.0,Defensive rebound by R. O'Neale,,7-6,,
9:24.0,J. Ingles makes 3-pt shot from 26 ft (assist by R. O'Neale),3,10-6,,
9:09.0,,,10-8,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
8:53.0,J. Ingles makes 3-pt shot from 27 ft (assist by D. Mitchell),3,13-8,,
8:35.0,,,13-11,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Capela)
8:22.0,D. Mitchell misses 3-pt shot from 25 ft,,13-11,,
8:19.0,,,13-11,,Defensive rebound by P. Tucker
8:14.0,,,13-11,,Shooting foul by D. Mitchell (drawn by J. Harden)
8:14.0,,,13-12,1,J. Harden makes free throw 1 of 2
8:14.0,,,13-13,1,J. Harden makes free throw 2 of 2
8:05.0,D. Favors misses 2-pt shot from 5 ft,,13-13,,
8:04.0,Offensive rebound by R. Gobert,,13-13,,
8:02.0,R. Gobert misses 2-pt shot from 3 ft (block by C. Capela),,13-13,,
8:01.0,,,13-13,,Defensive rebound by P. Tucker
7:53.0,,,13-13,,T. Ariza misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by R. Gobert,,13-13,,
7:40.0,R. O'Neale makes 2-pt shot at rim (assist by D. Mitchell),2,15-13,,
7:23.0,,,15-13,,J. Harden misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by D. Mitchell,,15-13,,
7:12.0,Turnover by D. Mitchell (bad pass; steal by C. Capela),,15-13,,
7:04.0,,,15-13,,Turnover by C. Paul (bad pass; steal by D. Mitchell)
6:51.0,J. Ingles makes 3-pt shot from 26 ft,3,18-13,,
6:34.0,,,18-13,,C. Paul misses 2-pt shot from 14 ft
6:32.0,Defensive rebound by R. Gobert,,18-13,,
6:23.0,D. Mitchell makes 2-pt shot from 3 ft,2,20-13,,
6:23.0,,,20-13,,Houston full timeout
6:23.0,,,20-13,,L. Mbah a Moute enters the game for T. Ariza
6:23.0,,,20-13,,E. Gordon enters the game for C. Paul
6:23.0,J. Crowder enters the game for D. Favors,,20-13,,
6:23.0,D. Exum enters the game for R. O'Neale,,20-13,,
6:00.0,,,20-15,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
5:41.0,D. Exum misses 3-pt shot from 25 ft,,20-15,,
5:38.0,,,20-15,,Defensive rebound by C. Capela
5:25.0,,,20-15,,C. Capela misses 2-pt shot from 4 ft
5:23.0,,,20-15,,Offensive rebound by J. Harden
5:22.0,,,20-17,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:09.0,R. Gobert makes 2-pt shot at rim (assist by J. Crowder),2,22-17,,
5:09.0,Shooting foul by C. Capela (drawn by R. Gobert),,22-17,,
5:09.0,R. Gobert misses free throw 1 of 1,,22-17,,
5:07.0,,,22-17,,Defensive rebound by P. Tucker
4:59.0,,,22-17,,Turnover by E. Gordon (bad pass)
4:59.0,,,22-17,,N. Hilario enters the game for C. Capela
4:47.0,Turnover by R. Gobert (out of bounds lost ball),,22-17,,
4:28.0,Personal block foul by D. Exum (drawn by J. Harden),,22-17,,
4:20.0,,,22-17,,P. Tucker misses 2-pt shot from 5 ft
4:18.0,Defensive rebound by J. Ingles,,22-17,,
4:12.0,J. Ingles misses 3-pt shot from 28 ft,,22-17,,
4:10.0,,,22-17,,Defensive rebound by L. Mbah a Moute
3:59.0,,,22-17,,J. Harden misses 2-pt shot from 12 ft
3:57.0,Defensive rebound by D. Exum,,22-17,,
3:49.0,Turnover by J. Ingles (bad pass; steal by E. Gordon),,22-17,,
3:43.0,,,22-17,,E. Gordon misses 2-pt shot from 3 ft
3:41.0,Defensive rebound by R. Gobert,,22-17,,
3:37.0,D. Exum misses 2-pt shot from 3 ft,,22-17,,
3:34.0,,,22-17,,Defensive rebound by N. Hilario
3:29.0,,,22-19,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by P. Tucker)
3:29.0,,,22-19,,Shooting foul by J. Crowder (drawn by L. Mbah a Moute)
3:29.0,,,22-19,,G. Green enters the game for P. Tucker
3:29.0,A. Burks enters the game for J. Ingles,,22-19,,
3:29.0,,,22-19,,L. Mbah a Moute misses free throw 1 of 1
3:29.0,Defensive rebound by R. Gobert,,22-19,,
3:14.0,D. Mitchell misses 2-pt shot from 7 ft (block by L. Mbah a Moute),,22-19,,
3:14.0,,,22-19,,Defensive rebound by L. Mbah a Moute
3:14.0,Personal foul by D. Mitchell (drawn by L. Mbah a Moute),,22-19,,
3:14.0,,,22-20,1,L. Mbah a Moute makes free throw 1 of 2
3:14.0,,,22-21,1,L. Mbah a Moute makes free throw 2 of 2
2:58.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Burks),3,25-21,,
2:52.0,,,25-21,,Turnover by J. Harden (bad pass; steal by A. Burks)
2:48.0,A. Burks makes 2-pt shot from 3 ft,2,27-21,,
2:35.0,Utah full timeout,,27-21,,
2:35.0,,,27-21,,C. Paul enters the game for J. Harden
2:35.0,D. Favors enters the game for D. Exum,,27-21,,
2:35.0,R. O'Neale enters the game for R. Gobert,,27-21,,
2:22.0,,,27-21,,C. Paul misses 2-pt shot from 18 ft
2:18.0,Defensive rebound by J. Crowder,,27-21,,
2:01.0,J. Crowder misses 2-pt shot from 13 ft,,27-21,,
2:00.0,Offensive rebound by D. Favors,,27-21,,
1:59.0,D. Favors makes 2-pt shot from 2 ft,2,29-21,,
1:43.0,,,29-21,,E. Gordon misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by J. Crowder,,29-21,,
1:34.0,Shooting foul by C. Paul (drawn by D. Mitchell),,29-21,,
1:34.0,D. Mitchell makes free throw 1 of 2,1,30-21,,
1:34.0,D. Mitchell makes free throw 2 of 2,1,31-21,,
1:23.0,,,31-24,3,G. Green makes 3-pt shot from 26 ft (assist by L. Mbah a Moute)
0:58.0,J. Crowder makes 3-pt shot from 23 ft (assist by A. Burks),3,34-24,,
0:58.0,Shooting foul by E. Gordon (drawn by J. Crowder),,34-24,,
0:58.0,,,34-24,,R. Anderson enters the game for N. Hilario
0:58.0,R. Neto enters the game for D. Mitchell,,34-24,,
0:58.0,J. Crowder misses free throw 1 of 1,,34-24,,
0:58.0,,,34-24,,Defensive rebound by R. Anderson
0:46.0,,,34-26,2,C. Paul makes 2-pt shot from 2 ft
0:33.0,Turnover by A. Burks (bad pass; steal by G. Green),,34-26,,
0:25.0,,,34-28,2,C. Paul makes 2-pt shot from 2 ft
0:06.0,A. Burks makes 2-pt shot from 3 ft,2,36-28,,
0:00.0,,,36-28,,R. Anderson misses 3-pt shot from 31 ft
0:00.0,,,36-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,36-28,,L. Mbah a Moute misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by J. Crowder,,36-28,,
11:24.0,A. Burks makes 2-pt shot from 21 ft (assist by D. Favors),2,38-28,,
11:24.0,Shooting foul by R. Anderson (drawn by A. Burks),,38-28,,
11:24.0,A. Burks makes free throw 1 of 1,1,39-28,,
11:14.0,,,39-31,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Paul)
10:54.0,R. Neto misses 2-pt shot from 6 ft (block by E. Gordon),,39-31,,
10:52.0,,,39-31,,Defensive rebound by E. Gordon
10:39.0,,,39-31,,L. Mbah a Moute misses 2-pt shot from 2 ft (block by D. Favors)
10:37.0,Defensive rebound by D. Favors,,39-31,,
10:33.0,R. O'Neale misses 3-pt shot from 26 ft,,39-31,,
10:33.0,,,39-31,,Defensive rebound by L. Mbah a Moute
10:20.0,,,39-31,,Turnover by L. Mbah a Moute (bad pass; steal by D. Favors)
10:13.0,R. O'Neale makes 3-pt shot from 24 ft (assist by A. Burks),3,42-31,,
9:55.0,,,42-31,,C. Paul misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by R. Neto,,42-31,,
9:44.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Neto),2,44-31,,
9:34.0,,,44-33,2,E. Gordon makes 2-pt shot from 1 ft
9:26.0,A. Burks makes 2-pt shot from 2 ft,2,46-33,,
9:20.0,,,46-33,,G. Green misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by D. Favors,,46-33,,
9:13.0,Shooting foul by C. Paul (drawn by J. Crowder),,46-33,,
9:13.0,J. Crowder makes free throw 1 of 2,1,47-33,,
9:13.0,J. Crowder misses free throw 2 of 2,,47-33,,
9:13.0,,,47-33,,Defensive rebound by C. Capela
9:13.0,,,47-33,,J. Harden enters the game for L. Mbah a Moute
9:13.0,,,47-33,,C. Capela enters the game for G. Green
9:13.0,,,47-33,,T. Ariza enters the game for R. Anderson
9:01.0,,,47-35,2,J. Harden makes 2-pt shot from 1 ft
8:41.0,R. O'Neale misses 2-pt shot from 5 ft,,47-35,,
8:40.0,,,47-35,,Defensive rebound by J. Harden
8:35.0,,,47-37,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
8:34.0,Utah full timeout,,47-37,,
8:34.0,J. Ingles enters the game for D. Favors,,47-37,,
8:34.0,R. Gobert enters the game for R. Neto,,47-37,,
8:34.0,D. Mitchell enters the game for J. Crowder,,47-37,,
8:20.0,R. Gobert makes 2-pt shot at rim (assist by D. Mitchell),2,49-37,,
7:58.0,,,49-37,,J. Harden misses 2-pt shot from 3 ft
7:56.0,Defensive rebound by R. Gobert,,49-37,,
7:50.0,A. Burks makes 2-pt shot from 2 ft (assist by D. Mitchell),2,51-37,,
7:43.0,Personal block foul by A. Burks (drawn by E. Gordon),,51-37,,
7:34.0,,,51-37,,C. Paul misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by R. Gobert,,51-37,,
7:21.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,53-37,,
7:21.0,,,53-37,,Houston full timeout
7:09.0,,,53-37,,J. Harden misses 2-pt shot from 4 ft (block by R. Gobert)
7:09.0,,,53-37,,Offensive rebound by Team
7:09.0,,,53-37,,P. Tucker enters the game for C. Paul
7:09.0,D. Exum enters the game for A. Burks,,53-37,,
7:09.0,J. Crowder enters the game for R. O'Neale,,53-37,,
6:59.0,,,53-37,,J. Harden misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by R. Gobert,,53-37,,
6:49.0,D. Mitchell makes 3-pt shot from 26 ft,3,56-37,,
6:30.0,,,56-37,,E. Gordon misses 2-pt shot from 14 ft
6:26.0,,,56-37,,Offensive rebound by E. Gordon
6:26.0,,,56-37,,E. Gordon misses 2-pt shot at rim
6:26.0,Defensive rebound by J. Crowder,,56-37,,
6:15.0,D. Exum misses 2-pt shot from 4 ft,,56-37,,
