time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: P. Millsap vs. Z. Pachulia (D. Green gains possession)
11:41.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,3-0,,
11:25.0,,,3-0,,N. Jokic misses 2-pt shot from 6 ft
11:22.0,Defensive rebound by D. Green,,3-0,,
11:17.0,Turnover by K. Durant (bad pass; steal by N. Jokic),,3-0,,
11:03.0,,,3-0,,Turnover by P. Millsap (bad pass; steal by D. Green)
10:49.0,K. Thompson makes 3-pt shot from 23 ft (assist by Z. Pachulia),3,6-0,,
10:34.0,,,6-0,,N. Jokic misses 2-pt shot from 18 ft
10:30.0,Defensive rebound by Z. Pachulia,,6-0,,
10:25.0,D. Green makes 2-pt shot from 2 ft,2,8-0,,
10:05.0,,,8-2,2,P. Millsap makes 2-pt shot from 10 ft
9:59.0,Turnover by S. Curry (bad pass; steal by P. Millsap),,8-2,,
9:52.0,,,8-2,,Turnover by N. Jokic (bad pass; steal by Z. Pachulia)
9:45.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,10-2,,
9:45.0,,,10-2,,Denver full timeout
9:35.0,Personal foul by Z. Pachulia (drawn by N. Jokic),,10-2,,
9:23.0,,,10-2,,W. Chandler misses 2-pt shot from 19 ft
9:20.0,Defensive rebound by Z. Pachulia,,10-2,,
9:13.0,S. Curry misses 3-pt shot from 25 ft,,10-2,,
9:10.0,,,10-2,,Defensive rebound by N. Jokic
9:04.0,,,10-2,,Turnover by P. Millsap (bad pass)
8:50.0,K. Durant misses 3-pt shot from 24 ft,,10-2,,
8:47.0,,,10-2,,Defensive rebound by N. Jokic
8:30.0,,,10-2,,P. Millsap misses 2-pt shot from 20 ft
8:30.0,Defensive rebound by Team,,10-2,,
8:20.0,S. Curry misses 2-pt shot from 17 ft,,10-2,,
8:17.0,,,10-2,,Defensive rebound by N. Jokic
8:12.0,,,10-5,3,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris)
7:51.0,Turnover by K. Thompson (bad pass; steal by J. Murray),,10-5,,
7:40.0,,,10-7,2,N. Jokic makes 2-pt shot from 7 ft
7:35.0,K. Thompson makes 2-pt shot from 21 ft (assist by S. Curry),2,12-7,,
7:17.0,,,12-7,,N. Jokic misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by Z. Pachulia,,12-7,,
7:12.0,K. Durant makes 3-pt shot from 24 ft (assist by D. Green),3,15-7,,
6:58.0,,,15-7,,J. Murray misses 2-pt shot from 11 ft
6:55.0,Defensive rebound by K. Durant,,15-7,,
6:53.0,K. Durant misses 3-pt shot from 25 ft,,15-7,,
6:52.0,Offensive rebound by D. Green,,15-7,,
6:51.0,D. Green misses 2-pt shot from 2 ft,,15-7,,
6:50.0,Offensive rebound by K. Durant,,15-7,,
6:49.0,K. Durant makes 2-pt shot from 2 ft,2,17-7,,
6:30.0,,,17-9,2,W. Chandler makes 2-pt shot from 6 ft
6:05.0,K. Thompson misses 2-pt shot from 18 ft (block by G. Harris),,17-9,,
6:05.0,,,17-9,,Defensive rebound by G. Harris
5:56.0,,,17-11,2,P. Millsap makes 2-pt shot from 4 ft (assist by W. Chandler)
5:46.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,19-11,,
