time,New York,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. K. Porzingis (T. Gibson gains possession),,,,Jump ball: K. Towns vs. K. Porzingis (T. Gibson gains possession)
11:46.0,Personal foul by C. Lee (drawn by T. Gibson),,0-0,,
11:34.0,,,0-0,,J. Teague misses 3-pt shot from 23 ft
11:32.0,,,0-0,,Offensive rebound by T. Gibson
11:30.0,,,0-0,,T. Gibson misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by E. Kanter,,0-0,,
11:13.0,J. Jack misses 2-pt shot from 8 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by K. Towns
11:02.0,,,0-2,2,A. Wiggins makes 2-pt shot from 6 ft
10:50.0,Offensive charge foul by E. Kanter (drawn by K. Towns),,0-2,,
10:50.0,Turnover by E. Kanter (offensive foul),,0-2,,
10:37.0,,,0-2,,Offensive foul by K. Towns (drawn by L. Thomas)
10:37.0,,,0-2,,Turnover by K. Towns (offensive foul)
10:16.0,K. Porzingis makes 2-pt shot from 1 ft (assist by C. Lee),2,2-2,,
9:53.0,,,2-2,,J. Butler misses 2-pt shot from 1 ft
9:50.0,Defensive rebound by K. Porzingis,,2-2,,
9:44.0,L. Thomas misses 3-pt shot from 23 ft,,2-2,,
9:41.0,,,2-2,,Defensive rebound by K. Towns
9:27.0,,,2-2,,J. Teague misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by E. Kanter,,2-2,,
9:19.0,J. Jack misses 2-pt shot from 17 ft,,2-2,,
9:19.0,Offensive rebound by E. Kanter,,2-2,,
9:14.0,E. Kanter makes 2-pt shot at rim,2,4-2,,
9:06.0,,,4-2,,T. Gibson misses 2-pt shot at rim
9:06.0,Defensive rebound by K. Porzingis,,4-2,,
8:54.0,Offensive foul by E. Kanter (drawn by J. Teague),,4-2,,
8:54.0,Turnover by E. Kanter (offensive foul),,4-2,,
8:33.0,,,4-4,2,J. Butler makes 2-pt shot from 13 ft (assist by K. Towns)
8:18.0,C. Lee makes 2-pt shot from 17 ft,2,6-4,,
8:10.0,,,6-4,,Turnover by J. Teague (bad pass; steal by K. Porzingis)
8:02.0,E. Kanter makes 2-pt shot from 1 ft,2,8-4,,
7:44.0,,,8-4,,K. Towns misses 2-pt shot from 3 ft
7:42.0,,,8-4,,Offensive rebound by K. Towns
7:41.0,,,8-6,2,K. Towns makes 2-pt shot from 2 ft
7:32.0,,,8-6,,Personal foul by T. Gibson (drawn by K. Porzingis)
7:30.0,,,8-6,,Personal foul by J. Teague (drawn by J. Jack)
7:18.0,E. Kanter makes 2-pt shot from 7 ft (assist by J. Jack),2,10-6,,
7:07.0,,,10-6,,J. Teague misses 2-pt shot from 2 ft (block by K. Porzingis)
7:03.0,,,10-6,,Offensive rebound by A. Wiggins
7:03.0,,,10-8,2,A. Wiggins makes 2-pt shot from 3 ft
6:56.0,E. Kanter makes 2-pt shot from 15 ft (assist by J. Jack),2,12-8,,
6:42.0,,,12-8,,Turnover by J. Butler (bad pass; steal by K. Porzingis)
6:32.0,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Lee),3,15-8,,
6:08.0,,,15-11,3,J. Teague makes 3-pt shot from 22 ft (assist by T. Gibson)
5:56.0,C. Lee misses 3-pt shot from 26 ft,,15-11,,
5:52.0,,,15-11,,Defensive rebound by A. Wiggins
5:50.0,,,15-11,,A. Wiggins misses 2-pt shot from 3 ft (block by K. Porzingis)
5:50.0,Defensive rebound by Team,,15-11,,
5:50.0,,,15-11,,Minnesota full timeout
5:50.0,T. Hardaway enters the game for E. Kanter,,15-11,,
5:50.0,K. O'Quinn enters the game for C. Lee,,15-11,,
5:32.0,J. Jack makes 2-pt shot from 21 ft,2,17-11,,
5:14.0,,,17-13,2,A. Wiggins makes 2-pt shot from 20 ft (assist by K. Towns)
4:55.0,K. O'Quinn misses 2-pt shot from 14 ft,,17-13,,
4:52.0,,,17-13,,Defensive rebound by J. Butler
4:46.0,,,17-13,,J. Teague misses 2-pt shot from 9 ft
4:44.0,,,17-13,,Offensive rebound by K. Towns
4:44.0,,,17-13,,K. Towns misses 2-pt shot from 4 ft
4:43.0,,,17-13,,Offensive rebound by Team
4:43.0,,,17-13,,G. Dieng enters the game for K. Towns
4:33.0,,,17-15,2,J. Butler makes 2-pt shot from 13 ft (assist by J. Teague)
4:09.0,T. Hardaway misses 3-pt shot from 22 ft,,17-15,,
4:07.0,,,17-15,,Defensive rebound by G. Dieng
3:58.0,,,17-15,,G. Dieng misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by T. Hardaway,,17-15,,
3:53.0,T. Hardaway misses 2-pt shot from 13 ft,,17-15,,
3:50.0,,,17-15,,Defensive rebound by J. Butler
3:34.0,,,17-15,,J. Butler misses 2-pt shot from 12 ft
3:31.0,Defensive rebound by K. O'Quinn,,17-15,,
3:18.0,K. O'Quinn makes 2-pt shot at rim (assist by J. Jack),2,19-15,,
3:11.0,,,19-15,,Minnesota full timeout
3:11.0,,,19-15,,T. Jones enters the game for J. Teague
3:11.0,,,19-15,,J. Crawford enters the game for J. Butler
3:11.0,F. Ntilikina enters the game for J. Jack,,19-15,,
