time,Houston,pts.away,score,pts.home,Sacramento
0:28.0,L. Mbah a Moute enters the game for C. Capela,,98-93,,
0:26.0,Personal foul by E. Gordon (drawn by G. Hill),,98-93,,
0:26.0,,,98-94,1,G. Hill makes free throw 1 of 2
0:26.0,,,98-94,,J. Jackson enters the game for S. Labissiere
0:26.0,R. Anderson enters the game for L. Mbah a Moute,,98-94,,
0:26.0,,,98-95,1,G. Hill makes free throw 2 of 2
0:26.0,,,98-95,,Personal foul by G. Hill (drawn by E. Gordon)
0:26.0,E. Gordon makes free throw 1 of 2,1,99-95,,
0:26.0,L. Mbah a Moute enters the game for R. Anderson,,99-95,,
0:26.0,E. Gordon makes free throw 2 of 2,1,100-95,,
0:17.0,,,100-97,2,B. Hield makes 2-pt shot from 19 ft
0:16.0,,,100-97,,Personal foul by B. Hield (drawn by J. Harden)
0:16.0,J. Harden misses free throw 1 of 2,,100-97,,
0:16.0,Offensive rebound by Team,,100-97,,
0:16.0,J. Harden makes free throw 2 of 2,1,101-97,,
0:10.0,Personal foul by P. Tucker (drawn by G. Hill),,101-97,,
0:10.0,,,101-98,1,G. Hill makes free throw 1 of 2
0:10.0,R. Anderson enters the game for L. Mbah a Moute,,101-98,,
0:10.0,,,101-98,,G. Hill misses free throw 2 of 2
0:09.0,Defensive rebound by R. Anderson,,101-98,,
0:09.0,,,101-98,,Personal foul by B. Hield (drawn by R. Anderson)
0:09.0,R. Anderson makes free throw 1 of 2,1,102-98,,
0:09.0,,,102-98,,K. Koufos enters the game for G. Temple
0:09.0,R. Anderson makes free throw 2 of 2,1,103-98,,
0:09.0,,,103-98,,Sacramento full timeout
0:09.0,,,103-98,,G. Temple enters the game for J. Jackson
0:09.0,,,103-98,,D. Fox enters the game for K. Koufos
0:09.0,L. Mbah a Moute enters the game for R. Anderson,,103-98,,
0:07.0,,,103-100,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple)
0:06.0,,,103-100,,Personal foul by G. Hill (drawn by T. Ariza)
0:06.0,T. Ariza makes free throw 1 of 2,1,104-100,,
0:06.0,T. Ariza makes free throw 2 of 2,1,105-100,,
0:00.0,,,105-100,,D. Fox misses 3-pt shot from 25 ft
0:00.0,,,105-100,,Offensive rebound by Team
