time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: K. Love vs. J. Henson (G. Antetokounmpo gains possession)
11:39.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,2-0,,
11:24.0,,,2-0,,K. Love misses 2-pt shot from 1 ft (block by K. Middleton)
11:20.0,Defensive rebound by J. Henson,,2-0,,
11:18.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,2-0,,
11:18.0,Offensive rebound by J. Henson,,2-0,,
11:12.0,J. Henson makes 2-pt shot from 7 ft,2,4-0,,
10:50.0,,,4-2,2,J. Green makes 2-pt shot at rim (assist by L. James)
10:41.0,K. Middleton makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,7-2,,
10:29.0,,,7-4,2,K. Korver makes 2-pt shot at rim (assist by L. James)
10:08.0,E. Bledsoe misses 3-pt shot from 23 ft,,7-4,,
10:04.0,,,7-4,,Defensive rebound by K. Love
9:55.0,,,7-7,3,K. Korver makes 3-pt shot from 23 ft (assist by L. James)
9:34.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,7-7,,
9:31.0,,,7-7,,Defensive rebound by L. James
9:30.0,Personal foul by G. Antetokounmpo (drawn by L. James),,7-7,,
9:08.0,,,7-7,,J. Green misses 3-pt shot from 23 ft
9:04.0,,,7-7,,Offensive rebound by K. Love
8:56.0,,,7-7,,G. Hill misses 3-pt shot from 24 ft (block by E. Bledsoe)
8:51.0,Defensive rebound by J. Henson,,7-7,,
8:42.0,E. Bledsoe misses 3-pt shot from 25 ft,,7-7,,
8:39.0,,,7-7,,Defensive rebound by K. Korver
8:29.0,,,7-7,,L. James misses 2-pt shot from 21 ft
8:26.0,Defensive rebound by J. Henson,,7-7,,
8:13.0,J. Henson misses 2-pt shot from 5 ft (block by K. Love),,7-7,,
8:13.0,Offensive rebound by Team,,7-7,,
8:05.0,K. Middleton makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,10-7,,
7:40.0,,,10-7,,G. Hill misses 3-pt shot from 26 ft
