time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Zeller (E. Ilyasova gains possession),,,,Jump ball: M. Plumlee vs. T. Zeller (E. Ilyasova gains possession)
11:43.0,,,0-2,2,K. Bazemore makes 2-pt shot from 4 ft (assist by E. Ilyasova)
11:43.0,,,0-2,,Shooting foul by A. Crabbe (drawn by K. Bazemore)
11:43.0,,,0-3,1,K. Bazemore makes free throw 1 of 1
11:32.0,Turnover by A. Crabbe (lost ball; steal by E. Ilyasova),,0-3,,
11:24.0,,,0-3,,T. Waller-Prince misses 3-pt shot from 22 ft
11:21.0,,,0-3,,Offensive rebound by D. Schroder
11:18.0,,,0-3,,Turnover by D. Schroder (out of bounds lost ball)
11:10.0,Shooting foul by E. Ilyasova (drawn by D. Carroll),,0-3,,
11:10.0,D. Carroll makes free throw 1 of 2,1,1-3,,
11:10.0,D. Carroll makes free throw 2 of 2,1,2-3,,
10:57.0,,,2-3,,K. Bazemore misses 2-pt shot from 12 ft
10:50.0,,,2-3,,Offensive rebound by M. Plumlee
10:50.0,,,2-3,,M. Plumlee misses 2-pt shot at rim
10:49.0,Defensive rebound by T. Zeller,,2-3,,
10:41.0,D. Carroll misses 2-pt shot from 9 ft,,2-3,,
10:35.0,Offensive rebound by T. Zeller,,2-3,,
10:35.0,T. Zeller misses 2-pt shot at rim,,2-3,,
10:35.0,Offensive rebound by D. Carroll,,2-3,,
10:31.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Carroll),3,5-3,,
10:13.0,,,5-3,,T. Waller-Prince misses 2-pt shot from 5 ft (block by T. Zeller)
10:11.0,Defensive rebound by D. Carroll,,5-3,,
10:08.0,Turnover by D. Carroll (bad pass; steal by M. Plumlee),,5-3,,
9:55.0,,,5-3,,K. Bazemore misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by T. Zeller,,5-3,,
9:48.0,Shooting foul by E. Ilyasova (drawn by R. Hollis-Jefferson),,5-3,,
9:48.0,R. Hollis-Jefferson makes free throw 1 of 2,1,6-3,,
9:48.0,,,6-3,,T. Cavanaugh enters the game for E. Ilyasova
9:48.0,R. Hollis-Jefferson makes free throw 2 of 2,1,7-3,,
9:39.0,,,7-3,,Offensive foul by T. Cavanaugh (drawn by S. Dinwiddie)
9:39.0,,,7-3,,Turnover by T. Cavanaugh (offensive foul)
9:30.0,A. Crabbe makes 2-pt shot from 6 ft (assist by R. Hollis-Jefferson),2,9-3,,
9:29.0,,,9-3,,Atlanta full timeout
9:15.0,,,9-3,,Turnover by M. Plumlee (turnover)
9:07.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,9-3,,
9:05.0,,,9-3,,Defensive rebound by D. Schroder
8:54.0,,,9-5,2,D. Schroder makes 2-pt shot from 20 ft
8:38.0,R. Hollis-Jefferson misses 2-pt shot from 15 ft,,9-5,,
8:34.0,,,9-5,,Defensive rebound by M. Plumlee
8:21.0,,,9-5,,K. Bazemore misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by D. Carroll,,9-5,,
8:15.0,A. Crabbe misses 3-pt shot from 25 ft,,9-5,,
8:12.0,,,9-5,,Defensive rebound by T. Waller-Prince
8:02.0,,,9-8,3,D. Schroder makes 3-pt shot from 25 ft
7:41.0,Offensive foul by T. Zeller (drawn by T. Waller-Prince),,9-8,,
7:41.0,Turnover by T. Zeller (offensive foul),,9-8,,
7:41.0,,,9-8,,D. Bembry enters the game for M. Plumlee
7:31.0,,,9-8,,K. Bazemore misses 2-pt shot from 16 ft
7:28.0,,,9-8,,Offensive rebound by K. Bazemore
7:22.0,,,9-8,,Shooting foul by A. Crabbe (drawn by K. Bazemore)
7:22.0,,,9-9,1,K. Bazemore makes free throw 1 of 2
7:22.0,C. LeVert enters the game for A. Crabbe,,9-9,,
7:22.0,,,9-10,1,K. Bazemore makes free throw 2 of 2
7:09.0,S. Dinwiddie misses 3-pt shot from 25 ft,,9-10,,
7:05.0,,,9-10,,Defensive rebound by K. Bazemore
6:58.0,,,9-12,2,D. Schroder makes 2-pt shot from 1 ft
6:57.0,Brooklyn full timeout,,9-12,,
6:57.0,J. Allen enters the game for T. Zeller,,9-12,,
6:51.0,,,9-12,,Personal foul by T. Waller-Prince (drawn by S. Dinwiddie)
6:34.0,C. LeVert makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,12-12,,
6:14.0,,,12-12,,D. Bembry misses 2-pt shot from 8 ft (block by C. LeVert)
6:13.0,,,12-12,,Offensive rebound by D. Bembry
6:08.0,,,12-12,,T. Waller-Prince misses 3-pt shot from 24 ft
6:06.0,,,12-12,,Offensive rebound by T. Cavanaugh
6:06.0,,,12-12,,Shooting foul by J. Allen (drawn by T. Cavanaugh)
6:06.0,,,12-12,,T. Cavanaugh misses free throw 1 of 2
6:06.0,,,12-12,,Offensive rebound by Team
6:06.0,,,12-13,1,T. Cavanaugh makes free throw 2 of 2
5:58.0,Offensive foul by J. Allen (drawn by D. Schroder),,12-13,,
5:58.0,Turnover by J. Allen (offensive foul),,12-13,,
5:58.0,,,12-13,,M. Belinelli enters the game for T. Waller-Prince
5:58.0,,,12-13,,L. Babbitt enters the game for K. Bazemore
5:58.0,T. Booker enters the game for R. Hollis-Jefferson,,12-13,,
5:39.0,,,12-15,2,D. Bembry makes 2-pt shot from 9 ft (assist by D. Schroder)
5:24.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by J. Allen),3,15-15,,
5:02.0,,,15-18,3,D. Bembry makes 3-pt shot from 24 ft (assist by L. Babbitt)
4:45.0,C. LeVert makes 2-pt shot from 13 ft,2,17-18,,
