time,New York,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs.,,,,Jump ball: K. Porzingis vs.
11:45.0,,,0-3,3,W. Barton makes 3-pt shot from 22 ft (assist by J. Murray)
11:27.0,K. Porzingis makes 2-pt shot from 11 ft (assist by J. Jack),2,2-3,,
11:08.0,,,2-5,2,M. Plumlee makes 2-pt shot from 2 ft (assist by N. Jokic)
10:57.0,C. Lee misses 2-pt shot from 21 ft,,2-5,,
10:54.0,,,2-5,,Defensive rebound by N. Jokic
10:47.0,,,2-5,,N. Jokic misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by K. Porzingis,,2-5,,
10:36.0,C. Lee makes 2-pt shot from 15 ft (assist by J. Jack),2,4-5,,
10:23.0,,,4-5,,G. Harris misses 2-pt shot from 14 ft
10:21.0,Defensive rebound by C. Lee,,4-5,,
10:13.0,E. Kanter makes 2-pt shot from 2 ft (assist by J. Jack),2,6-5,,
10:01.0,,,6-5,,J. Murray misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by E. Kanter,,6-5,,
9:53.0,J. Jack misses 2-pt shot from 7 ft,,6-5,,
9:51.0,,,6-5,,Defensive rebound by M. Plumlee
9:41.0,,,6-8,3,G. Harris makes 3-pt shot from 25 ft (assist by M. Plumlee)
9:15.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,8-8,,
9:00.0,,,8-10,2,M. Plumlee makes 2-pt shot from 1 ft (assist by N. Jokic)
8:44.0,K. Porzingis misses 2-pt shot from 2 ft,,8-10,,
8:44.0,,,8-10,,Defensive rebound by Team
8:35.0,,,8-12,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
8:17.0,Turnover by C. Lee (lost ball; steal by M. Plumlee),,8-12,,
8:15.0,,,8-14,2,J. Murray makes 2-pt shot from 1 ft
8:15.0,,,8-14,,Shooting foul by E. Kanter (drawn by J. Murray)
8:15.0,,,8-15,1,J. Murray makes free throw 1 of 1
8:11.0,New York full timeout,,8-15,,
8:03.0,K. Porzingis misses 3-pt shot from 25 ft,,8-15,,
8:00.0,,,8-15,,Defensive rebound by M. Plumlee
7:54.0,,,8-15,,Turnover by G. Harris (bad pass; steal by J. Jack)
7:46.0,K. Porzingis makes 2-pt shot from 4 ft (assist by C. Lee),2,10-15,,
7:26.0,,,10-17,2,N. Jokic makes 2-pt shot from 2 ft
7:09.0,Turnover by C. Lee (bad pass; steal by G. Harris),,10-17,,
7:01.0,,,10-19,2,N. Jokic makes 2-pt shot from 1 ft (assist by M. Plumlee)
6:46.0,J. Jack makes 2-pt shot from 12 ft,2,12-19,,
6:21.0,,,12-22,3,G. Harris makes 3-pt shot from 25 ft (assist by M. Plumlee)
6:09.0,Turnover by J. Jack (bad pass),,12-22,,
6:09.0,L. Thomas enters the game for R. Baker,,12-22,,
