time,Memphis,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Gasol (J. Green gains possession),,,,Jump ball: J. Valanciunas vs. M. Gasol (J. Green gains possession)
11:47.0,W. Selden misses 3-pt shot from 24 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Valanciunas
11:34.0,,,0-2,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
11:24.0,D. Brooks makes 3-pt shot from 26 ft,3,3-2,,
11:01.0,,,3-2,,K. Lowry misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by J. Green,,3-2,,
10:52.0,,,3-2,,Personal foul by O. Anunoby (drawn by A. Harrison)
10:38.0,M. Gasol makes 2-pt shot from 12 ft (assist by A. Harrison),2,5-2,,
10:19.0,Personal foul by W. Selden (drawn by D. DeRozan),,5-2,,
10:17.0,Personal foul by D. Brooks (drawn by D. DeRozan),,5-2,,
10:11.0,,,5-4,2,S. Ibaka makes 2-pt shot from 11 ft
9:58.0,M. Gasol makes 2-pt shot from 1 ft (assist by A. Harrison),2,7-4,,
9:58.0,,,7-4,,Shooting block foul by S. Ibaka (drawn by M. Gasol)
9:58.0,M. Gasol makes free throw 1 of 1,1,8-4,,
9:46.0,,,8-4,,D. DeRozan misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by W. Selden,,8-4,,
9:36.0,M. Gasol misses 3-pt shot from 25 ft,,8-4,,
9:34.0,,,8-4,,Defensive rebound by D. DeRozan
9:13.0,Personal foul by M. Gasol (drawn by J. Valanciunas),,8-4,,
9:09.0,,,8-7,3,J. Valanciunas makes 3-pt shot from 26 ft
8:47.0,Turnover by W. Selden (bad pass; steal by K. Lowry),,8-7,,
8:43.0,,,8-7,,O. Anunoby misses 2-pt shot at rim
8:41.0,Defensive rebound by D. Brooks,,8-7,,
8:36.0,Turnover by D. Brooks (bad pass; steal by O. Anunoby),,8-7,,
8:33.0,,,8-9,2,O. Anunoby makes 2-pt shot from 1 ft
8:13.0,A. Harrison makes 2-pt shot from 1 ft (assist by M. Gasol),2,10-9,,
8:03.0,,,10-9,,S. Ibaka misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by D. Brooks,,10-9,,
7:51.0,M. Gasol misses 3-pt shot from 26 ft,,10-9,,
7:48.0,,,10-9,,Defensive rebound by J. Valanciunas
7:43.0,,,10-11,2,K. Lowry makes 2-pt shot at rim
7:43.0,Memphis full timeout,,10-11,,
7:19.0,M. Gasol makes 2-pt shot from 6 ft,2,12-11,,
6:59.0,,,12-11,,Turnover by J. Valanciunas (lost ball; steal by W. Selden)
6:55.0,W. Selden misses 2-pt shot from 3 ft,,12-11,,
6:50.0,Offensive rebound by J. Green,,12-11,,
