time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Jokic (D. Murray gains possession),,,,Jump ball: P. Gasol vs. N. Jokic (D. Murray gains possession)
11:37.0,,,0-2,2,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Anderson)
11:23.0,D. Arthur makes 2-pt shot from 20 ft (assist by N. Jokic),2,2-2,,
11:11.0,,,2-4,2,P. Gasol makes 2-pt shot at rim (assist by D. Green)
10:56.0,J. Murray makes 3-pt shot from 25 ft (assist by D. Arthur),2,5-4,,
10:40.0,,,5-4,,D. Murray misses 2-pt shot from 8 ft
10:38.0,Defensive rebound by D. Arthur,,5-4,,
10:30.0,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris),3,8-4,,
10:07.0,,,8-4,,P. Gasol misses 2-pt shot from 7 ft
10:02.0,,,8-4,,Offensive rebound by D. Murray
10:02.0,,,8-4,,D. Murray misses 2-pt shot at rim
10:00.0,,,8-4,,Offensive rebound by D. Murray
10:00.0,,,8-4,,D. Murray misses 2-pt shot at rim
10:00.0,Defensive rebound by N. Jokic,,8-4,,
9:59.0,Turnover by N. Jokic (bad pass; steal by D. Green),,8-4,,
9:53.0,,,8-6,2,D. Green makes 2-pt shot from 1 ft (assist by D. Murray)
9:37.0,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic),3,11-6,,
9:13.0,,,11-8,2,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Green)
9:03.0,W. Barton misses 2-pt shot from 22 ft,,11-8,,
9:03.0,,,11-8,,Defensive rebound by P. Gasol
8:54.0,,,11-10,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Gasol)
8:33.0,N. Jokic misses 2-pt shot from 2 ft,,11-10,,
8:30.0,Offensive rebound by N. Jokic,,11-10,,
8:26.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,14-10,,
8:10.0,,,14-12,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Anderson)
7:55.0,D. Arthur makes 3-pt shot from 25 ft (assist by N. Jokic),3,17-12,,
7:40.0,,,17-15,3,P. Gasol makes 3-pt shot from 22 ft (assist by D. Murray)
7:24.0,G. Harris misses 2-pt shot from 12 ft,,17-15,,
7:22.0,,,17-15,,Defensive rebound by D. Green
7:12.0,,,17-18,3,P. Gasol makes 3-pt shot from 25 ft (assist by D. Murray)
7:11.0,Denver full timeout,,17-18,,
6:47.0,D. Arthur misses 3-pt shot from 23 ft,,17-18,,
6:47.0,Offensive rebound by Team,,17-18,,
6:47.0,Turnover by Team (shot clock),,17-18,,
6:26.0,,,17-18,,Turnover by L. Aldridge (lost ball; steal by D. Arthur)
6:21.0,J. Murray misses 2-pt shot from 3 ft (block by D. Murray),,17-18,,
6:18.0,,,17-18,,Defensive rebound by D. Murray
6:15.0,,,17-18,,Offensive foul by D. Murray (drawn by W. Barton)
6:15.0,,,17-18,,Turnover by D. Murray (offensive foul)
5:56.0,N. Jokic makes 2-pt shot from 7 ft,2,19-18,,
5:42.0,,,19-18,,Turnover by D. Green (bad pass; steal by W. Barton)
5:37.0,W. Barton makes 2-pt shot from 2 ft,2,21-18,,
5:18.0,,,21-18,,D. Green misses 2-pt shot at rim
5:16.0,Defensive rebound by D. Arthur,,21-18,,
5:13.0,G. Harris misses 3-pt shot from 25 ft,,21-18,,
5:11.0,,,21-18,,Defensive rebound by Team
5:11.0,,,21-18,,T. Parker enters the game for D. Murray
5:11.0,,,21-18,,D. Bertans enters the game for D. Green
5:11.0,,,21-18,,M. Ginobili enters the game for P. Gasol
4:52.0,,,21-20,2,D. Bertans makes 2-pt shot from 2 ft (assist by K. Anderson)
4:42.0,D. Arthur makes 2-pt shot from 1 ft (assist by N. Jokic),2,23-20,,
4:36.0,,,23-20,,San Antonio full timeout
4:36.0,,,23-20,,P. Mills enters the game for K. Anderson
4:36.0,T. Lyles enters the game for D. Arthur,,23-20,,
4:36.0,T. Craig enters the game for W. Barton,,23-20,,
4:17.0,,,23-22,2,L. Aldridge makes 2-pt shot from 12 ft (assist by T. Parker)
4:00.0,,,23-22,,Personal foul by L. Aldridge (drawn by N. Jokic)
3:51.0,T. Lyles misses 3-pt shot from 25 ft,,23-22,,
3:49.0,,,23-22,,Defensive rebound by D. Bertans
3:40.0,,,23-24,2,M. Ginobili makes 2-pt shot from 1 ft (assist by T. Parker)
3:40.0,,,23-24,,Shooting foul by T. Craig (drawn by M. Ginobili)
3:40.0,,,23-25,1,M. Ginobili makes free throw 1 of 1
3:18.0,G. Harris misses 2-pt shot from 6 ft,,23-25,,
3:16.0,,,23-25,,Defensive rebound by T. Parker
3:09.0,,,23-28,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
2:52.0,J. Murray misses 3-pt shot from 25 ft,,23-28,,
2:50.0,,,23-28,,Defensive rebound by D. Bertans
2:40.0,,,23-28,,Turnover by L. Aldridge (traveling)
2:27.0,J. Murray misses 3-pt shot from 24 ft,,23-28,,
2:24.0,,,23-28,,Defensive rebound by D. Bertans
2:19.0,,,23-28,,P. Gasol enters the game for L. Aldridge
2:19.0,E. Mudiay enters the game for J. Murray,,23-28,,
2:15.0,,,23-28,,T. Parker misses 2-pt shot from 1 ft
2:14.0,,,23-28,,P. Gasol misses 2-pt shot from 1 ft
2:14.0,,,23-28,,Offensive rebound by P. Gasol
2:13.0,,,23-28,,Offensive rebound by P. Gasol
