time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (T. Harris gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (T. Harris gains possession)
11:47.0,,,0-3,3,T. Harris makes 3-pt shot from 27 ft (assist by R. Jackson)
11:23.0,M. Hezonja makes 3-pt shot from 25 ft (assist by J. Simmons),3,3-3,,
11:00.0,,,3-3,,S. Johnson enters the game for L. Kennard
10:58.0,,,3-5,2,R. Bullock makes 2-pt shot from 18 ft (assist by R. Jackson)
10:44.0,Turnover by E. Payton (lost ball; steal by T. Harris),,3-5,,
10:38.0,,,3-7,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
10:16.0,N. Vucevic makes 2-pt shot from 17 ft (assist by J. Simmons),2,5-7,,
10:04.0,Personal foul by E. Payton (drawn by T. Harris),,5-7,,
9:58.0,,,5-7,,S. Johnson misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by J. Simmons,,5-7,,
9:43.0,J. Simmons misses 2-pt shot from 5 ft,,5-7,,
9:33.0,Offensive rebound by N. Vucevic,,5-7,,
9:33.0,N. Vucevic misses 2-pt shot at rim,,5-7,,
9:32.0,,,5-7,,Defensive rebound by R. Bullock
9:27.0,,,5-9,2,R. Jackson makes 2-pt shot from 12 ft
9:21.0,Turnover by N. Vucevic (bad pass; steal by R. Bullock),,5-9,,
9:16.0,,,5-12,3,R. Jackson makes 3-pt shot from 26 ft
9:00.0,N. Vucevic misses 2-pt shot from 16 ft,,5-12,,
9:00.0,,,5-12,,Defensive rebound by R. Bullock
8:51.0,,,5-15,3,R. Bullock makes 3-pt shot from 26 ft (assist by R. Jackson)
8:41.0,Orlando full timeout,,5-15,,
8:25.0,M. Hezonja makes 3-pt shot from 24 ft (assist by N. Vucevic),3,8-15,,
8:12.0,,,8-15,,R. Jackson misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by M. Hezonja,,8-15,,
8:01.0,J. Simmons misses 3-pt shot from 25 ft,,8-15,,
7:57.0,,,8-15,,Defensive rebound by S. Johnson
7:51.0,,,8-15,,R. Jackson misses 2-pt shot from 6 ft
7:47.0,Defensive rebound by M. Hezonja,,8-15,,
7:30.0,J. Simmons misses 2-pt shot from 3 ft,,8-15,,
7:27.0,,,8-15,,Defensive rebound by A. Drummond
7:19.0,,,8-15,,T. Harris misses 2-pt shot from 5 ft (block by N. Vucevic)
7:18.0,Defensive rebound by N. Vucevic,,8-15,,
7:13.0,M. Hezonja misses 2-pt shot from 2 ft,,8-15,,
7:12.0,Offensive rebound by J. Simmons,,8-15,,
7:12.0,J. Simmons misses 2-pt shot from 1 ft,,8-15,,
7:11.0,,,8-15,,Defensive rebound by R. Jackson
7:05.0,,,8-18,3,T. Harris makes 3-pt shot from 22 ft (assist by R. Jackson)
6:45.0,M. Hezonja makes 2-pt shot from 2 ft (assist by N. Vucevic),2,10-18,,
6:31.0,,,10-18,,T. Harris misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by N. Vucevic,,10-18,,
6:24.0,E. Payton misses 3-pt shot from 22 ft,,10-18,,
6:20.0,,,10-18,,Defensive rebound by A. Drummond
6:12.0,,,10-18,,Turnover by R. Jackson (bad pass; steal by M. Hezonja)
6:08.0,J. Simmons misses 2-pt shot from 1 ft,,10-18,,
6:05.0,,,10-18,,Defensive rebound by R. Bullock
6:02.0,,,10-18,,Shooting foul by M. Hezonja (drawn by S. Johnson)
6:02.0,,,10-18,,S. Johnson misses free throw 1 of 2
6:02.0,,,10-18,,Offensive rebound by Team
6:02.0,,,10-19,1,S. Johnson makes free throw 2 of 2
6:02.0,,,10-19,,I. Smith enters the game for R. Jackson
6:02.0,,,10-19,,L. Galloway enters the game for R. Bullock
5:45.0,M. Hezonja makes 3-pt shot from 26 ft (assist by S. Mack),3,13-19,,
5:27.0,,,13-22,3,T. Harris makes 3-pt shot from 23 ft (assist by I. Smith)
5:17.0,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton),3,16-22,,
4:50.0,,,16-22,,Turnover by T. Harris (bad pass; steal by N. Vucevic)
4:42.0,J. Simmons makes 2-pt shot at rim,2,18-22,,
4:34.0,,,18-22,,Detroit full timeout
4:34.0,D. Augustin enters the game for S. Mack,,18-22,,
4:23.0,,,18-22,,L. Galloway misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Simmons,,18-22,,
4:09.0,E. Payton makes 2-pt shot from 2 ft,2,20-22,,
3:55.0,,,20-22,,T. Harris misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by N. Vucevic,,20-22,,
3:44.0,N. Vucevic misses 2-pt shot from 7 ft,,20-22,,
3:41.0,,,20-22,,Defensive rebound by I. Smith
3:23.0,,,20-22,,A. Drummond misses 2-pt shot from 7 ft
3:20.0,Defensive rebound by N. Vucevic,,20-22,,
3:14.0,J. Simmons makes 2-pt shot at rim,2,22-22,,
3:03.0,,,22-24,2,T. Harris makes 2-pt shot from 20 ft (assist by A. Drummond)
2:47.0,M. Hezonja misses 3-pt shot from 25 ft,,22-24,,
2:45.0,,,22-24,,Defensive rebound by A. Drummond
2:39.0,,,22-27,3,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith)
2:20.0,Shooting foul by A. Drummond (drawn by E. Payton),,22-27,,
2:20.0,E. Payton misses free throw 1 of 2,,22-27,,
2:20.0,Offensive rebound by Team,,22-27,,
2:20.0,,,22-27,,A. Tolliver enters the game for A. Drummond
2:20.0,,,22-27,,E. Moreland enters the game for T. Harris
2:20.0,J. Isaac enters the game for M. Hezonja,,22-27,,
2:20.0,B. Biyombo enters the game for N. Vucevic,,22-27,,
2:20.0,E. Payton makes free throw 2 of 2,1,23-27,,
2:02.0,,,23-30,3,A. Tolliver makes 3-pt shot from 28 ft (assist by S. Johnson)
1:49.0,,,23-30,,Personal foul by I. Smith (drawn by D. Augustin)
1:49.0,W. Iwundu enters the game for E. Payton,,23-30,,
1:42.0,,,23-30,,Personal foul by S. Johnson (drawn by J. Simmons)
1:42.0,J. Simmons misses free throw 1 of 2,,23-30,,
1:42.0,Offensive rebound by Team,,23-30,,
1:42.0,J. Simmons misses free throw 2 of 2,,23-30,,
1:39.0,,,23-30,,Defensive rebound by E. Moreland
1:29.0,,,23-32,2,I. Smith makes 2-pt shot from 10 ft (assist by E. Moreland)
1:11.0,Turnover by W. Iwundu (turnover),,23-32,,
0:59.0,,,23-32,,L. Galloway misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by B. Biyombo,,23-32,,
0:49.0,Turnover by D. Augustin (bad pass; steal by L. Galloway),,23-32,,
0:41.0,,,23-32,,L. Galloway misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by W. Iwundu,,23-32,,
0:25.0,J. Isaac misses 2-pt shot from 3 ft,,23-32,,
0:24.0,,,23-32,,Defensive rebound by Team
0:09.0,Personal foul by D. Augustin (drawn by I. Smith),,23-32,,
0:04.0,,,23-34,2,I. Smith makes 2-pt shot from 15 ft
0:00.0,Turnover by J. Simmons (lost ball; steal by L. Galloway),,23-34,,
0:00.0,,,23-36,2,L. Galloway makes 2-pt shot from 15 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Iwundu makes 2-pt shot from 8 ft,2,25-36,,
11:23.0,Personal foul by D. Augustin (drawn by S. Johnson),,25-36,,
11:10.0,,,25-36,,S. Johnson misses 2-pt shot from 2 ft
11:03.0,,,25-36,,Offensive rebound by E. Moreland
11:03.0,,,25-38,2,E. Moreland makes 2-pt shot at rim
10:45.0,B. Biyombo misses 2-pt shot from 8 ft,,25-38,,
10:43.0,Offensive rebound by J. Isaac,,25-38,,
10:42.0,J. Isaac misses 2-pt shot from 6 ft,,25-38,,
10:42.0,Offensive rebound by Team,,25-38,,
10:42.0,Turnover by Team (shot clock),,25-38,,
10:32.0,,,25-38,,L. Kennard misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by J. Artis,,25-38,,
10:22.0,W. Iwundu makes 3-pt shot from 25 ft (assist by D. Augustin),3,28-38,,
10:01.0,,,28-38,,I. Smith misses 2-pt shot from 9 ft
9:58.0,Defensive rebound by J. Isaac,,28-38,,
9:53.0,W. Iwundu misses 2-pt shot from 5 ft,,28-38,,
9:46.0,Offensive rebound by W. Iwundu,,28-38,,
9:46.0,W. Iwundu misses 2-pt shot at rim,,28-38,,
9:44.0,,,28-38,,Defensive rebound by E. Moreland
9:42.0,,,28-38,,I. Smith misses 2-pt shot at rim
9:42.0,,,28-38,,Offensive rebound by I. Smith
9:32.0,,,28-38,,Shooting foul by J. Isaac (drawn by S. Johnson)
9:32.0,,,28-38,,R. Jackson enters the game for I. Smith
9:32.0,,,28-38,,S. Johnson misses free throw 1 of 2
9:32.0,,,28-38,,Offensive rebound by Team
9:32.0,,,28-39,1,S. Johnson makes free throw 2 of 2
9:21.0,J. Isaac misses 2-pt shot from 15 ft,,28-39,,
9:17.0,,,28-39,,Defensive rebound by L. Kennard
8:58.0,,,28-39,,R. Jackson misses 2-pt shot from 15 ft
8:58.0,Defensive rebound by Team,,28-39,,
8:54.0,Orlando full timeout,,28-39,,
8:45.0,Turnover by J. Isaac (bad pass; steal by E. Moreland),,28-39,,
8:43.0,,,28-41,2,E. Moreland makes 2-pt shot from 3 ft
8:31.0,D. Augustin makes 3-pt shot from 25 ft,3,31-41,,
8:05.0,,,31-41,,L. Kennard misses 2-pt shot from 21 ft
8:00.0,Defensive rebound by W. Iwundu,,31-41,,
7:58.0,D. Augustin misses 3-pt shot from 25 ft,,31-41,,
7:54.0,Offensive rebound by W. Iwundu,,31-41,,
7:43.0,D. Augustin misses 2-pt shot from 3 ft,,31-41,,
7:40.0,,,31-41,,Defensive rebound by S. Johnson
7:34.0,,,31-41,,Turnover by R. Jackson (lost ball; steal by W. Iwundu)
7:29.0,D. Augustin misses 3-pt shot from 25 ft,,31-41,,
7:28.0,Offensive rebound by Team,,31-41,,
7:28.0,,,31-41,,Personal foul by S. Johnson (drawn by B. Biyombo)
7:28.0,,,31-41,,R. Bullock enters the game for S. Johnson
7:17.0,J. Isaac misses 2-pt shot from 11 ft,,31-41,,
7:13.0,,,31-41,,Defensive rebound by E. Moreland
6:58.0,,,31-41,,E. Moreland misses 2-pt shot from 1 ft
6:56.0,,,31-41,,Offensive rebound by E. Moreland
6:54.0,,,31-43,2,E. Moreland makes 2-pt shot from 1 ft
6:48.0,,,31-43,,Personal foul by R. Jackson (drawn by D. Augustin)
6:48.0,,,31-43,,A. Drummond enters the game for E. Moreland
6:48.0,N. Vucevic enters the game for J. Isaac,,31-43,,
6:48.0,M. Hezonja enters the game for B. Biyombo,,31-43,,
6:44.0,N. Vucevic misses 2-pt shot at rim,,31-43,,
6:43.0,Offensive rebound by N. Vucevic,,31-43,,
6:43.0,N. Vucevic makes 2-pt shot at rim,2,33-43,,
6:34.0,,,33-43,,Detroit full timeout
6:34.0,S. Mack enters the game for J. Artis,,33-43,,
6:19.0,,,33-43,,A. Drummond misses 2-pt shot from 2 ft
6:19.0,Defensive rebound by N. Vucevic,,33-43,,
6:08.0,,,33-43,,Personal foul by A. Drummond (drawn by N. Vucevic)
5:57.0,N. Vucevic misses 3-pt shot from 26 ft,,33-43,,
5:57.0,,,33-43,,Defensive rebound by Team
5:42.0,,,33-45,2,A. Drummond makes 2-pt shot from 4 ft (assist by A. Tolliver)
5:16.0,N. Vucevic makes 2-pt shot from 1 ft (assist by W. Iwundu),2,35-45,,
5:06.0,,,35-45,,T. Harris enters the game for L. Kennard
5:06.0,,,35-45,,L. Galloway enters the game for A. Tolliver
5:06.0,J. Simmons enters the game for W. Iwundu,,35-45,,
4:58.0,,,35-45,,A. Drummond misses 2-pt shot from 2 ft
4:56.0,Defensive rebound by N. Vucevic,,35-45,,
4:49.0,M. Hezonja misses 2-pt shot from 4 ft,,35-45,,
4:46.0,,,35-45,,Defensive rebound by T. Harris
4:43.0,,,35-45,,L. Galloway misses 3-pt shot from 24 ft
4:42.0,,,35-45,,Offensive rebound by Team
4:42.0,E. Payton enters the game for D. Augustin,,35-45,,
4:30.0,Jump ball: A. Drummond vs. J. Simmons (R. Bullock gains possession),,,,Jump ball: A. Drummond vs. J. Simmons (R. Bullock gains possession)
4:23.0,,,35-48,3,R. Jackson makes 3-pt shot from 23 ft
4:01.0,Turnover by M. Hezonja (bad pass; steal by L. Galloway),,35-48,,
3:48.0,,,35-48,,R. Bullock misses 3-pt shot from 24 ft
3:46.0,,,35-48,,Offensive rebound by Team
3:44.0,,,35-51,3,R. Bullock makes 3-pt shot from 23 ft (assist by R. Jackson)
3:40.0,Orlando full timeout,,35-51,,
