time,Utah,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. D. Favors (E. Payton gains possession),,,,Jump ball: N. Vucevic vs. D. Favors (E. Payton gains possession)
11:44.0,,,0-0,,Turnover by E. Payton (bad pass; steal by D. Mitchell)
11:23.0,R. Rubio misses 2-pt shot from 3 ft,,0-0,,
11:19.0,Offensive rebound by R. Rubio,,0-0,,
11:09.0,D. Favors makes 2-pt shot from 13 ft (assist by R. Rubio),2,2-0,,
10:52.0,,,2-2,2,N. Vucevic makes 2-pt shot from 9 ft
10:32.0,D. Mitchell makes 2-pt shot from 1 ft (assist by D. Favors),2,4-2,,
10:26.0,,,4-2,,Turnover by T. Ross (step out of bounds)
10:06.0,J. Jerebko makes 2-pt shot from 8 ft (assist by J. Ingles),2,6-2,,
9:56.0,Personal foul by R. Rubio (drawn by E. Payton),,6-2,,
9:48.0,,,6-2,,E. Fournier misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by D. Favors,,6-2,,
9:38.0,Shooting foul by E. Payton (drawn by R. Rubio),,6-2,,
9:38.0,R. Rubio makes free throw 1 of 2,1,7-2,,
9:38.0,R. Rubio makes free throw 2 of 2,1,8-2,,
9:29.0,,,8-2,,E. Payton misses 2-pt shot from 9 ft
9:25.0,,,8-2,,Offensive rebound by N. Vucevic
9:24.0,,,8-2,,A. Gordon misses 2-pt shot at rim
9:23.0,,,8-2,,Offensive rebound by A. Gordon
9:23.0,,,8-4,2,A. Gordon makes 2-pt shot at rim
9:09.0,Shooting foul by N. Vucevic (drawn by D. Favors),,8-4,,
9:09.0,D. Favors makes free throw 1 of 2,1,9-4,,
9:09.0,D. Favors makes free throw 2 of 2,1,10-4,,
8:55.0,,,10-7,3,E. Fournier makes 3-pt shot from 25 ft
8:40.0,J. Ingles misses 3-pt shot from 23 ft,,10-7,,
8:37.0,,,10-7,,Defensive rebound by A. Gordon
8:33.0,,,10-9,2,A. Gordon makes 2-pt shot from 17 ft
8:18.0,R. Rubio makes 2-pt shot from 19 ft,2,12-9,,
8:07.0,,,12-9,,E. Fournier misses 2-pt shot from 20 ft
8:04.0,Defensive rebound by J. Ingles,,12-9,,
7:47.0,R. Rubio misses 3-pt shot from 26 ft,,12-9,,
7:44.0,,,12-9,,Defensive rebound by N. Vucevic
7:36.0,Personal foul by R. Rubio (drawn by N. Vucevic),,12-9,,
7:36.0,,,12-9,,Orlando full timeout
7:23.0,,,12-11,2,A. Gordon makes 2-pt shot from 18 ft
