time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (J. Martin gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (J. Martin gains possession)
11:46.0,Shooting foul by B. Ingram (drawn by J. Martin),,0-0,,
11:46.0,J. Martin makes free throw 1 of 2,1,1-0,,
11:46.0,J. Martin makes free throw 2 of 2,1,2-0,,
11:23.0,,,2-2,2,B. Ingram makes 2-pt shot from 11 ft
10:57.0,A. Harrison misses 3-pt shot from 24 ft,,2-2,,
10:53.0,,,2-2,,Defensive rebound by A. Bogut
10:47.0,,,2-2,,Turnover by B. Ingram (bad pass)
10:31.0,M. Gasol misses 2-pt shot from 13 ft,,2-2,,
10:27.0,Offensive rebound by Team,,2-2,,
10:16.0,M. Gasol makes 2-pt shot from 14 ft (assist by T. Evans),2,4-2,,
10:02.0,,,4-2,,Offensive foul by A. Bogut (drawn by A. Harrison)
10:02.0,,,4-2,,Turnover by A. Bogut (offensive foul)
9:50.0,J. Martin misses 2-pt shot from 13 ft,,4-2,,
9:44.0,,,4-2,,Defensive rebound by A. Bogut
9:37.0,Personal foul by A. Harrison (drawn by K. Kuzma),,4-2,,
9:31.0,,,4-2,,B. Ingram misses 2-pt shot from 2 ft
9:28.0,,,4-2,,Offensive rebound by A. Bogut
9:23.0,,,4-2,,J. Clarkson misses 2-pt shot from 11 ft
9:19.0,Defensive rebound by T. Evans,,4-2,,
9:15.0,D. Brooks misses 3-pt shot from 25 ft,,4-2,,
9:12.0,,,4-2,,Defensive rebound by A. Bogut
9:04.0,,,4-2,,K. Kuzma misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by Team,,4-2,,
8:46.0,J. Martin makes 2-pt shot from 1 ft (assist by T. Evans),2,6-2,,
8:24.0,,,6-2,,K. Kuzma misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by J. Martin,,6-2,,
7:59.0,Turnover by Team (shot clock),,6-2,,
7:48.0,,,6-2,,K. Kuzma misses 2-pt shot from 8 ft (block by M. Gasol)
7:48.0,,,6-2,,Offensive rebound by Team
7:35.0,,,6-2,,J. Clarkson misses 2-pt shot from 2 ft
7:33.0,,,6-2,,Offensive rebound by A. Bogut
7:29.0,,,6-2,,J. Clarkson misses 2-pt shot from 2 ft
7:29.0,Defensive rebound by D. Brooks,,6-2,,
7:14.0,Shooting foul by A. Bogut (drawn by T. Evans),,6-2,,
7:14.0,T. Evans makes free throw 1 of 2,1,7-2,,
7:14.0,T. Evans makes free throw 2 of 2,1,8-2,,
7:01.0,,,8-2,,Shooting foul by D. Brooks (drawn by K. Caldwell-Pope)
7:01.0,,,8-3,1,K. Caldwell-Pope makes free throw 1 of 2
