time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. C. Capela (T. Ariza gains possession),,,,Jump ball: B. Lopez vs. C. Capela (T. Ariza gains possession)
11:37.0,J. Harden misses 3-pt shot from 28 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by L. Nance
11:12.0,,,0-0,,L. Ball misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by C. Capela,,0-0,,
10:52.0,J. Harden misses 3-pt shot from 27 ft,,0-0,,
10:47.0,Offensive rebound by C. Capela,,0-0,,
10:32.0,C. Paul makes 3-pt shot from 23 ft (assist by J. Harden),3,3-0,,
10:14.0,,,3-0,,L. Nance misses 2-pt shot from 18 ft
10:10.0,,,3-0,,Offensive rebound by B. Lopez
10:09.0,,,3-2,2,B. Lopez makes 2-pt shot from 1 ft
9:59.0,R. Anderson misses 2-pt shot from 19 ft,,3-2,,
9:57.0,,,3-2,,Defensive rebound by B. Ingram
9:52.0,,,3-2,,L. Nance misses 2-pt shot from 2 ft
9:52.0,,,3-2,,Offensive rebound by L. Nance
9:52.0,,,3-4,2,L. Nance makes 2-pt shot from 2 ft
9:52.0,,,3-4,,Shooting foul by C. Capela (drawn by L. Nance)
9:52.0,,,3-5,1,L. Nance makes free throw 1 of 1
9:46.0,,,3-5,,Personal foul by L. Ball (drawn by C. Paul)
9:37.0,C. Paul misses 2-pt shot from 1 ft,,3-5,,
9:35.0,Offensive rebound by C. Capela,,3-5,,
9:27.0,R. Anderson misses 3-pt shot from 25 ft,,3-5,,
9:24.0,,,3-5,,Defensive rebound by K. Caldwell-Pope
9:17.0,,,3-5,,B. Ingram misses 2-pt shot from 2 ft
9:14.0,Defensive rebound by C. Capela,,3-5,,
9:07.0,J. Harden misses 2-pt shot from 2 ft (block by B. Lopez),,3-5,,
9:03.0,,,3-5,,Defensive rebound by B. Lopez
8:52.0,,,3-7,2,L. Nance makes 2-pt shot from 7 ft
8:37.0,T. Ariza makes 2-pt shot from 1 ft,2,5-7,,
8:23.0,,,5-7,,B. Ingram misses 3-pt shot from 25 ft
8:21.0,,,5-7,,Offensive rebound by B. Lopez
8:21.0,,,5-7,,Shooting foul by C. Paul (drawn by B. Lopez)
8:21.0,,,5-8,1,B. Lopez makes free throw 1 of 2
8:21.0,,,5-9,1,B. Lopez makes free throw 2 of 2
8:12.0,Turnover by J. Harden (out of bounds lost ball),,5-9,,
8:02.0,,,5-9,,Turnover by B. Lopez (turnover)
8:02.0,,,5-9,,Loose ball foul by B. Lopez (drawn by C. Paul)
7:48.0,Turnover by R. Anderson (bad pass; steal by K. Caldwell-Pope),,5-9,,
7:42.0,,,5-11,2,B. Ingram makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope)
7:28.0,,,5-11,,Personal foul by L. Nance (drawn by J. Harden)
7:28.0,E. Gordon enters the game for C. Paul,,5-11,,
7:27.0,Offensive foul by J. Harden (drawn by B. Ingram),,5-11,,
7:27.0,Turnover by J. Harden (offensive foul),,5-11,,
7:19.0,,,5-11,,K. Caldwell-Pope misses 2-pt shot from 15 ft
7:15.0,Defensive rebound by C. Capela,,5-11,,
7:07.0,C. Capela misses 2-pt shot at rim,,5-11,,
7:05.0,,,5-11,,Defensive rebound by L. Nance
7:02.0,,,5-11,,Turnover by L. Nance (lost ball; steal by J. Harden)
6:58.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,8-11,,
6:49.0,,,8-13,2,B. Ingram makes 2-pt shot from 1 ft (assist by B. Lopez)
6:32.0,R. Anderson misses 3-pt shot from 28 ft,,8-13,,
6:29.0,,,8-13,,Defensive rebound by B. Ingram
6:23.0,,,8-13,,B. Ingram misses 2-pt shot from 19 ft
6:20.0,Defensive rebound by C. Capela,,8-13,,
6:08.0,Shooting foul by B. Lopez (drawn by E. Gordon),,8-13,,
6:08.0,,,8-13,,LA Lakers full timeout
6:08.0,P. Tucker enters the game for T. Ariza,,8-13,,
6:08.0,N. Hilario enters the game for C. Capela,,8-13,,
6:08.0,L. Mbah a Moute enters the game for R. Anderson,,8-13,,
6:08.0,E. Gordon makes free throw 1 of 2,1,9-13,,
6:08.0,E. Gordon makes free throw 2 of 2,1,10-13,,
5:54.0,,,10-13,,Shooting foul by P. Tucker (drawn by B. Lopez)
5:54.0,,,10-13,,B. Lopez misses free throw 1 of 2
5:54.0,,,10-13,,Offensive rebound by Team
5:54.0,,,10-14,1,B. Lopez makes free throw 2 of 2
5:41.0,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden),3,13-14,,
5:25.0,,,13-14,,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by E. Gordon)
5:22.0,,,13-14,,Offensive rebound by L. Nance
5:22.0,,,13-14,,L. Nance misses 2-pt shot at rim
5:22.0,,,13-14,,Offensive rebound by Team
5:20.0,,,13-16,2,B. Ingram makes 2-pt shot from 17 ft (assist by L. Ball)
5:09.0,E. Gordon misses 3-pt shot from 27 ft,,13-16,,
5:09.0,,,13-16,,Defensive rebound by B. Ingram
5:00.0,,,13-16,,B. Lopez misses 3-pt shot from 27 ft
5:00.0,,,13-16,,Offensive rebound by Team
5:00.0,Loose ball foul by P. Tucker (drawn by L. Nance),,13-16,,
5:00.0,,,13-16,,J. Randle enters the game for B. Lopez
4:47.0,,,13-16,,L. Ball misses 3-pt shot from 26 ft
4:41.0,,,13-16,,Offensive rebound by L. Nance
4:41.0,,,13-18,2,L. Nance makes 2-pt shot at rim
4:31.0,J. Harden makes 2-pt shot from 1 ft,2,15-18,,
4:17.0,,,15-18,,J. Randle misses 2-pt shot from 5 ft
4:14.0,Defensive rebound by N. Hilario,,15-18,,
4:04.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,15-18,,
4:02.0,,,15-18,,Defensive rebound by J. Randle
3:57.0,,,15-18,,Turnover by L. Ball (bad pass; steal by J. Harden)
3:47.0,J. Harden makes 2-pt shot from 1 ft,2,17-18,,
3:33.0,,,17-18,,B. Ingram misses 2-pt shot from 10 ft
3:29.0,Defensive rebound by P. Tucker,,17-18,,
3:22.0,E. Gordon makes 2-pt shot from 2 ft,2,19-18,,
3:21.0,,,19-18,,LA Lakers full timeout
3:21.0,,,19-18,,K. Kuzma enters the game for L. Ball
3:21.0,,,19-18,,J. Clarkson enters the game for L. Nance
3:11.0,,,19-21,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Ingram)
2:54.0,E. Gordon misses 3-pt shot from 27 ft,,19-21,,
2:51.0,,,19-21,,Defensive rebound by J. Randle
2:37.0,,,19-21,,Turnover by J. Clarkson (bad pass)
2:37.0,C. Paul enters the game for J. Harden,,19-21,,
2:20.0,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul),2,21-21,,
2:00.0,,,21-21,,Shooting foul by C. Paul (drawn by B. Ingram)
2:00.0,,,21-22,1,B. Ingram makes free throw 1 of 2
2:00.0,,,21-23,1,B. Ingram makes free throw 2 of 2
1:52.0,C. Paul misses 3-pt shot from 25 ft,,21-23,,
1:48.0,Offensive rebound by N. Hilario,,21-23,,
1:46.0,Turnover by N. Hilario (bad pass; steal by J. Randle),,21-23,,
1:40.0,,,21-23,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by N. Hilario,,21-23,,
1:31.0,E. Gordon makes 2-pt shot from 2 ft (assist by C. Paul),2,23-23,,
1:13.0,,,23-23,,J. Randle misses 2-pt shot at rim
1:11.0,Defensive rebound by P. Tucker,,23-23,,
0:55.0,Turnover by C. Paul (bad pass; steal by B. Ingram),,23-23,,
0:55.0,,,23-23,,Offensive charge foul by B. Ingram (drawn by C. Paul)
0:55.0,,,23-23,,Turnover by B. Ingram (bad pass)
0:39.0,E. Gordon makes 2-pt shot at rim,2,25-23,,
0:38.0,Personal foul by N. Hilario (drawn by J. Clarkson),,25-23,,
0:38.0,Technical foul by Team,,25-23,,
0:38.0,C. Paul makes technical free throw,1,26-23,,
0:38.0,,,26-24,1,J. Clarkson makes free throw 1 of 2
0:38.0,,,26-25,1,J. Clarkson makes free throw 2 of 2
0:26.0,Shooting foul by K. Kuzma (drawn by N. Hilario),,26-25,,
0:26.0,N. Hilario misses free throw 1 of 2,,26-25,,
0:26.0,Offensive rebound by Team,,26-25,,
0:26.0,N. Hilario makes free throw 2 of 2,1,27-25,,
0:06.0,,,27-25,,J. Clarkson misses 2-pt shot from 16 ft
0:04.0,,,27-25,,Offensive rebound by Team
0:04.0,Loose ball foul by N. Hilario (drawn by J. Randle),,27-25,,
0:04.0,,,27-26,1,J. Randle makes free throw 1 of 2
0:04.0,,,27-26,,J. Hart enters the game for K. Caldwell-Pope
0:04.0,,,27-26,,C. Brewer enters the game for B. Ingram
0:04.0,,,27-27,1,J. Randle makes free throw 2 of 2
0:02.0,C. Paul misses 3-pt shot from 44 ft,,27-27,,
0:00.0,,,27-27,,Defensive rebound by J. Randle
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,27-27,,Turnover by J. Clarkson (bad pass; steal by C. Paul)
11:47.0,Turnover by T. Ariza (lost ball; steal by C. Brewer),,27-27,,
11:41.0,,,27-30,3,J. Clarkson makes 3-pt shot from 25 ft (assist by J. Hart)
11:30.0,E. Gordon misses 3-pt shot from 27 ft,,27-30,,
11:25.0,,,27-30,,Defensive rebound by K. Kuzma
11:21.0,,,27-30,,K. Kuzma misses 2-pt shot from 1 ft
11:21.0,,,27-30,,Offensive rebound by Team
11:12.0,,,27-30,,Turnover by J. Hart (lost ball; steal by T. Ariza)
11:03.0,E. Gordon makes 2-pt shot from 4 ft,2,29-30,,
11:03.0,Shooting foul by C. Brewer (drawn by E. Gordon),,29-30,,
11:03.0,E. Gordon misses free throw 1 of 1,,29-30,,
11:01.0,,,29-30,,Defensive rebound by K. Kuzma
10:45.0,,,29-32,2,J. Randle makes 2-pt shot at rim
10:38.0,C. Paul misses 2-pt shot from 2 ft,,29-32,,
10:36.0,,,29-32,,Defensive rebound by J. Randle
10:21.0,,,29-32,,K. Kuzma misses 2-pt shot from 3 ft (block by C. Capela)
10:19.0,Defensive rebound by C. Capela,,29-32,,
10:05.0,,,29-32,,Personal foul by J. Randle (drawn by C. Paul)
10:02.0,E. Gordon makes 3-pt shot from 25 ft (assist by C. Paul),3,32-32,,
9:38.0,,,32-32,,J. Clarkson misses 2-pt shot from 10 ft
9:34.0,,,32-32,,Offensive rebound by K. Kuzma
9:34.0,,,32-32,,K. Kuzma misses 2-pt shot at rim (block by C. Capela)
9:34.0,Defensive rebound by C. Capela,,32-32,,
9:29.0,,,32-32,,Personal foul by J. Randle (drawn by C. Capela)
9:18.0,E. Gordon makes 2-pt shot from 2 ft,2,34-32,,
9:07.0,,,34-32,,J. Hart misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by T. Ariza,,34-32,,
8:56.0,C. Paul makes 2-pt shot from 17 ft,2,36-32,,
8:56.0,,,36-32,,LA Lakers full timeout
8:31.0,,,36-32,,J. Clarkson misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by T. Ariza,,36-32,,
8:22.0,Turnover by C. Paul (bad pass),,36-32,,
8:22.0,J. Harden enters the game for E. Gordon,,36-32,,
8:09.0,,,36-32,,J. Randle misses 2-pt shot from 5 ft
8:05.0,Defensive rebound by R. Anderson,,36-32,,
7:50.0,J. Harden makes 3-pt shot from 27 ft,3,39-32,,
7:27.0,,,39-32,,J. Clarkson misses 2-pt shot from 1 ft
7:26.0,Defensive rebound by C. Capela,,39-32,,
7:17.0,C. Capela misses 2-pt shot from 1 ft,,39-32,,
7:14.0,,,39-32,,Defensive rebound by J. Randle
7:10.0,,,39-32,,J. Clarkson misses 2-pt shot from 19 ft
7:10.0,,,39-32,,Offensive rebound by Team
7:09.0,,,39-32,,B. Lopez enters the game for C. Brewer
7:09.0,,,39-32,,B. Ingram enters the game for J. Randle
7:09.0,P. Tucker enters the game for C. Capela,,39-32,,
6:59.0,,,39-35,3,K. Kuzma makes 3-pt shot from 26 ft (assist by J. Clarkson)
6:37.0,J. Harden makes 2-pt shot from 1 ft,2,41-35,,
6:20.0,,,41-37,2,B. Ingram makes 2-pt shot from 15 ft
6:08.0,R. Anderson misses 3-pt shot from 26 ft,,41-37,,
6:05.0,,,41-37,,Defensive rebound by J. Clarkson
5:56.0,Personal foul by R. Anderson (drawn by B. Lopez),,41-37,,
5:56.0,,,41-37,,K. Caldwell-Pope enters the game for J. Hart
5:56.0,,,41-37,,L. Ball enters the game for J. Clarkson
5:56.0,L. Mbah a Moute enters the game for R. Anderson,,41-37,,
5:49.0,,,41-37,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by C. Paul,,41-37,,
5:28.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,41-37,,
5:28.0,J. Harden makes free throw 1 of 2,1,42-37,,
5:28.0,J. Harden misses free throw 2 of 2,,42-37,,
5:25.0,,,42-37,,Defensive rebound by K. Kuzma
5:16.0,,,42-37,,Offensive foul by B. Lopez (drawn by P. Tucker)
5:16.0,,,42-37,,Turnover by B. Lopez (offensive foul)
5:16.0,E. Gordon enters the game for T. Ariza,,42-37,,
5:16.0,,,42-37,,L. Nance enters the game for B. Lopez
4:53.0,C. Paul makes 2-pt shot from 8 ft,2,44-37,,
4:35.0,Personal foul by E. Gordon (drawn by B. Ingram),,44-37,,
4:23.0,,,44-39,2,L. Nance makes 2-pt shot from 3 ft (assist by L. Ball)
4:10.0,J. Harden makes 2-pt shot from 3 ft,2,46-39,,
3:49.0,,,46-39,,K. Kuzma misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by E. Gordon,,46-39,,
3:41.0,C. Paul misses 2-pt shot from 16 ft,,46-39,,
3:39.0,,,46-39,,Defensive rebound by K. Kuzma
3:31.0,Personal foul by J. Harden (drawn by L. Nance),,46-39,,
3:24.0,,,46-39,,Shooting foul by J. Harden (drawn by K. Kuzma)
3:24.0,,,46-39,,K. Kuzma misses free throw 1 of 2
3:24.0,,,46-39,,Offensive rebound by Team
3:24.0,T. Ariza enters the game for C. Paul,,46-39,,
3:24.0,,,46-40,1,K. Kuzma makes free throw 2 of 2
3:05.0,L. Mbah a Moute makes 3-pt shot from 27 ft (assist by J. Harden),3,49-40,,
2:48.0,,,49-40,,B. Ingram misses 2-pt shot from 2 ft
2:44.0,,,49-40,,Offensive rebound by L. Nance
2:44.0,,,49-40,,L. Nance misses 2-pt shot at rim
2:43.0,Defensive rebound by T. Ariza,,49-40,,
2:36.0,J. Harden makes 3-pt shot from 26 ft,3,52-40,,
2:25.0,,,52-42,2,L. Nance makes 2-pt shot at rim (assist by B. Ingram)
2:18.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,54-42,,
2:02.0,,,54-42,,Shooting foul by L. Mbah a Moute (drawn by K. Kuzma)
2:02.0,Houston full timeout,,54-42,,
2:02.0,,,54-43,1,K. Kuzma makes free throw 1 of 2
2:02.0,,,54-44,1,K. Kuzma makes free throw 2 of 2
1:43.0,L. Mbah a Moute misses 2-pt shot from 4 ft (block by L. Ball),,54-44,,
1:43.0,Offensive rebound by Team,,54-44,,
1:38.0,J. Harden makes 3-pt shot from 24 ft,3,57-44,,
1:20.0,,,57-44,,L. Nance misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by P. Tucker,,57-44,,
1:14.0,Turnover by J. Harden (bad pass; steal by L. Nance),,57-44,,
1:12.0,,,57-44,,B. Ingram misses 2-pt shot from 1 ft
1:11.0,Defensive rebound by Team,,57-44,,
1:11.0,,,57-44,,Loose ball foul by L. Nance (drawn by J. Harden)
1:11.0,J. Harden makes free throw 1 of 2,1,58-44,,
1:11.0,J. Harden makes free throw 2 of 2,1,59-44,,
0:56.0,,,59-44,,B. Ingram misses 2-pt shot from 5 ft
0:53.0,,,59-44,,Offensive rebound by B. Ingram
0:53.0,,,59-46,2,B. Ingram makes 2-pt shot at rim
0:34.0,P. Tucker misses 3-pt shot from 24 ft,,59-46,,
0:32.0,,,59-46,,Defensive rebound by K. Kuzma
0:27.0,,,59-46,,Turnover by K. Kuzma (lost ball; steal by T. Ariza)
0:25.0,T. Ariza makes 2-pt shot from 1 ft,2,61-46,,
0:00.0,,,61-46,,Turnover by Team (shot clock)
0:00.0,E. Gordon misses 3-pt shot from 28 ft,,61-46,,
0:00.0,Offensive rebound by Team,,61-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,61-46,,Turnover by L. Ball (bad pass; steal by P. Tucker)
11:41.0,P. Tucker makes 3-pt shot from 25 ft (assist by J. Harden),3,64-46,,
11:21.0,,,64-46,,Shooting foul by T. Ariza (drawn by K. Caldwell-Pope)
11:21.0,,,64-47,1,K. Caldwell-Pope makes free throw 1 of 2
11:21.0,,,64-48,1,K. Caldwell-Pope makes free throw 2 of 2
11:06.0,Turnover by C. Capela (bad pass; steal by L. Nance),,64-48,,
11:03.0,,,64-48,,Shooting foul by C. Paul (drawn by L. Ball)
11:03.0,,,64-49,1,L. Ball makes free throw 1 of 2
11:03.0,,,64-50,1,L. Ball makes free throw 2 of 2
10:50.0,C. Capela misses 2-pt shot from 2 ft,,64-50,,
10:48.0,,,64-50,,Defensive rebound by B. Lopez
10:45.0,,,64-53,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Ingram)
10:26.0,C. Paul misses 2-pt shot from 13 ft,,64-53,,
10:22.0,,,64-53,,Defensive rebound by L. Ball
10:14.0,,,64-53,,L. Ball misses 2-pt shot from 11 ft
10:12.0,Defensive rebound by C. Capela,,64-53,,
10:10.0,,,64-53,,Personal foul by L. Nance (drawn by C. Capela)
10:02.0,C. Capela misses 2-pt shot from 2 ft (block by L. Ball),,64-53,,
9:57.0,Offensive rebound by J. Harden,,64-53,,
9:56.0,J. Harden makes 2-pt shot from 2 ft,2,66-53,,
9:47.0,,,66-55,2,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by B. Lopez)
9:32.0,T. Ariza misses 3-pt shot from 26 ft,,66-55,,
9:31.0,,,66-55,,Defensive rebound by K. Caldwell-Pope
9:25.0,,,66-55,,Turnover by L. Ball (bad pass; steal by T. Ariza)
9:02.0,P. Tucker makes 2-pt shot from 4 ft (assist by C. Paul),2,68-55,,
8:46.0,,,68-55,,L. Ball misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by P. Tucker,,68-55,,
8:40.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,70-55,,
8:40.0,,,70-55,,LA Lakers full timeout
8:26.0,,,70-57,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram)
8:15.0,Turnover by C. Capela (traveling),,70-57,,
8:06.0,,,70-57,,Shooting foul by C. Capela (drawn by B. Lopez)
8:06.0,,,70-58,1,B. Lopez makes free throw 1 of 2
8:06.0,,,70-59,1,B. Lopez makes free throw 2 of 2
7:46.0,P. Tucker misses 3-pt shot from 23 ft,,70-59,,
