time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Howard (T. Harris gains possession),,,,Jump ball: A. Drummond vs. D. Howard (T. Harris gains possession)
11:43.0,,,0-2,2,T. Harris makes 2-pt shot from 13 ft (assist by A. Drummond)
11:28.0,N. Batum misses 2-pt shot from 13 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by R. Bullock
11:15.0,,,0-2,,Turnover by I. Smith (out of bounds lost ball)
11:02.0,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum),3,3-2,,
10:50.0,,,3-2,,R. Bullock misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by N. Batum,,3-2,,
10:33.0,D. Howard makes 2-pt shot from 17 ft (assist by K. Walker),2,5-2,,
10:13.0,,,5-4,2,I. Smith makes 2-pt shot from 1 ft
9:53.0,D. Howard makes 2-pt shot from 2 ft,2,7-4,,
9:35.0,,,7-4,,A. Bradley misses 2-pt shot from 13 ft
9:30.0,Defensive rebound by D. Howard,,7-4,,
9:25.0,K. Walker misses 3-pt shot from 26 ft,,7-4,,
9:24.0,,,7-4,,Defensive rebound by Team
9:11.0,,,7-7,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
8:55.0,Turnover by N. Batum (bad pass; steal by A. Drummond),,7-7,,
8:51.0,,,7-9,2,T. Harris makes 2-pt shot from 2 ft
8:51.0,,,7-9,,Shooting foul by M. Williams (drawn by T. Harris)
8:51.0,,,7-10,1,T. Harris makes free throw 1 of 1
8:38.0,Turnover by D. Howard (lost ball; steal by I. Smith),,7-10,,
8:27.0,,,7-12,2,R. Bullock makes 2-pt shot from 2 ft (assist by I. Smith)
8:09.0,Turnover by D. Howard (lost ball; steal by A. Drummond),,7-12,,
8:03.0,,,7-12,,Turnover by I. Smith (bad pass)
7:52.0,N. Batum makes 2-pt shot from 8 ft,2,9-12,,
7:35.0,,,9-14,2,A. Drummond makes 2-pt shot from 12 ft (assist by I. Smith)
7:19.0,,,9-14,,Personal foul by R. Bullock (drawn by N. Batum)
7:10.0,D. Howard misses 2-pt shot from 18 ft,,9-14,,
7:06.0,,,9-14,,Defensive rebound by T. Harris
6:58.0,,,9-17,3,A. Bradley makes 3-pt shot from 26 ft (assist by T. Harris)
6:51.0,Charlotte full timeout,,9-17,,
6:41.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,12-17,,
6:23.0,,,12-17,,A. Bradley misses 2-pt shot from 5 ft (block by D. Howard)
6:23.0,,,12-17,,Offensive rebound by A. Drummond
6:23.0,,,12-17,,Shooting foul by M. Kidd-Gilchrist (drawn by A. Drummond)
6:23.0,,,12-18,1,A. Drummond makes free throw 1 of 2
6:23.0,,,12-18,,A. Drummond misses free throw 2 of 2
6:20.0,Defensive rebound by D. Howard,,12-18,,
6:07.0,K. Walker misses 2-pt shot from 10 ft (block by I. Smith),,12-18,,
6:03.0,,,12-18,,Defensive rebound by A. Drummond
6:00.0,,,12-18,,I. Smith misses 2-pt shot from 3 ft
6:00.0,,,12-18,,Offensive rebound by Team
6:00.0,,,12-18,,Personal foul by A. Drummond (drawn by D. Howard)
6:00.0,,,12-18,,Turnover by A. Drummond (turnover)
5:51.0,,,12-18,,Personal foul by T. Harris (drawn by K. Walker)
5:45.0,Turnover by M. Kidd-Gilchrist (bad pass),,12-18,,
5:33.0,,,12-18,,I. Smith misses 2-pt shot from 8 ft
5:27.0,Defensive rebound by M. Williams,,12-18,,
5:23.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,14-18,,
5:08.0,,,14-18,,T. Harris misses 2-pt shot from 13 ft
5:06.0,Defensive rebound by D. Howard,,14-18,,
5:00.0,K. Walker makes 2-pt shot at rim,2,16-18,,
5:00.0,,,16-18,,Violation by A. Drummond (def goaltending)
5:00.0,Shooting foul by I. Smith (drawn by K. Walker),,16-18,,
5:00.0,K. Walker makes free throw 1 of 1,1,17-18,,
4:40.0,,,17-18,,A. Bradley misses 2-pt shot from 17 ft
4:36.0,Defensive rebound by D. Howard,,17-18,,
4:30.0,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker),3,20-18,,
4:21.0,,,20-18,,Detroit full timeout
4:21.0,,,20-18,,L. Kennard enters the game for R. Bullock
4:21.0,F. Kaminsky enters the game for M. Williams,,20-18,,
4:10.0,,,20-20,2,A. Bradley makes 2-pt shot from 18 ft (assist by T. Harris)
3:54.0,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker),3,23-20,,
3:36.0,,,23-20,,Offensive foul by T. Harris (drawn by M. Kidd-Gilchrist)
3:36.0,,,23-20,,Turnover by T. Harris (offensive foul)
3:36.0,,,23-20,,A. Tolliver enters the game for T. Harris
3:23.0,N. Batum misses 2-pt shot from 11 ft,,23-20,,
3:20.0,,,23-20,,Defensive rebound by A. Bradley
3:09.0,,,23-20,,A. Bradley misses 2-pt shot from 12 ft
3:05.0,Defensive rebound by F. Kaminsky,,23-20,,
2:58.0,K. Walker misses 2-pt shot from 3 ft,,23-20,,
2:55.0,,,23-20,,Defensive rebound by A. Drummond
2:43.0,,,23-23,3,A. Tolliver makes 3-pt shot from 24 ft (assist by A. Bradley)
2:24.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,23-23,,
2:22.0,,,23-23,,Defensive rebound by A. Drummond
2:07.0,,,23-25,2,A. Bradley makes 2-pt shot from 17 ft
1:49.0,Shooting foul by A. Drummond (drawn by M. Kidd-Gilchrist),,23-25,,
1:49.0,M. Kidd-Gilchrist misses free throw 1 of 2,,23-25,,
1:49.0,Offensive rebound by Team,,23-25,,
1:49.0,,,23-25,,D. Buycks enters the game for A. Drummond
1:49.0,,,23-25,,E. Moreland enters the game for I. Smith
1:49.0,J. Lamb enters the game for N. Batum,,23-25,,
1:49.0,M. Carter-Williams enters the game for K. Walker,,23-25,,
1:49.0,M. Kidd-Gilchrist misses free throw 2 of 2,,23-25,,
1:46.0,,,23-25,,Defensive rebound by E. Moreland
1:34.0,,,23-25,,A. Tolliver misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by D. Howard,,23-25,,
1:16.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,23-25,,
1:11.0,Offensive rebound by D. Howard,,23-25,,
1:11.0,D. Howard makes 2-pt shot at rim,2,25-25,,
1:00.0,,,25-25,,L. Kennard misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by M. Kidd-Gilchrist,,25-25,,
0:47.0,D. Howard misses 2-pt shot from 3 ft,,25-25,,
0:45.0,,,25-25,,Defensive rebound by L. Kennard
0:40.0,,,25-27,2,E. Moreland makes 2-pt shot from 2 ft (assist by L. Kennard)
0:32.0,Offensive foul by M. Carter-Williams (drawn by A. Tolliver),,25-27,,
0:32.0,Turnover by M. Carter-Williams (offensive foul),,25-27,,
