time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. J. Embiid (J. Redick gains possession),,,,Jump ball: J. Allen vs. J. Embiid (J. Redick gains possession)
11:49.0,B. Simmons misses 2-pt shot from 3 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by Q. Acy
11:45.0,,,0-0,,S. Dinwiddie misses 2-pt shot from 3 ft (block by R. Covington)
11:45.0,,,0-0,,Offensive rebound by Team
11:34.0,,,0-0,,A. Crabbe misses 2-pt shot from 19 ft
11:31.0,Defensive rebound by J. Embiid,,0-0,,
11:27.0,D. Saric misses 2-pt shot from 3 ft (block by Q. Acy),,0-0,,
11:27.0,Offensive rebound by Team,,0-0,,
11:19.0,B. Simmons makes 2-pt shot from 6 ft (assist by D. Saric),2,2-0,,
11:06.0,,,2-0,,A. Crabbe misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by J. Redick,,2-0,,
10:58.0,J. Redick misses 2-pt shot from 20 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by A. Crabbe
10:38.0,,,2-3,3,Q. Acy makes 3-pt shot from 23 ft
10:24.0,B. Simmons makes 2-pt shot from 1 ft,2,4-3,,
10:14.0,,,4-5,2,D. Carroll makes 2-pt shot from 2 ft
9:57.0,D. Saric makes 2-pt shot from 18 ft (assist by R. Covington),2,6-5,,
9:38.0,,,6-7,2,D. Carroll makes 2-pt shot from 13 ft (assist by J. Allen)
9:29.0,B. Simmons makes 2-pt shot from 1 ft,2,8-7,,
9:10.0,Personal foul by D. Saric (drawn by J. Allen),,8-7,,
9:00.0,,,8-7,,A. Crabbe misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by J. Embiid,,8-7,,
8:49.0,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons),3,11-7,,
8:27.0,,,11-7,,Q. Acy misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by J. Embiid,,11-7,,
8:18.0,J. Embiid makes 3-pt shot from 24 ft,3,14-7,,
8:17.0,,,14-7,,Brooklyn full timeout
7:57.0,,,14-9,2,S. Dinwiddie makes 2-pt shot from 18 ft
7:39.0,J. Embiid misses 2-pt shot from 1 ft (block by J. Allen),,14-9,,
7:37.0,Offensive rebound by J. Embiid,,14-9,,
7:37.0,Shooting foul by D. Carroll (drawn by J. Embiid),,14-9,,
7:37.0,J. Embiid makes free throw 1 of 2,1,15-9,,
7:37.0,T. McConnell enters the game for J. Redick,,15-9,,
7:37.0,J. Embiid makes free throw 2 of 2,1,16-9,,
7:17.0,,,16-11,2,J. Allen makes 2-pt shot from 16 ft (assist by D. Carroll)
6:54.0,J. Embiid makes 2-pt shot from 8 ft,2,18-11,,
6:36.0,,,18-11,,D. Carroll misses 2-pt shot from 8 ft
6:32.0,Defensive rebound by D. Saric,,18-11,,
6:23.0,T. McConnell makes 2-pt shot from 3 ft,2,20-11,,
6:03.0,,,20-13,2,A. Crabbe makes 2-pt shot from 19 ft
5:46.0,,,20-13,,Personal foul by Q. Acy (drawn by J. Embiid)
5:46.0,,,20-13,,J. Okafor enters the game for Q. Acy
5:46.0,,,20-13,,J. Harris enters the game for J. Allen
5:46.0,A. Johnson enters the game for J. Embiid,,20-13,,
5:40.0,D. Saric misses 2-pt shot from 19 ft,,20-13,,
5:36.0,,,20-13,,Defensive rebound by A. Crabbe
5:32.0,,,20-13,,S. Dinwiddie misses 2-pt shot from 2 ft (block by A. Johnson)
5:30.0,,,20-13,,Offensive rebound by J. Okafor
5:30.0,,,20-15,2,J. Okafor makes 2-pt shot from 1 ft
5:18.0,Offensive foul by A. Johnson (drawn by A. Crabbe),,20-15,,
5:18.0,Turnover by A. Johnson (offensive foul),,20-15,,
5:01.0,,,20-18,3,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Harris)
4:59.0,Philadelphia full timeout,,20-18,,
4:59.0,,,20-18,,D. Russell enters the game for S. Dinwiddie
4:48.0,Shooting foul by J. Okafor (drawn by D. Saric),,20-18,,
4:48.0,D. Saric makes free throw 1 of 2,1,21-18,,
4:48.0,J. Anderson enters the game for R. Covington,,21-18,,
4:48.0,D. Saric makes free throw 2 of 2,1,22-18,,
4:38.0,Violation by B. Simmons (kicked ball),,22-18,,
4:29.0,,,22-21,3,D. Carroll makes 3-pt shot from 23 ft (assist by D. Russell)
4:14.0,B. Simmons makes 2-pt shot from 11 ft,2,24-21,,
4:05.0,,,24-21,,Offensive foul by J. Okafor (drawn by T. McConnell)
4:05.0,,,24-21,,Turnover by J. Okafor (offensive foul)
4:05.0,,,24-21,,N. Stauskas enters the game for A. Crabbe
3:51.0,,,24-21,,Personal foul by J. Harris (drawn by D. Saric)
3:39.0,D. Saric misses 2-pt shot from 7 ft (block by J. Okafor),,24-21,,
3:34.0,,,24-21,,Defensive rebound by J. Okafor
3:32.0,,,24-21,,Turnover by D. Carroll (traveling)
3:32.0,J. Embiid enters the game for A. Johnson,,24-21,,
3:14.0,B. Simmons makes 2-pt shot from 5 ft,2,26-21,,
3:03.0,,,26-21,,D. Russell misses 2-pt shot from 12 ft
3:02.0,,,26-21,,Offensive rebound by J. Okafor
3:02.0,Personal foul by J. Anderson (drawn by J. Okafor),,26-21,,
3:02.0,T. Booker enters the game for D. Saric,,26-21,,
3:02.0,J. Redick enters the game for B. Simmons,,26-21,,
2:50.0,,,26-21,,J. Okafor misses 2-pt shot from 15 ft
2:47.0,Defensive rebound by J. Embiid,,26-21,,
2:35.0,Shooting foul by J. Okafor (drawn by J. Embiid),,26-21,,
2:35.0,J. Embiid makes free throw 1 of 2,1,27-21,,
2:35.0,,,27-21,,J. Webb enters the game for J. Okafor
2:35.0,J. Embiid makes free throw 2 of 2,1,28-21,,
2:35.0,,,28-21,,T. Zeller enters the game for D. Carroll
2:23.0,,,28-21,,J. Harris misses 2-pt shot from 6 ft
2:20.0,Defensive rebound by T. Booker,,28-21,,
2:18.0,T. Booker makes 2-pt shot from 1 ft (assist by T. McConnell),2,30-21,,
2:09.0,,,30-21,,D. Russell misses 2-pt shot from 12 ft
2:07.0,Defensive rebound by T. Booker,,30-21,,
1:58.0,T. McConnell misses 2-pt shot from 15 ft,,30-21,,
1:56.0,,,30-21,,Defensive rebound by Team
1:37.0,,,30-23,2,D. Russell makes 2-pt shot from 11 ft
1:26.0,Turnover by T. McConnell (bad pass; steal by D. Russell),,30-23,,
1:22.0,,,30-23,,Turnover by D. Russell (bad pass; steal by J. Redick)
1:22.0,,,30-23,,Personal foul by D. Russell (drawn by J. Redick)
