time,Houston,pts.away,score,pts.home,Memphis
0:36.0,E. Gordon misses 3-pt shot from 26 ft,,28-25,,
0:32.0,Offensive rebound by P. Tucker,,28-25,,
0:32.0,P. Tucker makes 2-pt shot at rim,2,30-25,,
0:16.0,,,30-25,,B. Wright misses 2-pt shot from 1 ft
0:12.0,,,30-25,,Offensive rebound by B. Wright
0:12.0,,,30-25,,B. Wright misses 2-pt shot at rim
0:11.0,Defensive rebound by C. Paul,,30-25,,
0:04.0,C. Paul makes 3-pt shot from 26 ft,3,33-25,,
0:00.0,,,33-25,,B. McLemore misses 2-pt shot from 16 ft
0:00.0,,,33-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,C. Paul makes 3-pt shot from 26 ft,3,36-25,,
11:15.0,,,36-25,,B. Wright misses 2-pt shot from 8 ft
11:14.0,Defensive rebound by N. Hilario,,36-25,,
10:58.0,C. Paul makes 2-pt shot from 18 ft,2,38-25,,
10:41.0,,,38-25,,Turnover by B. Wright (bad pass; steal by N. Hilario)
10:33.0,C. Paul misses 3-pt shot from 27 ft,,38-25,,
10:30.0,,,38-25,,Defensive rebound by A. Harrison
10:19.0,,,38-25,,Turnover by T. Evans (bad pass)
10:19.0,C. Capela enters the game for N. Hilario,,38-25,,
10:09.0,E. Gordon misses 2-pt shot from 1 ft (block by B. Wright),,38-25,,
10:09.0,Offensive rebound by Team,,38-25,,
10:09.0,,,38-25,,C. Parsons enters the game for A. Harrison
10:06.0,T. Ariza misses 3-pt shot from 26 ft,,38-25,,
10:03.0,,,38-25,,Defensive rebound by T. Evans
9:54.0,,,38-25,,B. McLemore misses 2-pt shot from 1 ft (block by C. Capela)
9:53.0,,,38-25,,Offensive rebound by B. Wright
9:53.0,,,38-25,,Shooting foul by C. Paul (drawn by B. Wright)
9:53.0,,,38-25,,B. Wright misses free throw 1 of 2
9:53.0,,,38-25,,Offensive rebound by Team
9:53.0,,,38-26,1,B. Wright makes free throw 2 of 2
9:40.0,E. Gordon makes 3-pt shot from 22 ft (assist by C. Paul),3,41-26,,
9:17.0,,,41-26,,J. Ennis misses 2-pt shot from 22 ft
9:14.0,Defensive rebound by C. Capela,,41-26,,
8:59.0,Turnover by R. Anderson (step out of bounds),,41-26,,
8:59.0,J. Harden enters the game for C. Paul,,41-26,,
8:49.0,Personal foul by T. Ariza (drawn by C. Parsons),,41-26,,
8:41.0,,,41-28,2,T. Evans makes 2-pt shot from 1 ft
8:26.0,C. Capela misses 2-pt shot at rim (block by J. Ennis),,41-28,,
8:26.0,Offensive rebound by C. Capela,,41-28,,
8:26.0,Shooting foul by B. McLemore (drawn by C. Capela),,41-28,,
8:26.0,C. Capela makes free throw 1 of 2,1,42-28,,
8:26.0,,,42-28,,M. Gasol enters the game for B. Wright
8:26.0,C. Capela makes free throw 2 of 2,1,43-28,,
8:12.0,,,43-28,,B. McLemore misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by C. Capela,,43-28,,
8:00.0,,,43-28,,Personal foul by B. McLemore (drawn by E. Gordon)
8:00.0,,,43-28,,M. Chalmers enters the game for J. Ennis
8:00.0,,,43-28,,D. Brooks enters the game for B. McLemore
7:56.0,J. Harden misses 3-pt shot from 26 ft,,43-28,,
7:51.0,,,43-28,,Defensive rebound by M. Gasol
7:42.0,,,43-28,,M. Chalmers misses 2-pt shot from 1 ft (block by C. Capela)
7:38.0,Defensive rebound by C. Capela,,43-28,,
7:35.0,T. Ariza makes 3-pt shot from 23 ft (assist by E. Gordon),3,46-28,,
7:14.0,,,46-30,2,C. Parsons makes 2-pt shot from 1 ft
7:14.0,Violation by C. Capela (def goaltending),,46-30,,
7:01.0,E. Gordon misses 3-pt shot from 25 ft,,46-30,,
6:58.0,,,46-30,,Defensive rebound by M. Chalmers
6:54.0,,,46-32,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Chalmers)
6:42.0,J. Harden misses 2-pt shot at rim,,46-32,,
6:38.0,Offensive rebound by R. Anderson,,46-32,,
6:38.0,R. Anderson makes 2-pt shot at rim,2,48-32,,
6:26.0,Personal foul by R. Anderson (drawn by M. Gasol),,48-32,,
6:26.0,,,48-32,,Memphis full timeout
6:26.0,C. Paul enters the game for E. Gordon,,48-32,,
6:26.0,T. Black enters the game for C. Capela,,48-32,,
6:18.0,,,48-32,,Shooting foul by T. Black (drawn by M. Gasol)
6:18.0,,,48-33,1,M. Gasol makes free throw 1 of 2
6:18.0,,,48-33,,J. Green enters the game for T. Evans
6:18.0,,,48-34,1,M. Gasol makes free throw 2 of 2
6:00.0,J. Harden makes 3-pt shot from 25 ft,3,51-34,,
5:35.0,,,51-34,,Turnover by M. Gasol (traveling)
5:35.0,L. Mbah a Moute enters the game for T. Ariza,,51-34,,
5:35.0,P. Tucker enters the game for R. Anderson,,51-34,,
5:20.0,J. Harden misses 3-pt shot from 25 ft,,51-34,,
5:17.0,,,51-34,,Defensive rebound by M. Chalmers
5:14.0,,,51-37,3,C. Parsons makes 3-pt shot from 27 ft (assist by M. Chalmers)
4:53.0,P. Tucker misses 3-pt shot from 25 ft,,51-37,,
4:46.0,,,51-37,,Defensive rebound by D. Brooks
