time,Philadelphia,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Embiid (J. Smith gains possession),,,,Jump ball: M. Gortat vs. J. Embiid (J. Smith gains possession)
11:44.0,,,0-0,,B. Beal misses 2-pt shot from 12 ft
11:39.0,Defensive rebound by B. Simmons,,0-0,,
11:38.0,Turnover by J. Redick (step out of bounds),,0-0,,
11:30.0,,,0-2,2,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall)
11:17.0,Shooting foul by J. Smith (drawn by J. Embiid),,0-2,,
11:17.0,J. Embiid makes free throw 1 of 2,1,1-2,,
11:17.0,J. Embiid makes free throw 2 of 2,1,2-2,,
11:08.0,,,2-4,2,O. Porter makes 2-pt shot from 16 ft (assist by J. Wall)
10:51.0,R. Covington misses 3-pt shot from 26 ft,,2-4,,
10:47.0,,,2-4,,Defensive rebound by M. Gortat
10:38.0,,,2-4,,J. Wall misses 2-pt shot from 14 ft (block by R. Covington)
10:33.0,Defensive rebound by J. Embiid,,2-4,,
10:31.0,R. Covington makes 3-pt shot from 24 ft (assist by J. Embiid),3,5-4,,
10:12.0,,,5-4,,O. Porter misses 2-pt shot from 17 ft
10:08.0,,,5-4,,Offensive rebound by B. Beal
10:07.0,,,5-4,,B. Beal misses 2-pt shot from 15 ft
10:07.0,,,5-4,,Offensive rebound by O. Porter
10:05.0,Personal foul by R. Covington (drawn by O. Porter),,5-4,,
9:53.0,,,5-6,2,O. Porter makes 2-pt shot from 11 ft
9:44.0,B. Simmons misses 2-pt shot from 3 ft (block by O. Porter),,5-6,,
9:44.0,,,5-6,,Defensive rebound by M. Gortat
9:36.0,,,5-8,2,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall)
9:23.0,J. Bayless misses 3-pt shot from 25 ft,,5-8,,
9:21.0,,,5-8,,Defensive rebound by M. Gortat
9:17.0,,,5-8,,J. Wall misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by J. Embiid,,5-8,,
9:09.0,,,5-8,,Personal foul by O. Porter (drawn by B. Simmons)
8:56.0,J. Embiid makes 2-pt shot from 14 ft,2,7-8,,
8:43.0,,,7-10,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
8:28.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Bayless),2,9-10,,
8:15.0,,,9-10,,J. Smith misses 3-pt shot from 25 ft (block by B. Simmons)
8:09.0,,,9-10,,Offensive rebound by J. Smith
8:07.0,,,9-10,,J. Wall misses 2-pt shot from 17 ft
8:04.0,Defensive rebound by J. Embiid,,9-10,,
7:59.0,J. Bayless misses 3-pt shot from 25 ft,,9-10,,
7:57.0,,,9-10,,Defensive rebound by M. Gortat
7:46.0,,,9-12,2,J. Wall makes 2-pt shot at rim
7:27.0,J. Bayless makes 3-pt shot from 23 ft (assist by B. Simmons),3,12-12,,
7:11.0,,,12-14,2,M. Gortat makes 2-pt shot from 11 ft (assist by B. Beal)
6:59.0,R. Covington misses 3-pt shot from 28 ft,,12-14,,
6:55.0,,,12-14,,Defensive rebound by J. Wall
6:46.0,,,12-14,,M. Gortat misses 2-pt shot from 9 ft
6:44.0,,,12-14,,Offensive rebound by M. Gortat
6:43.0,,,12-14,,Washington full timeout
6:43.0,A. Johnson enters the game for J. Bayless,,12-14,,
6:43.0,M. Fultz enters the game for J. Embiid,,12-14,,
6:31.0,,,12-16,2,J. Wall makes 2-pt shot from 13 ft
6:16.0,J. Redick misses 2-pt shot from 9 ft (block by M. Gortat),,12-16,,
6:13.0,,,12-16,,Defensive rebound by O. Porter
6:09.0,,,12-16,,J. Wall misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by J. Redick,,12-16,,
5:54.0,B. Simmons makes 2-pt shot from 9 ft,2,14-16,,
5:36.0,,,14-16,,B. Beal misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by R. Covington,,14-16,,
5:22.0,M. Fultz misses 2-pt shot from 7 ft,,14-16,,
5:20.0,,,14-16,,Defensive rebound by M. Gortat
5:07.0,,,14-18,2,M. Gortat makes 2-pt shot from 9 ft (assist by B. Beal)
4:56.0,,,14-18,,Personal foul by M. Gortat (drawn by B. Simmons)
4:56.0,,,14-18,,K. Oubre enters the game for J. Smith
4:56.0,D. Saric enters the game for B. Simmons,,14-18,,
4:56.0,T. McConnell enters the game for R. Covington,,14-18,,
4:44.0,Shooting foul by J. Wall (drawn by M. Fultz),,14-18,,
4:44.0,M. Fultz misses free throw 1 of 2,,14-18,,
4:44.0,Offensive rebound by Team,,14-18,,
4:44.0,,,14-18,,M. Scott enters the game for O. Porter
4:44.0,T. Luwawu-Cabarrot enters the game for J. Redick,,14-18,,
4:44.0,M. Fultz misses free throw 2 of 2,,14-18,,
4:40.0,,,14-18,,Defensive rebound by M. Gortat
4:23.0,,,14-21,3,K. Oubre makes 3-pt shot from 25 ft
4:09.0,M. Fultz misses 2-pt shot from 6 ft (block by B. Beal),,14-21,,
4:03.0,Offensive rebound by M. Fultz,,14-21,,
