time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: T. Zeller vs. H. Whiteside (G. Dragic gains possession)
11:43.0,J. Richardson misses 2-pt shot from 6 ft,,0-0,,
11:41.0,Offensive rebound by H. Whiteside,,0-0,,
11:41.0,Shooting foul by D. Carroll (drawn by H. Whiteside),,0-0,,
11:41.0,H. Whiteside makes free throw 1 of 2,1,1-0,,
11:41.0,H. Whiteside makes free throw 2 of 2,1,2-0,,
11:28.0,,,2-2,2,T. Zeller makes 2-pt shot from 5 ft (assist by S. Dinwiddie)
11:12.0,D. Jones misses 3-pt shot from 25 ft,,2-2,,
11:10.0,Offensive rebound by H. Whiteside,,2-2,,
11:03.0,H. Whiteside makes 2-pt shot from 19 ft (assist by J. Richardson),2,4-2,,
10:53.0,,,4-2,,Offensive foul by R. Hollis-Jefferson (drawn by J. Richardson)
10:53.0,,,4-2,,Turnover by R. Hollis-Jefferson (offensive foul)
10:42.0,G. Dragic misses 2-pt shot from 10 ft,,4-2,,
10:39.0,,,4-2,,Defensive rebound by R. Hollis-Jefferson
10:32.0,,,4-2,,T. Zeller misses 3-pt shot from 25 ft
10:30.0,,,4-2,,Offensive rebound by R. Hollis-Jefferson
10:28.0,,,4-2,,A. Crabbe misses 3-pt shot from 28 ft
10:26.0,Defensive rebound by H. Whiteside,,4-2,,
10:16.0,H. Whiteside misses 2-pt shot from 1 ft (block by A. Crabbe),,4-2,,
10:13.0,,,4-2,,Defensive rebound by T. Zeller
10:01.0,,,4-2,,Shooting foul by J. Richardson (drawn by D. Carroll)
10:01.0,,,4-3,1,D. Carroll makes free throw 1 of 2
10:01.0,,,4-4,1,D. Carroll makes free throw 2 of 2
9:45.0,H. Whiteside misses 2-pt shot from 6 ft,,4-4,,
9:42.0,Offensive rebound by D. Jones,,4-4,,
9:41.0,D. Jones misses 2-pt shot at rim,,4-4,,
9:39.0,,,4-4,,Defensive rebound by A. Crabbe
9:34.0,,,4-4,,D. Carroll misses 3-pt shot from 22 ft
9:32.0,Defensive rebound by H. Whiteside,,4-4,,
9:24.0,G. Dragic makes 2-pt shot at rim,2,6-4,,
9:05.0,,,6-6,2,T. Zeller makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson)
8:48.0,J. Johnson misses 2-pt shot from 22 ft,,6-6,,
8:45.0,,,6-6,,Defensive rebound by R. Hollis-Jefferson
8:40.0,,,6-6,,A. Crabbe misses 3-pt shot from 24 ft
8:38.0,,,6-6,,Offensive rebound by D. Carroll
8:30.0,,,6-6,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by H. Whiteside)
8:28.0,Defensive rebound by H. Whiteside,,6-6,,
8:17.0,Turnover by H. Whiteside (bad pass; steal by D. Carroll),,6-6,,
8:13.0,,,6-6,,Turnover by S. Dinwiddie (bad pass; steal by J. Richardson)
8:02.0,Shooting foul by T. Zeller (drawn by J. Richardson),,6-6,,
8:02.0,J. Richardson misses free throw 1 of 2,,6-6,,
8:02.0,Offensive rebound by Team,,6-6,,
8:02.0,J. Richardson makes free throw 2 of 2,1,7-6,,
7:49.0,,,7-6,,Turnover by A. Crabbe (lost ball; steal by J. Johnson)
7:39.0,G. Dragic misses 2-pt shot from 12 ft,,7-6,,
7:34.0,Offensive rebound by H. Whiteside,,7-6,,
7:33.0,H. Whiteside makes 2-pt shot from 1 ft,2,9-6,,
7:23.0,,,9-8,2,D. Carroll makes 2-pt shot from 6 ft
7:07.0,H. Whiteside misses 2-pt shot from 15 ft,,9-8,,
7:04.0,,,9-8,,Defensive rebound by S. Dinwiddie
6:47.0,,,9-8,,S. Dinwiddie misses 2-pt shot from 9 ft
6:45.0,,,9-8,,Offensive rebound by S. Dinwiddie
6:39.0,Def 3 sec tech foul by H. Whiteside,,9-8,,
6:39.0,,,9-8,,Brooklyn full timeout
6:39.0,W. Ellington enters the game for J. Richardson,,9-8,,
6:39.0,,,9-9,1,A. Crabbe makes technical free throw
6:27.0,,,9-9,,T. Zeller misses 2-pt shot from 1 ft (block by H. Whiteside)
6:24.0,Defensive rebound by H. Whiteside,,9-9,,
6:02.0,Turnover by Team (shot clock),,9-9,,
5:41.0,,,9-12,3,D. Carroll makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
5:23.0,G. Dragic makes 2-pt shot from 10 ft (assist by H. Whiteside),2,11-12,,
5:05.0,,,11-12,,A. Crabbe misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by D. Jones,,11-12,,
4:56.0,G. Dragic misses 3-pt shot from 24 ft,,11-12,,
4:52.0,,,11-12,,Defensive rebound by R. Hollis-Jefferson
4:44.0,,,11-12,,T. Zeller misses 3-pt shot from 22 ft
4:40.0,,,11-12,,Offensive rebound by D. Carroll
4:28.0,Personal block foul by D. Jones (drawn by R. Hollis-Jefferson),,11-12,,
4:28.0,,,11-12,,D. Russell enters the game for S. Dinwiddie
4:28.0,,,11-12,,J. Harris enters the game for A. Crabbe
4:28.0,,,11-12,,J. Allen enters the game for T. Zeller
4:22.0,,,11-12,,D. Russell misses 2-pt shot from 13 ft (block by G. Dragic)
4:19.0,Defensive rebound by H. Whiteside,,11-12,,
4:17.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Dragic),,11-12,,
4:17.0,G. Dragic misses free throw 1 of 2,,11-12,,
4:17.0,Offensive rebound by Team,,11-12,,
4:17.0,,,11-12,,Q. Acy enters the game for D. Carroll
4:17.0,,,11-12,,C. LeVert enters the game for R. Hollis-Jefferson
4:17.0,G. Dragic makes free throw 2 of 2,1,12-12,,
4:04.0,,,12-12,,Turnover by J. Harris (bad pass)
3:49.0,D. Jones misses 2-pt shot from 3 ft,,12-12,,
3:46.0,,,12-12,,Defensive rebound by J. Allen
3:44.0,,,12-12,,Turnover by D. Russell (bad pass)
3:44.0,J. Winslow enters the game for D. Jones,,12-12,,
3:34.0,H. Whiteside makes 2-pt shot from 1 ft,2,14-12,,
3:34.0,Shooting foul by J. Allen (drawn by H. Whiteside),,14-12,,
3:34.0,H. Whiteside makes free throw 1 of 1,1,15-12,,
3:23.0,,,15-15,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
3:22.0,Miami full timeout,,15-15,,
3:22.0,K. Olynyk enters the game for J. Johnson,,15-15,,
3:01.0,H. Whiteside makes 2-pt shot at rim (assist by W. Ellington),2,17-15,,
2:43.0,Shooting block foul by H. Whiteside (drawn by J. Allen),,17-15,,
2:43.0,,,17-16,1,J. Allen makes free throw 1 of 2
2:43.0,J. Richardson enters the game for G. Dragic,,17-16,,
2:43.0,,,17-17,1,J. Allen makes free throw 2 of 2
2:25.0,J. Richardson makes 2-pt shot from 5 ft,2,19-17,,
2:07.0,,,19-17,,Turnover by J. Allen (lost ball; steal by J. Richardson)
2:00.0,J. Winslow misses 2-pt shot from 22 ft,,19-17,,
1:55.0,,,19-17,,Defensive rebound by J. Allen
1:52.0,,,19-20,3,J. Harris makes 3-pt shot from 22 ft (assist by C. LeVert)
1:23.0,J. Winslow misses 3-pt shot from 22 ft,,19-20,,
1:23.0,Offensive rebound by Team,,19-20,,
1:23.0,Turnover by Team (shot clock),,19-20,,
1:23.0,B. Adebayo enters the game for H. Whiteside,,19-20,,
1:13.0,,,19-20,,Turnover by J. Allen (lost ball; steal by J. Winslow)
0:51.0,J. Richardson misses 2-pt shot from 5 ft,,19-20,,
0:50.0,Offensive rebound by B. Adebayo,,19-20,,
0:50.0,B. Adebayo makes 2-pt shot at rim,2,21-20,,
0:44.0,,,21-20,,D. Russell misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by B. Adebayo,,21-20,,
0:28.0,K. Olynyk makes 3-pt shot from 24 ft (assist by B. Adebayo),3,24-20,,
0:04.0,Shooting block foul by B. Adebayo (drawn by J. Allen),,24-20,,
0:04.0,,,24-20,,J. Allen misses free throw 1 of 2
0:04.0,,,24-20,,Offensive rebound by Team
0:04.0,,,24-20,,J. Allen misses free throw 2 of 2
0:02.0,,,24-20,,Offensive rebound by Q. Acy
0:01.0,,,24-20,,Shooting foul by B. Adebayo (drawn by Q. Acy)
0:01.0,,,24-20,,Q. Acy misses free throw 1 of 2
0:01.0,,,24-20,,Offensive rebound by Team
0:01.0,,,24-21,1,Q. Acy makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,24-21,,C. LeVert misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by K. Olynyk,,24-21,,
11:17.0,W. Ellington misses 3-pt shot from 22 ft (block by C. LeVert),,24-21,,
11:14.0,Offensive rebound by W. Ellington,,24-21,,
11:12.0,J. Richardson misses 3-pt shot from 22 ft,,24-21,,
11:10.0,,,24-21,,Defensive rebound by C. LeVert
11:03.0,,,24-21,,C. LeVert misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by J. Winslow,,24-21,,
10:51.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Winslow),3,27-21,,
10:29.0,,,27-24,3,Q. Acy makes 3-pt shot from 22 ft (assist by C. LeVert)
10:15.0,,,27-24,,Personal foul by C. LeVert (drawn by K. Olynyk)
10:10.0,J. Richardson misses 2-pt shot from 19 ft,,27-24,,
