time,Toronto,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. L. Nogueira (M. Harkless gains possession),,,,Jump ball: J. Nurkic vs. L. Nogueira (M. Harkless gains possession)
11:45.0,,,0-2,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
11:28.0,Shooting foul by M. Harkless (drawn by D. DeRozan),,0-2,,
11:28.0,D. DeRozan misses free throw 1 of 2,,0-2,,
11:28.0,Offensive rebound by Team,,0-2,,
11:28.0,D. DeRozan makes free throw 2 of 2,1,1-2,,
11:15.0,,,1-4,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
11:03.0,D. DeRozan makes 2-pt shot from 15 ft,2,3-4,,
10:50.0,,,3-4,,C. McCollum misses 2-pt shot from 1 ft (block by N. Powell)
10:46.0,Defensive rebound by P. Siakam,,3-4,,
10:32.0,L. Nogueira makes 2-pt shot at rim (assist by D. DeRozan),2,5-4,,
10:19.0,,,5-6,2,D. Lillard makes 2-pt shot from 20 ft
10:00.0,N. Powell misses 2-pt shot from 8 ft,,5-6,,
9:58.0,,,5-6,,Defensive rebound by J. Nurkic
9:52.0,,,5-8,2,J. Nurkic makes 2-pt shot from 22 ft (assist by D. Lillard)
9:32.0,D. DeRozan makes 2-pt shot from 16 ft,2,7-8,,
9:20.0,,,7-10,2,A. Aminu makes 2-pt shot from 8 ft (assist by M. Harkless)
9:10.0,D. DeRozan makes 2-pt shot from 14 ft,2,9-10,,
8:57.0,,,9-13,3,D. Lillard makes 3-pt shot from 26 ft
8:47.0,Turnover by K. Lowry (bad pass; steal by J. Nurkic),,9-13,,
8:40.0,,,9-13,,Turnover by D. Lillard (bad pass; steal by L. Nogueira)
8:38.0,D. DeRozan makes 2-pt shot from 2 ft,2,11-13,,
8:38.0,Shooting foul by M. Harkless (drawn by D. DeRozan),,11-13,,
8:38.0,,,11-13,,E. Turner enters the game for M. Harkless
8:38.0,D. DeRozan makes free throw 1 of 1,1,12-13,,
8:19.0,,,12-13,,J. Nurkic misses 2-pt shot from 13 ft
8:16.0,Defensive rebound by K. Lowry,,12-13,,
8:10.0,Shooting foul by E. Turner (drawn by D. DeRozan),,12-13,,
8:10.0,D. DeRozan misses free throw 1 of 2,,12-13,,
8:10.0,Offensive rebound by Team,,12-13,,
8:10.0,D. DeRozan makes free throw 2 of 2,1,13-13,,
7:52.0,,,13-16,3,C. McCollum makes 3-pt shot from 22 ft
7:32.0,N. Powell misses 2-pt shot from 3 ft,,13-16,,
7:31.0,,,13-16,,Defensive rebound by A. Aminu
7:31.0,Personal foul by L. Nogueira (drawn by A. Aminu),,13-16,,
7:20.0,,,13-16,,C. McCollum misses 2-pt shot from 14 ft (block by N. Powell)
7:16.0,Defensive rebound by K. Lowry,,13-16,,
7:11.0,N. Powell misses 3-pt shot from 24 ft,,13-16,,
7:09.0,,,13-16,,Defensive rebound by A. Aminu
7:01.0,,,13-16,,Turnover by C. McCollum (out of bounds lost ball)
6:51.0,D. DeRozan makes 2-pt shot from 8 ft (assist by K. Lowry),2,15-16,,
6:22.0,,,15-16,,Turnover by A. Aminu (lost ball; steal by P. Siakam)
6:17.0,K. Lowry misses 2-pt shot from 1 ft (block by D. Lillard),,15-16,,
6:13.0,,,15-16,,Defensive rebound by E. Turner
5:57.0,,,15-19,3,C. McCollum makes 3-pt shot from 25 ft (assist by A. Aminu)
5:48.0,Toronto full timeout,,15-19,,
5:48.0,,,15-19,,P. Connaughton enters the game for C. McCollum
5:43.0,Offensive foul by L. Nogueira (drawn by D. Lillard),,15-19,,
5:43.0,Turnover by L. Nogueira (offensive foul),,15-19,,
5:43.0,C. Miles enters the game for N. Powell,,15-19,,
5:43.0,J. Poeltl enters the game for L. Nogueira,,15-19,,
5:33.0,,,15-19,,D. Lillard misses 3-pt shot from 30 ft
5:30.0,Defensive rebound by P. Siakam,,15-19,,
5:15.0,K. Lowry makes 3-pt shot from 24 ft (assist by P. Siakam),3,18-19,,
4:58.0,,,18-19,,D. Lillard misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by P. Siakam,,18-19,,
4:50.0,D. DeRozan misses 2-pt shot from 5 ft,,18-19,,
4:47.0,,,18-19,,Defensive rebound by J. Nurkic
4:33.0,,,18-22,3,P. Connaughton makes 3-pt shot from 27 ft (assist by J. Nurkic)
4:20.0,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry),2,20-22,,
3:59.0,,,20-24,2,J. Nurkic makes 2-pt shot from 2 ft
3:43.0,J. Poeltl misses 2-pt shot from 7 ft,,20-24,,
3:36.0,Offensive rebound by K. Lowry,,20-24,,
3:36.0,Turnover by K. Lowry (bad pass; steal by D. Lillard),,20-24,,
3:29.0,,,20-26,2,D. Lillard makes 2-pt shot from 15 ft
3:18.0,D. DeRozan misses 2-pt shot from 6 ft,,20-26,,
3:16.0,Offensive rebound by D. DeRozan,,20-26,,
3:10.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,23-26,,
2:51.0,,,23-26,,P. Connaughton misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by J. Poeltl,,23-26,,
2:36.0,D. DeRozan makes 2-pt shot from 9 ft,2,25-26,,
2:36.0,,,25-26,,Portland full timeout
2:36.0,,,25-26,,E. Davis enters the game for D. Lillard
2:36.0,,,25-26,,C. McCollum enters the game for J. Nurkic
2:36.0,O. Anunoby enters the game for K. Lowry,,25-26,,
2:36.0,D. Wright enters the game for P. Siakam,,25-26,,
2:17.0,,,25-26,,C. McCollum misses 2-pt shot from 1 ft
2:14.0,,,25-26,,Offensive rebound by E. Davis
2:14.0,,,25-28,2,E. Davis makes 2-pt shot at rim
1:52.0,O. Anunoby misses 3-pt shot from 22 ft,,25-28,,
1:49.0,,,25-28,,Defensive rebound by E. Turner
1:42.0,,,25-28,,Shooting foul by J. Poeltl (drawn by E. Davis)
1:42.0,,,25-28,,E. Davis misses free throw 1 of 2
1:42.0,,,25-28,,Offensive rebound by Team
1:42.0,,,25-28,,C. Swanigan enters the game for A. Aminu
1:42.0,,,25-29,1,E. Davis makes free throw 2 of 2
1:28.0,,,25-29,,Violation by E. Davis (kicked ball)
1:20.0,Turnover by D. DeRozan (bad pass; steal by E. Davis),,25-29,,
1:15.0,,,25-29,,P. Connaughton misses 2-pt shot from 1 ft
1:14.0,,,25-29,,Offensive rebound by E. Davis
1:11.0,,,25-29,,P. Connaughton misses 3-pt shot from 22 ft
1:11.0,Defensive rebound by C. Miles,,25-29,,
1:00.0,J. Poeltl makes 2-pt shot from 1 ft (assist by D. DeRozan),2,27-29,,
0:48.0,,,27-29,,Turnover by E. Davis (lost ball; steal by C. Miles)
0:40.0,C. Miles misses 2-pt shot from 7 ft,,27-29,,
0:37.0,,,27-29,,Defensive rebound by C. Swanigan
0:32.0,,,27-29,,E. Turner misses 2-pt shot from 5 ft
0:29.0,,,27-29,,Offensive rebound by Team
0:29.0,F. VanVleet enters the game for D. DeRozan,,27-29,,
0:14.0,,,27-29,,C. McCollum misses 2-pt shot from 2 ft
0:13.0,Defensive rebound by J. Poeltl,,27-29,,
0:03.0,Shooting foul by P. Connaughton (drawn by D. Wright),,27-29,,
0:03.0,D. Wright makes free throw 1 of 2,1,28-29,,
0:03.0,D. Wright makes free throw 2 of 2,1,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,29-29,,Personal foul by P. Connaughton (drawn by F. VanVleet)
11:37.0,O. Anunoby misses 3-pt shot from 25 ft,,29-29,,
11:33.0,,,29-29,,Defensive rebound by C. McCollum
11:11.0,,,29-29,,C. Swanigan misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by F. VanVleet,,29-29,,
11:05.0,F. VanVleet misses 2-pt shot from 1 ft,,29-29,,
11:05.0,Offensive rebound by Team,,29-29,,
11:05.0,,,29-29,,Loose ball foul by E. Davis (drawn by J. Poeltl)
11:05.0,,,29-29,,M. Harkless enters the game for E. Turner
10:43.0,D. Wright misses 2-pt shot at rim,,29-29,,
10:40.0,,,29-29,,Defensive rebound by E. Davis
10:23.0,,,29-29,,Turnover by P. Connaughton (step out of bounds)
10:11.0,O. Anunoby misses 3-pt shot from 25 ft,,29-29,,
10:05.0,Offensive rebound by D. Wright,,29-29,,
10:04.0,D. Wright misses 2-pt shot from 1 ft,,29-29,,
10:04.0,,,29-29,,Defensive rebound by C. Swanigan
9:53.0,,,29-29,,C. McCollum misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by C. Miles,,29-29,,
9:46.0,,,29-29,,Personal foul by E. Davis (drawn by F. VanVleet)
9:35.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,31-29,,
9:14.0,,,31-29,,P. Connaughton misses 3-pt shot from 22 ft
9:11.0,Defensive rebound by J. Poeltl,,31-29,,
9:04.0,C. Miles misses 3-pt shot from 25 ft,,31-29,,
9:01.0,Offensive rebound by O. Anunoby,,31-29,,
8:58.0,D. Wright misses 3-pt shot from 25 ft,,31-29,,
8:57.0,,,31-29,,Defensive rebound by E. Davis
8:45.0,,,31-29,,C. Swanigan misses 2-pt shot from 19 ft
8:45.0,Defensive rebound by D. Wright,,31-29,,
8:30.0,C. Miles makes 2-pt shot at rim,2,33-29,,
8:05.0,,,33-29,,C. Swanigan misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by D. Wright,,33-29,,
7:46.0,,,33-29,,Portland full timeout
7:46.0,,,33-29,,J. Nurkic enters the game for C. McCollum
7:46.0,,,33-29,,S. Napier enters the game for P. Connaughton
7:46.0,,,33-29,,D. Lillard enters the game for E. Davis
7:45.0,F. VanVleet makes 2-pt shot from 1 ft,2,35-29,,
7:32.0,,,35-29,,Shooting foul by D. Wright (drawn by M. Harkless)
7:32.0,,,35-29,,M. Harkless misses free throw 1 of 2
7:32.0,,,35-29,,Offensive rebound by Team
7:32.0,L. Nogueira enters the game for J. Poeltl,,35-29,,
7:32.0,K. Lowry enters the game for C. Miles,,35-29,,
7:32.0,,,35-29,,M. Harkless misses free throw 2 of 2
7:28.0,,,35-29,,Offensive rebound by C. Swanigan
7:28.0,,,35-29,,C. Swanigan misses 2-pt shot at rim
7:28.0,,,35-29,,Offensive rebound by Team
7:21.0,,,35-29,,Shooting foul by K. Lowry (drawn by D. Lillard)
7:21.0,,,35-29,,D. Lillard misses free throw 1 of 2
7:21.0,,,35-29,,Offensive rebound by Team
7:21.0,,,35-30,1,D. Lillard makes free throw 2 of 2
6:57.0,L. Nogueira makes 3-pt shot from 25 ft (assist by D. Wright),3,38-30,,
6:47.0,Def 3 sec tech foul by O. Anunoby,,38-30,,
6:47.0,,,38-31,1,D. Lillard makes technical free throw
6:47.0,,,38-31,,A. Aminu enters the game for C. Swanigan
6:47.0,D. DeRozan enters the game for F. VanVleet,,38-31,,
6:47.0,N. Powell enters the game for D. Wright,,38-31,,
6:32.0,,,38-31,,A. Aminu misses 2-pt shot from 19 ft
6:29.0,Defensive rebound by N. Powell,,38-31,,
6:18.0,D. DeRozan makes 2-pt shot from 12 ft,2,40-31,,
5:54.0,,,40-31,,S. Napier misses 3-pt shot from 22 ft (block by L. Nogueira)
5:50.0,Defensive rebound by K. Lowry,,40-31,,
5:45.0,K. Lowry misses 3-pt shot from 25 ft,,40-31,,
5:43.0,,,40-31,,Defensive rebound by J. Nurkic
5:34.0,,,40-31,,D. Lillard misses 2-pt shot from 19 ft
5:30.0,Defensive rebound by O. Anunoby,,40-31,,
5:14.0,O. Anunoby makes 2-pt shot from 2 ft (assist by K. Lowry),2,42-31,,
4:51.0,,,42-31,,Shooting foul by O. Anunoby (drawn by D. Lillard)
4:51.0,,,42-32,1,D. Lillard makes free throw 1 of 2
4:51.0,,,42-32,,C. McCollum enters the game for S. Napier
4:51.0,P. Siakam enters the game for O. Anunoby,,42-32,,
4:51.0,,,42-33,1,D. Lillard makes free throw 2 of 2
4:42.0,D. DeRozan makes 2-pt shot from 17 ft,2,44-33,,
4:27.0,,,44-33,,D. Lillard misses 3-pt shot from 29 ft
4:23.0,Defensive rebound by K. Lowry,,44-33,,
4:18.0,,,44-33,,Portland full timeout
4:17.0,K. Lowry makes 2-pt shot from 1 ft,2,46-33,,
4:00.0,,,46-33,,J. Nurkic misses 2-pt shot from 4 ft (block by P. Siakam)
3:56.0,Defensive rebound by K. Lowry,,46-33,,
3:46.0,,,46-33,,Personal foul by J. Nurkic (drawn by L. Nogueira)
3:46.0,,,46-33,,E. Turner enters the game for M. Harkless
3:35.0,P. Siakam misses 3-pt shot from 22 ft,,46-33,,
3:32.0,,,46-33,,Defensive rebound by C. McCollum
3:27.0,,,46-33,,C. McCollum misses 2-pt shot from 6 ft
3:24.0,Defensive rebound by P. Siakam,,46-33,,
3:16.0,Toronto full timeout,,46-33,,
3:09.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,49-33,,
2:47.0,,,49-33,,C. McCollum misses 2-pt shot from 3 ft (block by L. Nogueira)
2:44.0,Defensive rebound by L. Nogueira,,49-33,,
2:40.0,N. Powell misses 2-pt shot from 6 ft (block by E. Turner),,49-33,,
2:36.0,Jump ball: E. Turner vs. N. Powell (K. Lowry gains possession),,,,Jump ball: E. Turner vs. N. Powell (K. Lowry gains possession)
2:36.0,Defensive rebound by Team,,49-33,,
2:33.0,Shooting foul by E. Turner (drawn by L. Nogueira),,49-33,,
2:33.0,L. Nogueira misses free throw 1 of 2,,49-33,,
2:33.0,Offensive rebound by Team,,49-33,,
2:33.0,L. Nogueira makes free throw 2 of 2,1,50-33,,
2:09.0,,,50-33,,J. Nurkic misses 2-pt shot from 3 ft
2:07.0,Defensive rebound by K. Lowry,,50-33,,
1:51.0,D. DeRozan makes 2-pt shot from 20 ft,2,52-33,,
1:35.0,,,52-33,,Turnover by D. Lillard (lost ball; steal by N. Powell)
1:35.0,,,52-33,,Loose ball foul by J. Nurkic (drawn by K. Lowry)
1:35.0,K. Lowry makes free throw 1 of 1,1,53-33,,
1:35.0,J. Poeltl enters the game for L. Nogueira,,53-33,,
1:35.0,K. Lowry makes free throw 2 of 2,1,54-33,,
1:26.0,,,54-33,,Turnover by D. Lillard (bad pass)
1:10.0,P. Siakam misses 2-pt shot from 7 ft,,54-33,,
1:08.0,,,54-33,,Defensive rebound by J. Nurkic
0:49.0,,,54-33,,A. Aminu misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by J. Poeltl,,54-33,,
0:32.0,N. Powell misses 2-pt shot from 3 ft (block by C. McCollum),,54-33,,
0:32.0,,,54-33,,Defensive rebound by Team
0:07.0,,,54-33,,D. Lillard misses 2-pt shot at rim
0:05.0,,,54-33,,Offensive rebound by E. Turner
0:05.0,,,54-35,2,E. Turner makes 2-pt shot from 1 ft
