time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. M. Plumlee (T. Gibson gains possession),,,,Jump ball: K. Towns vs. M. Plumlee (T. Gibson gains possession)
11:42.0,,,0-0,,K. Towns misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by N. Jokic,,0-0,,
11:34.0,G. Harris misses 3-pt shot from 26 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by J. Teague
11:22.0,,,0-0,,T. Gibson misses 2-pt shot from 3 ft
11:18.0,,,0-0,,Offensive rebound by K. Towns
11:16.0,,,0-2,2,K. Towns makes 2-pt shot from 12 ft (assist by T. Gibson)
10:54.0,W. Chandler makes 3-pt shot from 24 ft (assist by J. Murray),3,3-2,,
10:31.0,,,3-2,,J. Teague misses 2-pt shot from 9 ft
10:27.0,,,3-2,,Offensive rebound by J. Teague
10:23.0,,,3-2,,Shooting foul by M. Plumlee (drawn by A. Wiggins)
10:23.0,,,3-2,,A. Wiggins misses free throw 1 of 2
10:23.0,,,3-2,,Offensive rebound by Team
10:23.0,,,3-2,,A. Wiggins misses free throw 2 of 2
10:20.0,Defensive rebound by J. Murray,,3-2,,
10:04.0,Jump ball: A. Wiggins vs. J. Murray (K. Towns gains possession),,,,Jump ball: A. Wiggins vs. J. Murray (K. Towns gains possession)
10:04.0,Turnover by J. Murray (lost ball; steal by J. Teague),,3-2,,
9:56.0,,,3-5,3,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague)
9:29.0,J. Murray misses 2-pt shot from 1 ft,,3-5,,
9:27.0,,,3-5,,Defensive rebound by A. Wiggins
9:23.0,,,3-8,3,J. Teague makes 3-pt shot from 25 ft
9:07.0,N. Jokic makes 2-pt shot from 19 ft (assist by J. Murray),2,5-8,,
8:52.0,,,5-11,3,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague)
8:30.0,Shooting foul by K. Towns (drawn by N. Jokic),,5-11,,
8:30.0,N. Jokic makes free throw 1 of 2,1,6-11,,
8:30.0,N. Jokic makes free throw 2 of 2,1,7-11,,
8:21.0,,,7-14,3,A. Wiggins makes 3-pt shot from 24 ft (assist by K. Towns)
8:21.0,Denver full timeout,,7-14,,
8:06.0,G. Harris misses 2-pt shot from 2 ft,,7-14,,
8:06.0,,,7-14,,Defensive rebound by T. Gibson
7:49.0,,,7-17,3,J. Butler makes 3-pt shot from 25 ft
7:34.0,J. Murray misses 3-pt shot from 25 ft,,7-17,,
7:32.0,,,7-17,,Defensive rebound by K. Towns
7:16.0,,,7-17,,K. Towns misses 2-pt shot from 5 ft (block by N. Jokic)
7:16.0,Defensive rebound by N. Jokic,,7-17,,
7:09.0,J. Murray misses 3-pt shot from 25 ft,,7-17,,
7:07.0,,,7-17,,Defensive rebound by K. Towns
6:57.0,,,7-19,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler)
6:34.0,N. Jokic misses 2-pt shot from 4 ft (block by K. Towns),,7-19,,
6:31.0,Offensive rebound by W. Chandler,,7-19,,
6:29.0,G. Harris misses 3-pt shot from 22 ft,,7-19,,
6:27.0,,,7-19,,Defensive rebound by A. Wiggins
6:17.0,,,7-19,,J. Teague misses 3-pt shot from 24 ft
6:14.0,Defensive rebound by M. Plumlee,,7-19,,
6:02.0,Offensive foul by N. Jokic (drawn by T. Gibson),,7-19,,
6:02.0,Turnover by N. Jokic (offensive foul),,7-19,,
5:38.0,,,7-19,,K. Towns misses 3-pt shot from 25 ft
5:35.0,Defensive rebound by N. Jokic,,7-19,,
5:27.0,Shooting foul by T. Gibson (drawn by N. Jokic),,7-19,,
5:27.0,N. Jokic makes free throw 1 of 2,1,8-19,,
5:27.0,W. Barton enters the game for W. Chandler,,8-19,,
5:27.0,T. Lyles enters the game for M. Plumlee,,8-19,,
5:27.0,N. Jokic makes free throw 2 of 2,1,9-19,,
