time,Golden State,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. Z. Pachulia (R. Covington gains possession),,,,Jump ball: J. Embiid vs. Z. Pachulia (R. Covington gains possession)
11:34.0,,,0-2,2,J. Embiid makes 2-pt shot at rim (assist by B. Simmons)
11:14.0,S. Curry misses 2-pt shot from 22 ft,,0-2,,
11:14.0,Offensive rebound by Z. Pachulia,,0-2,,
11:08.0,K. Durant makes 2-pt shot from 14 ft,2,2-2,,
10:56.0,,,2-2,,J. Embiid misses 2-pt shot from 12 ft
10:55.0,Defensive rebound by D. Green,,2-2,,
10:50.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Green),2,4-2,,
10:50.0,,,4-2,,Personal foul by R. Covington (drawn by S. Curry)
10:50.0,,,4-2,,Turnover by R. Covington (turnover)
10:50.0,S. Curry makes free throw 1 of 1,1,5-2,,
10:38.0,,,5-4,2,J. Redick makes 2-pt shot from 19 ft (assist by J. Embiid)
10:19.0,Z. Pachulia makes 2-pt shot from 16 ft (assist by S. Curry),2,7-4,,
10:00.0,,,7-4,,Shooting foul by Z. Pachulia (drawn by J. Embiid)
10:00.0,,,7-5,1,J. Embiid makes free throw 1 of 2
10:00.0,,,7-6,1,J. Embiid makes free throw 2 of 2
9:55.0,Turnover by Z. Pachulia (bad pass; steal by B. Simmons),,7-6,,
9:55.0,,,7-6,,D. Saric misses 2-pt shot from 22 ft
9:55.0,Defensive rebound by S. Curry,,7-6,,
9:55.0,,,9-11,2,B. Simmons makes 2-pt shot from 8 ft
9:50.0,K. Durant misses 2-pt shot from 3 ft (block by D. Saric),,9-11,,
9:50.0,Offensive rebound by D. Green,,9-11,,
9:50.0,K. Thompson misses 3-pt shot from 25 ft,,9-11,,
9:50.0,Offensive rebound by D. Green,,9-11,,
9:41.0,K. Thompson misses 2-pt shot from 15 ft,,9-11,,
9:41.0,Offensive rebound by K. Durant,,9-11,,
9:40.0,Turnover by S. Curry (bad pass; steal by D. Saric),,9-11,,
9:32.0,,,9-9,3,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons)
9:26.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Durant),2,9-6,,
9:13.0,,,9-12,1,B. Simmons makes free throw 1 of 1
9:13.0,,,9-12,,Shooting foul by D. Green
9:13.0,Technical foul by D. Green,,9-12,,
9:13.0,,,9-13,1,J. Redick makes free throw 1 of 1
9:00.0,S. Curry misses 2-pt shot from 12 ft,,9-13,,
9:00.0,,,9-13,,Defensive rebound by D. Saric
8:36.0,,,9-13,,J. Redick misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by D. Green,,9-13,,
8:30.0,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green),2,11-13,,
8:16.0,,,11-15,2,D. Saric makes 2-pt shot from 2 ft (assist by B. Simmons)
8:03.0,K. Durant misses 2-pt shot from 16 ft,,11-15,,
8:03.0,,,11-15,,Defensive rebound by D. Saric
7:55.0,,,11-18,3,J. Embiid makes 3-pt shot from 28 ft (assist by D. Saric)
7:46.0,Golden State full timeout,,11-18,,
7:38.0,K. Thompson misses 2-pt shot from 15 ft,,11-18,,
7:34.0,,,11-18,,Defensive rebound by J. Embiid
7:15.0,,,11-21,3,D. Saric makes 3-pt shot from 27 ft (assist by J. Embiid)
7:03.0,Offensive foul by Z. Pachulia (drawn by R. Covington),,11-21,,
7:03.0,Turnover by Z. Pachulia (offensive foul),,11-21,,
7:03.0,,,11-21,,T. Luwawu-Cabarrot enters the game for J. Redick
6:48.0,,,11-21,,B. Simmons misses 2-pt shot from 15 ft
6:46.0,Defensive rebound by K. Thompson,,11-21,,
6:31.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,14-21,,
6:18.0,,,14-24,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
6:08.0,S. Curry misses 3-pt shot from 27 ft,,14-24,,
6:07.0,,,14-24,,Defensive rebound by D. Saric
5:58.0,,,14-26,2,B. Simmons makes 2-pt shot at rim
5:48.0,S. Curry makes 2-pt shot from 18 ft,2,16-26,,
5:48.0,,,16-26,,Philadelphia full timeout
5:48.0,,,16-26,,R. Holmes enters the game for J. Embiid
5:48.0,A. Iguodala enters the game for D. Green,,16-26,,
5:48.0,J. McGee enters the game for Z. Pachulia,,16-26,,
5:35.0,,,16-28,2,D. Saric makes 2-pt shot from 18 ft (assist by B. Simmons)
5:15.0,K. Durant makes 2-pt shot at rim,2,18-28,,
4:54.0,Personal foul by K. Thompson (drawn by R. Covington),,18-28,,
4:54.0,,,18-28,,T. McConnell enters the game for D. Saric
4:40.0,,,18-28,,T. Luwawu-Cabarrot misses 2-pt shot from 5 ft
4:38.0,,,18-28,,Offensive rebound by B. Simmons
4:37.0,,,18-30,2,B. Simmons makes 2-pt shot from 2 ft
4:32.0,Turnover by S. Curry (bad pass; steal by T. Luwawu-Cabarrot),,18-30,,
4:27.0,,,18-33,3,R. Covington makes 3-pt shot from 27 ft (assist by R. Holmes)
4:13.0,S. Curry makes 2-pt shot from 19 ft,2,20-33,,
4:03.0,,,20-35,2,R. Holmes makes 2-pt shot from 4 ft (assist by B. Simmons)
4:03.0,,,20-35,,Shooting foul by J. McGee (drawn by R. Holmes)
4:03.0,,,20-35,,J. Redick enters the game for B. Simmons
4:03.0,P. McCaw enters the game for K. Thompson,,20-35,,
4:03.0,,,20-35,,R. Holmes misses free throw 1 of 1
4:01.0,,,20-35,,Offensive rebound by Team
3:55.0,,,20-35,,Turnover by R. Holmes (lost ball; steal by K. Durant)
3:52.0,Turnover by K. Durant (lost ball; steal by R. Covington),,20-35,,
3:46.0,,,20-38,3,R. Covington makes 3-pt shot from 28 ft (assist by T. McConnell)
3:33.0,,,20-38,,Personal foul by T. Luwawu-Cabarrot (drawn by A. Iguodala)
3:26.0,S. Curry misses 2-pt shot from 21 ft,,20-38,,
3:24.0,,,20-38,,Defensive rebound by R. Covington
3:17.0,,,20-38,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
3:14.0,Defensive rebound by J. McGee,,20-38,,
3:08.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,22-38,,
2:47.0,,,22-40,2,J. Redick makes 2-pt shot from 10 ft
2:29.0,Shooting foul by R. Holmes (drawn by S. Curry),,22-40,,
2:29.0,S. Curry makes free throw 1 of 2,1,23-40,,
2:29.0,,,23-40,,J. Embiid enters the game for R. Holmes
2:29.0,,,23-40,,D. Saric enters the game for R. Covington
2:29.0,D. Green enters the game for K. Durant,,23-40,,
2:29.0,S. Curry makes free throw 2 of 2,1,24-40,,
