time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. S. Ibaka (S. Ibaka gains possession),,,,Jump ball: N. Vucevic vs. S. Ibaka (S. Ibaka gains possession)
11:40.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by K. Lowry),2,2-0,,
11:19.0,,,2-0,,N. Vucevic misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by J. Valanciunas,,2-0,,
10:56.0,S. Ibaka misses 3-pt shot from 26 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by D. Augustin
10:51.0,,,2-0,,N. Vucevic misses 2-pt shot from 4 ft
10:49.0,,,2-0,,Offensive rebound by J. Isaac
10:45.0,,,2-0,,J. Isaac misses 2-pt shot from 13 ft
10:43.0,Defensive rebound by O. Anunoby,,2-0,,
10:33.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry),2,4-0,,
10:14.0,,,4-2,2,A. Afflalo makes 2-pt shot from 13 ft
9:59.0,Turnover by J. Valanciunas (bad pass; steal by A. Gordon),,4-2,,
9:52.0,,,4-4,2,A. Gordon makes 2-pt shot from 3 ft
9:34.0,J. Valanciunas makes 2-pt shot from 7 ft,2,6-4,,
9:14.0,,,6-4,,Turnover by A. Afflalo (bad pass; steal by J. Valanciunas)
9:05.0,S. Ibaka misses 2-pt shot from 19 ft,,6-4,,
9:02.0,,,6-4,,Defensive rebound by A. Gordon
8:58.0,,,6-6,2,N. Vucevic makes 2-pt shot from 2 ft (assist by A. Gordon)
8:47.0,Turnover by M. Miller (bad pass; steal by J. Isaac),,6-6,,
8:44.0,,,6-8,2,J. Isaac makes 2-pt shot from 3 ft (assist by D. Augustin)
8:20.0,K. Lowry misses 3-pt shot from 27 ft,,6-8,,
8:18.0,,,6-8,,Defensive rebound by J. Isaac
8:14.0,,,6-10,2,A. Gordon makes 2-pt shot from 2 ft (assist by D. Augustin)
8:05.0,Toronto full timeout,,6-10,,
7:54.0,O. Anunoby misses 3-pt shot from 23 ft,,6-10,,
7:51.0,,,6-10,,Defensive rebound by N. Vucevic
7:31.0,,,6-10,,D. Augustin misses 3-pt shot from 26 ft
7:26.0,,,6-10,,Offensive rebound by A. Afflalo
7:25.0,,,6-10,,A. Gordon misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by K. Lowry,,6-10,,
7:15.0,S. Ibaka misses 2-pt shot from 14 ft (block by J. Isaac),,6-10,,
7:11.0,Offensive rebound by J. Valanciunas,,6-10,,
7:05.0,S. Ibaka makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,9-10,,
6:51.0,,,9-10,,A. Afflalo misses 2-pt shot from 16 ft
6:49.0,Defensive rebound by S. Ibaka,,9-10,,
6:43.0,,,9-10,,Personal foul by D. Augustin (drawn by J. Valanciunas)
6:34.0,J. Valanciunas misses 2-pt shot from 6 ft,,9-10,,
6:32.0,,,9-10,,Defensive rebound by J. Isaac
6:25.0,,,9-13,3,J. Isaac makes 3-pt shot from 26 ft (assist by N. Vucevic)
6:12.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry),2,11-13,,
5:57.0,,,11-13,,N. Vucevic misses 2-pt shot from 16 ft
5:55.0,Defensive rebound by J. Valanciunas,,11-13,,
5:48.0,O. Anunoby misses 2-pt shot from 4 ft,,11-13,,
5:45.0,,,11-13,,Defensive rebound by N. Vucevic
5:39.0,,,11-16,3,J. Isaac makes 3-pt shot from 26 ft (assist by A. Gordon)
5:39.0,,,11-16,,Shooting foul by S. Ibaka (drawn by J. Isaac)
5:39.0,,,11-16,,W. Iwundu enters the game for A. Afflalo
5:39.0,,,11-16,,J. Isaac misses free throw 1 of 1
5:39.0,Defensive rebound by J. Valanciunas,,11-16,,
5:22.0,K. Lowry misses 3-pt shot from 25 ft,,11-16,,
5:20.0,,,11-16,,Defensive rebound by J. Isaac
5:12.0,,,11-18,2,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin)
4:54.0,K. Lowry makes 3-pt shot from 26 ft (assist by J. Valanciunas),3,14-18,,
4:38.0,,,14-18,,J. Isaac misses 2-pt shot from 6 ft
4:36.0,Defensive rebound by J. Valanciunas,,14-18,,
4:31.0,J. Valanciunas misses 3-pt shot from 25 ft,,14-18,,
4:27.0,,,14-18,,Defensive rebound by W. Iwundu
4:05.0,,,14-18,,W. Iwundu misses 3-pt shot from 22 ft
4:03.0,Defensive rebound by K. Lowry,,14-18,,
3:58.0,K. Lowry makes 3-pt shot from 26 ft,3,17-18,,
3:47.0,,,17-18,,Orlando full timeout
3:47.0,,,17-18,,M. Hezonja enters the game for J. Isaac
3:47.0,C. Miles enters the game for O. Anunoby,,17-18,,
3:47.0,J. Poeltl enters the game for M. Miller,,17-18,,
3:47.0,D. Wright enters the game for J. Valanciunas,,17-18,,
3:31.0,,,17-18,,M. Hezonja misses 2-pt shot from 4 ft
3:29.0,Defensive rebound by D. Wright,,17-18,,
3:24.0,C. Miles misses 2-pt shot from 20 ft,,17-18,,
3:19.0,,,17-18,,Defensive rebound by D. Augustin
3:03.0,,,17-18,,N. Vucevic misses 2-pt shot from 3 ft (block by D. Wright)
3:03.0,Defensive rebound by Team,,17-18,,
