time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. Love (D. Wright gains possession),,,,Jump ball: J. Valanciunas vs. K. Love (D. Wright gains possession)
11:40.0,,,0-0,,C. Miles misses 3-pt shot from 22 ft
11:36.0,,,0-0,,Offensive rebound by J. Valanciunas
11:26.0,,,0-0,,J. Valanciunas misses 2-pt shot from 9 ft
11:23.0,,,0-0,,Offensive rebound by C. Miles
11:20.0,,,0-2,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by C. Miles)
11:02.0,I. Thomas misses 3-pt shot from 24 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by J. Valanciunas
10:50.0,,,0-2,,D. DeRozan misses 2-pt shot from 7 ft
10:49.0,Defensive rebound by K. Love,,0-2,,
10:27.0,I. Thomas misses 2-pt shot from 9 ft (block by O. Anunoby),,0-2,,
10:20.0,,,0-2,,Defensive rebound by O. Anunoby
10:16.0,,,0-2,,D. Wright misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by K. Love,,0-2,,
10:11.0,J. Crowder makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
9:50.0,,,2-5,3,C. Miles makes 3-pt shot from 22 ft (assist by D. Wright)
9:31.0,I. Thomas misses 2-pt shot from 9 ft,,2-5,,
9:29.0,,,2-5,,Defensive rebound by J. Valanciunas
9:20.0,,,2-5,,D. Wright misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by K. Love,,2-5,,
9:12.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,4-5,,
8:57.0,,,4-7,2,J. Valanciunas makes 2-pt shot from 14 ft (assist by D. DeRozan)
8:40.0,J. Crowder misses 3-pt shot from 24 ft,,4-7,,
8:38.0,,,4-7,,Defensive rebound by J. Valanciunas
8:30.0,,,4-10,3,C. Miles makes 3-pt shot from 23 ft (assist by J. Valanciunas)
8:29.0,Cleveland full timeout,,4-10,,
8:17.0,J. Smith misses 2-pt shot from 18 ft,,4-10,,
8:15.0,,,4-10,,Defensive rebound by J. Valanciunas
7:56.0,,,4-10,,Shooting foul by K. Love (drawn by J. Valanciunas)
7:56.0,,,4-10,,J. Valanciunas misses free throw 1 of 2
7:56.0,,,4-10,,Offensive rebound by Team
7:56.0,,,4-11,1,J. Valanciunas makes free throw 2 of 2
7:56.0,T. Thompson enters the game for J. Crowder,,4-11,,
7:43.0,L. James makes 2-pt shot from 6 ft,2,6-11,,
7:28.0,,,6-11,,C. Miles misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by Team,,6-11,,
7:18.0,Shooting foul by J. Valanciunas (drawn by T. Thompson),,6-11,,
7:18.0,T. Thompson makes free throw 1 of 2,1,7-11,,
7:18.0,T. Thompson misses free throw 2 of 2,,7-11,,
7:16.0,,,7-11,,Defensive rebound by J. Valanciunas
7:05.0,,,7-11,,O. Anunoby misses 3-pt shot from 25 ft
6:58.0,,,7-11,,Offensive rebound by J. Valanciunas
6:58.0,,,7-11,,J. Valanciunas misses 2-pt shot at rim
6:56.0,Defensive rebound by I. Thomas,,7-11,,
6:55.0,T. Thompson makes 2-pt shot from 1 ft (assist by I. Thomas),2,9-11,,
6:40.0,,,9-13,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. Wright)
6:27.0,K. Love misses 2-pt shot from 10 ft,,9-13,,
6:20.0,Offensive rebound by T. Thompson,,9-13,,
