time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns (T. Gibson gains possession),,,,Jump ball: T. Chandler vs. K. Towns (T. Gibson gains possession)
11:39.0,K. Towns misses 2-pt shot from 12 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by D. Booker
11:23.0,,,0-0,,T. Ulis misses 2-pt shot from 1 ft (block by J. Teague)
11:23.0,Defensive rebound by Team,,0-0,,
11:11.0,Turnover by J. Teague (bad pass),,0-0,,
10:59.0,,,0-2,2,T. Warren makes 2-pt shot from 16 ft
10:46.0,A. Wiggins misses 2-pt shot from 11 ft (block by T. Warren),,0-2,,
10:42.0,,,0-2,,Defensive rebound by D. Booker
10:37.0,,,0-2,,M. Chriss misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by K. Towns,,0-2,,
10:26.0,J. Butler misses 2-pt shot from 14 ft,,0-2,,
10:24.0,Offensive rebound by T. Gibson,,0-2,,
10:24.0,Shooting foul by M. Chriss (drawn by T. Gibson),,0-2,,
10:24.0,T. Gibson misses free throw 1 of 2,,0-2,,
10:24.0,Offensive rebound by Team,,0-2,,
10:24.0,T. Gibson misses free throw 2 of 2,,0-2,,
10:22.0,Offensive rebound by K. Towns,,0-2,,
10:20.0,K. Towns misses 2-pt shot from 9 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by M. Chriss
10:11.0,,,0-4,2,D. Booker makes 2-pt shot from 20 ft
9:44.0,J. Teague misses 2-pt shot from 7 ft,,0-4,,
9:42.0,,,0-4,,Defensive rebound by T. Chandler
9:39.0,,,0-4,,T. Warren misses 2-pt shot from 15 ft
9:35.0,Defensive rebound by T. Gibson,,0-4,,
9:24.0,A. Wiggins makes 2-pt shot at rim,2,2-4,,
9:17.0,,,2-4,,D. Booker misses 3-pt shot from 23 ft
9:13.0,Defensive rebound by K. Towns,,2-4,,
9:03.0,A. Wiggins misses 2-pt shot from 18 ft,,2-4,,
9:01.0,,,2-4,,Defensive rebound by D. Booker
8:52.0,,,2-4,,T. Ulis misses 2-pt shot from 20 ft
8:49.0,Defensive rebound by J. Teague,,2-4,,
8:46.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,4-4,,
8:23.0,,,4-6,2,T. Warren makes 2-pt shot at rim
8:16.0,,,4-6,,Personal foul by T. Ulis (drawn by J. Teague)
8:10.0,J. Butler misses 2-pt shot from 22 ft,,4-6,,
8:06.0,Offensive rebound by T. Gibson,,4-6,,
8:02.0,T. Gibson makes 2-pt shot from 4 ft,2,6-6,,
7:53.0,,,6-6,,Turnover by T. Warren (lost ball; steal by J. Teague)
7:50.0,J. Butler makes 2-pt shot at rim (assist by J. Teague),2,8-6,,
7:50.0,Shooting foul by T. Warren (drawn by J. Butler),,8-6,,
7:50.0,J. Butler makes free throw 1 of 1,1,9-6,,
7:39.0,,,9-6,,Turnover by D. Booker (bad pass; steal by T. Gibson)
7:32.0,T. Gibson misses 3-pt shot from 22 ft,,9-6,,
7:31.0,,,9-6,,Defensive rebound by Team
7:31.0,Loose ball foul by K. Towns (drawn by T. Chandler),,9-6,,
7:09.0,,,9-8,2,T. Warren makes 2-pt shot from 10 ft
6:49.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,12-8,,
6:27.0,,,12-8,,D. Booker misses 2-pt shot from 7 ft
6:26.0,Defensive rebound by T. Gibson,,12-8,,
6:19.0,J. Butler misses 2-pt shot from 15 ft,,12-8,,
6:14.0,Offensive rebound by J. Butler,,12-8,,
6:14.0,J. Butler misses 2-pt shot at rim (block by M. Chriss),,12-8,,
6:11.0,,,12-8,,Defensive rebound by M. Chriss
6:09.0,,,12-11,3,D. Booker makes 3-pt shot from 26 ft (assist by M. Chriss)
5:54.0,J. Butler misses 2-pt shot at rim (block by M. Chriss),,12-11,,
5:52.0,,,12-11,,Defensive rebound by T. Ulis
5:44.0,Personal foul by J. Teague (drawn by T. Ulis),,12-11,,
5:44.0,,,12-11,,Phoenix full timeout
5:44.0,,,12-11,,A. Len enters the game for M. Chriss
5:44.0,,,12-11,,D. Bender enters the game for T. Chandler
5:38.0,,,12-13,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Bender)
5:22.0,Turnover by J. Teague (bad pass; steal by D. Booker),,12-13,,
5:18.0,,,12-13,,D. Bender misses 2-pt shot from 1 ft
5:15.0,Defensive rebound by J. Butler,,12-13,,
5:12.0,Shooting foul by T. Ulis (drawn by J. Butler),,12-13,,
5:12.0,J. Butler makes free throw 1 of 2,1,13-13,,
5:12.0,,,13-13,,M. James enters the game for T. Ulis
5:12.0,N. Bjelica enters the game for K. Towns,,13-13,,
5:12.0,J. Butler makes free throw 2 of 2,1,14-13,,
5:00.0,,,14-13,,D. Bender misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by A. Wiggins,,14-13,,
4:42.0,Offensive foul by J. Teague (drawn by D. Booker),,14-13,,
