time,Charlotte,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Howard (R. Rondo gains possession),,,,Jump ball: A. Davis vs. D. Howard (R. Rondo gains possession)
11:45.0,Personal foul by M. Williams (drawn by A. Davis),,0-0,,
11:38.0,,,0-0,,E. Okafor misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:29.0,M. Williams misses 3-pt shot from 25 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by Team
11:17.0,,,0-3,3,E. Moore makes 3-pt shot from 26 ft (assist by R. Rondo)
11:03.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,2-3,,
10:54.0,,,2-3,,A. Davis misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by M. Williams,,2-3,,
10:44.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,2-3,,
10:40.0,,,2-3,,Defensive rebound by E. Okafor
10:35.0,,,2-5,2,R. Rondo makes 2-pt shot from 8 ft
10:21.0,M. Williams misses 3-pt shot from 26 ft,,2-5,,
10:18.0,,,2-5,,Defensive rebound by A. Davis
10:12.0,,,2-5,,A. Davis misses 2-pt shot from 3 ft
10:09.0,Defensive rebound by M. Williams,,2-5,,
10:04.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,2-5,,
10:01.0,,,2-5,,Defensive rebound by J. Holiday
9:50.0,,,2-5,,Shooting foul by M. Williams (drawn by A. Davis)
9:50.0,,,2-6,1,A. Davis makes free throw 1 of 2
9:50.0,,,2-7,1,A. Davis makes free throw 2 of 2
9:33.0,D. Howard makes 2-pt shot from 4 ft (assist by N. Batum),2,4-7,,
9:13.0,,,4-7,,Turnover by R. Rondo (traveling)
8:58.0,,,4-7,,Personal foul by E. Okafor (drawn by D. Howard)
8:48.0,K. Walker makes 3-pt shot from 25 ft (assist by D. Howard),3,7-7,,
8:37.0,,,7-9,2,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo)
