time,Sacramento,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Zeller vs. W. Cauley-Stein (A. Crabbe gains possession),,,,Jump ball: T. Zeller vs. W. Cauley-Stein (A. Crabbe gains possession)
11:37.0,,,0-0,,S. Dinwiddie misses 3-pt shot from 27 ft
11:29.0,Defensive rebound by G. Temple,,0-0,,
11:20.0,Z. Randolph misses 2-pt shot from 19 ft,,0-0,,
11:15.0,Offensive rebound by G. Hill,,0-0,,
11:08.0,Offensive foul by G. Hill (drawn by D. Carroll),,0-0,,
11:08.0,Turnover by G. Hill (offensive foul),,0-0,,
10:54.0,,,0-0,,A. Crabbe misses 2-pt shot from 21 ft
10:50.0,Defensive rebound by Z. Randolph,,0-0,,
10:46.0,B. Bogdanovic makes 2-pt shot from 3 ft (assist by G. Temple),2,2-0,,
10:30.0,,,2-3,3,D. Carroll makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
10:09.0,B. Bogdanovic makes 2-pt shot from 13 ft,2,4-3,,
9:54.0,,,4-3,,A. Crabbe misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by Z. Randolph,,4-3,,
9:43.0,Z. Randolph makes 3-pt shot from 24 ft (assist by G. Hill),3,7-3,,
9:20.0,,,7-6,3,T. Zeller makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
9:07.0,G. Hill makes 2-pt shot from 17 ft,2,9-6,,
8:48.0,,,9-8,2,R. Hollis-Jefferson makes 2-pt shot from 7 ft
8:33.0,Z. Randolph makes 2-pt shot from 17 ft,2,11-8,,
8:09.0,,,11-8,,Shooting foul by B. Bogdanovic (drawn by T. Zeller)
8:09.0,,,11-9,1,T. Zeller makes free throw 1 of 2
8:09.0,,,11-10,1,T. Zeller makes free throw 2 of 2
7:55.0,Z. Randolph makes 2-pt shot from 16 ft,2,13-10,,
7:41.0,,,13-10,,D. Carroll misses 3-pt shot from 27 ft
7:36.0,Defensive rebound by W. Cauley-Stein,,13-10,,
7:35.0,,,13-10,,Personal foul by S. Dinwiddie (drawn by G. Hill)
7:27.0,G. Hill makes 2-pt shot from 6 ft,2,15-10,,
7:26.0,,,15-10,,Brooklyn full timeout
7:09.0,,,15-10,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by B. Bogdanovic,,15-10,,
6:57.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Hill),2,17-10,,
6:47.0,,,17-13,3,D. Carroll makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
6:32.0,G. Temple misses 2-pt shot from 20 ft,,17-13,,
6:30.0,,,17-13,,Defensive rebound by S. Dinwiddie
6:23.0,,,17-13,,S. Dinwiddie misses 2-pt shot from 5 ft
6:21.0,Defensive rebound by Z. Randolph,,17-13,,
6:12.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by G. Hill),2,19-13,,
5:46.0,,,19-15,2,S. Dinwiddie makes 2-pt shot from 1 ft
5:29.0,W. Cauley-Stein makes 2-pt shot from 11 ft (assist by Z. Randolph),2,21-15,,
5:09.0,,,21-15,,A. Crabbe misses 3-pt shot from 27 ft
5:06.0,Defensive rebound by W. Cauley-Stein,,21-15,,
4:46.0,G. Temple makes 3-pt shot from 23 ft (assist by W. Cauley-Stein),3,24-15,,
4:18.0,,,24-15,,A. Crabbe misses 3-pt shot from 22 ft
4:15.0,Defensive rebound by W. Cauley-Stein,,24-15,,
4:02.0,Turnover by W. Cauley-Stein (lost ball; steal by A. Crabbe),,24-15,,
3:51.0,,,24-15,,S. Dinwiddie misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by Z. Randolph,,24-15,,
3:39.0,Sacramento full timeout,,24-15,,
3:39.0,,,24-15,,J. Harris enters the game for R. Hollis-Jefferson
3:39.0,,,24-15,,C. LeVert enters the game for T. Zeller
3:39.0,,,24-15,,J. Allen enters the game for A. Crabbe
3:39.0,,,24-15,,Q. Acy enters the game for S. Dinwiddie
3:39.0,B. Hield enters the game for W. Cauley-Stein,,24-15,,
3:39.0,S. Labissiere enters the game for G. Temple,,24-15,,
3:31.0,G. Hill makes 3-pt shot from 27 ft (assist by B. Bogdanovic),3,27-15,,
3:20.0,,,27-15,,Q. Acy misses 3-pt shot from 25 ft
3:18.0,,,27-15,,Offensive rebound by D. Carroll
3:14.0,,,27-17,2,D. Carroll makes 2-pt shot from 5 ft
2:57.0,Turnover by Z. Randolph (lost ball; steal by J. Allen),,27-17,,
2:57.0,,,27-17,,Turnover by J. Allen (traveling)
2:57.0,,,27-17,,A. Crabbe enters the game for D. Carroll
2:57.0,K. Koufos enters the game for Z. Randolph,,27-17,,
2:50.0,B. Bogdanovic misses 2-pt shot from 18 ft,,27-17,,
2:45.0,,,27-17,,Defensive rebound by C. LeVert
2:32.0,,,27-17,,J. Harris misses 2-pt shot at rim
2:25.0,,,27-17,,Offensive rebound by J. Harris
2:23.0,,,27-17,,J. Harris misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by S. Labissiere,,27-17,,
2:13.0,B. Bogdanovic makes 2-pt shot from 8 ft,2,29-17,,
2:12.0,Personal foul by B. Bogdanovic (drawn by Q. Acy),,29-17,,
2:12.0,F. Mason enters the game for G. Hill,,29-17,,
2:12.0,J. Jackson enters the game for B. Bogdanovic,,29-17,,
2:02.0,Personal foul by F. Mason (drawn by J. Allen),,29-17,,
1:50.0,,,29-17,,C. LeVert misses 2-pt shot from 4 ft
1:47.0,Defensive rebound by K. Koufos,,29-17,,
1:44.0,J. Jackson makes 3-pt shot from 22 ft (assist by B. Hield),3,32-17,,
1:27.0,,,32-17,,C. LeVert misses 3-pt shot from 27 ft
1:23.0,Defensive rebound by B. Hield,,32-17,,
1:12.0,B. Hield misses 2-pt shot from 10 ft,,32-17,,
1:10.0,,,32-17,,Defensive rebound by A. Crabbe
1:05.0,,,32-17,,Shooting foul by J. Jackson (drawn by J. Harris)
1:05.0,,,32-18,1,J. Harris makes free throw 1 of 2
1:05.0,,,32-19,1,J. Harris makes free throw 2 of 2
0:46.0,K. Koufos makes 2-pt shot from 7 ft (assist by F. Mason),2,34-19,,
0:34.0,,,34-19,,A. Crabbe misses 3-pt shot from 28 ft
