time,Denver,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (L. Aldridge gains possession)
11:44.0,,,0-0,,L. Aldridge misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by N. Jokic,,0-0,,
11:30.0,Turnover by M. Plumlee (bad pass; steal by K. Leonard),,0-0,,
11:18.0,,,0-2,2,P. Gasol makes 2-pt shot from 18 ft (assist by K. Leonard)
11:00.0,W. Chandler misses 2-pt shot from 9 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by P. Gasol
10:42.0,,,0-2,,Turnover by K. Leonard (bad pass; steal by G. Harris)
10:36.0,G. Harris makes 2-pt shot from 1 ft,2,2-2,,
10:24.0,,,2-2,,P. Gasol misses 2-pt shot from 4 ft
10:21.0,Defensive rebound by N. Jokic,,2-2,,
10:15.0,J. Murray misses 3-pt shot from 26 ft,,2-2,,
10:15.0,,,2-2,,Defensive rebound by P. Gasol
10:01.0,,,2-4,2,D. Green makes 2-pt shot from 6 ft (assist by K. Leonard)
9:50.0,,,2-4,,Personal foul by K. Leonard (drawn by W. Chandler)
9:40.0,N. Jokic misses 3-pt shot from 25 ft,,2-4,,
9:36.0,,,2-4,,Defensive rebound by K. Leonard
9:31.0,,,2-4,,Turnover by K. Leonard (bad pass; steal by N. Jokic)
9:25.0,J. Murray misses 2-pt shot from 5 ft,,2-4,,
9:18.0,,,2-4,,Defensive rebound by K. Leonard
9:13.0,,,2-7,3,D. Green makes 3-pt shot from 22 ft (assist by T. Parker)
8:48.0,N. Jokic makes 3-pt shot from 25 ft (assist by M. Plumlee),3,5-7,,
8:22.0,,,5-9,2,L. Aldridge makes 2-pt shot from 3 ft (assist by P. Gasol)
8:07.0,M. Plumlee makes 2-pt shot at rim (assist by N. Jokic),2,7-9,,
7:51.0,,,7-9,,K. Leonard misses 3-pt shot from 28 ft
7:51.0,Defensive rebound by J. Murray,,7-9,,
7:32.0,N. Jokic misses 3-pt shot from 23 ft,,7-9,,
7:32.0,,,7-9,,Defensive rebound by T. Parker
7:19.0,,,7-9,,Turnover by P. Gasol (bad pass; steal by N. Jokic)
7:03.0,Def 3 sec tech foul by M. Plumlee,,7-9,,
7:03.0,,,7-10,1,K. Leonard makes technical free throw
7:03.0,,,7-10,,D. Bertans enters the game for D. Green
