time,Oklahoma City,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. S. Adams (C. Anthony gains possession),,,,Jump ball: K. Love vs. S. Adams (C. Anthony gains possession)
11:43.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-0,,
11:26.0,,,2-0,,K. Love misses 3-pt shot from 22 ft
11:22.0,Defensive rebound by R. Westbrook,,2-0,,
11:19.0,R. Westbrook misses 2-pt shot at rim,,2-0,,
11:18.0,Offensive rebound by S. Adams,,2-0,,
11:18.0,S. Adams makes 2-pt shot at rim,2,4-0,,
11:05.0,,,4-0,,Turnover by J. Crowder (bad pass; steal by A. Roberson)
11:02.0,Shooting foul by J. Smith (drawn by P. George),,4-0,,
11:02.0,P. George misses free throw 1 of 3,,4-0,,
11:02.0,Offensive rebound by Team,,4-0,,
11:02.0,P. George makes free throw 2 of 3,1,5-0,,
11:02.0,P. George makes free throw 3 of 3,1,6-0,,
10:46.0,,,6-0,,K. Love misses 3-pt shot from 22 ft
10:46.0,Defensive rebound by C. Anthony,,6-0,,
10:35.0,S. Adams makes 2-pt shot from 1 ft (assist by C. Anthony),2,8-0,,
10:35.0,,,8-0,,Cleveland full timeout
10:19.0,,,8-0,,L. James misses 3-pt shot from 22 ft
10:17.0,Defensive rebound by P. George,,8-0,,
10:01.0,C. Anthony misses 2-pt shot from 18 ft,,8-0,,
9:59.0,,,8-0,,Defensive rebound by J. Crowder
9:43.0,,,8-0,,J. Smith misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by A. Roberson,,8-0,,
9:36.0,Turnover by R. Westbrook (lost ball; steal by J. Crowder),,8-0,,
9:25.0,,,8-0,,I. Thomas misses 2-pt shot from 17 ft
9:25.0,,,8-0,,Offensive rebound by J. Crowder
9:25.0,,,8-2,2,J. Crowder makes 2-pt shot at rim
9:04.0,P. George makes 2-pt shot from 9 ft (assist by S. Adams),2,10-2,,
8:56.0,,,10-4,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
8:56.0,,,10-4,,Shooting foul by P. George (drawn by J. Crowder)
8:56.0,,,10-4,,T. Thompson enters the game for K. Love
8:56.0,,,10-5,1,J. Crowder makes free throw 1 of 1
