time,Chicago,pts.away,score,pts.home,Phoenix
5:11.0,,,95-104,,Personal block foul by D. Booker (drawn by J. Holiday)
5:02.0,L. Markkanen misses 3-pt shot from 26 ft,,95-104,,
5:00.0,,,95-104,,Defensive rebound by Team
5:00.0,Loose ball foul by R. Lopez (drawn by A. Len),,95-104,,
4:48.0,,,95-104,,M. James misses 2-pt shot from 3 ft
4:46.0,Defensive rebound by K. Dunn,,95-104,,
4:41.0,K. Dunn misses 2-pt shot from 19 ft,,95-104,,
4:35.0,Offensive rebound by R. Lopez,,95-104,,
4:35.0,R. Lopez misses 2-pt shot at rim,,95-104,,
4:35.0,,,95-104,,Defensive rebound by M. James
4:15.0,,,95-104,,D. Booker misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by L. Markkanen,,95-104,,
4:06.0,J. Holiday misses 3-pt shot from 25 ft,,95-104,,
4:03.0,,,95-104,,Defensive rebound by T. Warren
3:42.0,B. Portis enters the game for R. Lopez,,95-104,,
3:38.0,Jump ball: A. Len vs. D. Valentine (T. Warren gains possession),,,,Jump ball: A. Len vs. D. Valentine (T. Warren gains possession)
3:37.0,,,95-106,2,T. Warren makes 2-pt shot from 21 ft (assist by A. Len)
3:23.0,K. Dunn makes 2-pt shot from 7 ft,2,97-106,,
3:13.0,,,97-106,,M. James misses 2-pt shot from 1 ft
3:07.0,,,97-106,,Offensive rebound by T. Warren
3:07.0,,,97-108,2,T. Warren makes 2-pt shot at rim
3:05.0,D. Valentine makes 3-pt shot from 25 ft (assist by K. Dunn),3,100-108,,
2:43.0,,,100-108,,M. James misses 3-pt shot from 22 ft
2:38.0,Defensive rebound by D. Valentine,,100-108,,
2:32.0,L. Markkanen misses 3-pt shot from 25 ft,,100-108,,
2:30.0,,,100-108,,Defensive rebound by A. Len
2:12.0,,,100-108,,T. Daniels enters the game for M. James
2:07.0,,,100-108,,D. Booker misses 3-pt shot from 32 ft
2:05.0,,,100-108,,Offensive rebound by T. Daniels
2:05.0,Personal foul by D. Valentine (drawn by T. Daniels),,100-108,,
1:47.0,,,100-108,,T. Daniels misses 3-pt shot from 27 ft
1:44.0,Defensive rebound by L. Markkanen,,100-108,,
1:37.0,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday),3,103-108,,
1:18.0,,,103-108,,J. Jackson misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by K. Dunn,,103-108,,
1:13.0,Turnover by K. Dunn (bad pass),,103-108,,
0:56.0,,,103-108,,Shooting foul by L. Markkanen (drawn by J. Jackson)
0:56.0,,,103-109,1,J. Jackson makes free throw 1 of 2
0:56.0,,,103-110,1,J. Jackson makes free throw 2 of 2
0:43.0,Turnover by J. Holiday (bad pass),,103-110,,
0:37.0,,,103-110,,Phoenix full timeout
0:22.0,,,103-110,,Shooting foul by B. Portis (drawn by T. Warren)
0:22.0,,,103-110,,T. Warren misses free throw 1 of 2
0:22.0,,,103-110,,Offensive rebound by Team
0:22.0,,,103-111,1,T. Warren makes free throw 2 of 2
0:22.0,Chicago full timeout,,103-111,,
0:22.0,,,103-111,,M. James enters the game for A. Len
0:22.0,Turnover by Team (turnover),,103-111,,
0:14.0,,,103-113,2,T. Warren makes 2-pt shot at rim (assist by J. Jackson)
0:08.0,J. Holiday misses 3-pt shot from 22 ft,,103-113,,
0:06.0,Offensive rebound by Team,,103-113,,
0:04.0,B. Portis makes 2-pt shot at rim (assist by D. Valentine),2,105-113,,
