time,Chicago,pts.away,score,pts.home,Phoenix
0:38.0,,,34-28,,D. Bender misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by K. Dunn,,34-28,,
0:32.0,B. Portis makes 2-pt shot at rim (assist by K. Dunn),2,36-28,,
0:32.0,Shooting foul by D. Bender (drawn by B. Portis),,36-28,,
0:32.0,B. Portis makes free throw 1 of 1,1,37-28,,
0:21.0,,,37-28,,D. Bender misses 3-pt shot from 26 ft
0:16.0,,,37-28,,Offensive rebound by A. Len
0:03.0,,,37-30,2,M. James makes 2-pt shot at rim
0:00.0,Q. Pondexter misses 3-pt shot from 29 ft,,37-30,,
0:00.0,Offensive rebound by Team,,37-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,37-33,3,T. Daniels makes 3-pt shot from 22 ft (assist by M. James)
11:38.0,A. Blakeney misses 2-pt shot from 16 ft (block by T. Warren),,37-33,,
11:33.0,,,37-33,,Defensive rebound by T. Warren
11:15.0,,,37-33,,M. James misses 3-pt shot from 30 ft
11:12.0,,,37-33,,Offensive rebound by T. Warren
10:54.0,,,37-35,2,T. Daniels makes 2-pt shot from 20 ft (assist by M. James)
10:40.0,B. Portis misses 2-pt shot from 18 ft,,37-35,,
10:38.0,,,37-35,,Defensive rebound by A. Len
10:15.0,,,37-35,,T. Daniels misses 3-pt shot from 31 ft
10:10.0,Defensive rebound by Q. Pondexter,,37-35,,
10:07.0,Turnover by K. Dunn (bad pass),,37-35,,
10:02.0,Personal foul by K. Dunn (drawn by M. James),,37-35,,
9:51.0,,,37-35,,M. James misses 3-pt shot from 26 ft
9:47.0,,,37-35,,Offensive rebound by A. Len
9:45.0,,,37-35,,T. Warren misses 3-pt shot from 25 ft
9:43.0,,,37-35,,Offensive rebound by A. Len
9:40.0,Personal foul by Q. Pondexter (drawn by T. Daniels),,37-35,,
9:35.0,,,37-35,,T. Warren misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by K. Dunn,,37-35,,
9:26.0,Turnover by K. Dunn (bad pass; steal by M. James),,37-35,,
9:18.0,,,37-37,2,M. James makes 2-pt shot at rim
9:18.0,Chicago full timeout,,37-37,,
9:18.0,D. Valentine enters the game for Q. Pondexter,,37-37,,
9:08.0,A. Blakeney misses 3-pt shot from 25 ft,,37-37,,
9:07.0,Offensive rebound by Team,,37-37,,
8:59.0,K. Dunn misses 2-pt shot from 1 ft,,37-37,,
8:58.0,Offensive rebound by C. Felicio,,37-37,,
8:58.0,C. Felicio makes 2-pt shot at rim,2,39-37,,
8:46.0,,,39-39,2,A. Len makes 2-pt shot from 4 ft (assist by M. James)
8:37.0,D. Valentine misses 2-pt shot from 14 ft,,39-39,,
8:37.0,,,39-39,,Defensive rebound by Team
8:23.0,,,39-42,3,T. Daniels makes 3-pt shot from 24 ft (assist by A. Len)
8:08.0,K. Dunn makes 3-pt shot from 24 ft (assist by C. Felicio),3,42-42,,
7:47.0,,,42-42,,D. Bender misses 2-pt shot from 1 ft (block by B. Portis)
7:42.0,,,42-42,,Offensive rebound by D. Bender
7:42.0,,,42-44,2,D. Bender makes 2-pt shot from 1 ft
7:27.0,B. Portis makes 2-pt shot from 1 ft,2,44-44,,
7:11.0,,,44-44,,T. Warren misses 2-pt shot from 5 ft
7:11.0,Defensive rebound by Team,,44-44,,
7:11.0,J. Grant enters the game for B. Portis,,44-44,,
7:11.0,L. Markkanen enters the game for A. Blakeney,,44-44,,
7:11.0,J. Holiday enters the game for K. Dunn,,44-44,,
6:55.0,L. Markkanen makes 2-pt shot from 12 ft,2,46-44,,
6:40.0,Personal block foul by C. Felicio (drawn by M. James),,46-44,,
6:40.0,,,46-44,,M. Chriss enters the game for A. Len
6:40.0,,,46-44,,G. Monroe enters the game for D. Bender
6:33.0,Personal block foul by C. Felicio (drawn by M. James),,46-44,,
6:33.0,R. Lopez enters the game for C. Felicio,,46-44,,
6:29.0,,,46-44,,T. Daniels misses 2-pt shot from 21 ft
6:25.0,Defensive rebound by L. Markkanen,,46-44,,
6:18.0,J. Grant makes 2-pt shot from 12 ft,2,48-44,,
6:01.0,,,48-44,,Turnover by T. Daniels (lost ball; steal by J. Grant)
6:01.0,,,48-44,,Personal foul by T. Daniels (drawn by J. Grant)
6:01.0,,,48-44,,D. Booker enters the game for T. Daniels
6:01.0,,,48-44,,T. Ulis enters the game for M. James
5:49.0,,,48-44,,Personal foul by G. Monroe (drawn by R. Lopez)
5:39.0,J. Grant misses 2-pt shot from 1 ft,,48-44,,
5:37.0,,,48-44,,Defensive rebound by M. Chriss
5:32.0,,,48-46,2,T. Ulis makes 2-pt shot from 7 ft (assist by D. Booker)
5:20.0,Turnover by J. Grant (lost ball; steal by M. Chriss),,48-46,,
5:16.0,,,48-48,2,T. Warren makes 2-pt shot at rim (assist by M. Chriss)
5:01.0,Turnover by L. Markkanen (traveling),,48-48,,
4:45.0,,,48-48,,G. Monroe misses 2-pt shot at rim
4:45.0,,,48-48,,Offensive rebound by T. Warren
4:45.0,,,48-50,2,T. Warren makes 2-pt shot at rim
4:32.0,D. Valentine misses 3-pt shot from 25 ft,,48-50,,
4:30.0,,,48-50,,Defensive rebound by M. Chriss
4:25.0,,,48-50,,T. Warren misses 2-pt shot from 6 ft
4:22.0,Defensive rebound by J. Grant,,48-50,,
4:16.0,J. Grant misses 3-pt shot from 25 ft,,48-50,,
4:12.0,,,48-50,,Defensive rebound by G. Monroe
4:06.0,,,48-50,,G. Monroe misses 2-pt shot from 15 ft
4:03.0,Defensive rebound by J. Holiday,,48-50,,
3:49.0,J. Holiday misses 2-pt shot from 18 ft,,48-50,,
3:46.0,Offensive rebound by L. Markkanen,,48-50,,
3:34.0,D. Valentine misses 3-pt shot from 24 ft,,48-50,,
3:30.0,,,48-50,,Defensive rebound by T. Ulis
3:24.0,,,48-50,,T. Ulis misses 2-pt shot from 8 ft
3:22.0,Defensive rebound by J. Holiday,,48-50,,
3:18.0,D. Valentine misses 3-pt shot from 25 ft,,48-50,,
3:14.0,,,48-50,,Defensive rebound by M. Chriss
3:11.0,,,48-50,,Shooting foul by R. Lopez (drawn by D. Booker)
3:11.0,,,48-51,1,D. Booker makes free throw 1 of 2
3:11.0,,,48-52,1,D. Booker makes free throw 2 of 2
3:07.0,,,48-52,,Personal foul by T. Ulis (drawn by J. Grant)
2:50.0,J. Grant misses 3-pt shot from 24 ft,,48-52,,
2:46.0,,,48-52,,Defensive rebound by D. Booker
2:42.0,,,48-54,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
2:42.0,Violation by R. Lopez (def goaltending),,48-54,,
2:29.0,L. Markkanen makes 3-pt shot from 24 ft (assist by D. Valentine),3,51-54,,
2:17.0,,,51-54,,D. Booker misses 2-pt shot from 9 ft
2:15.0,,,51-54,,Offensive rebound by T. Warren
2:13.0,,,51-54,,M. Chriss misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by D. Valentine,,51-54,,
2:07.0,J. Holiday misses 2-pt shot from 14 ft,,51-54,,
2:01.0,,,51-54,,Defensive rebound by T. Ulis
1:56.0,,,51-56,2,T. Warren makes 2-pt shot at rim (assist by G. Monroe)
1:56.0,Chicago full timeout,,51-56,,
1:42.0,Shooting foul by G. Monroe (drawn by L. Markkanen),,51-56,,
1:42.0,L. Markkanen makes free throw 1 of 2,1,52-56,,
1:42.0,L. Markkanen makes free throw 2 of 2,1,53-56,,
1:25.0,,,53-56,,Turnover by G. Monroe (traveling)
1:03.0,J. Holiday misses 2-pt shot from 12 ft,,53-56,,
1:01.0,,,53-56,,Defensive rebound by G. Monroe
1:01.0,Personal foul by J. Holiday (drawn by G. Monroe),,53-56,,
1:01.0,,,53-56,,G. Monroe misses free throw 1 of 2
1:01.0,,,53-56,,Offensive rebound by Team
1:01.0,,,53-56,,M. James enters the game for T. Ulis
1:01.0,A. Blakeney enters the game for J. Holiday,,53-56,,
1:01.0,,,53-56,,G. Monroe misses free throw 2 of 2
0:59.0,Defensive rebound by R. Lopez,,53-56,,
0:47.0,L. Markkanen makes 2-pt shot from 17 ft,2,55-56,,
0:38.0,,,55-59,3,D. Booker makes 3-pt shot from 24 ft
0:31.0,L. Markkanen misses 3-pt shot from 24 ft,,55-59,,
0:31.0,Offensive rebound by Team,,55-59,,
0:28.0,,,55-59,,Loose ball foul by G. Monroe (drawn by R. Lopez)
0:28.0,R. Lopez makes free throw 1 of 2,1,56-59,,
0:28.0,,,56-59,,D. Bender enters the game for G. Monroe
0:28.0,R. Lopez misses free throw 2 of 2,,56-59,,
0:27.0,,,56-59,,Defensive rebound by Team
0:27.0,Loose ball foul by R. Lopez (drawn by M. Chriss),,56-59,,
0:27.0,,,56-60,1,M. Chriss makes free throw 1 of 2
0:27.0,B. Portis enters the game for R. Lopez,,56-60,,
0:27.0,,,56-61,1,M. Chriss makes free throw 2 of 2
0:05.0,A. Blakeney misses 2-pt shot from 2 ft,,56-61,,
0:03.0,,,56-61,,Defensive rebound by M. Chriss
0:01.0,,,56-61,,D. Booker misses 3-pt shot from 31 ft
0:01.0,,,56-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-63,2,T. Warren makes 2-pt shot from 7 ft (assist by M. Chriss)
11:23.0,D. Valentine makes 3-pt shot from 23 ft (assist by J. Holiday),3,59-63,,
11:14.0,,,59-63,,Shooting foul by L. Markkanen (drawn by T. Ulis)
11:14.0,,,59-64,1,T. Ulis makes free throw 1 of 2
11:14.0,,,59-64,,T. Ulis misses free throw 2 of 2
11:14.0,Defensive rebound by R. Lopez,,59-64,,
10:53.0,D. Valentine misses 3-pt shot from 23 ft,,59-64,,
10:48.0,Offensive rebound by D. Valentine,,59-64,,
10:48.0,Turnover by Team (shot clock),,59-64,,
10:36.0,,,59-64,,T. Warren misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by L. Markkanen,,59-64,,
10:26.0,Offensive foul by R. Lopez (drawn by D. Booker),,59-64,,
10:26.0,Turnover by R. Lopez (offensive foul),,59-64,,
10:20.0,,,59-64,,T. Ulis misses 2-pt shot from 8 ft
10:18.0,Defensive rebound by L. Markkanen,,59-64,,
10:16.0,Turnover by L. Markkanen (lost ball; steal by T. Warren),,59-64,,
9:58.0,,,59-66,2,M. Chriss makes 2-pt shot from 1 ft (assist by G. Monroe)
9:37.0,R. Lopez makes 2-pt shot at rim (assist by J. Holiday),2,61-66,,
9:26.0,Personal foul by J. Grant (drawn by G. Monroe),,61-66,,
9:23.0,,,61-66,,D. Booker misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by L. Markkanen,,61-66,,
9:13.0,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine),3,64-66,,
9:12.0,Shooting foul by M. Chriss (drawn by L. Markkanen),,64-66,,
9:12.0,L. Markkanen misses free throw 1 of 1,,64-66,,
9:12.0,,,64-66,,Defensive rebound by M. Chriss
9:07.0,,,64-68,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
8:44.0,J. Holiday misses 3-pt shot from 25 ft,,64-68,,
8:41.0,,,64-68,,Defensive rebound by G. Monroe
8:29.0,,,64-70,2,G. Monroe makes 2-pt shot from 3 ft (assist by T. Ulis)
8:17.0,J. Holiday misses 3-pt shot from 23 ft,,64-70,,
8:16.0,,,64-70,,Defensive rebound by T. Warren
8:11.0,,,64-72,2,G. Monroe makes 2-pt shot from 1 ft (assist by D. Booker)
8:11.0,Violation by J. Grant (def goaltending),,64-72,,
8:11.0,Chicago full timeout,,64-72,,
8:11.0,K. Dunn enters the game for J. Grant,,64-72,,
8:00.0,K. Dunn makes 2-pt shot at rim,2,66-72,,
7:40.0,,,66-72,,T. Ulis misses 2-pt shot from 9 ft
7:39.0,Defensive rebound by L. Markkanen,,66-72,,
7:36.0,Turnover by K. Dunn (bad pass; steal by D. Booker),,66-72,,
7:31.0,,,66-74,2,G. Monroe makes 2-pt shot at rim (assist by D. Booker)
7:13.0,,,66-74,,Personal foul by M. Chriss (drawn by L. Markkanen)
7:08.0,K. Dunn makes 2-pt shot from 14 ft,2,68-74,,
6:48.0,,,68-74,,Turnover by G. Monroe (traveling)
6:31.0,J. Holiday makes 3-pt shot from 24 ft (assist by L. Markkanen),3,71-74,,
6:29.0,,,71-74,,Phoenix full timeout
6:14.0,,,71-74,,D. Booker misses 2-pt shot from 10 ft
6:11.0,Defensive rebound by L. Markkanen,,71-74,,
5:59.0,L. Markkanen makes 2-pt shot from 1 ft,2,73-74,,
5:46.0,,,73-76,2,T. Warren makes 2-pt shot from 11 ft
5:27.0,R. Lopez misses 2-pt shot from 4 ft,,73-76,,
5:24.0,,,73-76,,Defensive rebound by G. Monroe
5:19.0,,,73-76,,Technical foul by T. Warren (drawn by R. Lopez)
5:19.0,Technical foul by R. Lopez,,73-76,,
5:19.0,,,73-77,1,D. Booker makes technical free throw
5:19.0,R. Lopez misses technical free throw,,73-77,,
5:19.0,Offensive rebound by Team,,73-77,,
5:19.0,,,73-77,,D. Bender enters the game for M. Chriss
5:19.0,,,73-77,,J. Jackson enters the game for T. Ulis
5:19.0,,,73-77,,M. James enters the game for T. Warren
