time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Durant (N. Mirotic gains possession),,,,Jump ball: A. Davis vs. K. Durant (N. Mirotic gains possession)
11:35.0,,,0-0,,A. Davis misses 2-pt shot from 1 ft
11:31.0,,,0-0,,Offensive rebound by J. Holiday
11:29.0,,,0-0,,J. Holiday misses 3-pt shot from 24 ft
11:29.0,Defensive rebound by A. Iguodala,,0-0,,
11:14.0,K. Durant makes 2-pt shot from 21 ft (assist by D. Green),2,2-0,,
10:57.0,,,2-2,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore)
10:41.0,K. Durant makes 2-pt shot from 15 ft,2,4-2,,
10:17.0,,,4-2,,Turnover by A. Davis (lost ball; steal by D. Green)
10:12.0,S. Curry misses 3-pt shot from 26 ft,,4-2,,
10:06.0,Offensive rebound by A. Iguodala,,4-2,,
10:06.0,A. Iguodala misses 2-pt shot at rim,,4-2,,
10:05.0,,,4-2,,Defensive rebound by E. Moore
9:59.0,,,4-4,2,A. Davis makes 2-pt shot from 8 ft (assist by R. Rondo)
9:45.0,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green),2,6-4,,
9:29.0,,,6-4,,A. Davis misses 2-pt shot from 7 ft
9:26.0,Defensive rebound by A. Iguodala,,6-4,,
9:20.0,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala),3,9-4,,
9:12.0,,,9-4,,Turnover by E. Moore (out of bounds lost ball)
8:59.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,12-4,,
8:40.0,,,12-4,,R. Rondo misses 2-pt shot from 3 ft (block by D. Green)
8:37.0,Defensive rebound by K. Thompson,,12-4,,
8:33.0,K. Durant makes 2-pt shot from 9 ft,2,14-4,,
8:26.0,,,14-4,,New Orleans full timeout
8:11.0,,,14-4,,E. Moore misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by K. Thompson,,14-4,,
7:55.0,S. Curry misses 2-pt shot from 20 ft,,14-4,,
7:52.0,,,14-4,,Defensive rebound by N. Mirotic
7:45.0,,,14-4,,R. Rondo misses 2-pt shot from 7 ft
7:43.0,Defensive rebound by K. Thompson,,14-4,,
7:29.0,K. Durant misses 2-pt shot from 22 ft,,14-4,,
7:27.0,,,14-4,,Defensive rebound by R. Rondo
7:23.0,,,14-4,,R. Rondo misses 2-pt shot from 13 ft
7:19.0,Defensive rebound by A. Iguodala,,14-4,,
7:19.0,,,14-4,,Personal foul by N. Mirotic (drawn by A. Iguodala)
7:10.0,K. Thompson misses 3-pt shot from 25 ft,,14-4,,
7:06.0,,,14-4,,Defensive rebound by N. Mirotic
6:55.0,,,14-4,,J. Holiday misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by K. Durant,,14-4,,
6:43.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala),3,17-4,,
6:25.0,Personal foul by D. Green (drawn by A. Davis),,17-4,,
6:18.0,,,17-4,,R. Rondo misses 2-pt shot from 1 ft
6:18.0,,,17-4,,Offensive rebound by A. Davis
6:18.0,,,17-4,,Shooting foul by K. Thompson (drawn by A. Davis)
6:18.0,,,17-5,1,A. Davis makes free throw 1 of 2
6:18.0,,,17-6,1,A. Davis makes free throw 2 of 2
6:05.0,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala),3,20-6,,
5:54.0,,,20-8,2,A. Davis makes 2-pt shot from 3 ft (assist by R. Rondo)
5:44.0,,,20-8,,Personal foul by J. Holiday (drawn by K. Durant)
5:44.0,K. Looney enters the game for A. Iguodala,,20-8,,
5:44.0,,,20-8,,S. Hill enters the game for N. Mirotic
5:44.0,Golden State full timeout,,20-8,,
5:31.0,K. Durant misses 2-pt shot from 1 ft,,20-8,,
5:26.0,Offensive rebound by D. Green,,20-8,,
5:26.0,D. Green misses 2-pt shot at rim,,20-8,,
5:25.0,,,20-8,,Defensive rebound by S. Hill
5:22.0,,,20-10,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
5:07.0,Shooting foul by S. Hill (drawn by K. Durant),,20-10,,
5:07.0,K. Durant makes free throw 1 of 2,1,21-10,,
5:07.0,K. Durant makes free throw 2 of 2,1,22-10,,
4:52.0,,,22-10,,S. Hill misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by K. Durant,,22-10,,
4:37.0,K. Durant makes 2-pt shot from 17 ft,2,24-10,,
4:16.0,,,24-10,,Turnover by A. Davis (lost ball; steal by K. Looney)
4:06.0,D. Green makes 3-pt shot from 26 ft (assist by K. Durant),3,27-10,,
3:58.0,,,27-10,,New Orleans full timeout
3:41.0,,,27-10,,J. Holiday misses 2-pt shot from 10 ft
3:39.0,Defensive rebound by K. Durant,,27-10,,
3:32.0,Turnover by S. Curry (out of bounds lost ball),,27-10,,
3:26.0,,,27-13,3,S. Hill makes 3-pt shot from 25 ft (assist by J. Holiday)
3:05.0,K. Thompson misses 3-pt shot from 25 ft,,27-13,,
3:02.0,,,27-13,,Defensive rebound by R. Rondo
2:58.0,,,27-13,,Shooting foul by K. Looney (drawn by A. Davis)
2:58.0,,,27-14,1,A. Davis makes free throw 1 of 2
2:58.0,,,27-14,,I. Clark enters the game for R. Rondo
2:58.0,Q. Cook enters the game for K. Thompson,,27-14,,
2:58.0,S. Livingston enters the game for S. Curry,,27-14,,
2:58.0,,,27-15,1,A. Davis makes free throw 2 of 2
2:40.0,K. Looney makes 2-pt shot from 1 ft (assist by K. Durant),2,29-15,,
2:32.0,,,29-15,,A. Davis misses 2-pt shot from 16 ft
2:29.0,Defensive rebound by D. Green,,29-15,,
2:18.0,K. Durant misses 2-pt shot from 14 ft (block by J. Holiday),,29-15,,
2:13.0,,,29-15,,Defensive rebound by A. Davis
2:00.0,,,29-15,,A. Davis misses 2-pt shot from 1 ft
1:57.0,,,29-15,,Offensive rebound by A. Davis
1:57.0,,,29-15,,A. Davis misses 2-pt shot at rim
1:56.0,Defensive rebound by D. Green,,29-15,,
1:50.0,S. Livingston makes 2-pt shot from 2 ft (assist by D. Green),2,31-15,,
1:41.0,,,31-15,,E. Moore misses 2-pt shot from 2 ft (block by D. Green)
1:38.0,Defensive rebound by K. Durant,,31-15,,
1:19.0,Q. Cook makes 2-pt shot from 10 ft (assist by K. Durant),2,33-15,,
1:03.0,,,33-17,2,E. Moore makes 2-pt shot from 7 ft (assist by S. Hill)
1:03.0,,,33-17,,Shooting foul by S. Livingston (drawn by E. Moore)
1:03.0,,,33-17,,R. Rondo enters the game for J. Holiday
1:03.0,D. West enters the game for D. Green,,33-17,,
1:03.0,,,33-18,1,E. Moore makes free throw 1 of 1
0:43.0,Q. Cook makes 2-pt shot from 3 ft (assist by D. West),2,35-18,,
0:43.0,Shooting foul by I. Clark (drawn by Q. Cook),,35-18,,
0:43.0,,,35-18,,D. Miller enters the game for E. Moore
0:43.0,Q. Cook misses free throw 1 of 1,,35-18,,
0:43.0,,,35-18,,Defensive rebound by D. Miller
0:35.0,Personal foul by K. Looney (drawn by A. Davis),,35-18,,
0:35.0,,,35-19,1,A. Davis makes free throw 1 of 2
0:35.0,J. Bell enters the game for K. Looney,,35-19,,
0:35.0,,,35-20,1,A. Davis makes free throw 2 of 2
0:24.0,D. West makes 2-pt shot at rim (assist by J. Bell),2,37-20,,
0:06.0,Personal foul by D. West (drawn by A. Davis),,37-20,,
0:06.0,,,37-21,1,A. Davis makes free throw 1 of 2
0:06.0,,,37-21,,J. Holiday enters the game for D. Miller
0:06.0,K. Thompson enters the game for D. West,,37-21,,
0:06.0,S. Curry enters the game for S. Livingston,,37-21,,
0:06.0,N. Young enters the game for J. Bell,,37-21,,
0:06.0,,,37-22,1,A. Davis makes free throw 2 of 2
0:02.0,K. Durant misses 3-pt shot from 27 ft,,37-22,,
0:02.0,,,37-22,,Defensive rebound by R. Rondo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Livingston misses 2-pt shot from 16 ft,,37-22,,
11:39.0,,,37-22,,Defensive rebound by R. Rondo
11:23.0,,,37-22,,I. Clark misses 3-pt shot from 23 ft
11:19.0,,,37-22,,Offensive rebound by S. Hill
11:17.0,,,37-22,,N. Mirotic misses 3-pt shot from 22 ft
11:15.0,,,37-22,,Offensive rebound by R. Rondo
11:15.0,,,37-24,2,R. Rondo makes 2-pt shot from 1 ft
11:15.0,Golden State full timeout,,37-24,,
10:57.0,D. West makes 2-pt shot from 16 ft (assist by S. Livingston),2,39-24,,
10:44.0,,,39-26,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
10:29.0,S. Livingston makes 2-pt shot from 2 ft (assist by D. West),2,41-26,,
10:12.0,,,41-26,,N. Mirotic misses 2-pt shot from 2 ft
10:10.0,,,41-26,,Offensive rebound by N. Mirotic
10:06.0,,,41-29,3,R. Rondo makes 3-pt shot from 24 ft (assist by I. Clark)
9:52.0,K. Thompson misses 3-pt shot from 25 ft,,41-29,,
9:48.0,,,41-29,,Defensive rebound by D. Miller
9:30.0,,,41-29,,I. Clark misses 2-pt shot from 9 ft (block by D. West)
9:26.0,Defensive rebound by K. Thompson,,41-29,,
9:23.0,Turnover by K. Thompson (lost ball; steal by I. Clark),,41-29,,
9:22.0,,,41-29,,Offensive foul by S. Hill (drawn by A. Iguodala)
9:22.0,,,41-29,,Turnover by S. Hill (offensive foul)
9:22.0,,,41-29,,J. Holiday enters the game for S. Hill
9:06.0,Q. Cook makes 2-pt shot from 20 ft,2,43-29,,
9:00.0,,,43-29,,Shooting foul by D. West (drawn by N. Mirotic)
9:00.0,,,43-30,1,N. Mirotic makes free throw 1 of 3
9:00.0,,,43-31,1,N. Mirotic makes free throw 2 of 3
9:00.0,,,43-31,,A. Davis enters the game for D. Miller
9:00.0,D. Green enters the game for D. West,,43-31,,
9:00.0,,,43-32,1,N. Mirotic makes free throw 3 of 3
8:48.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala),2,45-32,,
8:36.0,,,45-32,,A. Davis misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by Q. Cook,,45-32,,
8:29.0,Q. Cook misses 3-pt shot from 25 ft,,45-32,,
8:25.0,,,45-32,,Defensive rebound by R. Rondo
8:21.0,,,45-32,,Turnover by R. Rondo (bad pass)
8:09.0,K. Thompson makes 2-pt shot from 11 ft,2,47-32,,
7:52.0,,,47-32,,R. Rondo misses 2-pt shot from 4 ft
7:52.0,,,47-32,,Offensive rebound by Team
7:52.0,Loose ball foul by A. Iguodala (drawn by N. Mirotic),,47-32,,
7:52.0,,,47-32,,E. Moore enters the game for I. Clark
7:52.0,K. Durant enters the game for S. Livingston,,47-32,,
7:39.0,,,47-34,2,E. Moore makes 2-pt shot from 6 ft
7:23.0,D. Green misses 3-pt shot from 25 ft,,47-34,,
7:23.0,,,47-34,,Defensive rebound by R. Rondo
7:11.0,,,47-37,3,J. Holiday makes 3-pt shot from 24 ft (assist by R. Rondo)
6:54.0,K. Durant makes 2-pt shot from 14 ft (assist by A. Iguodala),2,49-37,,
6:44.0,,,49-37,,A. Davis misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by D. Green,,49-37,,
6:39.0,Q. Cook makes 2-pt shot from 2 ft,2,51-37,,
6:21.0,Personal foul by A. Iguodala (drawn by N. Mirotic),,51-37,,
6:21.0,S. Curry enters the game for Q. Cook,,51-37,,
6:21.0,K. Looney enters the game for K. Thompson,,51-37,,
6:16.0,,,51-37,,Shooting foul by D. Green (drawn by R. Rondo)
6:16.0,,,51-38,1,R. Rondo makes free throw 1 of 2
6:16.0,,,51-38,,R. Rondo misses free throw 2 of 2
6:14.0,Defensive rebound by K. Durant,,51-38,,
6:00.0,Turnover by K. Durant (bad pass; steal by A. Davis),,51-38,,
5:54.0,,,51-40,2,J. Holiday makes 2-pt shot from 5 ft
5:38.0,K. Durant misses 2-pt shot from 13 ft,,51-40,,
5:35.0,,,51-40,,Defensive rebound by A. Davis
5:30.0,,,51-40,,N. Mirotic misses 2-pt shot from 4 ft
5:30.0,Defensive rebound by K. Durant,,51-40,,
5:30.0,,,51-40,,Personal foul by A. Davis (drawn by K. Looney)
5:20.0,S. Curry misses 3-pt shot from 25 ft,,51-40,,
5:20.0,,,51-40,,Defensive rebound by N. Mirotic
5:08.0,,,51-40,,Shooting foul by K. Durant (drawn by J. Holiday)
5:08.0,,,51-41,1,J. Holiday makes free throw 1 of 2
5:08.0,,,51-41,,I. Clark enters the game for N. Mirotic
5:08.0,,,51-41,,D. Miller enters the game for R. Rondo
5:08.0,,,51-42,1,J. Holiday makes free throw 2 of 2
4:54.0,D. Green misses 2-pt shot from 12 ft,,51-42,,
4:52.0,Offensive rebound by Team,,51-42,,
4:52.0,K. Thompson enters the game for A. Iguodala,,51-42,,
4:49.0,K. Durant makes 2-pt shot from 20 ft (assist by D. Green),2,53-42,,
4:36.0,,,53-42,,J. Holiday misses 2-pt shot from 1 ft
4:36.0,,,53-42,,Offensive rebound by Team
4:36.0,,,53-42,,Offensive foul by A. Davis (drawn by D. Green)
4:36.0,,,53-42,,Turnover by A. Davis (offensive foul)
4:18.0,K. Durant makes 2-pt shot from 12 ft,2,55-42,,
3:59.0,,,55-44,2,E. Moore makes 2-pt shot from 16 ft
3:35.0,K. Durant misses 2-pt shot from 16 ft,,55-44,,
3:33.0,,,55-44,,Defensive rebound by A. Davis
3:25.0,,,55-46,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:07.0,,,55-46,,R. Rondo enters the game for I. Clark
3:07.0,,,55-46,,N. Mirotic enters the game for D. Miller
3:07.0,A. Iguodala enters the game for K. Looney,,55-46,,
3:04.0,K. Durant misses 2-pt shot from 11 ft,,55-46,,
3:00.0,,,55-46,,Defensive rebound by N. Mirotic
2:46.0,,,55-46,,N. Mirotic misses 2-pt shot from 7 ft
2:46.0,Defensive rebound by D. Green,,55-46,,
2:41.0,K. Thompson misses 3-pt shot from 23 ft,,55-46,,
2:34.0,,,55-46,,Defensive rebound by N. Mirotic
2:29.0,Personal block foul by S. Curry (drawn by N. Mirotic),,55-46,,
2:29.0,,,55-46,,New Orleans full timeout
2:29.0,,,55-47,1,N. Mirotic makes free throw 1 of 2
2:29.0,,,55-48,1,N. Mirotic makes free throw 2 of 2
2:11.0,A. Iguodala misses 3-pt shot from 25 ft,,55-48,,
2:06.0,,,55-48,,Defensive rebound by J. Holiday
1:54.0,,,55-48,,A. Davis misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by K. Durant,,55-48,,
1:41.0,S. Curry misses 2-pt shot from 12 ft,,55-48,,
1:38.0,,,55-48,,Defensive rebound by A. Davis
1:35.0,,,55-48,,Turnover by A. Davis (bad pass; steal by K. Durant)
1:31.0,S. Curry misses 2-pt shot from 23 ft,,55-48,,
1:21.0,,,55-48,,Defensive rebound by R. Rondo
1:14.0,,,55-50,2,A. Davis makes 2-pt shot from 8 ft
1:10.0,Technical foul by D. Green,,55-50,,
1:10.0,,,55-51,1,E. Moore makes technical free throw
