time,Chicago,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. R. Lopez (J. Jerebko gains possession),,,,Jump ball: D. Favors vs. R. Lopez (J. Jerebko gains possession)
11:40.0,,,0-0,,Turnover by D. Mitchell (bad pass)
11:31.0,L. Markkanen misses 2-pt shot from 7 ft,,0-0,,
11:30.0,Offensive rebound by Team,,0-0,,
11:10.0,J. Holiday misses 2-pt shot from 19 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by J. Ingles
10:45.0,,,0-0,,J. Ingles misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by L. Markkanen,,0-0,,
10:32.0,Shooting foul by R. Rubio (drawn by L. Markkanen),,0-0,,
10:32.0,L. Markkanen makes free throw 1 of 2,1,1-0,,
10:32.0,L. Markkanen misses free throw 2 of 2,,1-0,,
10:30.0,,,1-0,,Defensive rebound by J. Jerebko
10:19.0,,,1-0,,D. Mitchell misses 2-pt shot from 11 ft
10:16.0,,,1-0,,Offensive rebound by J. Jerebko
10:10.0,,,1-2,2,J. Jerebko makes 2-pt shot from 2 ft (assist by D. Favors)
9:59.0,L. Markkanen misses 3-pt shot from 24 ft,,1-2,,
9:55.0,,,1-2,,Defensive rebound by D. Favors
9:42.0,,,1-2,,J. Jerebko misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by K. Dunn,,1-2,,
9:32.0,K. Dunn misses 2-pt shot from 2 ft (block by D. Mitchell),,1-2,,
9:32.0,,,1-2,,Defensive rebound by Team
9:13.0,,,1-2,,D. Mitchell misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by R. Lopez,,1-2,,
9:02.0,K. Dunn makes 3-pt shot from 25 ft,3,4-2,,
8:41.0,,,4-4,2,R. Rubio makes 2-pt shot from 10 ft
8:41.0,,,4-4,,Shooting foul by L. Markkanen (drawn by R. Rubio)
8:41.0,,,4-5,1,R. Rubio makes free throw 1 of 1
8:35.0,Turnover by K. Dunn (bad pass),,4-5,,
8:15.0,,,4-8,3,R. Rubio makes 3-pt shot from 26 ft (assist by J. Jerebko)
7:56.0,J. Holiday makes 3-pt shot from 24 ft (assist by K. Dunn),3,7-8,,
7:41.0,,,7-8,,R. Rubio misses 2-pt shot from 16 ft
7:38.0,Defensive rebound by K. Dunn,,7-8,,
7:35.0,J. Holiday makes 3-pt shot from 24 ft (assist by D. Valentine),3,10-8,,
7:20.0,,,10-11,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio)
6:58.0,R. Lopez makes 2-pt shot from 17 ft (assist by D. Valentine),2,12-11,,
6:41.0,,,12-11,,J. Ingles misses 3-pt shot from 22 ft
6:38.0,Defensive rebound by L. Markkanen,,12-11,,
6:31.0,R. Lopez misses 2-pt shot from 17 ft,,12-11,,
6:28.0,,,12-11,,Defensive rebound by D. Mitchell
6:16.0,,,12-13,2,D. Favors makes 2-pt shot from 18 ft
6:02.0,D. Valentine misses 3-pt shot from 25 ft,,12-13,,
5:59.0,,,12-13,,Defensive rebound by J. Jerebko
5:54.0,,,12-13,,Utah full timeout
5:54.0,,,12-13,,R. Hood enters the game for R. Rubio
5:36.0,,,12-13,,J. Jerebko misses 2-pt shot from 11 ft
5:34.0,,,12-13,,Offensive rebound by J. Jerebko
5:31.0,,,12-15,2,J. Jerebko makes 2-pt shot from 1 ft
5:23.0,L. Markkanen misses 2-pt shot from 22 ft,,12-15,,
5:21.0,,,12-15,,Defensive rebound by D. Favors
5:13.0,,,12-17,2,D. Favors makes 2-pt shot from 10 ft (assist by J. Ingles)
4:56.0,L. Markkanen makes 2-pt shot from 17 ft,2,14-17,,
4:42.0,,,14-17,,R. Hood misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by K. Dunn,,14-17,,
4:34.0,J. Holiday misses 2-pt shot from 19 ft,,14-17,,
4:31.0,,,14-17,,Defensive rebound by J. Ingles
4:25.0,,,14-17,,Turnover by J. Ingles (bad pass)
4:25.0,,,14-17,,A. Burks enters the game for J. Ingles
4:25.0,,,14-17,,T. Sefolosha enters the game for J. Jerebko
4:25.0,B. Portis enters the game for L. Markkanen,,14-17,,
4:25.0,J. Grant enters the game for K. Dunn,,14-17,,
4:13.0,J. Holiday misses 2-pt shot from 19 ft,,14-17,,
4:11.0,Offensive rebound by D. Valentine,,14-17,,
4:09.0,J. Grant misses 2-pt shot from 20 ft,,14-17,,
4:09.0,,,14-17,,Defensive rebound by R. Hood
3:54.0,,,14-19,2,D. Favors makes 2-pt shot from 16 ft (assist by A. Burks)
3:34.0,R. Lopez makes 2-pt shot from 10 ft (assist by B. Portis),2,16-19,,
3:16.0,,,16-21,2,R. Hood makes 2-pt shot from 9 ft
2:58.0,J. Holiday makes 2-pt shot from 11 ft,2,18-21,,
2:42.0,,,18-21,,D. Mitchell misses 2-pt shot from 2 ft
2:38.0,Defensive rebound by D. Valentine,,18-21,,
2:36.0,B. Portis makes 2-pt shot from 2 ft (assist by D. Valentine),2,20-21,,
2:17.0,,,20-23,2,A. Burks makes 2-pt shot from 11 ft
1:57.0,R. Lopez makes 2-pt shot from 19 ft (assist by J. Grant),2,22-23,,
1:35.0,,,22-23,,A. Burks misses 2-pt shot from 14 ft
1:31.0,Defensive rebound by D. Valentine,,22-23,,
1:27.0,J. Grant misses 3-pt shot from 24 ft,,22-23,,
1:22.0,,,22-23,,Defensive rebound by R. Hood
1:14.0,,,22-23,,D. Mitchell misses 3-pt shot from 25 ft
1:12.0,,,22-23,,Offensive rebound by D. Mitchell
1:11.0,,,22-23,,Shooting foul by B. Portis (drawn by D. Favors)
1:11.0,Chicago full timeout,,22-23,,
1:11.0,,,22-23,,R. Neto enters the game for D. Mitchell
1:11.0,A. Blakeney enters the game for R. Lopez,,22-23,,
1:11.0,C. Felicio enters the game for D. Valentine,,22-23,,
1:11.0,,,22-24,1,D. Favors makes free throw 1 of 2
1:11.0,,,22-25,1,D. Favors makes free throw 2 of 2
1:00.0,J. Holiday misses 3-pt shot from 24 ft,,22-25,,
0:57.0,,,22-25,,Defensive rebound by A. Burks
0:42.0,,,22-25,,D. Favors misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by B. Portis,,22-25,,
0:33.0,B. Portis misses 3-pt shot from 26 ft,,22-25,,
0:29.0,,,22-25,,Defensive rebound by D. Favors
0:10.0,,,22-25,,R. Hood misses 3-pt shot from 25 ft
0:07.0,Defensive rebound by B. Portis,,22-25,,
0:00.0,B. Portis makes 2-pt shot from 15 ft (assist by J. Holiday),2,24-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,24-25,,Personal foul by E. Udoh (drawn by C. Felicio)
11:31.0,B. Portis makes 2-pt shot from 10 ft (assist by J. Grant),2,26-25,,
11:20.0,Personal foul by C. Felicio (drawn by E. Udoh),,26-25,,
11:03.0,,,26-27,2,R. Hood makes 2-pt shot from 6 ft
10:46.0,Turnover by A. Blakeney (lost ball; steal by A. Burks),,26-27,,
10:43.0,,,26-27,,Shooting foul by J. Grant (drawn by A. Burks)
10:43.0,,,26-28,1,A. Burks makes free throw 1 of 2
10:43.0,,,26-29,1,A. Burks makes free throw 2 of 2
10:31.0,Turnover by A. Blakeney (bad pass; steal by T. Sefolosha),,26-29,,
10:28.0,,,26-29,,R. Neto misses 2-pt shot from 3 ft (block by B. Portis)
10:27.0,,,26-29,,Offensive rebound by T. Sefolosha
10:27.0,,,26-29,,T. Sefolosha misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by Q. Pondexter,,26-29,,
10:10.0,Chicago full timeout,,26-29,,
10:10.0,,,26-29,,R. Rubio enters the game for R. Neto
10:07.0,A. Blakeney misses 2-pt shot from 18 ft,,26-29,,
10:02.0,Offensive rebound by A. Blakeney,,26-29,,
10:00.0,Q. Pondexter misses 3-pt shot from 24 ft,,26-29,,
9:56.0,,,26-29,,Defensive rebound by R. Rubio
9:44.0,Personal foul by C. Felicio (drawn by R. Rubio),,26-29,,
9:31.0,,,26-29,,R. Hood misses 2-pt shot from 18 ft
9:28.0,Defensive rebound by C. Felicio,,26-29,,
9:12.0,C. Felicio misses 2-pt shot from 8 ft,,26-29,,
9:09.0,,,26-29,,Defensive rebound by E. Udoh
9:02.0,,,26-32,3,R. Hood makes 3-pt shot from 24 ft (assist by E. Udoh)
8:52.0,J. Grant makes 2-pt shot from 1 ft,2,28-32,,
8:35.0,,,28-35,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by E. Udoh)
8:17.0,B. Portis misses 3-pt shot from 22 ft,,28-35,,
8:15.0,,,28-35,,Defensive rebound by R. Rubio
8:10.0,,,28-35,,R. Hood misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by A. Blakeney,,28-35,,
7:52.0,Q. Pondexter misses 2-pt shot from 2 ft,,28-35,,
7:52.0,Offensive rebound by Team,,28-35,,
7:52.0,,,28-35,,Loose ball foul by T. Sefolosha (drawn by B. Portis)
7:52.0,,,28-35,,J. Jerebko enters the game for T. Sefolosha
7:52.0,L. Markkanen enters the game for C. Felicio,,28-35,,
7:47.0,J. Grant makes 2-pt shot from 2 ft,2,30-35,,
7:47.0,Shooting foul by R. Rubio (drawn by J. Grant),,30-35,,
7:47.0,J. Grant makes free throw 1 of 1,1,31-35,,
7:31.0,,,31-35,,A. Burks misses 2-pt shot from 2 ft
7:30.0,,,31-35,,Offensive rebound by Team
7:30.0,,,31-35,,D. Mitchell enters the game for A. Burks
7:30.0,,,31-35,,Utah full timeout
7:30.0,K. Dunn enters the game for Q. Pondexter,,31-35,,
7:24.0,,,31-35,,Turnover by R. Hood (bad pass; steal by J. Grant)
7:19.0,J. Grant makes 2-pt shot from 2 ft,2,33-35,,
7:19.0,Shooting foul by E. Udoh (drawn by J. Grant),,33-35,,
7:19.0,,,33-35,,J. Ingles enters the game for R. Hood
7:19.0,J. Grant makes free throw 1 of 1,1,34-35,,
7:01.0,,,34-35,,R. Rubio misses 2-pt shot from 11 ft
6:58.0,Defensive rebound by B. Portis,,34-35,,
6:48.0,K. Dunn makes 2-pt shot from 1 ft (assist by J. Grant),2,36-35,,
6:33.0,,,36-38,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
6:16.0,,,36-38,,Personal foul by R. Rubio (drawn by B. Portis)
6:16.0,B. Portis makes free throw 1 of 2,1,37-38,,
6:16.0,,,37-38,,R. Neto enters the game for R. Rubio
6:16.0,,,37-38,,D. Favors enters the game for E. Udoh
6:16.0,J. Holiday enters the game for A. Blakeney,,37-38,,
6:16.0,B. Portis makes free throw 2 of 2,1,38-38,,
6:04.0,,,38-38,,D. Mitchell misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by K. Dunn,,38-38,,
5:49.0,L. Markkanen misses 3-pt shot from 24 ft,,38-38,,
5:47.0,,,38-38,,Defensive rebound by J. Ingles
5:35.0,,,38-38,,J. Ingles misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by K. Dunn,,38-38,,
5:28.0,Turnover by K. Dunn (bad pass; steal by D. Favors),,38-38,,
5:23.0,,,38-41,3,R. Neto makes 3-pt shot from 23 ft (assist by D. Mitchell)
5:05.0,B. Portis misses 3-pt shot from 25 ft,,38-41,,
5:03.0,,,38-41,,Defensive rebound by R. Neto
4:59.0,Personal foul by J. Grant (drawn by D. Favors),,38-41,,
4:57.0,,,38-43,2,D. Mitchell makes 2-pt shot from 2 ft (assist by R. Neto)
4:56.0,Chicago full timeout,,38-43,,
4:56.0,D. Valentine enters the game for J. Grant,,38-43,,
4:43.0,L. Markkanen misses 2-pt shot from 3 ft,,38-43,,
4:37.0,Offensive rebound by B. Portis,,38-43,,
4:37.0,B. Portis makes 2-pt shot at rim,2,40-43,,
4:27.0,,,40-43,,D. Mitchell misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by J. Holiday,,40-43,,
4:16.0,Turnover by J. Holiday (bad pass; steal by D. Mitchell),,40-43,,
4:10.0,,,40-43,,D. Mitchell misses 2-pt shot from 3 ft
4:10.0,,,40-43,,Offensive rebound by Team
4:06.0,,,40-43,,D. Mitchell misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by B. Portis,,40-43,,
3:56.0,Offensive foul by B. Portis (drawn by J. Jerebko),,40-43,,
3:56.0,Turnover by B. Portis (offensive foul),,40-43,,
3:56.0,,,40-43,,R. Hood enters the game for J. Jerebko
3:56.0,R. Lopez enters the game for B. Portis,,40-43,,
3:42.0,,,40-43,,J. Ingles misses 2-pt shot from 12 ft
3:39.0,Defensive rebound by L. Markkanen,,40-43,,
3:18.0,Turnover by R. Lopez (bad pass; steal by R. Hood),,40-43,,
3:18.0,Personal foul by J. Holiday (drawn by D. Mitchell),,40-43,,
3:18.0,,,40-44,1,D. Mitchell makes free throw 1 of 2
3:18.0,P. Zipser enters the game for L. Markkanen,,40-44,,
3:18.0,,,40-45,1,D. Mitchell makes free throw 2 of 2
3:03.0,D. Valentine misses 3-pt shot from 25 ft,,40-45,,
3:00.0,,,40-45,,Defensive rebound by R. Hood
2:53.0,,,40-45,,R. Hood misses 2-pt shot from 6 ft
2:48.0,,,40-45,,Offensive rebound by D. Favors
2:48.0,,,40-47,2,D. Favors makes 2-pt shot at rim
2:47.0,,,40-47,,Violation by R. Hood (def goaltending)
2:47.0,D. Valentine makes 2-pt shot from 3 ft,2,42-47,,
2:32.0,,,42-47,,D. Mitchell misses 2-pt shot from 2 ft
2:30.0,Defensive rebound by J. Holiday,,42-47,,
2:26.0,,,42-47,,Violation by D. Mitchell (def goaltending)
2:26.0,K. Dunn makes 2-pt shot from 1 ft,2,44-47,,
2:03.0,,,44-49,2,R. Hood makes 2-pt shot from 11 ft
1:47.0,R. Lopez misses 2-pt shot from 11 ft,,44-49,,
1:44.0,,,44-49,,Defensive rebound by D. Favors
1:38.0,,,44-51,2,D. Favors makes 2-pt shot from 11 ft (assist by J. Ingles)
1:23.0,D. Valentine misses 3-pt shot from 24 ft,,44-51,,
1:19.0,,,44-51,,Defensive rebound by R. Neto
1:06.0,,,44-53,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
0:52.0,,,44-53,,Personal foul by D. Mitchell (drawn by R. Lopez)
0:52.0,R. Lopez makes free throw 1 of 2,1,45-53,,
0:52.0,R. Lopez makes free throw 2 of 2,1,46-53,,
0:33.0,,,46-55,2,R. Hood makes 2-pt shot from 13 ft
0:19.0,P. Zipser misses 3-pt shot from 24 ft,,46-55,,
0:15.0,,,46-55,,Defensive rebound by R. Neto
0:00.0,,,46-55,,R. Hood misses 3-pt shot from 24 ft
0:00.0,,,46-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Turnover by K. Dunn (lost ball; steal by R. Rubio),,46-55,,
11:44.0,Personal foul by D. Valentine (drawn by R. Rubio),,46-55,,
11:33.0,,,46-55,,Turnover by R. Rubio (out of bounds lost ball)
11:14.0,R. Lopez makes 2-pt shot from 7 ft (assist by D. Valentine),2,48-55,,
10:56.0,,,48-58,3,J. Jerebko makes 3-pt shot from 24 ft (assist by D. Mitchell)
10:41.0,J. Holiday misses 2-pt shot from 15 ft,,48-58,,
10:38.0,Offensive rebound by R. Lopez,,48-58,,
10:34.0,Shooting foul by D. Mitchell (drawn by K. Dunn),,48-58,,
10:34.0,K. Dunn misses free throw 1 of 2,,48-58,,
10:34.0,Offensive rebound by Team,,48-58,,
10:34.0,K. Dunn makes free throw 2 of 2,1,49-58,,
10:24.0,,,49-58,,R. Rubio misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by K. Dunn,,49-58,,
10:15.0,Shooting foul by D. Favors (drawn by K. Dunn),,49-58,,
10:15.0,K. Dunn makes free throw 1 of 2,1,50-58,,
10:15.0,K. Dunn makes free throw 2 of 2,1,51-58,,
9:56.0,,,51-58,,D. Favors misses 2-pt shot from 9 ft
9:55.0,,,51-58,,Offensive rebound by D. Favors
9:55.0,,,51-58,,Shooting foul by D. Valentine (drawn by D. Favors)
9:55.0,,,51-59,1,D. Favors makes free throw 1 of 2
9:55.0,,,51-59,,D. Favors misses free throw 2 of 2
9:54.0,,,51-59,,Offensive rebound by Team
9:54.0,Loose ball foul by L. Markkanen (drawn by J. Jerebko),,51-59,,
9:44.0,Personal foul by K. Dunn (drawn by R. Rubio),,51-59,,
