time,Chicago,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. R. Lopez (P. Zipser gains possession),,,,Jump ball: J. Nurkic vs. R. Lopez (P. Zipser gains possession)
11:42.0,J. Holiday misses 3-pt shot from 23 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by A. Aminu
11:22.0,,,0-2,2,E. Turner makes 2-pt shot from 11 ft
11:07.0,,,0-2,,Personal foul by J. Nurkic (drawn by J. Grant)
11:01.0,Z. LaVine makes 2-pt shot from 16 ft,2,2-2,,
10:45.0,,,2-4,2,C. McCollum makes 2-pt shot from 16 ft (assist by D. Lillard)
10:29.0,P. Zipser misses 2-pt shot from 3 ft,,2-4,,
10:28.0,,,2-4,,Defensive rebound by E. Turner
10:20.0,,,2-6,2,A. Aminu makes 2-pt shot from 1 ft (assist by E. Turner)
10:10.0,Z. LaVine misses 3-pt shot from 25 ft,,2-6,,
10:07.0,,,2-6,,Defensive rebound by A. Aminu
10:01.0,,,2-6,,C. McCollum misses 2-pt shot from 1 ft (block by Z. LaVine)
9:59.0,Jump ball: C. McCollum vs. Z. LaVine,,,,Jump ball: C. McCollum vs. Z. LaVine
9:59.0,,,2-6,,Offensive rebound by Team
9:52.0,,,2-9,3,C. McCollum makes 3-pt shot from 22 ft (assist by E. Turner)
9:35.0,J. Holiday misses 3-pt shot from 26 ft,,2-9,,
9:33.0,,,2-9,,Defensive rebound by D. Lillard
9:25.0,,,2-11,2,E. Turner makes 2-pt shot from 16 ft
9:06.0,R. Lopez misses 2-pt shot from 19 ft,,2-11,,
9:03.0,,,2-11,,Defensive rebound by C. McCollum
8:57.0,,,2-13,2,C. McCollum makes 2-pt shot from 1 ft (assist by E. Turner)
8:57.0,Chicago full timeout,,2-13,,
8:39.0,J. Grant misses 2-pt shot from 20 ft,,2-13,,
8:35.0,,,2-13,,Defensive rebound by A. Aminu
8:17.0,,,2-13,,D. Lillard misses 3-pt shot from 26 ft
8:16.0,,,2-13,,Offensive rebound by C. McCollum
8:14.0,,,2-15,2,C. McCollum makes 2-pt shot from 15 ft
8:01.0,J. Grant misses 3-pt shot from 24 ft,,2-15,,
7:59.0,,,2-15,,Defensive rebound by J. Nurkic
7:59.0,Personal foul by R. Lopez (drawn by J. Nurkic),,2-15,,
7:47.0,,,2-15,,Shooting foul by J. Grant (drawn by D. Lillard)
7:47.0,,,2-16,1,D. Lillard makes free throw 1 of 2
7:47.0,,,2-17,1,D. Lillard makes free throw 2 of 2
7:32.0,Turnover by P. Zipser (lost ball; steal by E. Turner),,2-17,,
7:27.0,,,2-20,3,D. Lillard makes 3-pt shot from 26 ft (assist by C. McCollum)
7:25.0,Chicago full timeout,,2-20,,
7:25.0,D. Valentine enters the game for P. Zipser,,2-20,,
7:25.0,B. Portis enters the game for J. Grant,,2-20,,
7:13.0,Z. LaVine misses 2-pt shot from 3 ft (block by J. Nurkic),,2-20,,
7:13.0,Offensive rebound by Team,,2-20,,
7:09.0,Z. LaVine misses 2-pt shot from 4 ft,,2-20,,
7:08.0,,,2-20,,Defensive rebound by A. Aminu
7:03.0,Personal foul by Z. LaVine (drawn by J. Nurkic),,2-20,,
6:55.0,,,2-20,,Turnover by D. Lillard (bad pass; steal by Z. LaVine)
6:51.0,J. Holiday misses 3-pt shot from 24 ft,,2-20,,
6:50.0,,,2-20,,Defensive rebound by J. Nurkic
6:40.0,,,2-23,3,C. McCollum makes 3-pt shot from 24 ft
6:26.0,D. Valentine makes 3-pt shot from 22 ft (assist by Z. LaVine),3,5-23,,
6:06.0,,,5-23,,E. Turner misses 2-pt shot from 14 ft
6:06.0,,,5-23,,Offensive rebound by Team
6:06.0,Loose ball foul by D. Valentine (drawn by J. Nurkic),,5-23,,
5:57.0,,,5-26,3,C. McCollum makes 3-pt shot from 24 ft
5:24.0,R. Lopez misses 2-pt shot from 17 ft,,5-26,,
5:23.0,Offensive rebound by B. Portis,,5-26,,
5:20.0,B. Portis misses 2-pt shot from 1 ft,,5-26,,
5:19.0,,,5-26,,Defensive rebound by Team
5:09.0,,,5-28,2,J. Nurkic makes 2-pt shot from 22 ft (assist by D. Lillard)
4:48.0,R. Lopez makes 2-pt shot from 1 ft (assist by B. Portis),2,7-28,,
4:38.0,,,7-30,2,C. McCollum makes 2-pt shot from 7 ft
4:27.0,Shooting foul by J. Nurkic (drawn by Z. LaVine),,7-30,,
4:27.0,Z. LaVine misses free throw 1 of 2,,7-30,,
4:27.0,Offensive rebound by Team,,7-30,,
4:27.0,,,7-30,,Z. Collins enters the game for A. Aminu
4:27.0,,,7-30,,E. Davis enters the game for J. Nurkic
4:27.0,Z. LaVine makes free throw 2 of 2,1,8-30,,
4:14.0,,,8-32,2,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard)
4:04.0,B. Portis misses 3-pt shot from 26 ft,,8-32,,
4:02.0,,,8-32,,Defensive rebound by C. McCollum
3:54.0,,,8-35,3,C. McCollum makes 3-pt shot from 24 ft
3:37.0,J. Holiday makes 2-pt shot from 5 ft,2,10-35,,
3:37.0,Shooting foul by E. Turner (drawn by J. Holiday),,10-35,,
3:37.0,D. Nwaba enters the game for Z. LaVine,,10-35,,
3:37.0,J. Holiday makes free throw 1 of 1,1,11-35,,
3:19.0,,,11-37,2,E. Turner makes 2-pt shot at rim
3:05.0,J. Holiday makes 3-pt shot from 25 ft (assist by B. Portis),3,14-37,,
2:44.0,,,14-39,2,C. McCollum makes 2-pt shot from 12 ft
2:30.0,R. Lopez makes 2-pt shot from 3 ft,2,16-39,,
2:23.0,,,16-39,,Turnover by C. McCollum (traveling)
2:23.0,,,16-39,,S. Napier enters the game for D. Lillard
2:23.0,,,16-39,,P. Connaughton enters the game for E. Turner
2:13.0,B. Portis misses 3-pt shot from 24 ft,,16-39,,
2:12.0,Offensive rebound by Team,,16-39,,
2:12.0,,,16-39,,Loose ball foul by E. Davis (drawn by R. Lopez)
2:08.0,D. Valentine misses 2-pt shot from 15 ft,,16-39,,
2:05.0,,,16-39,,Defensive rebound by C. McCollum
2:00.0,,,16-41,2,C. McCollum makes 2-pt shot from 20 ft
1:49.0,B. Portis makes 2-pt shot from 1 ft,2,18-41,,
1:34.0,,,18-41,,C. McCollum misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by D. Nwaba,,18-41,,
1:24.0,J. Holiday misses 2-pt shot from 14 ft,,18-41,,
1:22.0,,,18-41,,Defensive rebound by Z. Collins
1:11.0,,,18-41,,Z. Collins misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by D. Valentine,,18-41,,
1:04.0,D. Valentine misses 2-pt shot from 3 ft,,18-41,,
1:00.0,Offensive rebound by B. Portis,,18-41,,
1:00.0,B. Portis misses 2-pt shot at rim,,18-41,,
0:59.0,,,18-41,,Defensive rebound by E. Davis
0:47.0,,,18-41,,Turnover by E. Davis (bad pass; steal by D. Nwaba)
0:41.0,D. Nwaba misses 2-pt shot from 1 ft,,18-41,,
0:38.0,,,18-41,,Defensive rebound by P. Connaughton
0:35.0,,,18-41,,Shooting foul by D. Nwaba (drawn by C. McCollum)
0:35.0,,,18-42,1,C. McCollum makes free throw 1 of 2
0:35.0,,,18-43,1,C. McCollum makes free throw 2 of 2
0:25.0,B. Portis misses 2-pt shot from 4 ft,,18-43,,
0:23.0,Offensive rebound by R. Lopez,,18-43,,
0:21.0,Shooting foul by Z. Collins (drawn by D. Nwaba),,18-43,,
0:21.0,D. Nwaba misses free throw 1 of 2,,18-43,,
0:21.0,Offensive rebound by Team,,18-43,,
0:21.0,D. Nwaba makes free throw 2 of 2,1,19-43,,
0:02.0,,,19-43,,C. McCollum misses 2-pt shot from 12 ft (block by R. Lopez)
0:02.0,,,19-43,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,19-43,,Z. Collins misses 2-pt shot from 16 ft
11:42.0,Defensive rebound by D. Valentine,,19-43,,
11:34.0,Shooting foul by P. Connaughton (drawn by D. Nwaba),,19-43,,
11:34.0,D. Nwaba misses free throw 1 of 2,,19-43,,
11:34.0,Offensive rebound by Team,,19-43,,
11:34.0,D. Nwaba makes free throw 2 of 2,1,20-43,,
11:19.0,,,20-45,2,E. Davis makes 2-pt shot from 4 ft (assist by D. Lillard)
11:04.0,D. Nwaba makes 2-pt shot from 2 ft,2,22-45,,
10:53.0,,,22-45,,Offensive foul by Z. Collins (drawn by D. Nwaba)
10:53.0,,,22-45,,Turnover by Z. Collins (offensive foul)
10:45.0,Turnover by B. Portis (bad pass),,22-45,,
10:29.0,,,22-45,,S. Napier misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by B. Portis,,22-45,,
10:16.0,B. Portis misses 2-pt shot from 4 ft,,22-45,,
10:13.0,Offensive rebound by C. Felicio,,22-45,,
10:09.0,C. Felicio misses 2-pt shot from 21 ft,,22-45,,
10:03.0,Offensive rebound by D. Nwaba,,22-45,,
10:02.0,D. Nwaba misses 2-pt shot from 1 ft (block by E. Davis),,22-45,,
10:01.0,,,22-45,,Defensive rebound by E. Davis
10:01.0,Personal foul by R. Arcidiacono (drawn by D. Lillard),,22-45,,
