time,Phoenix,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. T. Chandler (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. T. Chandler (D. Lillard gains possession)
11:48.0,,,0-3,3,D. Lillard makes 3-pt shot from 25 ft
11:28.0,T. Chandler misses 2-pt shot from 2 ft,,0-3,,
11:26.0,,,0-3,,Defensive rebound by J. Nurkic
11:21.0,,,0-5,2,E. Turner makes 2-pt shot at rim (assist by D. Lillard)
11:10.0,J. Jackson makes 2-pt shot at rim (assist by T. Ulis),2,2-5,,
10:44.0,,,2-7,2,E. Turner makes 2-pt shot from 6 ft
10:24.0,D. Booker misses 2-pt shot from 18 ft,,2-7,,
10:22.0,,,2-7,,Defensive rebound by A. Aminu
10:12.0,,,2-9,2,A. Aminu makes 2-pt shot from 1 ft (assist by E. Turner)
9:59.0,Turnover by T. Chandler (lost ball; steal by D. Lillard),,2-9,,
9:54.0,,,2-9,,Turnover by J. Nurkic (bad pass; steal by T. Ulis)
9:40.0,J. Jackson misses 2-pt shot from 12 ft,,2-9,,
9:40.0,Offensive rebound by T. Ulis,,2-9,,
9:26.0,T. Ulis misses 3-pt shot from 23 ft,,2-9,,
9:24.0,Offensive rebound by J. Jackson,,2-9,,
9:23.0,J. Jackson makes 2-pt shot at rim,2,4-9,,
9:05.0,,,4-12,3,C. McCollum makes 3-pt shot from 28 ft (assist by D. Lillard)
8:47.0,D. Booker makes 2-pt shot from 14 ft,2,6-12,,
8:32.0,,,6-14,2,C. McCollum makes 2-pt shot from 12 ft (assist by D. Lillard)
8:23.0,Shooting foul by D. Lillard (drawn by T. Ulis),,6-14,,
8:23.0,T. Ulis makes free throw 1 of 2,1,7-14,,
8:23.0,T. Ulis makes free throw 2 of 2,1,8-14,,
8:00.0,,,8-16,2,D. Lillard makes 2-pt shot from 11 ft
7:54.0,D. Booker makes 2-pt shot at rim,2,10-16,,
7:54.0,Shooting foul by C. McCollum (drawn by D. Booker),,10-16,,
7:54.0,D. Booker makes free throw 1 of 1,1,11-16,,
7:39.0,,,11-18,2,E. Turner makes 2-pt shot from 16 ft (assist by C. McCollum)
7:36.0,Phoenix full timeout,,11-18,,
7:27.0,D. Booker makes 2-pt shot from 6 ft (assist by T. Ulis),2,13-18,,
7:15.0,,,13-18,,Turnover by J. Nurkic (bad pass; steal by T. Chandler)
7:11.0,J. Jackson makes 2-pt shot from 1 ft (assist by T. Chandler),2,15-18,,
6:48.0,,,15-18,,A. Aminu misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by T. Chandler,,15-18,,
6:41.0,D. Bender makes 3-pt shot from 22 ft (assist by D. Booker),3,18-18,,
6:21.0,,,18-18,,J. Nurkic misses 2-pt shot from 7 ft
6:18.0,Defensive rebound by T. Chandler,,18-18,,
6:05.0,D. Booker makes 2-pt shot at rim,2,20-18,,
5:52.0,,,20-18,,E. Turner misses 3-pt shot from 26 ft
5:46.0,Defensive rebound by D. Bender,,20-18,,
5:37.0,T. Ulis makes 2-pt shot from 10 ft,2,22-18,,
5:36.0,,,22-18,,Portland full timeout
5:36.0,,,22-18,,E. Davis enters the game for E. Turner
