time,Miami,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. H. Whiteside (D. Waiters gains possession),,,,Jump ball: N. Vucevic vs. H. Whiteside (D. Waiters gains possession)
11:46.0,K. Olynyk misses 3-pt shot from 22 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by T. Ross
11:29.0,,,0-0,,T. Ross misses 3-pt shot from 27 ft
11:27.0,Defensive rebound by H. Whiteside,,0-0,,
11:19.0,G. Dragic misses 2-pt shot from 15 ft,,0-0,,
11:10.0,Offensive rebound by H. Whiteside,,0-0,,
11:10.0,H. Whiteside misses 2-pt shot at rim,,0-0,,
11:10.0,,,0-0,,Defensive rebound by N. Vucevic
11:10.0,Personal foul by K. Olynyk (drawn by E. Payton),,0-0,,
11:09.0,,,0-0,,Turnover by T. Ross (bad pass)
10:56.0,H. Whiteside misses 2-pt shot from 6 ft,,0-0,,
10:52.0,Offensive rebound by H. Whiteside,,0-0,,
10:50.0,G. Dragic makes 2-pt shot from 22 ft (assist by H. Whiteside),2,2-0,,
10:42.0,,,2-0,,N. Vucevic misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by H. Whiteside,,2-0,,
10:32.0,D. Waiters makes 2-pt shot from 1 ft,2,4-0,,
10:16.0,,,4-0,,E. Fournier misses 2-pt shot from 6 ft (block by J. Richardson)
10:16.0,,,4-0,,Offensive rebound by Team
10:10.0,,,4-2,2,E. Fournier makes 2-pt shot from 7 ft (assist by E. Payton)
9:55.0,K. Olynyk misses 2-pt shot from 3 ft,,4-2,,
9:53.0,,,4-2,,Defensive rebound by A. Gordon
9:48.0,,,4-2,,A. Gordon misses 2-pt shot from 3 ft
9:45.0,Defensive rebound by H. Whiteside,,4-2,,
9:43.0,K. Olynyk makes 2-pt shot from 2 ft (assist by G. Dragic),2,6-2,,
9:29.0,,,6-4,2,N. Vucevic makes 2-pt shot at rim (assist by T. Ross)
9:04.0,D. Waiters misses 2-pt shot from 7 ft (block by A. Gordon),,6-4,,
9:00.0,,,6-4,,Defensive rebound by E. Payton
8:58.0,,,6-6,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
8:41.0,H. Whiteside makes 2-pt shot from 5 ft (assist by J. Richardson),2,8-6,,
8:24.0,,,8-8,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
8:10.0,Shooting foul by E. Payton (drawn by G. Dragic),,8-8,,
8:10.0,G. Dragic makes free throw 1 of 2,1,9-8,,
8:10.0,G. Dragic makes free throw 2 of 2,1,10-8,,
8:01.0,,,10-10,2,E. Payton makes 2-pt shot from 11 ft
7:49.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,12-10,,
7:39.0,,,12-12,2,T. Ross makes 2-pt shot from 22 ft (assist by E. Payton)
7:26.0,G. Dragic misses 2-pt shot from 4 ft (block by A. Gordon),,12-12,,
7:22.0,,,12-12,,Defensive rebound by A. Gordon
7:17.0,,,12-12,,Turnover by E. Payton (bad pass; steal by D. Waiters)
7:13.0,K. Olynyk misses 2-pt shot from 1 ft (block by N. Vucevic),,12-12,,
7:09.0,,,12-12,,Defensive rebound by N. Vucevic
7:07.0,,,12-15,3,A. Gordon makes 3-pt shot from 26 ft
6:46.0,Shooting foul by A. Gordon (drawn by K. Olynyk),,12-15,,
6:46.0,,,12-15,,Orlando full timeout
6:46.0,K. Olynyk makes free throw 1 of 2,1,13-15,,
6:46.0,K. Olynyk makes free throw 2 of 2,1,14-15,,
6:34.0,,,14-15,,A. Gordon misses 2-pt shot from 18 ft
6:31.0,Defensive rebound by G. Dragic,,14-15,,
6:13.0,K. Olynyk makes 3-pt shot from 23 ft (assist by D. Waiters),3,17-15,,
5:48.0,,,17-15,,N. Vucevic misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by Team,,17-15,,
5:47.0,T. Johnson enters the game for J. Richardson,,17-15,,
5:47.0,J. Johnson enters the game for K. Olynyk,,17-15,,
5:32.0,T. Johnson misses 3-pt shot from 25 ft,,17-15,,
5:30.0,Offensive rebound by Team,,17-15,,
5:30.0,,,17-15,,J. Simmons enters the game for T. Ross
5:21.0,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Waiters),2,19-15,,
5:09.0,,,19-15,,E. Payton misses 2-pt shot from 4 ft
5:09.0,Defensive rebound by H. Whiteside,,19-15,,
5:02.0,T. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic),3,22-15,,
5:01.0,,,22-15,,Orlando full timeout
4:50.0,,,22-15,,Shooting foul by J. Johnson (drawn by N. Vucevic)
4:50.0,,,22-16,1,N. Vucevic makes free throw 1 of 2
4:50.0,,,22-17,1,N. Vucevic makes free throw 2 of 2
4:38.0,D. Waiters misses 2-pt shot from 5 ft,,22-17,,
4:37.0,,,22-17,,Defensive rebound by Team
4:27.0,,,22-17,,E. Fournier misses 2-pt shot from 8 ft
4:20.0,,,22-17,,Offensive rebound by N. Vucevic
4:20.0,,,22-17,,N. Vucevic misses 2-pt shot at rim
4:18.0,Defensive rebound by T. Johnson,,22-17,,
4:17.0,Shooting foul by J. Simmons (drawn by J. Johnson),,22-17,,
4:17.0,J. Johnson misses free throw 1 of 2,,22-17,,
4:17.0,Offensive rebound by Team,,22-17,,
4:17.0,J. Johnson misses free throw 2 of 2,,22-17,,
4:15.0,,,22-17,,Defensive rebound by A. Gordon
4:01.0,,,22-17,,N. Vucevic misses 2-pt shot from 2 ft
3:56.0,,,22-17,,Offensive rebound by J. Simmons
3:56.0,,,22-19,2,J. Simmons makes 2-pt shot at rim
